Orthogroup	DROME	ASTMX
OG0000038	DROME13993	ASTMX12685, ASTMX17002
OG0000039	DROME03375, DROME03374, DROME03372, DROME03373	ASTMX10108, ASTMX07819
OG0000040	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331	ASTMX07215, ASTMX04964, ASTMX04965, ASTMX19241, ASTMX19242
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	ASTMX00945, ASTMX01024, ASTMX08027, ASTMX12746
OG0000044	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109, ASTMX06176
OG0000044	DROME03638	ASTMX07618
OG0000048	DROME07309	ASTMX04189
OG0000048	DROME15626, DROME15625	ASTMX03384
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	ASTMX08678, ASTMX11739, ASTMX08677, ASTMX05741, ASTMX04556, ASTMX04258, ASTMX18409, ASTMX15600
OG0000048	DROME01500	ASTMX00590
OG0000054	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360	ASTMX04679
OG0000054	DROME21992	ASTMX05759, ASTMX21204
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	ASTMX17485, ASTMX11170, ASTMX19413, ASTMX22616
OG0000058	DROME14598	ASTMX10002
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080
OG0000059	DROME17819, DROME17820	ASTMX21875
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657
OG0000061	DROME05579, DROME05580, DROME06033	ASTMX18729, ASTMX15987
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	ASTMX01260
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	ASTMX13776, ASTMX04927, ASTMX01608, ASTMX01645, ASTMX00504, ASTMX10324
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	ASTMX11259, ASTMX01032
OG0000065	DROME22058	ASTMX13708, ASTMX15083, ASTMX08041, ASTMX15226, ASTMX22995, ASTMX22138, ASTMX12818, ASTMX13454
OG0000068	DROME18366, DROME18368, DROME18367	ASTMX20702, ASTMX04017, ASTMX10771, ASTMX00977, ASTMX02175, ASTMX13274, ASTMX19064, ASTMX03044
OG0000068	DROME18209	ASTMX22819, ASTMX03045, ASTMX22587, ASTMX22308
OG0000069	DROME19859, DROME00928	ASTMX20491
OG0000070	DROME04028, DROME04029, DROME06783	ASTMX03868, ASTMX11850
OG0000071	DROME14965	ASTMX03820
OG0000072	DROME12247, DROME12248	ASTMX04733, ASTMX14003, ASTMX11793, ASTMX14353, ASTMX03718, ASTMX16521
OG0000072	DROME00154	ASTMX19895, ASTMX03692, ASTMX11241
OG0000072	DROME00750	ASTMX11250, ASTMX11618
OG0000074	DROME03014	ASTMX16165, ASTMX17638, ASTMX00966
OG0000075	DROME01374	ASTMX15193, ASTMX17154
OG0000075	DROME01373	ASTMX04760
OG0000075	DROME01375	ASTMX16716, ASTMX04759
OG0000075	DROME04883, DROME04882	ASTMX15785, ASTMX16080, ASTMX14559, ASTMX03441
OG0000077	DROME15696, DROME15698, DROME15697	ASTMX15936, ASTMX10508, ASTMX07977, ASTMX12178, ASTMX18081, ASTMX01594
OG0000077	DROME07079, DROME07077, DROME07078	ASTMX07586, ASTMX09935, ASTMX03249, ASTMX04186, ASTMX07562, ASTMX09286, ASTMX05084
OG0000079	DROME14752	ASTMX12040, ASTMX21792, ASTMX05319, ASTMX17878, ASTMX04709
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	ASTMX21145, ASTMX21146, ASTMX03966, ASTMX14883
OG0000079	DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810	ASTMX02337, ASTMX02996, ASTMX05046
OG0000079	DROME01298	ASTMX02943
OG0000082	DROME20298	ASTMX06917
OG0000082	DROME05998	ASTMX17888
OG0000082	DROME11174, DROME11173, DROME15008	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980
OG0000083	DROME17112	ASTMX03686, ASTMX11244, ASTMX09107, ASTMX14864
OG0000084	DROME13292, DROME13291, DROME13289, DROME13290	ASTMX18467, ASTMX12487, ASTMX09980, ASTMX22125, ASTMX15418, ASTMX20810
OG0000084	DROME14181, DROME14182, DROME17832, DROME17834, DROME17833	ASTMX17409, ASTMX15441, ASTMX19583, ASTMX06002, ASTMX20667
OG0000085	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760
OG0000085	DROME10293, DROME10294, DROME10289, DROME10292	ASTMX22578
OG0000085	DROME00999, DROME00998, DROME01000	ASTMX19538
OG0000085	DROME19740	ASTMX21189, ASTMX20129
OG0000085	DROME10832, DROME10831	ASTMX08704, ASTMX02521, ASTMX05460
OG0000087	DROME22088	ASTMX06968
OG0000087	DROME12963	ASTMX08355
OG0000087	DROME09496	ASTMX08356
OG0000087	DROME03097	ASTMX17718, ASTMX17717
OG0000087	DROME08842	ASTMX06381
OG0000087	DROME09495	ASTMX19474, ASTMX17716
OG0000088	DROME01198, DROME01197	ASTMX06621, ASTMX21370, ASTMX21470, ASTMX22555, ASTMX07254, ASTMX06506, ASTMX20919, ASTMX06028, ASTMX21971
OG0000090	DROME02752	ASTMX15822, ASTMX13800, ASTMX19765
OG0000090	DROME16241, DROME16240, DROME16239	ASTMX12258, ASTMX10648
OG0000091	DROME20804	ASTMX03395
OG0000094	DROME02876, DROME02874, DROME02872, DROME02875, DROME02873, DROME02878, DROME02881, DROME02880, DROME02877, DROME02879	ASTMX09275, ASTMX08870, ASTMX14395, ASTMX02106, ASTMX08390, ASTMX03425, ASTMX08393, ASTMX01747
OG0000094	DROME20335, DROME20344, DROME20342, DROME20339, DROME20331, DROME20343, DROME20334, DROME20340, DROME20338, DROME20337, DROME20333, DROME20336, DROME20332, DROME20341	ASTMX08913, ASTMX02078, ASTMX14341, ASTMX03427, ASTMX19974, ASTMX14525, ASTMX20671, ASTMX08392
OG0000095	DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	ASTMX01092, ASTMX16621, ASTMX16620, ASTMX16622, ASTMX16619, ASTMX08683, ASTMX04161, ASTMX08415, ASTMX12681, ASTMX17008
OG0000096	DROME08195, DROME08196	ASTMX11824, ASTMX12057, ASTMX18217
OG0000096	DROME08870	ASTMX13693, ASTMX16094, ASTMX16093
OG0000096	DROME13163	ASTMX18278, ASTMX15892
OG0000096	DROME06400	ASTMX09859
OG0000096	DROME13915	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998
OG0000096	DROME09341	ASTMX19590, ASTMX07352
OG0000098	DROME06218, DROME06212, DROME06217, DROME06213, DROME06211, DROME06215, DROME06216, DROME06210, DROME06214	ASTMX18980, ASTMX20779, ASTMX21996, ASTMX18982, ASTMX20777, ASTMX05127, ASTMX21313, ASTMX18164, ASTMX20778
OG0000099	DROME10335, DROME10334, DROME09743	ASTMX03763, ASTMX18144, ASTMX01173, ASTMX06084, ASTMX05845, ASTMX03961, ASTMX16578, ASTMX21430
OG0000099	DROME18324, DROME18322, DROME18323, DROME18399, DROME18398, DROME16045, DROME03641, DROME03642, DROME00198, DROME01024, DROME01023, DROME16052, DROME16051, DROME16053, DROME15995, DROME15996	ASTMX19321, ASTMX05749, ASTMX05771, ASTMX19085, ASTMX03707
OG0000100	DROME10813	ASTMX18651
OG0000101	DROME05458	ASTMX01330, ASTMX08413
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972
OG0000103	DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316
OG0000104	DROME09666, DROME09668, DROME09669, DROME09667, DROME09670	ASTMX07046, ASTMX03729, ASTMX19421
OG0000104	DROME16895, DROME16894	ASTMX16255, ASTMX08642, ASTMX17146, ASTMX01448
OG0000104	DROME16546, DROME16548, DROME16547, DROME16549	ASTMX19420, ASTMX03728, ASTMX07045
OG0000104	DROME17321, DROME17322	ASTMX00149
OG0000106	DROME02609	ASTMX14703, ASTMX18591, ASTMX08015
OG0000106	DROME14085, DROME16348, DROME17377, DROME10894, DROME10895	ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	ASTMX08032
OG0000110	DROME04794, DROME04795, DROME04798, DROME11669, DROME11670, DROME20727	ASTMX08508
OG0000111	DROME11971, DROME11972, DROME11973, DROME11975	ASTMX13149, ASTMX20227, ASTMX15405, ASTMX16130, ASTMX21238, ASTMX08100, ASTMX17987, ASTMX03191, ASTMX01125, ASTMX04817, ASTMX06690, ASTMX11733, ASTMX20650, ASTMX07484, ASTMX16738, ASTMX10939, ASTMX06691
OG0000113	DROME10760, DROME10761, DROME10759, DROME10758, DROME10762	ASTMX19383, ASTMX05472, ASTMX18644, ASTMX15787, ASTMX14388, ASTMX14387, ASTMX14389, ASTMX14390
OG0000113	DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090	ASTMX07206
OG0000114	DROME04013, DROME04512, DROME04513	ASTMX06593, ASTMX08587, ASTMX15325, ASTMX13938, ASTMX21972, ASTMX17058, ASTMX09459, ASTMX10616, ASTMX05249
OG0000116	DROME05231	ASTMX01410
OG0000117	DROME17123	ASTMX14023
OG0000119	DROME20499, DROME20496, DROME20497, DROME20498, DROME20500, DROME20501	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636
OG0000119	DROME21220, DROME21219	ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905
OG0000119	DROME06207, DROME06208, DROME08017, DROME06209	ASTMX00656, ASTMX18233
OG0000120	DROME00676	ASTMX22743
OG0000121	DROME17781, DROME08015	ASTMX16272, ASTMX04663, ASTMX01517
OG0000122	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832
OG0000122	DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364	ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421
OG0000124	DROME17463	ASTMX09338, ASTMX18149, ASTMX01149
OG0000124	DROME08713, DROME09900	ASTMX16401, ASTMX07748
OG0000124	DROME21734	ASTMX10640, ASTMX14745, ASTMX06441
OG0000125	DROME11932, DROME11934, DROME11935, DROME11936, DROME11933	ASTMX16041, ASTMX22883, ASTMX19680, ASTMX19461, ASTMX05331, ASTMX17627
OG0000125	DROME04039, DROME04040, DROME04038	ASTMX00267
OG0000126	DROME01805, DROME01804	ASTMX18095, ASTMX08006, ASTMX06040
OG0000126	DROME21081, DROME21082, DROME21083, DROME21080	ASTMX08551, ASTMX08784, ASTMX11157
OG0000126	DROME05808, DROME05806, DROME05810, DROME05805, DROME05801, DROME05809, DROME05802, DROME05807, DROME05803, DROME05799, DROME05800, DROME05804	ASTMX06187, ASTMX17244
OG0000126	DROME14473, DROME14469, DROME14474, DROME14468, DROME14472, DROME14470, DROME14471	ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148
OG0000127	DROME11205, DROME11204	ASTMX08750, ASTMX03142, ASTMX00541, ASTMX00032
OG0000127	DROME08158	ASTMX11418, ASTMX00918, ASTMX13409, ASTMX07588, ASTMX13478
OG0000127	DROME05986	ASTMX10799, ASTMX06687, ASTMX15259, ASTMX15260
OG0000127	DROME18062	ASTMX14863, ASTMX19609, ASTMX20319, ASTMX20860
OG0000129	DROME07177, DROME07176, DROME07178, DROME10520, DROME21055	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539
OG0000130	DROME11753, DROME15905, DROME02314, DROME10893, DROME15098, DROME15702, DROME15860	ASTMX03032, ASTMX13868, ASTMX11078, ASTMX12125
OG0000131	DROME18073, DROME18075, DROME18074	ASTMX16327
OG0000132	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774	ASTMX15628
OG0000142	DROME08254, DROME08253	ASTMX02569, ASTMX02645
OG0000142	DROME07188	ASTMX22061
OG0000142	DROME17530, DROME17531	ASTMX21325
OG0000147	DROME06557, DROME06554, DROME06558, DROME06555, DROME06553, DROME06552, DROME06556	ASTMX03135, ASTMX08761, ASTMX04795
OG0000147	DROME06267, DROME06264, DROME06263, DROME06265, DROME06266	ASTMX01265, ASTMX04843
OG0000147	DROME03466	ASTMX02385
OG0000147	DROME17452, DROME17451	ASTMX18633, ASTMX08515
