Orthogroup	DROME	CAEEL
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	CAEEL18647
OG0000019	DROME02971	CAEEL19797
OG0000019	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290	CAEEL15403
OG0000020	DROME11466, DROME11467	CAEEL00627
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042, DROME03151, DROME03150	CAEEL05927
OG0000020	DROME14454, DROME14455	CAEEL09273
OG0000021	DROME18320, DROME18321	CAEEL15603
OG0000021	DROME06512, DROME06511	CAEEL08491
OG0000021	DROME08269	CAEEL00422
OG0000021	DROME08091	CAEEL00784, CAEEL15377
OG0000026	DROME19866, DROME19867	CAEEL07477
OG0000028	DROME09420	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076
OG0000028	DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818	CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	DROME19091	CAEEL11851
OG0000030	DROME15149	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	DROME11112, DROME11110, DROME11113, DROME11111, DROME02191, DROME02193, DROME02192, DROME12173, DROME12176	CAEEL04353
OG0000030	DROME12965	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	DROME19945, DROME19947, DROME19946, DROME19949, DROME19948	CAEEL02023
