Orthogroup	DROME	SCHMD
OG0000041	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771	SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820
OG0000048	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	DROME04610, DROME04609, DROME04608, DROME04607, DROME04606	SCHMD17006
OG0000049	DROME18357, DROME18359, DROME18358	SCHMD22370
OG0000051	DROME06654, DROME06655	SCHMD14701, SCHMD19681, SCHMD00914, SCHMD02148, SCHMD06279
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	SCHMD04709, SCHMD09327, SCHMD16164, SCHMD24926, SCHMD03916, SCHMD04434, SCHMD04437, SCHMD01197, SCHMD14415, SCHMD22203, SCHMD17892, SCHMD29195
OG0000058	DROME14598	SCHMD04270
OG0000059	DROME17819, DROME17820	SCHMD15435, SCHMD14720, SCHMD05184, SCHMD07481, SCHMD24928
OG0000060	DROME18201	SCHMD17528
OG0000060	DROME02317, DROME02583, DROME02316	SCHMD05372, SCHMD13182, SCHMD07987
OG0000060	DROME07035, DROME07034, DROME07036, DROME07859, DROME07858, DROME04014, DROME07857, DROME07856, DROME07855, DROME07854, DROME18200, DROME07037, DROME07038, DROME04458, DROME04457, DROME19175, DROME06539, DROME06538, DROME20480, DROME07291, DROME06112, DROME00867, DROME00220	SCHMD16998
OG0000060	DROME00430	SCHMD17292
OG0000061	DROME05786, DROME05785, DROME05787, DROME20453	SCHMD24930
OG0000061	DROME05579, DROME05580, DROME06033	SCHMD11039
OG0000062	DROME03387, DROME03389, DROME03388, DROME03386, DROME03390, DROME01439, DROME01441, DROME01443, DROME01440, DROME01442, DROME02848, DROME01444	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	DROME03407, DROME03409, DROME03405, DROME03404, DROME03403, DROME03408, DROME03406	SCHMD04855
OG0000063	DROME17704, DROME17705, DROME17706, DROME17703, DROME17707	SCHMD09653
OG0000065	DROME22058, DROME11358	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	DROME14379	SCHMD27134
OG0000066	DROME07231	SCHMD22265
OG0000068	DROME18209	SCHMD05762, SCHMD05760, SCHMD05763
OG0000069	DROME03713	SCHMD01685, SCHMD16207, SCHMD06596, SCHMD09060, SCHMD03554, SCHMD11437
OG0000069	DROME19859, DROME00928	SCHMD05798, SCHMD12262
OG0000070	DROME04028, DROME04029, DROME06783, DROME04912	SCHMD06745
OG0000070	DROME17588, DROME17589, DROME19032	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858
OG0000072	DROME12247, DROME12248	SCHMD10090
OG0000072	DROME11831, DROME14422	SCHMD14329
OG0000073	DROME14684	SCHMD10978, SCHMD10977, SCHMD12234
OG0000077	DROME15696, DROME15698, DROME15697	SCHMD23576
OG0000077	DROME07079, DROME07077, DROME07078	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000077	DROME18051	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624
OG0000077	DROME15502, DROME15501	SCHMD15208, SCHMD02698
OG0000077	DROME12670	SCHMD27373
OG0000078	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111	SCHMD04822, SCHMD04523
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	DROME14749, DROME14748, DROME14747, DROME14750	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	DROME01298	SCHMD06941, SCHMD04736
OG0000082	DROME20298	SCHMD03263, SCHMD10119
