fgfd	S	XLOC_031789	KT290882.1	fibroblast growth factor 16		1	1	Fan et al., 2018	Tzu-Pei Fan	Mesodermal-ventral, ectodermal-ventral
fgfr1-like	S (protein receptor)	XLOC_018853	HQ904073.1	fibroblast growth factor receptor-like 1 isoform X1	1		1	Rottinger & Martindale, 2011	Rottinger & Martindale	Endodermal-anterior, ectodermal-ventral
fgfra1	S (protein receptor)	XLOC_038171	KT290884.1	fibroblast growth factor receptor 2-like isoform X1	1	1		Fan et al., 2018	Tzu-Pei Fan	Ectodermal-anterior, whole mesoderm
fgfra2	S (protein receptor)	XLOC_038948	KT290886.1	fibroblast growth factor receptor 2-like isoform X1	1	1	1	Fan et al., 2018	Tzu-Pei Fan	Endodermal-anterior, whole mesoderm, ectodermal-blastopore
fgfrb	S (protein receptor)	XLOC_018998	KT290885.1	fibroblast growth factor receptor 2-like isoform X1	1	1	1	Fan et al., 2018	Tzu-Pei Fan	Endodermal-anterior, mesodermal-ventral, ectodermal-ventral, ectodermal-apical, ectodermal-blastopore
follistain	O (activin-binding protein)	XLOC_027629	KP133099.1	follistatin-related protein 1		1		Rottinger et al., 2015	Rottinger et al.	Mesodermal-dorsal
foxa/HNF3	T	XLOC_006868	AB023019.1	forkhead transcription factor A	1		1	Taguchi et al., 2000; Röttinger and Martindale, 2011; Su et al., 2019	Taguchi et al., Röttinger and Martindale and Su et al.	Whole endoderm, ectodernal-ventral
foxc	T	XLOC_006404	MG593809.1	forkhead box protein C2-B-like		1	1	Fan et al., 2018	Tzu-Pei Fan	Mesodermal-ventral, ectodermal-ciliary band
foxE	T	XLOC_038185		forkhead box protein E4-like			1		Gigi	Ectodermal-ventral
foxf	T	XLOC_006405	MG593810.1	forkhead box protein F1		1		Fan et al., 2018	Tzu-Pei Fan	Whole mesoderm
foxg	T	XLOC_006914	MH782154.1	forkhead box protein G1		1	1	Su et al., 2019	Gigi	Mesodermal-dorsal ectodermal-ciliary band
foxQ2	T	XLOC_016756	HQ291266.1	protein lin-31-like			1	Rottinger & Martindale, 2011	Rottinger & Martindale	Ectodermal-apical
