Orthogroup	MOUSE	BRAFL
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	bflo_15412
OG0000006	MOUSE03398	bflo_10980
OG0000007	MOUSE09063, MOUSE49748	bflo_13266
OG0000007	MOUSE51845, MOUSE20686	bflo_05651
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	bflo_16444, bflo_15598
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	bflo_25603
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	bflo_10207
OG0000007	MOUSE52320	bflo_23632
OG0000007	MOUSE49749	bflo_13761
OG0000007	MOUSE13954	bflo_13742
OG0000007	MOUSE09061	bflo_13892
OG0000007	MOUSE09062, MOUSE49739	bflo_13084
OG0000007	MOUSE04689, MOUSE37388	bflo_12369
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	bflo_23309
OG0000007	MOUSE38586, MOUSE06525	bflo_23091
OG0000007	MOUSE06204	bflo_23283
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	bflo_24497
OG0000007	MOUSE07031, MOUSE07030	bflo_11392
OG0000008	MOUSE25500	bflo_25964, bflo_01367, bflo_00741
OG0000008	MOUSE17513, MOUSE17514, MOUSE33182	bflo_24920
OG0000008	MOUSE25499, MOUSE25498, MOUSE25349	bflo_18246, bflo_18438, bflo_17494, bflo_17234, bflo_17491, bflo_17495, bflo_05246, bflo_16441, bflo_26042, bflo_18070, bflo_16203, bflo_16234, bflo_16238, bflo_16233, bflo_16235, bflo_16231, bflo_16161, bflo_25263, bflo_24546
OG0000008	MOUSE50311	bflo_24820, bflo_25017, bflo_24835, bflo_05883, bflo_24836, bflo_23968, bflo_00088, bflo_24054, bflo_24837, bflo_24839, bflo_24838, bflo_24924
OG0000008	MOUSE34799	bflo_20071
OG0000010	MOUSE49605, MOUSE49413	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	MOUSE22876	bflo_00973
OG0000010	MOUSE09529	bflo_07912, bflo_08373
OG0000010	MOUSE36610, MOUSE36609	bflo_25814, bflo_01084
