Orthogroup	MOUSE	CAEEL
OG0000006	MOUSE48684, MOUSE48683	CAEEL20510
OG0000006	MOUSE11220	CAEEL18976
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	CAEEL00696
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	CAEEL07700
OG0000006	MOUSE38532, MOUSE38531	CAEEL05532
OG0000006	MOUSE19675	CAEEL01533
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	CAEEL12101
OG0000006	MOUSE08011, MOUSE15296	CAEEL00153
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	CAEEL17819
OG0000006	MOUSE03398	CAEEL15182
OG0000007	MOUSE51845, MOUSE20686	CAEEL04050
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	CAEEL17965
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	CAEEL05829
OG0000007	MOUSE09062, MOUSE49739	CAEEL01108
OG0000007	MOUSE38585, MOUSE04689, MOUSE37388, MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	CAEEL10238, CAEEL04602
OG0000007	MOUSE07031, MOUSE07030	CAEEL18586
OG0000010	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	CAEEL04259
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	CAEEL20690
OG0000013	MOUSE13221, MOUSE13219, MOUSE31454, MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	CAEEL19127
OG0000015	MOUSE03177	CAEEL03927, CAEEL15698, CAEEL11496
OG0000015	MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093	CAEEL09145
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	CAEEL15587
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	CAEEL20493
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123, MOUSE21130	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	MOUSE13078, MOUSE13077	CAEEL18647
OG0000019	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	MOUSE45177	CAEEL07399
OG0000020	MOUSE24012	CAEEL00627
OG0000020	MOUSE35162, MOUSE09601, MOUSE09602, MOUSE48313, MOUSE48314	CAEEL05927
OG0000020	MOUSE37001, MOUSE37002	CAEEL13362
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	CAEEL09273
OG0000021	MOUSE41024, MOUSE41023	CAEEL15603
OG0000021	MOUSE04592	CAEEL00422
OG0000021	MOUSE44445, MOUSE53773	CAEEL00784, CAEEL15377
OG0000023	MOUSE50079, MOUSE50078, MOUSE50070, MOUSE50073, MOUSE50075, MOUSE50077, MOUSE50076, MOUSE50069, MOUSE50072, MOUSE50074, MOUSE50063, MOUSE49035, MOUSE28744, MOUSE50065, MOUSE50066, MOUSE50067, MOUSE50064	CAEEL13426
OG0000023	MOUSE50068	CAEEL07042
OG0000027	MOUSE18678, MOUSE18679	CAEEL17825
OG0000028	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458	CAEEL01691, CAEEL12110, CAEEL19077, CAEEL19076, CAEEL00764, CAEEL00826, CAEEL19899, CAEEL19703, CAEEL20254, CAEEL00656
OG0000028	MOUSE44525	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517
OG0000029	MOUSE43115, MOUSE43116	CAEEL20320
OG0000029	MOUSE37827, MOUSE45127, MOUSE48617, MOUSE49324, MOUSE49325, MOUSE22849, MOUSE22848, MOUSE02995	CAEEL20612
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	CAEEL00681, CAEEL00682, CAEEL00680
OG0000030	MOUSE21340	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830
OG0000031	MOUSE55187	CAEEL17953
OG0000031	MOUSE26385, MOUSE14840, MOUSE26448, MOUSE08530, MOUSE05256	CAEEL02023
OG0000031	MOUSE44529	CAEEL04718
OG0000031	MOUSE13006, MOUSE13005	CAEEL07076
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	CAEEL19615
OG0000032	MOUSE29123, MOUSE23164	CAEEL08739, CAEEL18742, CAEEL18342
OG0000034	MOUSE23593	CAEEL20539
OG0000034	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539	CAEEL07900
OG0000034	MOUSE43921, MOUSE45737, MOUSE14480, MOUSE31016, MOUSE31017, MOUSE31015, MOUSE31011	CAEEL13037
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	CAEEL01132
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	CAEEL03140, CAEEL03141
OG0000035	MOUSE02570, MOUSE02571	CAEEL01943
OG0000035	MOUSE41551	CAEEL19501, CAEEL17643, CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	CAEEL18405, CAEEL11240, CAEEL15057
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
