Orthogroup	MOUSE	CAEEL
OG0000660	MOUSE26589	CAEEL06994
OG0000660	MOUSE53726, MOUSE02723, MOUSE04889, MOUSE04890	CAEEL01886
OG0000660	MOUSE23064	CAEEL01416
OG0000662	MOUSE19603, MOUSE19601, MOUSE19604, MOUSE19602, MOUSE19605, MOUSE19607, MOUSE19606	CAEEL07265
OG0000662	MOUSE06501, MOUSE14111, MOUSE06500, MOUSE06499, MOUSE14110	CAEEL20546
OG0000663	MOUSE13439, MOUSE13440, MOUSE06815, MOUSE06817, MOUSE06816, MOUSE13441	CAEEL07269
OG0000664	MOUSE53752, MOUSE53753, MOUSE01965, MOUSE01962, MOUSE23474	CAEEL10897, CAEEL10896
OG0000664	MOUSE22241, MOUSE22240, MOUSE35216, MOUSE35218, MOUSE35217	CAEEL00118, CAEEL00117
OG0000665	MOUSE51882, MOUSE51880, MOUSE51881, MOUSE32269, MOUSE32268	CAEEL18458, CAEEL04875, CAEEL05353, CAEEL11596, CAEEL18744
OG0000666	MOUSE05582, MOUSE41228, MOUSE41218, MOUSE41226, MOUSE41227, MOUSE41215, MOUSE41219, MOUSE41225, MOUSE41224, MOUSE41216, MOUSE41217, MOUSE41230, MOUSE41229, MOUSE05583, MOUSE05581, MOUSE09357, MOUSE09355, MOUSE09353, MOUSE09354, MOUSE09356, MOUSE09348, MOUSE09352, MOUSE09349, MOUSE09350, MOUSE09347, MOUSE09351, MOUSE55143, MOUSE55144, MOUSE55142, MOUSE55141	CAEEL11143
OG0000670	MOUSE04054, MOUSE04055, MOUSE53933, MOUSE53934, MOUSE47619, MOUSE52285, MOUSE24104, MOUSE24105	CAEEL01804, CAEEL20294
OG0000671	MOUSE50487, MOUSE50486, MOUSE50485, MOUSE54296, MOUSE54294, MOUSE54295, MOUSE40916, MOUSE23443, MOUSE02325, MOUSE40917, MOUSE23444	CAEEL20492, CAEEL02522
OG0000672	MOUSE15523, MOUSE15520, MOUSE15524, MOUSE04067, MOUSE15521	CAEEL07948, CAEEL07943
OG0000672	MOUSE41797, MOUSE41126, MOUSE06352, MOUSE41798, MOUSE06353	CAEEL00089, CAEEL00988
OG0000674	MOUSE44931, MOUSE44926, MOUSE44927, MOUSE30738, MOUSE30735, MOUSE30734, MOUSE30736, MOUSE30739, MOUSE44929	CAEEL01995
OG0000676	MOUSE13398, MOUSE13397, MOUSE13396, MOUSE28654, MOUSE28653	CAEEL18677, CAEEL18678
OG0000678	MOUSE17072, MOUSE17071, MOUSE05127, MOUSE05134, MOUSE05125, MOUSE05131, MOUSE05124, MOUSE05133, MOUSE05129, MOUSE05130, MOUSE05128, MOUSE05126, MOUSE05132, MOUSE17068, MOUSE17070, MOUSE17069, MOUSE14176, MOUSE14175	CAEEL19275
OG0000680	MOUSE14546, MOUSE14547	CAEEL01896
OG0000681	MOUSE29729, MOUSE29731, MOUSE29732, MOUSE29734, MOUSE29733, MOUSE53999, MOUSE53998, MOUSE12966, MOUSE12967	CAEEL06701, CAEEL06700
OG0000681	MOUSE23608, MOUSE23607, MOUSE27190, MOUSE27189, MOUSE27185, MOUSE27186, MOUSE27187, MOUSE27188, MOUSE27184	CAEEL20557
OG0000682	MOUSE40533, MOUSE40532, MOUSE40535, MOUSE40534, MOUSE21319, MOUSE21318, MOUSE35907, MOUSE35915, MOUSE35914, MOUSE35910, MOUSE35911, MOUSE35909, MOUSE35912, MOUSE35913	CAEEL18765, CAEEL15769
OG0000683	MOUSE54444, MOUSE54443	CAEEL18608
OG0000683	MOUSE48812, MOUSE48811, MOUSE31819, MOUSE31816, MOUSE31818, MOUSE31817, MOUSE31821	CAEEL02946, CAEEL02945, CAEEL02947, CAEEL02944
OG0000684	MOUSE19631, MOUSE19633, MOUSE19634, MOUSE19635, MOUSE19636, MOUSE49799, MOUSE49800, MOUSE49801, MOUSE49802	CAEEL11185
OG0000685	MOUSE44185, MOUSE44186, MOUSE47322, MOUSE47323, MOUSE47321, MOUSE23574, MOUSE23575, MOUSE23573, MOUSE02122, MOUSE02123	CAEEL19728
OG0000690	MOUSE00475, MOUSE18670, MOUSE34065, MOUSE00474	CAEEL02355, CAEEL16430
OG0000690	MOUSE54656	CAEEL05043
OG0000691	MOUSE29347, MOUSE29346, MOUSE49341	CAEEL17188
OG0000692	MOUSE04478, MOUSE04479, MOUSE04480, MOUSE04477, MOUSE04476	CAEEL01603
OG0000693	MOUSE34445, MOUSE34447, MOUSE34448, MOUSE34449, MOUSE34450, MOUSE04455, MOUSE04456	CAEEL03253, CAEEL03254
OG0000694	MOUSE24535, MOUSE24536, MOUSE24534, MOUSE24752, MOUSE40204, MOUSE40205, MOUSE40203	CAEEL18784, CAEEL02081, CAEEL02961
OG0000696	MOUSE23457	CAEEL19612
OG0000697	MOUSE06912, MOUSE06911, MOUSE31212, MOUSE53511, MOUSE53512, MOUSE10904, MOUSE10901, MOUSE10903, MOUSE10902	CAEEL10883
OG0000699	MOUSE45156, MOUSE54589, MOUSE54585, MOUSE54584, MOUSE54588	CAEEL07103, CAEEL17353, CAEEL15074, CAEEL14285
OG0000700	MOUSE41844	CAEEL12398
OG0000701	MOUSE09498, MOUSE09495, MOUSE09496, MOUSE00837, MOUSE00838, MOUSE00839, MOUSE00845, MOUSE40359, MOUSE40360, MOUSE02828, MOUSE02827	CAEEL01775, CAEEL09588, CAEEL02242
OG0000702	MOUSE19754, MOUSE19750, MOUSE19745, MOUSE19735, MOUSE19738, MOUSE19742, MOUSE19747, MOUSE19732, MOUSE19728, MOUSE19724, MOUSE19720, MOUSE19719, MOUSE19726, MOUSE19722, MOUSE19721, MOUSE19717, MOUSE19716, MOUSE51901, MOUSE51899, MOUSE51898, MOUSE51903, MOUSE51905, MOUSE51902, MOUSE51897	CAEEL01313
OG0000703	MOUSE09475, MOUSE09482, MOUSE09477, MOUSE09474, MOUSE09481, MOUSE09478, MOUSE09480, MOUSE31672, MOUSE31674, MOUSE31671, MOUSE31670	CAEEL12761
OG0000703	MOUSE09476	CAEEL18049, CAEEL09236, CAEEL06037
OG0000705	MOUSE35338, MOUSE35339, MOUSE52676, MOUSE52677, MOUSE35342, MOUSE35340, MOUSE35345, MOUSE11353, MOUSE35373, MOUSE52696, MOUSE52695, MOUSE52698, MOUSE44776, MOUSE09410	CAEEL00513
OG0000708	MOUSE31390, MOUSE31389	CAEEL04786, CAEEL04785
OG0000708	MOUSE14490, MOUSE54269, MOUSE54268	CAEEL12722
OG0000709	MOUSE18139	CAEEL01769
OG0000710	MOUSE10038, MOUSE10039, MOUSE10037, MOUSE49353	CAEEL14590, CAEEL11830, CAEEL03364, CAEEL04975
OG0000711	MOUSE44352, MOUSE02178	CAEEL04946
OG0000711	MOUSE47225, MOUSE47226	CAEEL03027
OG0000712	MOUSE03200, MOUSE03199, MOUSE53971, MOUSE53972, MOUSE45072, MOUSE45069, MOUSE45071, MOUSE48221, MOUSE48220, MOUSE48222	CAEEL07921
OG0000713	MOUSE04057, MOUSE54792, MOUSE54791, MOUSE55213, MOUSE55214, MOUSE55212	CAEEL15727
OG0000715	MOUSE26260, MOUSE26259, MOUSE26258, MOUSE02473, MOUSE02472, MOUSE53172, MOUSE53167, MOUSE53171, MOUSE53168, MOUSE53170, MOUSE53165, MOUSE53166, MOUSE53169, MOUSE53173	CAEEL07310, CAEEL07309
OG0000717	MOUSE24202, MOUSE24200, MOUSE24201, MOUSE25900, MOUSE25903, MOUSE25902, MOUSE25901, MOUSE17621, MOUSE25898, MOUSE17620, MOUSE17618, MOUSE17619, MOUSE25897, MOUSE48390, MOUSE48391, MOUSE48394, MOUSE48392, MOUSE48393, MOUSE25899	CAEEL20044, CAEEL07958
OG0000718	MOUSE30953, MOUSE43056, MOUSE43055, MOUSE43054, MOUSE24376, MOUSE24375, MOUSE24369, MOUSE43537, MOUSE43538, MOUSE12486	CAEEL16052
OG0000720	MOUSE19535, MOUSE19536, MOUSE51696, MOUSE51698, MOUSE51695, MOUSE51697	CAEEL02341
OG0000721	MOUSE02762, MOUSE02761, MOUSE02760, MOUSE02765, MOUSE02764	CAEEL07780
OG0000721	MOUSE02763	CAEEL00853
OG0000722	MOUSE27353, MOUSE08639, MOUSE20386, MOUSE27055, MOUSE39386	CAEEL16439
OG0000724	MOUSE18210, MOUSE18209, MOUSE27554, MOUSE27553, MOUSE27552, MOUSE27551	CAEEL01191, CAEEL05666, CAEEL04724, CAEEL07268, CAEEL09317, CAEEL05086, CAEEL04722, CAEEL04707, CAEEL16432, CAEEL08216, CAEEL08788, CAEEL00782, CAEEL05700, CAEEL05106, CAEEL05163, CAEEL15997, CAEEL14388, CAEEL04425, CAEEL10300, CAEEL10254, CAEEL10375, CAEEL12178, CAEEL11651, CAEEL11581, CAEEL15115, CAEEL04753
OG0000725	MOUSE31731, MOUSE31730, MOUSE31732	CAEEL01386
OG0000726	MOUSE18851, MOUSE18868, MOUSE18854, MOUSE18855, MOUSE18870, MOUSE18857, MOUSE18848, MOUSE18866, MOUSE18865, MOUSE18850, MOUSE18841, MOUSE18847, MOUSE18859, MOUSE18852, MOUSE18846, MOUSE18849, MOUSE18862, MOUSE18844, MOUSE18861, MOUSE18867, MOUSE18853, MOUSE18864, MOUSE18860, MOUSE18845, MOUSE18858, MOUSE18842, MOUSE18856, MOUSE18871, MOUSE18872, MOUSE18843, MOUSE22343, MOUSE22340, MOUSE22341, MOUSE22342, MOUSE14710	CAEEL08988, CAEEL08987
OG0000730	MOUSE02569, MOUSE22100, MOUSE22099	CAEEL06720
OG0000730	MOUSE08715, MOUSE23276, MOUSE02405, MOUSE02406	CAEEL06574
OG0000731	MOUSE15688, MOUSE15689, MOUSE15687, MOUSE15694, MOUSE15693, MOUSE15695, MOUSE15691, MOUSE15692, MOUSE55085, MOUSE55084, MOUSE55086, MOUSE55083, MOUSE12888, MOUSE12887, MOUSE38373, MOUSE38370, MOUSE38371, MOUSE38367, MOUSE38372	CAEEL18982
OG0000732	MOUSE31018, MOUSE55029, MOUSE23136, MOUSE23139, MOUSE23138, MOUSE23137, MOUSE23135	CAEEL02711
OG0000732	MOUSE50346, MOUSE33183	CAEEL11771
OG0000733	MOUSE07355, MOUSE07356, MOUSE20245, MOUSE24781	CAEEL17006
OG0000733	MOUSE08117, MOUSE08121, MOUSE08120, MOUSE08119, MOUSE08118, MOUSE18227	CAEEL15524
OG0000734	MOUSE25399, MOUSE25398, MOUSE25401, MOUSE25403, MOUSE25402, MOUSE25400, MOUSE31239, MOUSE31240	CAEEL18835
OG0000735	MOUSE00416, MOUSE00415, MOUSE00410, MOUSE00414, MOUSE00409, MOUSE00411, MOUSE00413, MOUSE00412, MOUSE28517, MOUSE28516, MOUSE13496, MOUSE13495, MOUSE13497, MOUSE13498, MOUSE13499	CAEEL14834, CAEEL14835
OG0000736	MOUSE26390, MOUSE25145	CAEEL09174
OG0000737	MOUSE46618	CAEEL19663
OG0000737	MOUSE46613, MOUSE46612, MOUSE46617, MOUSE46614, MOUSE40553, MOUSE46611, MOUSE40552, MOUSE40548, MOUSE40546, MOUSE40545, MOUSE40549, MOUSE40551, MOUSE40547, MOUSE46619, MOUSE46616, MOUSE46615, MOUSE40550	CAEEL06154, CAEEL04487, CAEEL04486
OG0000740	MOUSE28205, MOUSE13925	CAEEL18076
OG0000744	MOUSE11978, MOUSE11975, MOUSE11971, MOUSE11972, MOUSE11974, MOUSE11973, MOUSE11976, MOUSE29332, MOUSE29329, MOUSE29331, MOUSE29330, MOUSE29334, MOUSE29333, MOUSE29335, MOUSE28348, MOUSE28346, MOUSE28345, MOUSE28349, MOUSE28347, MOUSE11977	CAEEL01254
OG0000749	MOUSE18217, MOUSE20120, MOUSE20122, MOUSE20121, MOUSE08204, MOUSE08206, MOUSE08207, MOUSE08203, MOUSE08205, MOUSE42798, MOUSE42797	CAEEL11624, CAEEL14107
OG0000751	MOUSE39754, MOUSE39752, MOUSE15496, MOUSE15495	CAEEL09020
OG0000752	MOUSE21464	CAEEL07346
OG0000752	MOUSE55217, MOUSE55218	CAEEL04370
OG0000753	MOUSE27739, MOUSE27738, MOUSE24295, MOUSE24293, MOUSE24296, MOUSE24294, MOUSE50919, MOUSE50920, MOUSE50917	CAEEL17415
OG0000755	MOUSE12361, MOUSE08954, MOUSE08955, MOUSE08952, MOUSE12362	CAEEL01302
OG0000757	MOUSE46249, MOUSE46248	CAEEL20030
OG0000757	MOUSE22247, MOUSE22248	CAEEL00176
OG0000759	MOUSE26272, MOUSE26275, MOUSE26277, MOUSE26279, MOUSE26278, MOUSE35556, MOUSE35553, MOUSE35552, MOUSE35554, MOUSE23327, MOUSE23328	CAEEL20475, CAEEL16710
OG0000760	MOUSE11237	CAEEL09851
OG0000761	MOUSE26055, MOUSE26056, MOUSE18487, MOUSE23696, MOUSE23693, MOUSE23695, MOUSE23694, MOUSE23692	CAEEL19698
OG0000762	MOUSE14916, MOUSE14919, MOUSE14917, MOUSE26582, MOUSE26581, MOUSE26580, MOUSE26579, MOUSE26583, MOUSE39898, MOUSE39901, MOUSE39903, MOUSE39902, MOUSE39899, MOUSE39896, MOUSE39897	CAEEL02671
OG0000763	MOUSE30407, MOUSE19448, MOUSE19447, MOUSE48537, MOUSE48539, MOUSE48536, MOUSE48535, MOUSE48538, MOUSE19449, MOUSE48540, MOUSE42999, MOUSE42998	CAEEL01521, CAEEL01520, CAEEL01519
OG0000764	MOUSE33207	CAEEL19739
OG0000764	MOUSE31889, MOUSE18475, MOUSE25826, MOUSE25823	CAEEL19849
OG0000765	MOUSE30890, MOUSE30889, MOUSE37512, MOUSE37513	CAEEL08924, CAEEL20292
OG0000765	MOUSE30891	CAEEL19163
OG0000766	MOUSE30248, MOUSE30247, MOUSE30246, MOUSE30245, MOUSE01575, MOUSE01574, MOUSE01576, MOUSE19531	CAEEL01660
OG0000767	MOUSE27533, MOUSE27537, MOUSE27534, MOUSE28011, MOUSE28012	CAEEL15327, CAEEL15326
OG0000767	MOUSE27536, MOUSE27535	CAEEL18584
OG0000774	MOUSE31336, MOUSE31335, MOUSE31334	CAEEL03062
OG0000774	MOUSE53571, MOUSE53570, MOUSE53576, MOUSE53579	CAEEL12020, CAEEL14163, CAEEL12021
OG0000775	MOUSE00528, MOUSE00529, MOUSE00525, MOUSE00526, MOUSE00527, MOUSE00524, MOUSE37373, MOUSE37372, MOUSE37371	CAEEL17384, CAEEL14551, CAEEL07888, CAEEL14550
OG0000776	MOUSE29664, MOUSE48168, MOUSE53845	CAEEL11265, CAEEL10969, CAEEL09271, CAEEL01206
OG0000777	MOUSE06130, MOUSE06129, MOUSE06128	CAEEL19291
OG0000778	MOUSE22907, MOUSE22908, MOUSE22909, MOUSE03991, MOUSE39634, MOUSE39635, MOUSE29903, MOUSE29902, MOUSE35020	CAEEL04054
OG0000779	MOUSE25408, MOUSE25407, MOUSE25406	CAEEL01706
OG0000780	MOUSE07684	CAEEL00305
OG0000780	MOUSE04663, MOUSE04662	CAEEL01193
OG0000782	MOUSE01601, MOUSE19835, MOUSE19834, MOUSE19833, MOUSE30860, MOUSE30856, MOUSE30859, MOUSE30857, MOUSE51653, MOUSE51654, MOUSE51651	CAEEL01741
OG0000784	MOUSE22855	CAEEL18704
OG0000784	MOUSE22854, MOUSE22853, MOUSE22852, MOUSE03597, MOUSE29436, MOUSE29124	CAEEL19472
OG0000786	MOUSE01057	CAEEL06097
OG0000787	MOUSE47961, MOUSE47965, MOUSE47964, MOUSE47963, MOUSE47962, MOUSE09494, MOUSE09492, MOUSE09493, MOUSE09491, MOUSE00783, MOUSE00784, MOUSE31692, MOUSE31693, MOUSE31691	CAEEL10362
OG0000788	MOUSE27064, MOUSE39394	CAEEL04328, CAEEL04329, CAEEL04327
OG0000788	MOUSE32425, MOUSE32424, MOUSE32423, MOUSE30472, MOUSE01590	CAEEL01175
OG0000791	MOUSE35522	CAEEL05549
OG0000791	MOUSE35519, MOUSE35517, MOUSE35518, MOUSE35520, MOUSE35521, MOUSE14635, MOUSE22542, MOUSE22544, MOUSE22543	CAEEL09121
OG0000792	MOUSE37419, MOUSE37420, MOUSE37418	CAEEL06858, CAEEL06859
OG0000793	MOUSE30326, MOUSE30328, MOUSE30327, MOUSE10274, MOUSE10275, MOUSE10273, MOUSE51447, MOUSE51446, MOUSE01511, MOUSE51436	CAEEL00246
OG0000794	MOUSE03809, MOUSE03810, MOUSE03812, MOUSE03813, MOUSE19985, MOUSE19991, MOUSE19988	CAEEL14272, CAEEL13170
OG0000797	MOUSE03559, MOUSE03560, MOUSE03554, MOUSE03557, MOUSE03556, MOUSE03555, MOUSE03558, MOUSE30031, MOUSE30030, MOUSE30029, MOUSE03561	CAEEL11404
OG0000798	MOUSE05107, MOUSE05104, MOUSE05105, MOUSE05101, MOUSE05102, MOUSE05103, MOUSE05106, MOUSE05100, MOUSE17009, MOUSE17008, MOUSE17015, MOUSE17007, MOUSE17010, MOUSE17012, MOUSE17013, MOUSE17011, MOUSE17016, MOUSE17014	CAEEL08562, CAEEL08561
OG0000801	MOUSE51551, MOUSE51550, MOUSE51549, MOUSE19777, MOUSE19776	CAEEL00950
OG0000803	MOUSE45919, MOUSE45921, MOUSE45922, MOUSE45920, MOUSE45918, MOUSE42044, MOUSE42045	CAEEL18447
OG0000809	MOUSE33314, MOUSE33312, MOUSE33313, MOUSE33310, MOUSE48492, MOUSE48491, MOUSE48490, MOUSE10214, MOUSE33311, MOUSE48489, MOUSE48488, MOUSE10212, MOUSE10213	CAEEL06250
OG0000810	MOUSE33430, MOUSE33432, MOUSE33426, MOUSE33428, MOUSE33433, MOUSE33429, MOUSE33431, MOUSE33427	CAEEL00977
OG0000814	MOUSE02913, MOUSE02912	CAEEL07659, CAEEL07658
OG0000817	MOUSE06193, MOUSE02547, MOUSE02548, MOUSE00951, MOUSE00950	CAEEL08608
OG0000817	MOUSE35479, MOUSE35480	CAEEL09272
OG0000818	MOUSE44299, MOUSE38656, MOUSE38652, MOUSE06308, MOUSE06309, MOUSE06306, MOUSE06307, MOUSE44296, MOUSE44300, MOUSE38654, MOUSE44295, MOUSE44297, MOUSE44298, MOUSE44293, MOUSE44294	CAEEL08212
OG0000820	MOUSE14548, MOUSE14550, MOUSE14549, MOUSE14551	CAEEL08726
OG0000826	MOUSE28518, MOUSE28520, MOUSE28521, MOUSE28522, MOUSE28519	CAEEL04414
OG0000828	MOUSE52206, MOUSE19456, MOUSE19457	CAEEL01170
OG0000828	MOUSE37921, MOUSE37922, MOUSE37919	CAEEL14806
OG0000833	MOUSE47468, MOUSE50443, MOUSE50445, MOUSE33083, MOUSE33090, MOUSE33085, MOUSE33086, MOUSE33089, MOUSE33084, MOUSE33087, MOUSE33088, MOUSE33457, MOUSE33462, MOUSE33458, MOUSE33459, MOUSE33460, MOUSE33456, MOUSE33461	CAEEL05439
OG0000834	MOUSE05405	CAEEL00924
OG0000836	MOUSE51876, MOUSE51875, MOUSE51874	CAEEL01665
OG0000837	MOUSE52078, MOUSE52077, MOUSE52076, MOUSE29173	CAEEL19270, CAEEL07955
OG0000838	MOUSE01854	CAEEL12737
OG0000842	MOUSE49622, MOUSE49623, MOUSE09830, MOUSE23188, MOUSE23187, MOUSE18508, MOUSE23238, MOUSE05563, MOUSE39641	CAEEL11884
OG0000844	MOUSE34589, MOUSE34590, MOUSE34593, MOUSE34592, MOUSE15465, MOUSE15466, MOUSE15467, MOUSE39588, MOUSE39585, MOUSE39586, MOUSE39589, MOUSE39587, MOUSE39590, MOUSE39591, MOUSE34591, MOUSE39592	CAEEL04872, CAEEL18631, CAEEL05964, CAEEL05848
OG0000847	MOUSE15209, MOUSE46317, MOUSE46313, MOUSE46314, MOUSE46315, MOUSE46316	CAEEL07299
OG0000848	MOUSE51667, MOUSE19811, MOUSE19814, MOUSE19815, MOUSE19810, MOUSE51669	CAEEL08378
OG0000849	MOUSE31195, MOUSE31194, MOUSE31000, MOUSE30998, MOUSE30997, MOUSE45859, MOUSE45858	CAEEL04333
OG0000850	MOUSE33425, MOUSE33423, MOUSE33422, MOUSE33424, MOUSE20959	CAEEL14176, CAEEL17117, CAEEL14155, CAEEL14177, CAEEL04935
OG0000851	MOUSE21881, MOUSE21886, MOUSE21884, MOUSE21885, MOUSE21878, MOUSE21877, MOUSE21880, MOUSE21879, MOUSE21883, MOUSE21882, MOUSE48757, MOUSE48751, MOUSE48756, MOUSE48754, MOUSE48752, MOUSE48755	CAEEL08745
OG0000852	MOUSE30781, MOUSE30779, MOUSE30780, MOUSE28548, MOUSE28549, MOUSE28544, MOUSE28546, MOUSE28547, MOUSE28545, MOUSE19077	CAEEL08255
OG0000853	MOUSE07054, MOUSE07053, MOUSE42661	CAEEL12245
OG0000856	MOUSE20006, MOUSE20005, MOUSE20004, MOUSE20003	CAEEL00189, CAEEL08452, CAEEL13523
OG0000857	MOUSE44164, MOUSE44161, MOUSE44157, MOUSE17281, MOUSE17282, MOUSE17280, MOUSE41554, MOUSE41553, MOUSE45900, MOUSE45901, MOUSE45907, MOUSE45904, MOUSE45905, MOUSE45902, MOUSE45906	CAEEL04547
OG0000858	MOUSE39438	CAEEL16889, CAEEL11559, CAEEL11560, CAEEL11558
OG0000869	MOUSE35155, MOUSE35154, MOUSE35153, MOUSE35152	CAEEL04762
OG0000869	MOUSE13194, MOUSE13195	CAEEL04725
OG0000870	MOUSE06045	CAEEL05330
OG0000871	MOUSE53990, MOUSE53988, MOUSE53989	CAEEL00780
OG0000871	MOUSE21316, MOUSE21314	CAEEL00781, CAEEL13789
OG0000874	MOUSE30098, MOUSE30099, MOUSE30100, MOUSE30095, MOUSE30096, MOUSE30097, MOUSE45656, MOUSE45655, MOUSE45657	CAEEL03105
OG0000875	MOUSE13832, MOUSE13831, MOUSE13833, MOUSE13830, MOUSE13824, MOUSE13829, MOUSE13825, MOUSE13828, MOUSE22325, MOUSE22324, MOUSE22319, MOUSE22321	CAEEL08184, CAEEL12416
OG0000877	MOUSE01806, MOUSE01805	CAEEL14736, CAEEL01576, CAEEL15069, CAEEL11424, CAEEL10392, CAEEL07961, CAEEL14735, CAEEL06683, CAEEL20717
OG0000879	MOUSE14580, MOUSE14582, MOUSE47637, MOUSE00274, MOUSE21746, MOUSE15959, MOUSE15976, MOUSE15492	CAEEL07550
OG0000888	MOUSE30870, MOUSE01355	CAEEL00418
OG0000888	MOUSE30871	CAEEL02556, CAEEL08408
OG0000889	MOUSE18628	CAEEL09857, CAEEL09856
OG0000889	MOUSE26653, MOUSE46319, MOUSE46321, MOUSE04967, MOUSE15211, MOUSE15213, MOUSE15214, MOUSE15212, MOUSE46320, MOUSE26654	CAEEL07245
OG0000893	MOUSE52671, MOUSE52670, MOUSE52659, MOUSE52660, MOUSE52662, MOUSE39147, MOUSE39146, MOUSE39145, MOUSE39144, MOUSE52664, MOUSE52665, MOUSE52666, MOUSE52663	CAEEL05208
OG0000894	MOUSE14107, MOUSE14108, MOUSE38541, MOUSE38542	CAEEL20455
OG0000896	MOUSE47301, MOUSE47302, MOUSE47299, MOUSE47300	CAEEL17889
OG0000899	MOUSE45307	CAEEL06745
OG0000904	MOUSE41151, MOUSE41152, MOUSE41148, MOUSE03385, MOUSE03384, MOUSE54890, MOUSE00887, MOUSE00886, MOUSE36682, MOUSE36683, MOUSE36685, MOUSE36684	CAEEL10501
OG0000907	MOUSE09807, MOUSE09808, MOUSE09809	CAEEL04446, CAEEL04445
OG0000908	MOUSE21442, MOUSE48364	CAEEL18895
OG0000908	MOUSE11435	CAEEL09910
OG0000909	MOUSE16370, MOUSE18098, MOUSE18107, MOUSE18106, MOUSE18102, MOUSE18103, MOUSE18101, MOUSE18099, MOUSE18100, MOUSE18104, MOUSE16369, MOUSE16368, MOUSE16367, MOUSE34339, MOUSE34338	CAEEL00966
OG0000911	MOUSE22069, MOUSE22072	CAEEL15173
OG0000912	MOUSE40561, MOUSE40562, MOUSE21320, MOUSE21322, MOUSE21321, MOUSE09521, MOUSE35888, MOUSE35887	CAEEL19084
OG0000913	MOUSE03584, MOUSE03581, MOUSE03586, MOUSE03585, MOUSE50198, MOUSE50196, MOUSE50197	CAEEL03086, CAEEL09227, CAEEL01751, CAEEL17909, CAEEL04783, CAEEL08435
OG0000914	MOUSE54271, MOUSE17295, MOUSE17296, MOUSE35445, MOUSE35444, MOUSE35443	CAEEL08534, CAEEL08535
OG0000915	MOUSE54287, MOUSE54285, MOUSE54291, MOUSE54289, MOUSE54283, MOUSE54284, MOUSE54288, MOUSE54292, MOUSE54286, MOUSE02322, MOUSE40925, MOUSE40924, MOUSE23439, MOUSE23438, MOUSE23437, MOUSE23435, MOUSE02320, MOUSE02321	CAEEL11744
OG0000921	MOUSE04563, MOUSE23881, MOUSE23879, MOUSE23880, MOUSE23882	CAEEL05986
OG0000923	MOUSE26356, MOUSE26357	CAEEL01410
OG0000925	MOUSE10575, MOUSE10576	CAEEL00439, CAEEL07058
OG0000927	MOUSE29419, MOUSE29420, MOUSE54617, MOUSE54620, MOUSE54619, MOUSE04094, MOUSE54618, MOUSE04095	CAEEL20274
OG0000928	MOUSE48561, MOUSE48564, MOUSE48560, MOUSE48562, MOUSE48563, MOUSE51589, MOUSE51590, MOUSE51591	CAEEL00085
OG0000929	MOUSE38764, MOUSE00532, MOUSE34224, MOUSE34223	CAEEL02357
OG0000931	MOUSE27857	CAEEL20467
OG0000932	MOUSE37686, MOUSE37685, MOUSE37684, MOUSE38275, MOUSE38276, MOUSE38278, MOUSE38274, MOUSE38277	CAEEL07026, CAEEL07025
OG0000933	MOUSE28167, MOUSE20273, MOUSE20274, MOUSE07248, MOUSE07247	CAEEL13637
OG0000934	MOUSE12520, MOUSE12519, MOUSE12516, MOUSE12517, MOUSE00090	CAEEL20095, CAEEL02005
OG0000934	MOUSE17316, MOUSE42016, MOUSE42017	CAEEL18567
OG0000935	MOUSE47477, MOUSE47478, MOUSE44606, MOUSE44607, MOUSE30728, MOUSE30730, MOUSE30727, MOUSE30729, MOUSE14697, MOUSE14695, MOUSE14698, MOUSE14700, MOUSE14696, MOUSE14699, MOUSE26344, MOUSE26343	CAEEL10988, CAEEL18743
OG0000944	MOUSE12531, MOUSE12532, MOUSE48058, MOUSE54692	CAEEL08647, CAEEL08646
OG0000945	MOUSE11943, MOUSE49368, MOUSE10031	CAEEL00537
OG0000946	MOUSE45824, MOUSE23647, MOUSE01803, MOUSE01802	CAEEL05453
OG0000947	MOUSE26132, MOUSE53230, MOUSE53231, MOUSE53229, MOUSE53163, MOUSE53164	CAEEL07660
OG0000949	MOUSE25328, MOUSE25327, MOUSE17718, MOUSE16365, MOUSE16366, MOUSE34340, MOUSE18097	CAEEL02872, CAEEL06438
OG0000950	MOUSE05009, MOUSE05008, MOUSE05006, MOUSE05007, MOUSE05010, MOUSE37986, MOUSE37985, MOUSE37987, MOUSE37984	CAEEL06912
OG0000951	MOUSE30814, MOUSE30813, MOUSE30815, MOUSE44527, MOUSE44526	CAEEL00056
OG0000954	MOUSE22495, MOUSE22494, MOUSE22493, MOUSE17098, MOUSE17097, MOUSE17096, MOUSE16993, MOUSE16991, MOUSE16987, MOUSE16992, MOUSE16989, MOUSE16988, MOUSE16990	CAEEL05990
OG0000955	MOUSE32358	CAEEL05680, CAEEL05073
OG0000957	MOUSE01613, MOUSE01614, MOUSE13268, MOUSE13267, MOUSE13270	CAEEL00119
OG0000963	MOUSE10592, MOUSE33400	CAEEL19266, CAEEL06520, CAEEL01905, CAEEL10906
OG0000965	MOUSE36703, MOUSE36704, MOUSE36705	CAEEL09524
OG0000965	MOUSE12247, MOUSE12246	CAEEL02685
OG0000967	MOUSE47761, MOUSE47762, MOUSE47763, MOUSE20877	CAEEL09409
OG0000969	MOUSE35290	CAEEL17140, CAEEL19686
OG0000970	MOUSE15306, MOUSE15307	CAEEL12249
