Orthogroup	MOUSE	DROME
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	DROME19786, DROME00664
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	DROME18045, DROME18046, DROME18044
OG0000006	MOUSE08011, MOUSE15296	DROME00147, DROME00148
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	DROME19780, DROME19779, DROME19781
OG0000006	MOUSE03398	DROME21674, DROME21675, DROME21673
OG0000007	MOUSE09063, MOUSE49748	DROME12545
OG0000007	MOUSE51845, MOUSE20686	DROME16994, DROME16993
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	DROME17568, DROME17567
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807, MOUSE52320, MOUSE49749, MOUSE38483	DROME09292
OG0000007	MOUSE04689, MOUSE37388	DROME14142
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	DROME19603, DROME19602
OG0000007	MOUSE38586, MOUSE06525	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	MOUSE07031, MOUSE07030	DROME21792, DROME00712, DROME00713
OG0000008	MOUSE35409	DROME15136
OG0000010	MOUSE46557	DROME09935
OG0000010	MOUSE43879	DROME14854, DROME14851, DROME14852
OG0000010	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049	DROME04358
OG0000010	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871, MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325
OG0000010	MOUSE12661	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	DROME14687, DROME14686
OG0000014	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150	DROME05409, DROME03987
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	DROME14595, DROME14594
OG0000015	MOUSE32201, MOUSE32200, MOUSE32203, MOUSE32202, MOUSE32204, MOUSE16093	DROME20983
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	DROME11913, DROME20981, DROME20982
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831
OG0000016	MOUSE15161, MOUSE15160, MOUSE44326, MOUSE05122, MOUSE05123, MOUSE21130	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000016	MOUSE13078, MOUSE13077	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	DROME01609
OG0000020	MOUSE45177	DROME18145, DROME18146
OG0000020	MOUSE05499, MOUSE05500	DROME22108
OG0000020	MOUSE07164, MOUSE33588	DROME02490
OG0000020	MOUSE24012	DROME11466, DROME11467
OG0000020	MOUSE54806, MOUSE54808, MOUSE54807, MOUSE12992, MOUSE36286, MOUSE36285, MOUSE36284	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	MOUSE35162	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	MOUSE09601, MOUSE09602, MOUSE48313, MOUSE48314	DROME03151, DROME03150
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	DROME14454, DROME14455
OG0000021	MOUSE41024, MOUSE41023	DROME18320, DROME18321
OG0000021	MOUSE04592	DROME08269
OG0000021	MOUSE44445, MOUSE53773, MOUSE44446	DROME08091
OG0000021	MOUSE19587	DROME01446, DROME01445, DROME04932, DROME10331, DROME19246
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	DROME04919, DROME04917, DROME04918
OG0000028	MOUSE30414, MOUSE30413, MOUSE51349, MOUSE51347, MOUSE51348, MOUSE47957, MOUSE12712, MOUSE29157, MOUSE29159, MOUSE47956, MOUSE47954, MOUSE47955, MOUSE26458	DROME09420, DROME12803, DROME12802, DROME12800, DROME12804, DROME12801, DROME19724, DROME16819, DROME16820, DROME16816, DROME16815, DROME16818
OG0000028	MOUSE44525	DROME01857, DROME01860, DROME01861, DROME01859, DROME01862, DROME01858, DROME21647, DROME21646, DROME02664
OG0000030	MOUSE13263, MOUSE13264, MOUSE13265	DROME12966
OG0000030	MOUSE30488, MOUSE32434, MOUSE32431, MOUSE32432	DROME15149
OG0000031	MOUSE26385	DROME19945
OG0000031	MOUSE14840, MOUSE26448, MOUSE08530	DROME19947, DROME19946, DROME19949, DROME19948
OG0000031	MOUSE13006, MOUSE13005	DROME09230
OG0000031	MOUSE48656, MOUSE48889, MOUSE13007, MOUSE36274, MOUSE36271	DROME05246
OG0000031	MOUSE13008	DROME16481
OG0000032	MOUSE41911, MOUSE41912, MOUSE41906, MOUSE41907, MOUSE41916, MOUSE41909, MOUSE41910, MOUSE41913, MOUSE41917, MOUSE41900, MOUSE41901, MOUSE41902, MOUSE41903, MOUSE41905, MOUSE41904, MOUSE52411, MOUSE52410, MOUSE45189, MOUSE45190, MOUSE45188, MOUSE44670, MOUSE44672, MOUSE44673, MOUSE44674, MOUSE44671	DROME02386
OG0000032	MOUSE29123	DROME01213
OG0000034	MOUSE46353, MOUSE46347, MOUSE04536, MOUSE19996, MOUSE37608, MOUSE04537, MOUSE04538, MOUSE04539	DROME20092, DROME20090, DROME20091
OG0000034	MOUSE42231, MOUSE23594, MOUSE02137, MOUSE47177, MOUSE47178, MOUSE47176	DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489
OG0000034	MOUSE30287, MOUSE30289, MOUSE30288, MOUSE19105	DROME13496
OG0000034	MOUSE20481, MOUSE20477, MOUSE20478, MOUSE20482, MOUSE20480	DROME18268, DROME18267, DROME18266, DROME18269
OG0000034	MOUSE20059	DROME20524
OG0000035	MOUSE02570, MOUSE02571	DROME05348, DROME01725, DROME03666, DROME01724
OG0000035	MOUSE31138, MOUSE47097, MOUSE47099, MOUSE47098, MOUSE47100, MOUSE41552, MOUSE41549, MOUSE41550, MOUSE41547, MOUSE41548, MOUSE41546	DROME19358, DROME19359
OG0000035	MOUSE30972, MOUSE30973, MOUSE30975, MOUSE30974, MOUSE47243, MOUSE47244, MOUSE47242, MOUSE41507	DROME17164, DROME17163
OG0000035	MOUSE27105, MOUSE27106, MOUSE27107, MOUSE27108	DROME10260
OG0000035	MOUSE41551	DROME18635
OG0000036	MOUSE49768, MOUSE12301, MOUSE43707, MOUSE43706, MOUSE43708	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305
OG0000036	MOUSE32123, MOUSE06658, MOUSE06659, MOUSE43723	DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	MOUSE28645, MOUSE28646, MOUSE13720, MOUSE35631	DROME13887, DROME14759, DROME14760
OG0000037	MOUSE21441	DROME08695, DROME15640, DROME04516
OG0000038	MOUSE08557	DROME10442
OG0000038	MOUSE41992, MOUSE41494	DROME13535, DROME13441
OG0000038	MOUSE22591, MOUSE22592	DROME13993
OG0000040	MOUSE39434, MOUSE39435, MOUSE39433, MOUSE38749, MOUSE38739, MOUSE38746, MOUSE38748, MOUSE38750, MOUSE38747, MOUSE38740, MOUSE38745, MOUSE38743, MOUSE38742, MOUSE38744, MOUSE38741, MOUSE38413	DROME01030, DROME01029, DROME06128, DROME06129, DROME06133, DROME06131, DROME06130, DROME17442, DROME06135, DROME06134, DROME06132, DROME04118, DROME04166, DROME06136, DROME06127, DROME04612, DROME04613, DROME16427, DROME07802, DROME14818, DROME05485, DROME04044, DROME05484, DROME05486, DROME21878, DROME14539, DROME04205, DROME04204, DROME05671, DROME08331
OG0000041	MOUSE19876, MOUSE19875, MOUSE02175	DROME01788, DROME01789
OG0000041	MOUSE28829, MOUSE21621	DROME09067, DROME09061, DROME09065, DROME09068, DROME09063, DROME09062, DROME09064, DROME09066, DROME09069
OG0000044	MOUSE36519, MOUSE03349, MOUSE38808, MOUSE38809, MOUSE38798	DROME01579, DROME01581, DROME01575, DROME01577, DROME01571, DROME01572, DROME01573, DROME01580, DROME01574, DROME01578, DROME01576
OG0000044	MOUSE41161, MOUSE41162	DROME03638
OG0000048	MOUSE55730	DROME07309
OG0000048	MOUSE07448, MOUSE07449, MOUSE07453, MOUSE07451, MOUSE07452, MOUSE42201, MOUSE42202	DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389
OG0000048	MOUSE49641, MOUSE49640, MOUSE49639	DROME01500
OG0000049	MOUSE40908, MOUSE39155	DROME18357, DROME18359, DROME18358
OG0000051	MOUSE40003	DROME06654, DROME06655
OG0000054	MOUSE48109	DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360
