Orthogroup	MOUSE	PFLAV
OG0000002	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1
OG0000002	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136	TCONS_00050428.p1, TCONS_00050118.p1
OG0000002	MOUSE43163, MOUSE43162, MOUSE33129	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1
OG0000002	MOUSE15413, MOUSE15412	TCONS_00048938.p1
OG0000004	MOUSE46906, MOUSE46905, MOUSE41373, MOUSE41374, MOUSE30144	TCONS_00039987.p1
OG0000005	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000005	MOUSE03520	TCONS_00012054.p1, TCONS_00018633.p1, TCONS_00018634.p1, TCONS_00017587.p1, TCONS_00017584.p1, TCONS_00039237.p1
OG0000006	MOUSE03399	TCONS_00024046.p1
OG0000006	MOUSE48684, MOUSE48683	TCONS_00023170.p1, TCONS_00025030.p1
OG0000006	MOUSE11220	TCONS_00048904.p1
OG0000006	MOUSE33561, MOUSE33562	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	MOUSE36359, MOUSE36360, MOUSE45321	TCONS_00042787.p1
OG0000006	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955	TCONS_00021207.p1
OG0000006	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673	TCONS_00016646.p1
OG0000006	MOUSE54497	TCONS_00021581.p1
OG0000006	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111	TCONS_00023551.p1
OG0000006	MOUSE28165, MOUSE07632, MOUSE07631	TCONS_00003496.p1
OG0000006	MOUSE38532, MOUSE38531	TCONS_00012810.p1
OG0000006	MOUSE10280	TCONS_00027932.p1
OG0000006	MOUSE11440, MOUSE11438, MOUSE11439	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	MOUSE19675	TCONS_00028953.p1
OG0000006	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567	TCONS_00030792.p1
OG0000006	MOUSE08011, MOUSE15296	TCONS_00011489.p1
OG0000006	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798	TCONS_00011491.p1
OG0000006	MOUSE03398	TCONS_00011052.p1
OG0000007	MOUSE09063, MOUSE49748	TCONS_00008966.p1
OG0000007	MOUSE51845, MOUSE20686	TCONS_00029574.p1
OG0000007	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122	TCONS_00009611.p1
OG0000007	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510	TCONS_00052518.p1
OG0000007	MOUSE32557	TCONS_00052512.p1
OG0000007	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807	TCONS_00026068.p1
OG0000007	MOUSE52320	TCONS_00051149.p1
OG0000007	MOUSE13954	TCONS_00007744.p1
OG0000007	MOUSE09061	TCONS_00008968.p1
OG0000007	MOUSE09062, MOUSE49739	TCONS_00008967.p1
OG0000007	MOUSE04689, MOUSE37388	TCONS_00055417.p1
OG0000007	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807	TCONS_00011336.p1
OG0000007	MOUSE38586, MOUSE06525	TCONS_00014249.p1
OG0000007	MOUSE06204	TCONS_00012754.p1
OG0000007	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339	TCONS_00051990.p1, TCONS_00051989.p1
OG0000007	MOUSE07031, MOUSE07030	TCONS_00009689.p1
OG0000008	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182	TCONS_00054315.p1
OG0000008	MOUSE03822, MOUSE03823	TCONS_00054316.p1
OG0000008	MOUSE25499, MOUSE25498, MOUSE25349	TCONS_00054551.p1, TCONS_00054547.p1, TCONS_00052874.p1
OG0000010	MOUSE43879	TCONS_00017958.p1
OG0000010	MOUSE22876	TCONS_00031213.p1, TCONS_00031190.p1
OG0000010	MOUSE09529	TCONS_00017962.p1, TCONS_00017965.p1, TCONS_00017966.p1, TCONS_00017964.p1
OG0000010	MOUSE36610, MOUSE36609, MOUSE16873, MOUSE46556, MOUSE16866, MOUSE16888	TCONS_00017959.p1, TCONS_00017993.p1, TCONS_00018277.p1
OG0000011	MOUSE08113	TCONS_00056711.p1, TCONS_00034080.p1
OG0000012	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309	TCONS_00041660.p1, TCONS_00041661.p1
OG0000012	MOUSE49050	TCONS_00032294.p1, TCONS_00039916.p1
OG0000013	MOUSE22949, MOUSE22948, MOUSE22951, MOUSE22940, MOUSE22938, MOUSE22941, MOUSE22943, MOUSE22945, MOUSE22946, MOUSE36635, MOUSE36633, MOUSE36632, MOUSE36634, MOUSE36630, MOUSE36622, MOUSE36621, MOUSE36623, MOUSE36628, MOUSE36631, MOUSE36629, MOUSE36624, MOUSE36625, MOUSE36626, MOUSE36627	TCONS_00023863.p1
OG0000014	MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100	TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1
OG0000014	MOUSE31149, MOUSE31150	TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	MOUSE22789, MOUSE22790, MOUSE00987	TCONS_00050449.p1, TCONS_00050450.p1, TCONS_00050447.p1, TCONS_00050443.p1, TCONS_00050441.p1, TCONS_00050444.p1, TCONS_00050448.p1, TCONS_00042641.p1, TCONS_00043962.p1, TCONS_00043963.p1, TCONS_00043964.p1, TCONS_00042645.p1, TCONS_00010921.p1, TCONS_00042643.p1
OG0000014	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	MOUSE30054, MOUSE30055, MOUSE30056	TCONS_00008348.p1
OG0000015	MOUSE03176, MOUSE35079, MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500	TCONS_00043861.p1
OG0000015	MOUSE03210, MOUSE03208, MOUSE03209, MOUSE36400, MOUSE36401, MOUSE44497, MOUSE54205, MOUSE36402, MOUSE03212, MOUSE03211, MOUSE54208, MOUSE54207, MOUSE44499, MOUSE36407, MOUSE36406, MOUSE03217, MOUSE03218, MOUSE03219	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	MOUSE55359, MOUSE54956, MOUSE48246, MOUSE03594, MOUSE03595, MOUSE03596	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1, TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000016	MOUSE48959, MOUSE48960, MOUSE15414	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1, TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1, TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	MOUSE13078, MOUSE13077	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	MOUSE18199, MOUSE18198, MOUSE18197, MOUSE18196	TCONS_00003602.p1
OG0000016	MOUSE44334	TCONS_00048341.p1
OG0000016	MOUSE41939, MOUSE41941, MOUSE41940, MOUSE41938, MOUSE44332, MOUSE44335	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000019	MOUSE41500, MOUSE41496, MOUSE41501, MOUSE41497, MOUSE41498, MOUSE41499, MOUSE46139, MOUSE46138, MOUSE46137	TCONS_00028459.p1, TCONS_00028453.p1, TCONS_00028457.p1, TCONS_00028458.p1, TCONS_00028452.p1, TCONS_00028462.p1, TCONS_00028460.p1, TCONS_00028461.p1, TCONS_00029609.p1
OG0000019	MOUSE35476, MOUSE35477, MOUSE14689, MOUSE14688, MOUSE35478, MOUSE04790, MOUSE04791, MOUSE22639, MOUSE22640	TCONS_00020725.p1, TCONS_00007955.p1, TCONS_00020293.p1, TCONS_00020282.p1
OG0000019	MOUSE30063, MOUSE30064	TCONS_00042480.p1
OG0000020	MOUSE45177	TCONS_00044902.p1
OG0000020	MOUSE05499, MOUSE05500	TCONS_00055662.p1
OG0000020	MOUSE53015	TCONS_00041842.p1
OG0000020	MOUSE07164	TCONS_00011932.p1, TCONS_00014940.p1, TCONS_00014941.p1
OG0000020	MOUSE33588	TCONS_00054537.p1
OG0000020	MOUSE23587, MOUSE23586	TCONS_00047850.p1
OG0000020	MOUSE26371	TCONS_00045845.p1
OG0000020	MOUSE45175, MOUSE15405, MOUSE15402	TCONS_00028429.p1, TCONS_00029461.p1, TCONS_00053209.p1, TCONS_00022182.p1
OG0000020	MOUSE24012	TCONS_00016378.p1
OG0000020	MOUSE35162	TCONS_00051401.p1
OG0000020	MOUSE09601, MOUSE09602	TCONS_00031077.p1
OG0000020	MOUSE37001, MOUSE37002	TCONS_00042754.p1
OG0000020	MOUSE53014, MOUSE53017, MOUSE53016, MOUSE53013	TCONS_00019367.p1
OG0000021	MOUSE54264, MOUSE54261, MOUSE54262, MOUSE54263	TCONS_00048454.p1
OG0000021	MOUSE49041, MOUSE09998	TCONS_00007765.p1
OG0000021	MOUSE04592	TCONS_00006555.p1
OG0000021	MOUSE44445, MOUSE53773, MOUSE44446	TCONS_00016243.p1
OG0000021	MOUSE33664, MOUSE33667, MOUSE33661, MOUSE33665	TCONS_00042218.p1, TCONS_00044055.p1, TCONS_00043288.p1, TCONS_00043292.p1, TCONS_00042744.p1, TCONS_00020733.p1, TCONS_00020708.p1, TCONS_00042745.p1, TCONS_00043294.p1, TCONS_00043289.p1, TCONS_00043283.p1, TCONS_00041935.p1, TCONS_00044068.p1
OG0000023	MOUSE46773, MOUSE46772	TCONS_00026137.p1
OG0000023	MOUSE01124, MOUSE12258, MOUSE12260, MOUSE49191, MOUSE28391, MOUSE32112, MOUSE32114, MOUSE38000, MOUSE16835	TCONS_00004930.p1
OG0000026	MOUSE34507	TCONS_00003307.p1, TCONS_00043299.p1
OG0000026	MOUSE30101	TCONS_00005841.p2
OG0000026	MOUSE12605	TCONS_00017322.p1
