Orthogroup	MOUSE	PFLAV
OG0000411	MOUSE34395, MOUSE34396, MOUSE52176, MOUSE52182, MOUSE52175, MOUSE52179, MOUSE52178, MOUSE52177, MOUSE52183, MOUSE34399, MOUSE52181	TCONS_00000518.p1
OG0000411	MOUSE20866, MOUSE20865, MOUSE20867, MOUSE20864	TCONS_00015591.p1
OG0000412	MOUSE33377, MOUSE33375	TCONS_00047562.p1
OG0000412	MOUSE11433, MOUSE11432	TCONS_00031385.p1
OG0000412	MOUSE25648, MOUSE25646	TCONS_00014987.p1, TCONS_00014980.p1, TCONS_00014982.p1, TCONS_00014985.p1
OG0000413	MOUSE27417, MOUSE28007, MOUSE43292	TCONS_00011626.p1
OG0000413	MOUSE15629, MOUSE45112, MOUSE55054, MOUSE55052, MOUSE55053, MOUSE55057, MOUSE55056, MOUSE45114, MOUSE45113	TCONS_00021738.p1
OG0000415	MOUSE53394, MOUSE53393, MOUSE53392, MOUSE12435, MOUSE09158, MOUSE28551, MOUSE28550, MOUSE27839, MOUSE27838	TCONS_00043133.p1, TCONS_00042615.p1, TCONS_00049671.p1, TCONS_00049661.p1, TCONS_00019761.p1
OG0000416	MOUSE31718, MOUSE31715, MOUSE31714, MOUSE31712, MOUSE37041, MOUSE37038, MOUSE37034, MOUSE31708, MOUSE31709, MOUSE31710, MOUSE31716, MOUSE31717, MOUSE37035, MOUSE37036, MOUSE37037, MOUSE37043, MOUSE37044, MOUSE37033, MOUSE37032, MOUSE37042, MOUSE37039, MOUSE37040, MOUSE31711, MOUSE31713	TCONS_00035217.p1
OG0000421	MOUSE30192, MOUSE48414, MOUSE48413, MOUSE10189, MOUSE44715, MOUSE44716, MOUSE44714, MOUSE30191, MOUSE44712, MOUSE10197, MOUSE10194, MOUSE10196, MOUSE30189, MOUSE30190	TCONS_00037029.p1, TCONS_00037027.p1, TCONS_00037026.p1, TCONS_00037025.p1, TCONS_00037028.p1, TCONS_00056194.p2, TCONS_00056197.p1, TCONS_00056198.p1, TCONS_00056183.p1, TCONS_00056184.p1
OG0000422	MOUSE33839, MOUSE33840, MOUSE06628, MOUSE06631, MOUSE06630, MOUSE06629	TCONS_00046248.p1, TCONS_00045180.p1, TCONS_00045181.p1
OG0000424	MOUSE20885, MOUSE20880, MOUSE20881, MOUSE20883, MOUSE20884, MOUSE20882, MOUSE20886, MOUSE20893, MOUSE20892, MOUSE20890, MOUSE20889, MOUSE20888, MOUSE20895, MOUSE20903	TCONS_00036179.p1, TCONS_00031446.p1, TCONS_00031445.p1
OG0000425	MOUSE42633, MOUSE42630, MOUSE42631, MOUSE42632, MOUSE42634, MOUSE02954, MOUSE02952, MOUSE02951, MOUSE02956, MOUSE02955, MOUSE02953, MOUSE27386, MOUSE27388, MOUSE27385, MOUSE27387, MOUSE27384, MOUSE27383	TCONS_00010844.p1
OG0000425	MOUSE17393, MOUSE50668	TCONS_00038275.p1, TCONS_00038300.p1
OG0000426	MOUSE03252, MOUSE03251	TCONS_00026285.p1
OG0000426	MOUSE42322, MOUSE03837, MOUSE14180, MOUSE42323, MOUSE05136, MOUSE42324, MOUSE42321, MOUSE03830, MOUSE03832, MOUSE03833, MOUSE03834, MOUSE03835, MOUSE03836, MOUSE03831	TCONS_00012333.p1
OG0000427	MOUSE45881, MOUSE45880, MOUSE45878, MOUSE45877, MOUSE45879	TCONS_00025042.p1
OG0000427	MOUSE34466, MOUSE34463, MOUSE34462, MOUSE34461, MOUSE34464, MOUSE15450, MOUSE15454, MOUSE15446, MOUSE15449, MOUSE15457, MOUSE15447, MOUSE15451, MOUSE15452, MOUSE15448	TCONS_00051959.p1, TCONS_00051958.p1, TCONS_00051956.p1
OG0000429	MOUSE06190, MOUSE06189, MOUSE06191	TCONS_00017970.p1, TCONS_00017972.p1, TCONS_00016816.p1, TCONS_00017888.p1, TCONS_00017886.p1, TCONS_00016915.p1, TCONS_00017971.p1, TCONS_00017049.p1, TCONS_00018193.p1, TCONS_00018123.p1, TCONS_00018120.p1
OG0000430	MOUSE44209, MOUSE10057, MOUSE44211, MOUSE53642, MOUSE53643, MOUSE53644, MOUSE53641, MOUSE53640, MOUSE19493, MOUSE20457	TCONS_00025702.p1
OG0000431	MOUSE46075, MOUSE46076, MOUSE46077	TCONS_00013224.p1
OG0000431	MOUSE36473, MOUSE36474, MOUSE36472, MOUSE50061, MOUSE50060, MOUSE50062	TCONS_00043448.p1
OG0000431	MOUSE29578, MOUSE29583, MOUSE29582, MOUSE29579, MOUSE09376, MOUSE47610, MOUSE47606, MOUSE47605, MOUSE47607, MOUSE29585, MOUSE29586, MOUSE29581, MOUSE29580, MOUSE47609, MOUSE47608	TCONS_00021923.p1
OG0000432	MOUSE41192, MOUSE41193, MOUSE11245, MOUSE11244, MOUSE11241	TCONS_00054762.p1, TCONS_00005749.p1
OG0000432	MOUSE35363, MOUSE35366, MOUSE35364, MOUSE35362, MOUSE35365, MOUSE35361, MOUSE52639, MOUSE52640, MOUSE52642, MOUSE52643, MOUSE52638, MOUSE52641	TCONS_00048094.p1
OG0000433	MOUSE06145, MOUSE06147, MOUSE03778, MOUSE03779	TCONS_00012715.p1
OG0000433	MOUSE00110, MOUSE00111, MOUSE00113, MOUSE00112, MOUSE15808, MOUSE15805, MOUSE15807, MOUSE15806, MOUSE15804	TCONS_00002447.p1, TCONS_00001165.p1
OG0000434	MOUSE09325, MOUSE09326, MOUSE09323, MOUSE09324, MOUSE09322, MOUSE09321	TCONS_00045696.p1, TCONS_00046744.p1, TCONS_00045692.p1, TCONS_00046746.p1, TCONS_00045695.p1, TCONS_00046745.p1, TCONS_00045585.p1, TCONS_00046892.p1
OG0000435	MOUSE11753, MOUSE11749, MOUSE11751, MOUSE11752	TCONS_00046001.p1
OG0000436	MOUSE23265, MOUSE23253, MOUSE23262, MOUSE23258, MOUSE23256, MOUSE23257, MOUSE23252, MOUSE23260, MOUSE23259, MOUSE23261, MOUSE23267, MOUSE23264, MOUSE23255, MOUSE23251, MOUSE23250, MOUSE53124, MOUSE53120, MOUSE53121, MOUSE53123, MOUSE23263, MOUSE53119, MOUSE53118, MOUSE53122	TCONS_00020627.p1, TCONS_00020628.p1
OG0000442	MOUSE29994, MOUSE29993, MOUSE29995, MOUSE12602	TCONS_00021580.p1
OG0000442	MOUSE15751, MOUSE34094, MOUSE34093, MOUSE34095, MOUSE15757	TCONS_00002190.p1
OG0000442	MOUSE38695, MOUSE05918, MOUSE18817, MOUSE05916	TCONS_00012602.p1
OG0000443	MOUSE32686, MOUSE32684, MOUSE23283, MOUSE23282, MOUSE23280, MOUSE23281	TCONS_00055579.p1
OG0000443	MOUSE19147	TCONS_00028717.p1
OG0000444	MOUSE41959, MOUSE41957, MOUSE41958, MOUSE23532, MOUSE23533	TCONS_00031849.p1, TCONS_00031859.p1, TCONS_00032514.p1, TCONS_00032512.p1, TCONS_00031853.p1, TCONS_00032513.p1, TCONS_00032517.p1, TCONS_00032518.p1, TCONS_00031857.p1, TCONS_00031854.p1, TCONS_00003709.p1, TCONS_00003710.p1, TCONS_00003707.p1, TCONS_00003706.p1, TCONS_00003708.p1, TCONS_00023010.p1
OG0000444	MOUSE19976, MOUSE19978, MOUSE19975, MOUSE14459, MOUSE14458, MOUSE14457	TCONS_00023516.p1, TCONS_00023527.p1, TCONS_00023517.p1, TCONS_00023528.p1, TCONS_00023529.p1, TCONS_00023521.p1
OG0000445	MOUSE52167	TCONS_00002401.p1, TCONS_00002110.p1, TCONS_00002102.p1, TCONS_00000750.p1
OG0000446	MOUSE12677	TCONS_00018726.p1, TCONS_00017642.p1
OG0000446	MOUSE27116, MOUSE27113, MOUSE27119, MOUSE27118, MOUSE27115, MOUSE27114	TCONS_00037495.p1
OG0000446	MOUSE34312	TCONS_00018302.p1
OG0000447	MOUSE48709, MOUSE48707, MOUSE48708, MOUSE54566, MOUSE50106, MOUSE50107, MOUSE54565, MOUSE54564, MOUSE50105, MOUSE19382, MOUSE19381, MOUSE19380, MOUSE19378	TCONS_00043056.p1
OG0000448	MOUSE12972, MOUSE12971	TCONS_00044148.p1
OG0000450	MOUSE46533, MOUSE38152, MOUSE38153, MOUSE38154	TCONS_00006747.p1, TCONS_00006748.p1
OG0000452	MOUSE32613, MOUSE07583	TCONS_00010122.p1, TCONS_00010121.p1, TCONS_00011233.p1, TCONS_00011232.p1, TCONS_00011231.p1, TCONS_00006503.p1, TCONS_00006504.p1, TCONS_00006499.p1
OG0000454	MOUSE30460	TCONS_00029324.p1
OG0000458	MOUSE47677, MOUSE47674, MOUSE47675	TCONS_00046177.p1
OG0000458	MOUSE12649, MOUSE12648, MOUSE12647, MOUSE12650, MOUSE21478, MOUSE28265	TCONS_00044692.p1
OG0000459	MOUSE16376, MOUSE16375, MOUSE16374	TCONS_00055691.p1, TCONS_00055690.p1, TCONS_00055686.p1, TCONS_00055685.p1, TCONS_00055681.p1, TCONS_00055683.p1, TCONS_00055684.p1, TCONS_00055692.p1, TCONS_00055687.p1, TCONS_00055693.p1
OG0000460	MOUSE05528	TCONS_00042098.p1
OG0000461	MOUSE05548, MOUSE05549, MOUSE05551, MOUSE05550	TCONS_00019012.p1
OG0000461	MOUSE38172, MOUSE38173	TCONS_00005147.p1
OG0000461	MOUSE38168, MOUSE38169, MOUSE38170, MOUSE38167, MOUSE38171, MOUSE38166, MOUSE37814, MOUSE37812, MOUSE37813	TCONS_00027189.p1
OG0000463	MOUSE39352, MOUSE39351, MOUSE26967, MOUSE26966, MOUSE26965, MOUSE26968	TCONS_00023571.p1, TCONS_00023572.p1, TCONS_00023533.p1
OG0000463	MOUSE09650, MOUSE09646, MOUSE09649, MOUSE09648, MOUSE09653, MOUSE09651, MOUSE44686, MOUSE44687, MOUSE44688	TCONS_00028391.p1
OG0000465	MOUSE18958, MOUSE18959, MOUSE18960	TCONS_00046928.p1, TCONS_00045554.p1
OG0000465	MOUSE35100, MOUSE35099	TCONS_00051741.p1
OG0000466	MOUSE31280, MOUSE31282, MOUSE31281, MOUSE31279, MOUSE31284, MOUSE31283, MOUSE31285, MOUSE31286	TCONS_00055165.p1, TCONS_00055198.p1, TCONS_00055551.p1, TCONS_00056318.p1, TCONS_00056377.p1, TCONS_00056378.p1, TCONS_00056319.p1, TCONS_00056320.p1, TCONS_00056380.p1, TCONS_00056381.p1
OG0000467	MOUSE55119, MOUSE55118, MOUSE52896, MOUSE52893, MOUSE52894, MOUSE23397, MOUSE23398, MOUSE23396, MOUSE23399, MOUSE23395, MOUSE23394, MOUSE24991, MOUSE24990, MOUSE24992, MOUSE24995, MOUSE24993, MOUSE24987, MOUSE24986, MOUSE24989, MOUSE24996, MOUSE24994, MOUSE24988, MOUSE55117, MOUSE23401	TCONS_00049014.p1
OG0000468	MOUSE32725	TCONS_00023318.p1, TCONS_00024958.p1, TCONS_00023321.p1, TCONS_00023193.p1, TCONS_00023191.p1, TCONS_00023328.p1, TCONS_00023322.p1
OG0000468	MOUSE07604, MOUSE07603, MOUSE07605, MOUSE07602	TCONS_00042224.p1
OG0000469	MOUSE40958, MOUSE52727, MOUSE52724, MOUSE24846, MOUSE24848, MOUSE24847, MOUSE40957, MOUSE24924, MOUSE24923, MOUSE54260, MOUSE54259	TCONS_00048981.p1
OG0000469	MOUSE19141	TCONS_00027949.p1
OG0000470	MOUSE17175, MOUSE17176, MOUSE05969, MOUSE05967, MOUSE05968	TCONS_00014594.p1
OG0000470	MOUSE07539, MOUSE07538, MOUSE07537, MOUSE07532, MOUSE07534, MOUSE07530, MOUSE07541, MOUSE07540, MOUSE07533, MOUSE07542, MOUSE07531, MOUSE07529, MOUSE24458, MOUSE24459, MOUSE24460	TCONS_00009548.p1, TCONS_00010825.p1
OG0000471	MOUSE48142, MOUSE48143, MOUSE03527, MOUSE03528, MOUSE03526, MOUSE21015, MOUSE21016	TCONS_00031390.p1
OG0000472	MOUSE49661, MOUSE49662	TCONS_00051600.p1, TCONS_00050509.p1
OG0000472	MOUSE51216	TCONS_00022965.p1, TCONS_00037384.p1
OG0000473	MOUSE05546, MOUSE50309	TCONS_00030345.p1, TCONS_00054731.p1, TCONS_00001860.p1, TCONS_00030859.p1, TCONS_00030858.p1, TCONS_00030860.p1, TCONS_00057149.p1, TCONS_00057150.p1, TCONS_00055947.p1
OG0000474	MOUSE22407, MOUSE02524, MOUSE02522, MOUSE02526, MOUSE02525, MOUSE02523, MOUSE02529, MOUSE05803, MOUSE05802, MOUSE53048, MOUSE53047, MOUSE53046, MOUSE22409, MOUSE22410, MOUSE22411, MOUSE22408	TCONS_00019156.p1
OG0000475	MOUSE13336, MOUSE13334, MOUSE13331, MOUSE13333, MOUSE13335, MOUSE15725, MOUSE15723, MOUSE15727, MOUSE15722, MOUSE15724, MOUSE15726, MOUSE15721, MOUSE15718, MOUSE15716	TCONS_00003775.p1
OG0000475	MOUSE13332	TCONS_00003774.p1
OG0000476	MOUSE32804, MOUSE32803	TCONS_00015826.p1, TCONS_00015827.p1
OG0000476	MOUSE32798, MOUSE32797	TCONS_00004869.p2, TCONS_00014664.p1
OG0000478	MOUSE40915, MOUSE39053, MOUSE39051, MOUSE39052, MOUSE39049, MOUSE39048	TCONS_00053620.p1
OG0000479	MOUSE34250, MOUSE16521, MOUSE53992	TCONS_00000492.p1
OG0000479	MOUSE26651, MOUSE15313	TCONS_00006853.p1
OG0000480	MOUSE15596, MOUSE15597, MOUSE15577, MOUSE15578, MOUSE15576, MOUSE15585, MOUSE15580, MOUSE15582, MOUSE15581	TCONS_00050190.p1
OG0000481	MOUSE46325, MOUSE46326, MOUSE46327	TCONS_00005590.p1
OG0000481	MOUSE26095	TCONS_00015361.p1
OG0000481	MOUSE03456, MOUSE47997	TCONS_00030958.p1
OG0000482	MOUSE28001, MOUSE28002, MOUSE28003, MOUSE28004	TCONS_00010200.p1
OG0000485	MOUSE53133, MOUSE53132	TCONS_00056294.p1, TCONS_00056292.p1
OG0000485	MOUSE50507, MOUSE50508, MOUSE50506, MOUSE50503, MOUSE50502, MOUSE50504, MOUSE50505, MOUSE50509	TCONS_00035498.p1
OG0000486	MOUSE31514, MOUSE31513, MOUSE31511, MOUSE21232	TCONS_00055977.p1, TCONS_00056066.p1, TCONS_00055302.p1, TCONS_00052656.p1, TCONS_00053745.p1, TCONS_00031403.p1, TCONS_00012362.p1
OG0000487	MOUSE06228	TCONS_00018203.p1, TCONS_00017152.p1
OG0000488	MOUSE34152, MOUSE28605	TCONS_00010218.p1
OG0000489	MOUSE13477, MOUSE13481, MOUSE13480, MOUSE13479, MOUSE13478, MOUSE21691, MOUSE21690, MOUSE21696, MOUSE21695, MOUSE21688, MOUSE21689, MOUSE21692, MOUSE28647, MOUSE21694, MOUSE21693, MOUSE13482, MOUSE33816	TCONS_00017175.p1
OG0000490	MOUSE25490, MOUSE17417, MOUSE37078, MOUSE37079, MOUSE17415, MOUSE17414, MOUSE17416, MOUSE17412, MOUSE17413, MOUSE17573, MOUSE17574, MOUSE17571, MOUSE17572, MOUSE17569, MOUSE25487, MOUSE25489, MOUSE25488	TCONS_00016246.p1
OG0000491	MOUSE33998, MOUSE54193, MOUSE54192, MOUSE38834, MOUSE38833, MOUSE38832, MOUSE38835, MOUSE38836, MOUSE48261, MOUSE48260	TCONS_00044061.p1
OG0000494	MOUSE04386, MOUSE04387, MOUSE04385, MOUSE26674, MOUSE26676, MOUSE26675, MOUSE37244, MOUSE37245, MOUSE37243, MOUSE37241, MOUSE37242, MOUSE04377, MOUSE04378, MOUSE37754, MOUSE37753, MOUSE37752, MOUSE37750	TCONS_00005711.p1, TCONS_00017975.p1
OG0000495	MOUSE16569, MOUSE16650	TCONS_00050801.p1, TCONS_00051682.p1, TCONS_00051680.p1, TCONS_00051676.p1, TCONS_00051681.p1, TCONS_00051678.p1, TCONS_00051677.p1, TCONS_00022857.p1, TCONS_00022855.p1, TCONS_00021729.p1, TCONS_00021730.p1, TCONS_00022526.p1, TCONS_00004798.p1, TCONS_00037767.p1, TCONS_00006089.p1, TCONS_00006092.p1
OG0000496	MOUSE18918	TCONS_00002699.p1
OG0000497	MOUSE37564, MOUSE04901, MOUSE04902, MOUSE04903	TCONS_00006015.p1
OG0000497	MOUSE25391, MOUSE25392, MOUSE23884, MOUSE23883	TCONS_00016143.p1
OG0000498	MOUSE49431, MOUSE49430, MOUSE49429, MOUSE12456, MOUSE12455, MOUSE12454, MOUSE12453, MOUSE19882, MOUSE19881, MOUSE19879, MOUSE19880, MOUSE28863, MOUSE28862, MOUSE28861, MOUSE28860, MOUSE28859, MOUSE49487, MOUSE49483, MOUSE49482, MOUSE49484, MOUSE49485, MOUSE49486, MOUSE49488	TCONS_00008734.p1
OG0000499	MOUSE08653, MOUSE08654, MOUSE08655	TCONS_00004484.p1
OG0000503	MOUSE44106, MOUSE44108, MOUSE44107, MOUSE44111, MOUSE44109, MOUSE44110, MOUSE27250, MOUSE39196, MOUSE39199, MOUSE39195, MOUSE39197, MOUSE39198, MOUSE39194, MOUSE39200, MOUSE39201	TCONS_00023137.p1
OG0000503	MOUSE51373	TCONS_00016415.p1
OG0000504	MOUSE30319, MOUSE10633, MOUSE01347, MOUSE51548	TCONS_00028051.p1
OG0000505	MOUSE01611, MOUSE20688, MOUSE20689, MOUSE20690, MOUSE20687, MOUSE51848, MOUSE51847, MOUSE51846, MOUSE30718, MOUSE30720, MOUSE30717, MOUSE30719	TCONS_00048589.p1, TCONS_00031917.p1, TCONS_00031941.p1
OG0000505	MOUSE51849	TCONS_00031940.p1
OG0000505	MOUSE30721	TCONS_00031914.p1
OG0000506	MOUSE45048, MOUSE54599	TCONS_00020995.p1
OG0000508	MOUSE04787, MOUSE04786, MOUSE02862	TCONS_00056880.p1, TCONS_00056893.p1
OG0000508	MOUSE02442, MOUSE22065, MOUSE22066, MOUSE22067, MOUSE22064, MOUSE22068	TCONS_00019601.p1
OG0000510	MOUSE05540, MOUSE05542, MOUSE05544, MOUSE05541, MOUSE39401, MOUSE37932, MOUSE19983, MOUSE19980	TCONS_00019767.p1, TCONS_00020826.p1
OG0000514	MOUSE13991, MOUSE13994, MOUSE13990, MOUSE13989, MOUSE13986, MOUSE13995, MOUSE13996, MOUSE13987, MOUSE13992, MOUSE13997, MOUSE13988, MOUSE15035, MOUSE15034, MOUSE06334, MOUSE06331, MOUSE06336, MOUSE06332, MOUSE06330, MOUSE06333, MOUSE06335	TCONS_00013334.p1
OG0000515	MOUSE20985	TCONS_00037550.p1
OG0000516	MOUSE12451, MOUSE16494, MOUSE16495, MOUSE51201, MOUSE51202	TCONS_00008150.p1
OG0000516	MOUSE09107, MOUSE09108	TCONS_00009366.p1
OG0000519	MOUSE02734, MOUSE02732, MOUSE02731	TCONS_00005130.p1
OG0000520	MOUSE37796, MOUSE37797, MOUSE46520, MOUSE46521, MOUSE46522, MOUSE46523, MOUSE46519	TCONS_00004595.p1
OG0000520	MOUSE43524, MOUSE43523, MOUSE43522, MOUSE51047, MOUSE51050, MOUSE51049, MOUSE51046, MOUSE51048	TCONS_00035177.p1
OG0000521	MOUSE42629, MOUSE42628, MOUSE07495, MOUSE07494, MOUSE07496, MOUSE18729, MOUSE18728, MOUSE18730	TCONS_00011900.p1, TCONS_00040878.p1
OG0000522	MOUSE36139, MOUSE36138, MOUSE36141, MOUSE36142, MOUSE36146, MOUSE36140, MOUSE36143, MOUSE36147, MOUSE36145, MOUSE36144	TCONS_00019381.p1, TCONS_00019380.p1, TCONS_00025944.p1, TCONS_00025880.p1, TCONS_00056298.p2, TCONS_00027495.p1
OG0000524	MOUSE11129, MOUSE11143, MOUSE11124, MOUSE11115, MOUSE11123, MOUSE11120, MOUSE11117, MOUSE11116, MOUSE11122, MOUSE11121, MOUSE11126, MOUSE11137, MOUSE11135, MOUSE11114, MOUSE11125, MOUSE11136, MOUSE11141, MOUSE11140, MOUSE11139, MOUSE11130, MOUSE11133, MOUSE11119, MOUSE11112, MOUSE11113, MOUSE11128, MOUSE11138, MOUSE11131, MOUSE11132, MOUSE11134, MOUSE11118	TCONS_00030250.p1
OG0000525	MOUSE23827, MOUSE23825, MOUSE25729, MOUSE25730	TCONS_00016658.p1
OG0000525	MOUSE23826, MOUSE44263, MOUSE16909, MOUSE03969, MOUSE03968	TCONS_00013078.p1
OG0000526	MOUSE27970, MOUSE40599, MOUSE27968, MOUSE40598, MOUSE27969, MOUSE27967	TCONS_00041894.p1, TCONS_00042136.p1, TCONS_00043491.p1, TCONS_00015113.p1, TCONS_00042832.p1
OG0000527	MOUSE23663, MOUSE23664, MOUSE23665, MOUSE23666, MOUSE47392, MOUSE47388, MOUSE47386, MOUSE47389, MOUSE47391, MOUSE47385, MOUSE47384, MOUSE47387, MOUSE47390	TCONS_00017774.p1
OG0000527	MOUSE25378, MOUSE25385, MOUSE25383, MOUSE25381, MOUSE25382, MOUSE25380, MOUSE25379, MOUSE25377, MOUSE25376	TCONS_00017773.p1
OG0000528	MOUSE08078, MOUSE08077, MOUSE08080, MOUSE08079, MOUSE42764, MOUSE42765, MOUSE42767, MOUSE42766, MOUSE20445, MOUSE20444, MOUSE20446, MOUSE18735, MOUSE18737, MOUSE18736	TCONS_00011667.p1
OG0000529	MOUSE24044, MOUSE24042, MOUSE24043	TCONS_00014944.p1
OG0000529	MOUSE40277, MOUSE40276	TCONS_00025454.p1
OG0000529	MOUSE41488, MOUSE41489, MOUSE41487, MOUSE41486, MOUSE04006, MOUSE04007, MOUSE34925	TCONS_00051513.p1
OG0000530	MOUSE01368, MOUSE01373, MOUSE01369, MOUSE01370, MOUSE32745, MOUSE01376, MOUSE32738, MOUSE32739, MOUSE32737, MOUSE32741, MOUSE32742, MOUSE32740, MOUSE31361, MOUSE31363, MOUSE31366, MOUSE31362	TCONS_00054317.p1
OG0000531	MOUSE25152, MOUSE25153, MOUSE25162, MOUSE25156, MOUSE25155, MOUSE25157, MOUSE25159, MOUSE25158, MOUSE25160, MOUSE25161, MOUSE25154, MOUSE22281, MOUSE22280, MOUSE22285, MOUSE22286, MOUSE22288, MOUSE22287, MOUSE22282, MOUSE22279, MOUSE22284, MOUSE22283	TCONS_00019301.p1
OG0000533	MOUSE12597, MOUSE12594, MOUSE12596, MOUSE12598, MOUSE12595	TCONS_00043637.p1, TCONS_00043607.p1, TCONS_00043636.p1, TCONS_00043608.p1, TCONS_00043633.p1, TCONS_00043606.p1, TCONS_00043635.p1
OG0000534	MOUSE26188, MOUSE26191, MOUSE26190, MOUSE26192, MOUSE26189, MOUSE14667, MOUSE14669, MOUSE14668, MOUSE05757, MOUSE05755, MOUSE05754, MOUSE05756	TCONS_00056562.p1
OG0000535	MOUSE25279, MOUSE09525, MOUSE09526, MOUSE36224, MOUSE36223	TCONS_00017649.p1, TCONS_00017615.p1, TCONS_00018400.p1, TCONS_00017619.p1, TCONS_00017655.p1, TCONS_00017650.p1, TCONS_00017616.p1, TCONS_00018399.p1, TCONS_00017019.p1, TCONS_00017021.p1, TCONS_00017017.p1
OG0000537	MOUSE55030, MOUSE47509, MOUSE22723	TCONS_00021934.p1
OG0000537	MOUSE22725, MOUSE22726, MOUSE47506, MOUSE22724, MOUSE55032, MOUSE55031, MOUSE47504	TCONS_00020895.p1
OG0000538	MOUSE26109, MOUSE26108, MOUSE26107, MOUSE02402, MOUSE02401, MOUSE18904, MOUSE18906, MOUSE18901, MOUSE18905, MOUSE18907, MOUSE18908, MOUSE18902, MOUSE18903	TCONS_00057157.p1
OG0000539	MOUSE05354, MOUSE39879, MOUSE51182, MOUSE51181	TCONS_00052835.p1, TCONS_00018008.p1, TCONS_00033489.p1, TCONS_00043510.p1, TCONS_00043508.p1, TCONS_00043509.p1, TCONS_00043512.p1, TCONS_00032536.p1, TCONS_00037601.p1, TCONS_00037602.p1, TCONS_00043206.p1, TCONS_00042619.p1, TCONS_00042621.p1, TCONS_00027120.p1, TCONS_00049699.p1, TCONS_00030132.p1, TCONS_00004873.p1, TCONS_00040997.p1, TCONS_00040982.p1, TCONS_00040990.p1, TCONS_00041003.p1, TCONS_00040989.p1, TCONS_00040988.p1, TCONS_00041002.p1
OG0000542	MOUSE29814	TCONS_00031701.p1
OG0000542	MOUSE53102	TCONS_00031702.p1
OG0000542	MOUSE29818, MOUSE29815, MOUSE29820, MOUSE29817, MOUSE29816, MOUSE29819	TCONS_00043042.p1
OG0000544	MOUSE29764	TCONS_00042715.p1
OG0000544	MOUSE36878	TCONS_00030309.p1
OG0000545	MOUSE27509, MOUSE43194	TCONS_00011122.p1
OG0000545	MOUSE03097, MOUSE03098, MOUSE03096, MOUSE20075, MOUSE07401, MOUSE07400, MOUSE43196, MOUSE43195, MOUSE43197	TCONS_00010058.p1
OG0000546	MOUSE48910, MOUSE02219, MOUSE20458	TCONS_00008901.p1, TCONS_00007684.p1, TCONS_00054150.p1, TCONS_00054189.p1, TCONS_00007686.p1
OG0000547	MOUSE40914	TCONS_00048685.p1
OG0000548	MOUSE17190, MOUSE48022, MOUSE27774, MOUSE21325	TCONS_00026417.p1
OG0000548	MOUSE24689, MOUSE24690	TCONS_00011838.p1
OG0000548	MOUSE02054, MOUSE02055, MOUSE52547, MOUSE52548, MOUSE54258	TCONS_00049725.p1
OG0000551	MOUSE11257	TCONS_00046148.p1
OG0000552	MOUSE10141	TCONS_00051707.p1
OG0000552	MOUSE54213	TCONS_00043405.p1
OG0000552	MOUSE29634, MOUSE29636	TCONS_00045211.p1, TCONS_00021406.p1, TCONS_00011748.p1, TCONS_00021413.p1
OG0000553	MOUSE23561, MOUSE53922, MOUSE53921, MOUSE02032, MOUSE02031	TCONS_00048336.p1
OG0000553	MOUSE16157, MOUSE18362, MOUSE16156, MOUSE51274, MOUSE51273	TCONS_00035272.p2, TCONS_00034957.p2
OG0000553	MOUSE14233, MOUSE05108	TCONS_00013171.p1
OG0000554	MOUSE13488, MOUSE13489, MOUSE35644, MOUSE36043, MOUSE19420, MOUSE19421, MOUSE36046, MOUSE36044, MOUSE12728, MOUSE46842, MOUSE46840, MOUSE19419, MOUSE19418, MOUSE19417, MOUSE35643, MOUSE36045, MOUSE36047, MOUSE46841	TCONS_00054892.p1
OG0000560	MOUSE00939	TCONS_00050536.p1, TCONS_00050533.p1, TCONS_00010531.p1, TCONS_00012199.p1, TCONS_00010924.p1, TCONS_00003272.p1, TCONS_00051476.p1
OG0000561	MOUSE08091	TCONS_00011481.p1, TCONS_00011480.p1
OG0000561	MOUSE08092, MOUSE08093, MOUSE20194, MOUSE20195, MOUSE20193, MOUSE20192, MOUSE20191, MOUSE09576	TCONS_00005060.p1, TCONS_00006305.p1
OG0000564	MOUSE16694, MOUSE27468	TCONS_00010212.p1
OG0000564	MOUSE08263, MOUSE28020	TCONS_00009860.p1
OG0000565	MOUSE38941, MOUSE38943, MOUSE38942, MOUSE38947, MOUSE38945, MOUSE38946	TCONS_00015264.p1, TCONS_00015263.p1, TCONS_00015261.p1, TCONS_00015265.p1, TCONS_00015272.p1, TCONS_00015266.p1, TCONS_00015267.p1, TCONS_00015270.p1, TCONS_00016348.p1, TCONS_00016346.p1, TCONS_00016347.p1, TCONS_00016344.p1, TCONS_00016345.p1, TCONS_00015274.p1, TCONS_00015821.p1, TCONS_00015820.p1, TCONS_00015823.p1
OG0000566	MOUSE51988, MOUSE51987	TCONS_00032759.p1
OG0000566	MOUSE51989	TCONS_00020313.p1
OG0000566	MOUSE04915	TCONS_00006656.p1
OG0000567	MOUSE11935, MOUSE30473	TCONS_00029665.p1, TCONS_00028027.p1
OG0000567	MOUSE01584	TCONS_00052701.p1
OG0000570	MOUSE01815, MOUSE53762, MOUSE01814, MOUSE06313, MOUSE06314, MOUSE41047, MOUSE41048	TCONS_00047873.p1, TCONS_00047871.p1
