Orthogroup	MOUSE	CAPO3
OG0001210	MOUSE28107	CAPO300919
OG0001210	MOUSE52269	CAPO302732
OG0001213	MOUSE46717, MOUSE46716, MOUSE46715	CAPO304729
OG0001213	MOUSE37458	CAPO303632
OG0001214	MOUSE25114	CAPO304780
OG0001215	MOUSE08734, MOUSE08735, MOUSE19131, MOUSE19132, MOUSE14747, MOUSE14748, MOUSE14746, MOUSE14745, MOUSE14744	CAPO302583
OG0001216	MOUSE04150, MOUSE41652, MOUSE04149, MOUSE49613	CAPO307997
OG0001217	MOUSE54784, MOUSE55237, MOUSE55236, MOUSE00073, MOUSE00072, MOUSE54782, MOUSE54783, MOUSE34298, MOUSE00071, MOUSE00068, MOUSE00067, MOUSE00069, MOUSE00070	CAPO306810
OG0001218	MOUSE04037, MOUSE04038, MOUSE41469, MOUSE41470, MOUSE41466, MOUSE41467, MOUSE41468, MOUSE34978, MOUSE34980, MOUSE34979, MOUSE04035, MOUSE04034, MOUSE04033	CAPO307457
OG0001221	MOUSE12352, MOUSE12358, MOUSE12355, MOUSE12353	CAPO307765
OG0001226	MOUSE34290, MOUSE16467, MOUSE16468, MOUSE16465, MOUSE16466, MOUSE54761, MOUSE52127, MOUSE52129, MOUSE52128, MOUSE34289, MOUSE16469	CAPO307936
OG0001232	MOUSE16918	CAPO304224
OG0001234	MOUSE19084, MOUSE49352	CAPO307897
OG0001241	MOUSE28271	CAPO303368
OG0001241	MOUSE13111, MOUSE13112, MOUSE13113, MOUSE54117	CAPO304888
OG0001247	MOUSE53759, MOUSE39462, MOUSE39463, MOUSE41058, MOUSE53757, MOUSE53755, MOUSE53758, MOUSE53756, MOUSE41059, MOUSE41060	CAPO303193, CAPO307423
OG0001248	MOUSE22966, MOUSE22967, MOUSE22968, MOUSE35498, MOUSE35495, MOUSE02365, MOUSE02364, MOUSE35496, MOUSE22969	CAPO303079
OG0001249	MOUSE50138, MOUSE50139, MOUSE18428, MOUSE32916, MOUSE32917, MOUSE33692, MOUSE33693, MOUSE18429, MOUSE18431, MOUSE18430	CAPO306922
OG0001250	MOUSE05083, MOUSE05082, MOUSE05080, MOUSE05081, MOUSE05079, MOUSE48689, MOUSE48694, MOUSE48691, MOUSE48693, MOUSE03759, MOUSE03761, MOUSE03762, MOUSE03760, MOUSE03758, MOUSE03757, MOUSE03763, MOUSE03764, MOUSE48692	CAPO302323
OG0001251	MOUSE12321	CAPO304205
OG0001251	MOUSE12317, MOUSE12318, MOUSE12320, MOUSE12319, MOUSE12322, MOUSE12323, MOUSE12316	CAPO302019
OG0001252	MOUSE48386, MOUSE48387, MOUSE48388, MOUSE31394, MOUSE31395, MOUSE31396, MOUSE31397, MOUSE31393, MOUSE01415, MOUSE01416, MOUSE01414	CAPO300016
OG0001253	MOUSE14428, MOUSE17305, MOUSE17304, MOUSE14429, MOUSE17299, MOUSE17303, MOUSE17301, MOUSE17300, MOUSE17302	CAPO306156
OG0001254	MOUSE27598, MOUSE27593, MOUSE27595, MOUSE27596, MOUSE23171, MOUSE23169, MOUSE23170, MOUSE27590, MOUSE27591, MOUSE27592	CAPO307546
OG0001261	MOUSE30117, MOUSE30118, MOUSE45624, MOUSE45621, MOUSE45627, MOUSE45626, MOUSE45623, MOUSE45625	CAPO302839
OG0001262	MOUSE25438	CAPO301672
OG0001263	MOUSE05177, MOUSE47783, MOUSE11081, MOUSE11080, MOUSE05175, MOUSE05174, MOUSE05173, MOUSE05176, MOUSE05172	CAPO301777
OG0001267	MOUSE48061, MOUSE38165, MOUSE38164, MOUSE37871, MOUSE20495	CAPO307578
OG0001268	MOUSE52730, MOUSE36602, MOUSE36603, MOUSE52733, MOUSE55418, MOUSE53751	CAPO303692
OG0001270	MOUSE16996	CAPO306176
OG0001270	MOUSE15064	CAPO304393
OG0001271	MOUSE35510, MOUSE35509, MOUSE05864, MOUSE05862, MOUSE05863, MOUSE14691	CAPO302779
OG0001272	MOUSE46333, MOUSE46335, MOUSE46334, MOUSE07100, MOUSE46331, MOUSE32891, MOUSE32892, MOUSE46332, MOUSE04684, MOUSE32617	CAPO305566
OG0001273	MOUSE44880, MOUSE44879, MOUSE44878, MOUSE44882, MOUSE44881, MOUSE48442, MOUSE48441, MOUSE48440, MOUSE10259, MOUSE10261, MOUSE10257, MOUSE10254, MOUSE10251, MOUSE10258, MOUSE10252, MOUSE10260, MOUSE10253, MOUSE48443	CAPO301889
OG0001274	MOUSE31851, MOUSE31850, MOUSE31857, MOUSE31856, MOUSE31852, MOUSE31854, MOUSE31853, MOUSE31858, MOUSE18476, MOUSE25711, MOUSE25713, MOUSE25714, MOUSE25708, MOUSE31855	CAPO308194
OG0001276	MOUSE45279, MOUSE45280, MOUSE45278, MOUSE19359	CAPO302888
OG0001278	MOUSE06444, MOUSE06445, MOUSE06443, MOUSE06442, MOUSE24602, MOUSE13838	CAPO306229
OG0001279	MOUSE43221, MOUSE43228, MOUSE43223, MOUSE43226, MOUSE43225, MOUSE08244, MOUSE08245, MOUSE43227, MOUSE43224, MOUSE43222, MOUSE08243, MOUSE08242, MOUSE24506, MOUSE24507	CAPO302733
OG0001280	MOUSE44896, MOUSE44895, MOUSE44898, MOUSE18406, MOUSE33000, MOUSE33001, MOUSE33002, MOUSE32998, MOUSE32999	CAPO300326
OG0001281	MOUSE50500, MOUSE50501, MOUSE21702, MOUSE21700, MOUSE21701, MOUSE20442	CAPO304088, CAPO303543
OG0001282	MOUSE04240, MOUSE29444, MOUSE04236, MOUSE04239, MOUSE04238, MOUSE04237, MOUSE29443, MOUSE29440, MOUSE29442	CAPO303595
OG0001284	MOUSE39659, MOUSE27610	CAPO300970
OG0001285	MOUSE35854, MOUSE35849, MOUSE35850, MOUSE35853, MOUSE46667, MOUSE46670, MOUSE46673, MOUSE46669, MOUSE46674, MOUSE46675, MOUSE46676, MOUSE46671, MOUSE46672, MOUSE46677, MOUSE47845, MOUSE47848, MOUSE47846, MOUSE35851, MOUSE35852, MOUSE47851	CAPO304179
OG0001286	MOUSE42250, MOUSE42251, MOUSE47132, MOUSE47129, MOUSE47135, MOUSE47130, MOUSE47131, MOUSE47138, MOUSE47136, MOUSE47140, MOUSE47139, MOUSE42252, MOUSE47141, MOUSE47133, MOUSE47134, MOUSE42248, MOUSE42249	CAPO303892
OG0001287	MOUSE03490, MOUSE03492, MOUSE03491, MOUSE03488, MOUSE03489, MOUSE36811, MOUSE00735, MOUSE00733, MOUSE00734, MOUSE38003, MOUSE38002, MOUSE36810, MOUSE36815, MOUSE36813, MOUSE36812, MOUSE36809, MOUSE53856, MOUSE53855, MOUSE53857	CAPO302822, CAPO304538
OG0001288	MOUSE51561, MOUSE10349	CAPO302651
OG0001289	MOUSE11820, MOUSE11822, MOUSE11823, MOUSE11821, MOUSE49953	CAPO306071
OG0001290	MOUSE19544, MOUSE27700, MOUSE27699, MOUSE27698, MOUSE49084, MOUSE49085	CAPO302574
OG0001291	MOUSE12798, MOUSE12799, MOUSE31626, MOUSE31627, MOUSE11027, MOUSE11026, MOUSE11025, MOUSE11024	CAPO300695
OG0001294	MOUSE07556, MOUSE07561, MOUSE07558	CAPO304223
OG0001295	MOUSE26503, MOUSE05234, MOUSE05238, MOUSE05235, MOUSE05236, MOUSE05237, MOUSE39784, MOUSE39783	CAPO306210
OG0001296	MOUSE08152, MOUSE08153, MOUSE20336, MOUSE20335, MOUSE24806, MOUSE24807, MOUSE24802, MOUSE24803, MOUSE24809, MOUSE24801, MOUSE24808, MOUSE24805, MOUSE20334, MOUSE24804	CAPO308260
OG0001297	MOUSE02143, MOUSE02148, MOUSE02147, MOUSE44433, MOUSE02145, MOUSE02146, MOUSE02144, MOUSE23625, MOUSE44432	CAPO305437
OG0001300	MOUSE52263, MOUSE12894, MOUSE54438, MOUSE54437, MOUSE54436	CAPO303702, CAPO301019, CAPO300154
OG0001302	MOUSE33570	CAPO302654
OG0001302	MOUSE32071, MOUSE32070	CAPO302215
OG0001304	MOUSE11990, MOUSE11992, MOUSE49007, MOUSE49008, MOUSE49004, MOUSE49005, MOUSE32024, MOUSE32027, MOUSE28599, MOUSE28598	CAPO302419
OG0001305	MOUSE48792, MOUSE48793, MOUSE48791, MOUSE25601, MOUSE31727, MOUSE31724, MOUSE31726	CAPO304488
OG0001308	MOUSE00882, MOUSE00883, MOUSE00881, MOUSE00884, MOUSE00885, MOUSE03386, MOUSE36680, MOUSE36681, MOUSE36679, MOUSE36678	CAPO300432
OG0001309	MOUSE08762, MOUSE08760, MOUSE08761	CAPO300871
OG0001310	MOUSE27515, MOUSE27516	CAPO305405
OG0001310	MOUSE21997, MOUSE21996	CAPO300151
OG0001311	MOUSE03635, MOUSE11366, MOUSE11365, MOUSE11367	CAPO300585
OG0001312	MOUSE01280, MOUSE15763, MOUSE19405, MOUSE15764, MOUSE15768, MOUSE15766, MOUSE15775, MOUSE15774, MOUSE15765, MOUSE15770, MOUSE15767, MOUSE15771, MOUSE15773, MOUSE15772, MOUSE15769	CAPO304811
OG0001317	MOUSE35301, MOUSE54841, MOUSE35295, MOUSE35296, MOUSE35300, MOUSE35294, MOUSE35302, MOUSE35303, MOUSE35298, MOUSE35299, MOUSE35297, MOUSE25537	CAPO302225
OG0001318	MOUSE42538, MOUSE42537, MOUSE42536	CAPO306280
OG0001318	MOUSE16122	CAPO303315
OG0001319	MOUSE38465, MOUSE38467, MOUSE52366, MOUSE52369, MOUSE52371, MOUSE53963, MOUSE53962, MOUSE52368, MOUSE52374, MOUSE52373, MOUSE52367	CAPO304915
OG0001320	MOUSE32119, MOUSE32120	CAPO307498
OG0001320	MOUSE27454, MOUSE18695	CAPO304958
OG0001321	MOUSE51700, MOUSE51701, MOUSE17510, MOUSE17509	CAPO301358
OG0001322	MOUSE43313, MOUSE43312, MOUSE43314, MOUSE43315	CAPO302022
OG0001323	MOUSE08647, MOUSE20092, MOUSE43334, MOUSE07462, MOUSE07463, MOUSE43332, MOUSE43331, MOUSE43335	CAPO301735
OG0001324	MOUSE15476, MOUSE15481, MOUSE15478, MOUSE15479, MOUSE15477, MOUSE15484, MOUSE15483, MOUSE15480	CAPO302080
OG0001325	MOUSE31656, MOUSE31655, MOUSE31660, MOUSE31661, MOUSE31658, MOUSE31659, MOUSE31662, MOUSE31663, MOUSE31664, MOUSE31666	CAPO304115
OG0001326	MOUSE21119, MOUSE21120, MOUSE21838, MOUSE21837, MOUSE21836, MOUSE21270, MOUSE21269	CAPO306149
OG0001327	MOUSE52821, MOUSE41523, MOUSE02265, MOUSE23421, MOUSE23422	CAPO305568
OG0001330	MOUSE46366, MOUSE46367, MOUSE04618, MOUSE37523, MOUSE37526, MOUSE37525, MOUSE46368	CAPO304584, CAPO300112
OG0001332	MOUSE32701	CAPO305487
OG0001333	MOUSE14060, MOUSE16928	CAPO301191
OG0001335	MOUSE32304	CAPO300740
OG0001341	MOUSE46510, MOUSE46512	CAPO307567
OG0001344	MOUSE40567, MOUSE40566, MOUSE53469, MOUSE53472, MOUSE53478, MOUSE53471, MOUSE53809, MOUSE53818, MOUSE53815, MOUSE53476, MOUSE53816, MOUSE53803, MOUSE53811, MOUSE53470, MOUSE53813, MOUSE53812, MOUSE53482, MOUSE53829, MOUSE53824, MOUSE53820, MOUSE53822, MOUSE53823, MOUSE53821, MOUSE53473, MOUSE53826, MOUSE53475, MOUSE53479, MOUSE53805, MOUSE53806, MOUSE53477, MOUSE53480, MOUSE53474	CAPO308153
OG0001345	MOUSE40648, MOUSE40646, MOUSE40645, MOUSE40650	CAPO306177
OG0001345	MOUSE40649, MOUSE40647	CAPO303460
OG0001348	MOUSE47536, MOUSE47535, MOUSE47539, MOUSE47537, MOUSE47534, MOUSE54111, MOUSE54110, MOUSE54109, MOUSE54108	CAPO304908
OG0001350	MOUSE33383	CAPO305116, CAPO303054
OG0001350	MOUSE28075	CAPO307484
OG0001352	MOUSE32130	CAPO303801
OG0001353	MOUSE28376, MOUSE28374, MOUSE28375	CAPO303379
OG0001355	MOUSE47620, MOUSE47621, MOUSE09535, MOUSE09533, MOUSE09534, MOUSE09531, MOUSE09532, MOUSE09530, MOUSE35930, MOUSE21465	CAPO307732
OG0001358	MOUSE00109, MOUSE16147, MOUSE53991, MOUSE00108, MOUSE00106	CAPO302204
OG0001359	MOUSE18395, MOUSE18397, MOUSE18396, MOUSE27667, MOUSE27665, MOUSE27666, MOUSE27669, MOUSE27664, MOUSE27663, MOUSE27668, MOUSE27670, MOUSE32532, MOUSE30417	CAPO303726
OG0001361	MOUSE27263, MOUSE27261, MOUSE14327, MOUSE14328, MOUSE14329, MOUSE27262, MOUSE14326, MOUSE14330, MOUSE14331, MOUSE14333, MOUSE14332, MOUSE14325	CAPO307400
OG0001361	MOUSE14324	CAPO306689
OG0001364	MOUSE22897, MOUSE22899, MOUSE22902, MOUSE22900, MOUSE22901, MOUSE38339, MOUSE38340, MOUSE22895, MOUSE22898, MOUSE22903, MOUSE22894, MOUSE22892, MOUSE22893, MOUSE22896	CAPO307249
OG0001366	MOUSE08702, MOUSE08703, MOUSE22123, MOUSE08704, MOUSE08701, MOUSE08700, MOUSE22122	CAPO302707
OG0001367	MOUSE28593, MOUSE28595, MOUSE28594, MOUSE18613, MOUSE18611, MOUSE06729, MOUSE06730	CAPO304628
OG0001370	MOUSE44772	CAPO305064
OG0001370	MOUSE22367, MOUSE44775, MOUSE22370	CAPO306956
OG0001372	MOUSE31956	CAPO301063
OG0001373	MOUSE46190, MOUSE46185, MOUSE46187, MOUSE46188, MOUSE46186, MOUSE03915, MOUSE03913, MOUSE03914, MOUSE03916, MOUSE46189, MOUSE14054, MOUSE14057, MOUSE14055, MOUSE14058	CAPO300734
OG0001378	MOUSE12733, MOUSE46829, MOUSE12734, MOUSE46833, MOUSE36025, MOUSE19414, MOUSE19415, MOUSE46831	CAPO302717
OG0001379	MOUSE45251, MOUSE52412, MOUSE52413, MOUSE45252, MOUSE45253	CAPO304865
OG0001382	MOUSE44038, MOUSE44040, MOUSE44030, MOUSE44026, MOUSE44027, MOUSE44028, MOUSE44025, MOUSE44029, MOUSE44035, MOUSE44036, MOUSE44037, MOUSE44039, MOUSE44034, MOUSE44032, MOUSE44033, MOUSE44031	CAPO306735
OG0001383	MOUSE25588, MOUSE25593, MOUSE25587, MOUSE25592, MOUSE25591, MOUSE25590, MOUSE24448, MOUSE27507	CAPO300442
OG0001384	MOUSE12863	CAPO302147
OG0001386	MOUSE05401, MOUSE10954, MOUSE10953, MOUSE10955	CAPO305078
OG0001387	MOUSE22077, MOUSE22076, MOUSE22079, MOUSE22080, MOUSE22081, MOUSE02474, MOUSE22078, MOUSE02479	CAPO306110, CAPO306288
OG0001389	MOUSE21956	CAPO307975
OG0001397	MOUSE09428, MOUSE21175, MOUSE21174, MOUSE21173, MOUSE21261	CAPO306119
OG0001399	MOUSE12867, MOUSE28523, MOUSE49010, MOUSE49011, MOUSE49012, MOUSE12868	CAPO304148
OG0001400	MOUSE05263, MOUSE05262, MOUSE26520, MOUSE26518, MOUSE26517, MOUSE26519, MOUSE39778, MOUSE39779, MOUSE39777, MOUSE39773, MOUSE39774, MOUSE39776, MOUSE39775	CAPO305841
OG0001404	MOUSE17031, MOUSE17030, MOUSE17028, MOUSE17029, MOUSE34766, MOUSE34765, MOUSE34767	CAPO302450
OG0001406	MOUSE29567, MOUSE29564, MOUSE29562, MOUSE29566, MOUSE29561, MOUSE29565, MOUSE04058, MOUSE54156, MOUSE54159, MOUSE54160, MOUSE54155, MOUSE54157, MOUSE54158	CAPO305604
OG0001408	MOUSE25484, MOUSE25485, MOUSE18503, MOUSE18504, MOUSE18502, MOUSE31265, MOUSE31266	CAPO304468
OG0001409	MOUSE43073, MOUSE43072, MOUSE15819, MOUSE15820	CAPO300832
OG0001410	MOUSE22570, MOUSE22569, MOUSE22568, MOUSE38530, MOUSE38529	CAPO304381
OG0001410	MOUSE29320, MOUSE29323, MOUSE29321	CAPO303461
OG0001411	MOUSE36550, MOUSE36551	CAPO301653
OG0001412	MOUSE37382, MOUSE37381, MOUSE37384, MOUSE37385, MOUSE37383	CAPO304843
OG0001413	MOUSE37829, MOUSE37830	CAPO300375
OG0001414	MOUSE18642, MOUSE18643, MOUSE18644	CAPO301834
OG0001414	MOUSE02910	CAPO303273
OG0001415	MOUSE15314, MOUSE15315	CAPO307087
OG0001416	MOUSE34919, MOUSE34918, MOUSE34917, MOUSE34915, MOUSE34916, MOUSE04273, MOUSE04275, MOUSE04277, MOUSE04272, MOUSE04274, MOUSE04276, MOUSE34920	CAPO300753
OG0001418	MOUSE48894, MOUSE33585, MOUSE33584, MOUSE33582, MOUSE33583, MOUSE48895, MOUSE48523, MOUSE48522, MOUSE10457, MOUSE10451, MOUSE10456, MOUSE10455, MOUSE10454, MOUSE10453, MOUSE10452	CAPO300218
OG0001420	MOUSE07329, MOUSE53623, MOUSE53625, MOUSE53624, MOUSE52687, MOUSE14541, MOUSE14539, MOUSE14538	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813
OG0001422	MOUSE26467, MOUSE26461, MOUSE26459, MOUSE39837, MOUSE26464, MOUSE26465, MOUSE39840, MOUSE39842, MOUSE39841, MOUSE39847, MOUSE39848, MOUSE39844, MOUSE39845, MOUSE39846, MOUSE39843, MOUSE26462, MOUSE26460	CAPO308345, CAPO303120
OG0001423	MOUSE17540, MOUSE17539, MOUSE25516, MOUSE25512, MOUSE25514, MOUSE25513, MOUSE23811, MOUSE23810, MOUSE23812, MOUSE50436	CAPO301310
OG0001424	MOUSE01154, MOUSE20236, MOUSE01153, MOUSE01152	CAPO304776
OG0001425	MOUSE16522, MOUSE51391, MOUSE10602	CAPO302275, CAPO302850
OG0001426	MOUSE15607, MOUSE35131, MOUSE35132, MOUSE04107, MOUSE04108	CAPO302841
OG0001427	MOUSE28295, MOUSE35647, MOUSE19057, MOUSE19060, MOUSE19058, MOUSE19061, MOUSE19059, MOUSE35646, MOUSE35645	CAPO302723
OG0001428	MOUSE34894, MOUSE34896, MOUSE34893, MOUSE19473, MOUSE04265, MOUSE41409, MOUSE41408, MOUSE04268	CAPO303027
OG0001430	MOUSE18637, MOUSE20248, MOUSE27511, MOUSE42620	CAPO300562
OG0001431	MOUSE08755, MOUSE08756, MOUSE08757, MOUSE08758, MOUSE05352, MOUSE08759, MOUSE47889, MOUSE47890	CAPO308230
OG0001437	MOUSE29315, MOUSE29316, MOUSE29317, MOUSE29314	CAPO304955
OG0001440	MOUSE25141, MOUSE05281	CAPO305450
OG0001445	MOUSE28043, MOUSE28044, MOUSE43177, MOUSE43176, MOUSE16757	CAPO301958
OG0001446	MOUSE04639	CAPO304614
OG0001447	MOUSE27483, MOUSE43183, MOUSE24581	CAPO307093
OG0001449	MOUSE35682, MOUSE35683, MOUSE35684, MOUSE35685, MOUSE35681	CAPO306822
OG0001451	MOUSE37380, MOUSE37379, MOUSE27129, MOUSE27131, MOUSE27130, MOUSE27132	CAPO300036
OG0001452	MOUSE10305, MOUSE44844, MOUSE30200, MOUSE30198, MOUSE30199, MOUSE44846, MOUSE44847	CAPO301933
OG0001454	MOUSE29691, MOUSE03612, MOUSE03611, MOUSE29689, MOUSE29692, MOUSE29690, MOUSE29694, MOUSE29693	CAPO303806
OG0001456	MOUSE52266, MOUSE52265	CAPO307965
OG0001459	MOUSE41970, MOUSE44251, MOUSE44247, MOUSE44248, MOUSE44249, MOUSE41971, MOUSE41967, MOUSE41968, MOUSE41969, MOUSE41972, MOUSE41973, MOUSE44250	CAPO307035
OG0001460	MOUSE11427, MOUSE11428, MOUSE11425	CAPO300988
OG0001460	MOUSE11426, MOUSE11423, MOUSE11422, MOUSE11424	CAPO305875
OG0001461	MOUSE39121	CAPO301012
OG0001461	MOUSE39120	CAPO307458, CAPO305472
OG0001463	MOUSE49422, MOUSE49423, MOUSE49421, MOUSE49420, MOUSE49419, MOUSE49839, MOUSE49840, MOUSE49838	CAPO304054
OG0001466	MOUSE52956, MOUSE52958, MOUSE52960, MOUSE52959, MOUSE52957, MOUSE19161, MOUSE19163, MOUSE19162	CAPO305831
OG0001467	MOUSE25310, MOUSE45067, MOUSE45066	CAPO304882
OG0001468	MOUSE22505, MOUSE53195, MOUSE53196, MOUSE02343, MOUSE02342	CAPO306475
OG0001469	MOUSE27763	CAPO306371
OG0001469	MOUSE00629	CAPO301724
OG0001470	MOUSE04730, MOUSE04729, MOUSE04728, MOUSE04727	CAPO305163
OG0001472	MOUSE35226, MOUSE35228, MOUSE35227	CAPO300986
OG0001472	MOUSE29107, MOUSE29108	CAPO305311
OG0001473	MOUSE14033, MOUSE14034	CAPO304310
OG0001474	MOUSE46193, MOUSE46194	CAPO306191
OG0001475	MOUSE34824, MOUSE34826, MOUSE34825, MOUSE34819, MOUSE34808, MOUSE34809, MOUSE34810, MOUSE34817, MOUSE34807, MOUSE34814, MOUSE34815, MOUSE34816, MOUSE34818, MOUSE34820, MOUSE34823	CAPO305552
OG0001476	MOUSE16510, MOUSE16508, MOUSE16509, MOUSE16255, MOUSE16258, MOUSE16256	CAPO305062
OG0001478	MOUSE27453, MOUSE27451, MOUSE27450, MOUSE27452	CAPO303095
OG0001478	MOUSE14118	CAPO304965
OG0001479	MOUSE31243, MOUSE31244, MOUSE47409, MOUSE47405, MOUSE25855, MOUSE25856	CAPO306515
OG0001482	MOUSE46256, MOUSE37740, MOUSE37739, MOUSE04374, MOUSE04372, MOUSE04376, MOUSE04375, MOUSE04373	CAPO307610
OG0001484	MOUSE53748, MOUSE53749, MOUSE53750, MOUSE52709, MOUSE52710, MOUSE52703, MOUSE52708, MOUSE52704, MOUSE52702, MOUSE52705	CAPO301411
OG0001485	MOUSE44648, MOUSE10100, MOUSE10098, MOUSE10097, MOUSE10099	CAPO301954
OG0001486	MOUSE18258, MOUSE18259, MOUSE18260, MOUSE18262, MOUSE18256, MOUSE18261, MOUSE18257, MOUSE18263, MOUSE18264, MOUSE41536, MOUSE41537, MOUSE41535, MOUSE47343	CAPO302441
OG0001490	MOUSE20108, MOUSE28079, MOUSE28081, MOUSE20112, MOUSE20106, MOUSE07918, MOUSE07919, MOUSE07917, MOUSE07920	CAPO305433
OG0001492	MOUSE46376, MOUSE04701, MOUSE37398, MOUSE37399, MOUSE37397	CAPO305155
OG0001495	MOUSE54495, MOUSE54479, MOUSE54485, MOUSE54461, MOUSE54123, MOUSE54206, MOUSE54142, MOUSE44521, MOUSE20162, MOUSE44563, MOUSE54696, MOUSE55120, MOUSE55122, MOUSE55123, MOUSE55126, MOUSE55121, MOUSE55124, MOUSE54519, MOUSE44520	CAPO302008
OG0001496	MOUSE40491, MOUSE40492, MOUSE40490	CAPO301356
OG0001500	MOUSE22930, MOUSE22932, MOUSE22931, MOUSE22929, MOUSE53492, MOUSE53491, MOUSE12949, MOUSE12952, MOUSE12951, MOUSE12950	CAPO300054
OG0001501	MOUSE07105, MOUSE07106, MOUSE07104, MOUSE07103, MOUSE07108, MOUSE07102, MOUSE28103, MOUSE28101, MOUSE28100, MOUSE28102, MOUSE28104	CAPO305474
OG0001503	MOUSE48444	CAPO305666
OG0001503	MOUSE41776, MOUSE41774, MOUSE41777, MOUSE41772, MOUSE41773	CAPO307598
OG0001504	MOUSE28382, MOUSE28383, MOUSE28380, MOUSE28381, MOUSE28379	CAPO307661
OG0001505	MOUSE29456, MOUSE04126, MOUSE04125, MOUSE04124	CAPO301009
OG0001506	MOUSE35078, MOUSE29502, MOUSE29500, MOUSE35074, MOUSE35075, MOUSE29501	CAPO300953
OG0001507	MOUSE20172, MOUSE07522, MOUSE07519, MOUSE07520, MOUSE49949, MOUSE49948, MOUSE20173, MOUSE20174, MOUSE20171, MOUSE20170, MOUSE20175, MOUSE20176, MOUSE07523	CAPO304204
OG0001509	MOUSE52290	CAPO306441
OG0001511	MOUSE22746, MOUSE22740, MOUSE22739, MOUSE22744, MOUSE22742, MOUSE22745, MOUSE22741, MOUSE22743, MOUSE38379, MOUSE38378, MOUSE38380	CAPO306127, CAPO305043
OG0001512	MOUSE20712, MOUSE20713, MOUSE20711, MOUSE44942, MOUSE44938, MOUSE44939, MOUSE44940, MOUSE44941	CAPO301118
OG0001515	MOUSE04848	CAPO302117
OG0001516	MOUSE13217, MOUSE13218	CAPO300345
OG0001517	MOUSE13154, MOUSE15948, MOUSE37211, MOUSE37212, MOUSE37213	CAPO303690
OG0001519	MOUSE18415, MOUSE18423, MOUSE33014, MOUSE33013, MOUSE33015, MOUSE44757, MOUSE44756, MOUSE44755, MOUSE44753	CAPO306949
OG0001522	MOUSE31620, MOUSE42847, MOUSE42848, MOUSE07099, MOUSE43311, MOUSE43310, MOUSE18117	CAPO303667
OG0001524	MOUSE21121	CAPO300996
OG0001524	MOUSE49229	CAPO308304
OG0001525	MOUSE37570, MOUSE37574, MOUSE37572, MOUSE37575, MOUSE37571	CAPO303907
OG0001526	MOUSE23723, MOUSE23721, MOUSE23722, MOUSE25375, MOUSE25372, MOUSE25373, MOUSE25371, MOUSE25370, MOUSE25369, MOUSE25367, MOUSE25368	CAPO305679
OG0001527	MOUSE01117, MOUSE01118, MOUSE04312, MOUSE04311, MOUSE04310, MOUSE04313	CAPO300128
OG0001527	MOUSE13589	CAPO307636
OG0001529	MOUSE52749, MOUSE52864, MOUSE52868, MOUSE52867, MOUSE52865, MOUSE52866, MOUSE52863, MOUSE52869, MOUSE52870, MOUSE52747, MOUSE52748, MOUSE52746, MOUSE52745, MOUSE52750, MOUSE17230	CAPO300593
OG0001530	MOUSE11448, MOUSE11447, MOUSE36978, MOUSE36976, MOUSE36977, MOUSE36980, MOUSE11450	CAPO302602
OG0001532	MOUSE35123, MOUSE04155, MOUSE15421, MOUSE15419, MOUSE15420	CAPO300282
OG0001533	MOUSE13099, MOUSE15783, MOUSE15785	CAPO306032
OG0001534	MOUSE14201, MOUSE14198, MOUSE14200, MOUSE14199, MOUSE15122, MOUSE15124	CAPO304425
OG0001545	MOUSE19659, MOUSE19663, MOUSE19660, MOUSE19656, MOUSE19665, MOUSE44861, MOUSE30685, MOUSE30687, MOUSE30686, MOUSE30688, MOUSE30684, MOUSE19667, MOUSE19666, MOUSE19664, MOUSE19658, MOUSE19661, MOUSE19657, MOUSE19662	CAPO300895
OG0001551	MOUSE07720, MOUSE24761, MOUSE24759, MOUSE24760	CAPO306604
OG0001553	MOUSE47772, MOUSE47771, MOUSE11102, MOUSE11100, MOUSE11099, MOUSE11101, MOUSE03464, MOUSE03466, MOUSE03465	CAPO308172
OG0001554	MOUSE50204, MOUSE50203, MOUSE50206, MOUSE50205, MOUSE50202, MOUSE54632	CAPO302370
OG0001557	MOUSE07001, MOUSE07002	CAPO304176
OG0001558	MOUSE25248, MOUSE25247, MOUSE25246, MOUSE25245, MOUSE25249, MOUSE47376, MOUSE47379, MOUSE47373, MOUSE47380	CAPO301132
OG0001559	MOUSE24616, MOUSE24618, MOUSE24617, MOUSE11720, MOUSE11719, MOUSE24626, MOUSE24627, MOUSE24624, MOUSE24625, MOUSE20118	CAPO301785
OG0001561	MOUSE40948, MOUSE40947, MOUSE40953, MOUSE40950, MOUSE40951, MOUSE40952, MOUSE40949, MOUSE17306, MOUSE14396, MOUSE14395, MOUSE14394	CAPO301999
OG0001563	MOUSE51339	CAPO306378
OG0001564	MOUSE22917, MOUSE22921, MOUSE22922, MOUSE22916, MOUSE22915, MOUSE22918, MOUSE45322, MOUSE45323, MOUSE45324, MOUSE45325	CAPO301061
OG0001567	MOUSE29523, MOUSE29524, MOUSE34755, MOUSE34756, MOUSE34757, MOUSE34758, MOUSE29522, MOUSE29525	CAPO300948
OG0001568	MOUSE14020, MOUSE14021, MOUSE14017, MOUSE14016, MOUSE14018, MOUSE14019	CAPO301468
OG0001570	MOUSE44024, MOUSE44023	CAPO303364
