Orthogroup	MOUSE	CAPO3
OG0000056	MOUSE52879, MOUSE36572, MOUSE36574, MOUSE36579, MOUSE36583, MOUSE36576, MOUSE36586, MOUSE36571, MOUSE36575, MOUSE36582, MOUSE36587, MOUSE36573, MOUSE36590, MOUSE36585, MOUSE36584, MOUSE36589, MOUSE36588, MOUSE36577, MOUSE36580, MOUSE36578, MOUSE36581, MOUSE31837, MOUSE31834, MOUSE31833, MOUSE31831, MOUSE31832, MOUSE31836, MOUSE31835, MOUSE31827, MOUSE31830, MOUSE31838, MOUSE31839, MOUSE31840, MOUSE48807, MOUSE48808, MOUSE48805, MOUSE48806, MOUSE48802, MOUSE48804, MOUSE18387, MOUSE18505, MOUSE31842, MOUSE37995, MOUSE37994, MOUSE36570	CAPO305974, CAPO306012, CAPO306941
OG0000058	MOUSE47313, MOUSE47308, MOUSE29478, MOUSE35031, MOUSE53977, MOUSE17481, MOUSE21859, MOUSE21858, MOUSE21857, MOUSE21254	CAPO305595
OG0000058	MOUSE10546	CAPO307225
OG0000060	MOUSE52080, MOUSE52079, MOUSE08947, MOUSE08946, MOUSE08945, MOUSE08939, MOUSE08938, MOUSE08942, MOUSE08940, MOUSE08941, MOUSE08944, MOUSE08943, MOUSE44147, MOUSE44148, MOUSE44454, MOUSE44455, MOUSE01901, MOUSE01902	CAPO305373
OG0000062	MOUSE41293, MOUSE25941, MOUSE25942, MOUSE18495, MOUSE18493, MOUSE17649, MOUSE17650, MOUSE41585, MOUSE41584, MOUSE41295, MOUSE41296, MOUSE41297, MOUSE41294, MOUSE41586, MOUSE52081	CAPO300910
OG0000063	MOUSE18432, MOUSE18433, MOUSE18434, MOUSE32920, MOUSE32923, MOUSE32924, MOUSE32922, MOUSE32921, MOUSE32925, MOUSE32927, MOUSE32926, MOUSE32919, MOUSE18436, MOUSE18437, MOUSE33694, MOUSE33695, MOUSE33696, MOUSE10885, MOUSE10881, MOUSE33697, MOUSE27866, MOUSE27867, MOUSE46812, MOUSE46810, MOUSE46811, MOUSE46809	CAPO300270
OG0000066	MOUSE53763, MOUSE13756	CAPO308057
OG0000069	MOUSE30824	CAPO302182
OG0000069	MOUSE24595, MOUSE06171, MOUSE24596	CAPO301523, CAPO305173
OG0000079	MOUSE36929	CAPO302518
OG0000082	MOUSE25920	CAPO304738
OG0000082	MOUSE19184	CAPO306626
OG0000082	MOUSE17697, MOUSE17696, MOUSE17699, MOUSE07392, MOUSE50877, MOUSE50878	CAPO300843
OG0000085	MOUSE05264, MOUSE53183, MOUSE53182, MOUSE53184, MOUSE26268, MOUSE26267, MOUSE30927, MOUSE54745	CAPO303061
