Orthogroup	AENJA_ok	OWEFU
OG0000007	AENJA_16981	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	AENJA_26507	OFUSG25241.1.p1
OG0000008	AENJA_15934, AENJA_26738	OFUSG01560.1.p1
OG0000008	AENJA_21419	OFUSG14096.1.p1
OG0000008	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105	OFUSG10082.1.p1
OG0000008	AENJA_01158	OFUSG15533.1.p1
OG0000008	AENJA_24404, AENJA_14450	OFUSG00781.1.p1, OFUSG00781.2.p1, OFUSG11535.1.p1, OFUSG02555.1.p1, OFUSG00311.1.p1, OFUSG02548.1.p1, OFUSG18114.1.p1, OFUSG03040.1.p1, OFUSG07904.1.p1, OFUSG03922.1.p1
OG0000008	AENJA_00959	OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000009	AENJA_10638	OFUSG23060.1.p1
OG0000009	AENJA_13736, AENJA_17094	OFUSG25126.1.p1
OG0000010	AENJA_06639	OFUSG05937.1.p1
OG0000010	AENJA_04234	OFUSG10415.1.p1, OFUSG10415.2.p1
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	AENJA_02869	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000013	AENJA_23415	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1
OG0000014	AENJA_09518, AENJA_09012, AENJA_17358, AENJA_16625	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	AENJA_12276, AENJA_23299	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1
OG0000014	AENJA_25536	OFUSG00805.1.p1
OG0000014	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818	OFUSG25832.1.p1
OG0000015	AENJA_18555, AENJA_02651, AENJA_19635	OFUSG16912.1.p1
OG0000015	AENJA_18653	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	AENJA_17614	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000015	AENJA_19630	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000015	AENJA_02597	OFUSG21186.1.p1
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	OFUSG16773.1.p1
OG0000016	AENJA_11513	OFUSG10402.1.p1
OG0000016	AENJA_26671, AENJA_26677	OFUSG06388.1.p1, OFUSG18492.1.p1
OG0000016	AENJA_21813, AENJA_16651	OFUSG13895.1.p1
OG0000016	AENJA_02781	OFUSG11848.1.p1
OG0000016	AENJA_03281, AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	AENJA_26707, AENJA_02019, AENJA_10850, AENJA_17832, AENJA_06089, AENJA_04764, AENJA_25702, AENJA_25620, AENJA_26224, AENJA_03350, AENJA_17081	OFUSG02956.1.p1
OG0000018	AENJA_03018, AENJA_12247	OFUSG14111.1.p3
OG0000019	AENJA_17710	OFUSG04719.1.p1, OFUSG12907.1.p1, OFUSG10398.1.p1, OFUSG21257.1.p1, OFUSG19550.1.p1, OFUSG19551.1.p1, OFUSG19552.1.p1, OFUSG16793.1.p1, OFUSG10455.1.p1
OG0000019	AENJA_03417, AENJA_02272, AENJA_02277	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272	OFUSG08823.1.p1
OG0000019	AENJA_02273	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	AENJA_24818, AENJA_20016	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000019	AENJA_14331	OFUSG17410.2.p1, OFUSG17410.1.p1, OFUSG19531.1.p1, OFUSG18124.1.p1, OFUSG15190.1.p1, OFUSG15188.1.p1
OG0000020	AENJA_06180, AENJA_02090	OFUSG13197.1.p1
OG0000020	AENJA_21688, AENJA_05309	OFUSG19131.1.p1
OG0000020	AENJA_16747, AENJA_14074, AENJA_08287, AENJA_18052, AENJA_23718, AENJA_02408	OFUSG13406.1.p1
OG0000020	AENJA_15954	OFUSG14744.1.p1
OG0000021	AENJA_14639	OFUSG18643.1.p1
OG0000021	AENJA_16593	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	AENJA_24950	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	AENJA_25124	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
OG0000021	AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227	OFUSG19689.1.p1, OFUSG09303.1.p1, OFUSG14494.2.p1, OFUSG14494.1.p1, OFUSG26703.1.p1, OFUSG06096.1.p1, OFUSG07156.1.p1
OG0000021	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	OFUSG25558.2.p1, OFUSG25558.1.p1, OFUSG03208.1.p1, OFUSG03209.1.p1, OFUSG03193.1.p1, OFUSG03185.1.p1, OFUSG03188.1.p1
OG0000023	AENJA_06341	OFUSG06069.1.p1
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	OFUSG15304.2.p1, OFUSG15304.1.p1, OFUSG15456.2.p1, OFUSG15456.1.p1
OG0000023	AENJA_26230, AENJA_07520, AENJA_17438, AENJA_19908, AENJA_19909	OFUSG14875.1.p1, OFUSG15289.1.p1, OFUSG15289.2.p1
OG0000023	AENJA_17571	OFUSG11068.1.p1, OFUSG06762.1.p1, OFUSG02690.3.p1, OFUSG02690.2.p1, OFUSG02690.1.p1, OFUSG10023.2.p1, OFUSG10023.1.p1, OFUSG10022.3.p1, OFUSG10022.4.p1, OFUSG10022.1.p1, OFUSG10022.2.p1, OFUSG13724.2.p1, OFUSG13724.1.p1
OG0000026	AENJA_09725, AENJA_09726, AENJA_07548	OFUSG24983.1.p1, OFUSG24982.1.p1, OFUSG22806.1.p1, OFUSG15814.1.p1, OFUSG04509.1.p1, OFUSG25030.1.p1, OFUSG08716.1.p1, OFUSG23811.1.p1, OFUSG07410.1.p1, OFUSG07411.1.p1, OFUSG02117.1.p1, OFUSG04992.1.p1, OFUSG04993.1.p1, OFUSG22113.1.p1, OFUSG23954.1.p1, OFUSG23953.1.p1, OFUSG15116.1.p1, OFUSG02635.1.p1, OFUSG07188.1.p1, OFUSG14518.1.p1, OFUSG06741.1.p1, OFUSG04994.1.p1, OFUSG10925.1.p1
OG0000026	AENJA_21657	OFUSG26427.1.p1
OG0000026	AENJA_12006, AENJA_16045, AENJA_18652, AENJA_16032, AENJA_17356, AENJA_20833, AENJA_17360, AENJA_18651	OFUSG00817.1.p1
OG0000026	AENJA_10129	OFUSG24229.1.p1
OG0000028	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181	OFUSG08406.1.p1, OFUSG07639.1.p1
OG0000028	AENJA_21123, AENJA_04861, AENJA_01184	OFUSG21057.1.p1, OFUSG21057.2.p1
OG0000028	AENJA_02610, AENJA_09622	OFUSG05527.1.p1, OFUSG03389.1.p1
OG0000028	AENJA_02274	OFUSG09732.1.p1, OFUSG14981.3.p1, OFUSG14981.2.p1, OFUSG14981.1.p1, OFUSG09734.1.p1, OFUSG08335.1.p1, OFUSG09733.1.p1, OFUSG09733.2.p1
OG0000028	AENJA_19954	OFUSG16442.1.p1, OFUSG16442.2.p1
OG0000029	AENJA_10650	OFUSG25151.1.p1, OFUSG10698.1.p1, OFUSG20711.1.p1
OG0000029	AENJA_26395	OFUSG21155.1.p1
OG0000029	AENJA_05280	OFUSG15790.1.p1, OFUSG00743.1.p1, OFUSG20635.1.p1, OFUSG20634.1.p1, OFUSG14781.1.p1, OFUSG14779.1.p1, OFUSG14780.1.p1, OFUSG14783.1.p1, OFUSG20636.1.p1, OFUSG20271.1.p1, OFUSG26756.1.p1, OFUSG04638.1.p1, OFUSG03243.1.p1, OFUSG11383.1.p1, OFUSG19505.1.p1, OFUSG16898.2.p1, OFUSG16898.1.p1
OG0000030	AENJA_17283	OFUSG04213.1.p1
OG0000030	AENJA_12274	OFUSG21119.1.p1
OG0000030	AENJA_21030	OFUSG17928.1.p1
OG0000031	AENJA_09856	OFUSG03902.1.p1, OFUSG03902.2.p1
OG0000031	AENJA_09858	OFUSG16479.2.p1, OFUSG16479.1.p1
OG0000031	AENJA_20966	OFUSG03938.1.p1
OG0000031	AENJA_08759	OFUSG09754.1.p1
OG0000031	AENJA_10722	OFUSG12627.1.p1
OG0000031	AENJA_05740	OFUSG02210.1.p1
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	OFUSG17671.1.p1
OG0000031	AENJA_15028	OFUSG16797.1.p1
OG0000032	AENJA_06514	OFUSG07861.1.p1
OG0000032	AENJA_15445, AENJA_10949, AENJA_16462, AENJA_19113, AENJA_19112, AENJA_01972, AENJA_01667, AENJA_01332	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1
OG0000032	AENJA_12718, AENJA_12280, AENJA_12491	OFUSG26521.2.p1, OFUSG26521.1.p1
OG0000032	AENJA_12283	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1
OG0000034	AENJA_21749	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1
OG0000034	AENJA_02791	OFUSG01833.2.p1, OFUSG01833.1.p1
OG0000034	AENJA_23686	OFUSG08780.1.p1
OG0000034	AENJA_13785	OFUSG00313.1.p1
OG0000034	AENJA_24919	OFUSG08088.1.p1
OG0000034	AENJA_16616	OFUSG09735.1.p1
OG0000035	AENJA_01174	OFUSG16461.1.p1
OG0000035	AENJA_26793	OFUSG07703.1.p1
OG0000035	AENJA_22033	OFUSG09470.1.p1
OG0000035	AENJA_08825	OFUSG07007.1.p1, OFUSG07007.2.p1
OG0000035	AENJA_12732	OFUSG07851.1.p1
OG0000035	AENJA_12364, AENJA_26037	OFUSG25460.1.p1, OFUSG07717.1.p1
OG0000035	AENJA_21682, AENJA_21683	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1
OG0000035	AENJA_26795, AENJA_18623, AENJA_14012	OFUSG09471.1.p1
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190	OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1
OG0000036	AENJA_26206, AENJA_19267, AENJA_16633, AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986, AENJA_15638, AENJA_15641, AENJA_15644	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1
OG0000036	AENJA_21299, AENJA_21302, AENJA_21301	OFUSG05272.1.p1
OG0000037	AENJA_20944	OFUSG11734.1.p1, OFUSG11735.1.p1, OFUSG11736.1.p1, OFUSG25144.1.p1
OG0000037	AENJA_05483, AENJA_06274	OFUSG11664.2.p1, OFUSG11664.3.p1, OFUSG11664.1.p1
OG0000037	AENJA_06403, AENJA_22611, AENJA_22610	OFUSG24232.1.p1, OFUSG22475.1.p1
OG0000038	AENJA_09925	OFUSG07063.1.p1, OFUSG04821.1.p1, OFUSG19292.1.p1
OG0000038	AENJA_05691	OFUSG03339.1.p1
OG0000038	AENJA_26313	OFUSG04771.1.p1
OG0000038	AENJA_09724	OFUSG03340.1.p1
OG0000039	AENJA_12474, AENJA_05354	OFUSG19834.1.p1, OFUSG26646.1.p1
OG0000039	AENJA_20870	OFUSG05314.1.p1
OG0000039	AENJA_26803, AENJA_05351	OFUSG04852.1.p1, OFUSG04321.1.p1
OG0000039	AENJA_26786	OFUSG21070.1.p1, OFUSG21072.1.p1, OFUSG21071.1.p1, OFUSG07209.1.p1
OG0000039	AENJA_20163	OFUSG11857.1.p1
OG0000039	AENJA_07277	OFUSG09877.1.p1, OFUSG09877.2.p1, OFUSG09879.1.p1, OFUSG09879.3.p1
OG0000040	AENJA_23333	OFUSG17305.1.p1
OG0000041	AENJA_08471	OFUSG15030.1.p1
OG0000041	AENJA_24560	OFUSG07896.1.p1
OG0000041	AENJA_03404, AENJA_03405	OFUSG21324.4.p1, OFUSG21324.2.p1, OFUSG21324.1.p1, OFUSG21324.3.p1
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	OFUSG12022.1.p1
OG0000044	AENJA_26664	OFUSG03166.1.p1
OG0000044	AENJA_06141	OFUSG11434.1.p1, OFUSG13798.1.p1, OFUSG12158.2.p1, OFUSG12158.1.p1
OG0000045	AENJA_24300	OFUSG07526.1.p1
OG0000045	AENJA_10338, AENJA_06988, AENJA_18923, AENJA_18166, AENJA_08775, AENJA_24135, AENJA_24507, AENJA_18165, AENJA_24504, AENJA_24136, AENJA_24130	OFUSG07524.1.p1, OFUSG00566.1.p1, OFUSG00564.1.p1, OFUSG00563.1.p1, OFUSG00567.1.p1
