Orthogroup	AENJA_ok	NEMVE
OG0000021	AENJA_19175	NEMVE14759, NEMVE06841, NEMVE12110, NEMVE22480, NEMVE21761, NEMVE08095
OG0000021	AENJA_25124, AENJA_24226, AENJA_26459, AENJA_15672, AENJA_17125, AENJA_13315, AENJA_06809, AENJA_17731, AENJA_05163, AENJA_10523, AENJA_13306, AENJA_20227, AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711	NEMVE04837
OG0000023	AENJA_06341	NEMVE01882
OG0000023	AENJA_11919, AENJA_06566, AENJA_06565, AENJA_12125, AENJA_11618, AENJA_11620, AENJA_11621, AENJA_22520, AENJA_19106, AENJA_11920	NEMVE02033, NEMVE05058, NEMVE00878
OG0000023	AENJA_26230	NEMVE13647
OG0000023	AENJA_17571	NEMVE01164, NEMVE04601, NEMVE15478, NEMVE15477, NEMVE23023, NEMVE08487, NEMVE18628, NEMVE01195, NEMVE03514, NEMVE05012, NEMVE13501, NEMVE11593, NEMVE05686, NEMVE11655, NEMVE11747, NEMVE12580
OG0000023	AENJA_11915	NEMVE16721, NEMVE11897, NEMVE08792
OG0000024	AENJA_16978, AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429, AENJA_07417, AENJA_16810, AENJA_26384, AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891, AENJA_18079, AENJA_19870, AENJA_09423	NEMVE05736, NEMVE12848
OG0000024	AENJA_25408, AENJA_13035, AENJA_24703	NEMVE10194, NEMVE06283, NEMVE03385, NEMVE10736, NEMVE10243, NEMVE12039
OG0000024	AENJA_05751	NEMVE12528
OG0000024	AENJA_14854	NEMVE03198
OG0000024	AENJA_04797	NEMVE14359, NEMVE12911, NEMVE12056
OG0000024	AENJA_02356, AENJA_04068, AENJA_18080, AENJA_10723, AENJA_14412, AENJA_24502, AENJA_10348, AENJA_23773, AENJA_18095, AENJA_12767, AENJA_02712	NEMVE19722
OG0000025	AENJA_17256	NEMVE18817
OG0000025	AENJA_26502	NEMVE10756, NEMVE10596, NEMVE03658, NEMVE10792
OG0000025	AENJA_13289	NEMVE09514, NEMVE12303, NEMVE11197, NEMVE11226, NEMVE19693, NEMVE02723
OG0000025	AENJA_21079	NEMVE00738
OG0000025	AENJA_09759, AENJA_20400, AENJA_19906	NEMVE11873
OG0000025	AENJA_05976	NEMVE11717
OG0000025	AENJA_09551	NEMVE12856, NEMVE02853, NEMVE03316
OG0000026	AENJA_07099, AENJA_18950	NEMVE14231, NEMVE02456, NEMVE19119, NEMVE15036, NEMVE11860, NEMVE10138, NEMVE10137, NEMVE10629, NEMVE11596, NEMVE02542, NEMVE02515, NEMVE03115, NEMVE17182, NEMVE10477, NEMVE10141, NEMVE11809, NEMVE11355, NEMVE11214, NEMVE10424, NEMVE10535, NEMVE10632, NEMVE10426, NEMVE10474, NEMVE10479, NEMVE15004, NEMVE00616, NEMVE01360, NEMVE10139, NEMVE00722, NEMVE10481, NEMVE00708, NEMVE00807
OG0000026	AENJA_21657	NEMVE24164, NEMVE07469
OG0000027	AENJA_24558, AENJA_14831, AENJA_19912, AENJA_03490, AENJA_19914, AENJA_19915, AENJA_18849, AENJA_09326, AENJA_19460, AENJA_19462, AENJA_07845, AENJA_07844, AENJA_07843, AENJA_08256, AENJA_08253, AENJA_05706, AENJA_05707	NEMVE04577, NEMVE04559, NEMVE05475, NEMVE15843, NEMVE08337, NEMVE08327, NEMVE07686, NEMVE07706
OG0000028	AENJA_19954	NEMVE06026, NEMVE05984
OG0000029	AENJA_26395	NEMVE10355, NEMVE09829, NEMVE10357
OG0000030	AENJA_21030, AENJA_03309, AENJA_05226	NEMVE14217, NEMVE02377, NEMVE09974
OG0000031	AENJA_09856	NEMVE01854
OG0000031	AENJA_09858	NEMVE06981
OG0000031	AENJA_20966	NEMVE01806
OG0000031	AENJA_08759	NEMVE01412
OG0000031	AENJA_10722	NEMVE02343
OG0000031	AENJA_02955	NEMVE04984
OG0000031	AENJA_05740	NEMVE07820
OG0000031	AENJA_14258, AENJA_15917, AENJA_14260	NEMVE12067
OG0000031	AENJA_15028	NEMVE22486
OG0000032	AENJA_15565	NEMVE08961, NEMVE08817
OG0000032	AENJA_06513	NEMVE03085
OG0000033	AENJA_25005, AENJA_22775, AENJA_17956, AENJA_20306, AENJA_13272, AENJA_04460, AENJA_10095, AENJA_00313, AENJA_05637, AENJA_15145	NEMVE07263, NEMVE03185, NEMVE16828, NEMVE02598, NEMVE24679, NEMVE02584, NEMVE12391
OG0000033	AENJA_11651	NEMVE08069, NEMVE05676, NEMVE09285
