Orthogroup	AENJA_ok	YEAST
OG0000031	AENJA_15821, AENJA_09856, AENJA_09858, AENJA_20966, AENJA_08759, AENJA_10722, AENJA_02955, AENJA_05740, AENJA_14258, AENJA_15917, AENJA_14260, AENJA_15028	YEAST02238
OG0000034	AENJA_09849, AENJA_02790, AENJA_09850, AENJA_21749, AENJA_26717, AENJA_09845, AENJA_02791, AENJA_23686, AENJA_13785, AENJA_15701, AENJA_24919, AENJA_16616	YEAST04436, YEAST05550, YEAST05115
OG0000036	AENJA_22120, AENJA_22191, AENJA_22190, AENJA_26206, AENJA_19267, AENJA_16633, AENJA_06167, AENJA_03477, AENJA_19964, AENJA_15639, AENJA_09986, AENJA_15638, AENJA_15641, AENJA_15644, AENJA_21299, AENJA_21302, AENJA_21301, AENJA_09983, AENJA_16634, AENJA_26207, AENJA_16107	YEAST02545, YEAST02806
OG0000037	AENJA_19419, AENJA_19141, AENJA_21842, AENJA_00885, AENJA_06908, AENJA_02989, AENJA_17768, AENJA_10696, AENJA_20944, AENJA_05483, AENJA_06274, AENJA_13632, AENJA_06403, AENJA_22611, AENJA_22610	YEAST03227
OG0000038	AENJA_09926, AENJA_09925, AENJA_05691, AENJA_00416, AENJA_26313, AENJA_05694, AENJA_05695, AENJA_05692, AENJA_02876, AENJA_05698, AENJA_09724, AENJA_16130, AENJA_05693, AENJA_05697, AENJA_05700, AENJA_05696, AENJA_05701	YEAST04422, YEAST04379
OG0000043	AENJA_11260, AENJA_12781, AENJA_18038, AENJA_19392	YEAST00224, YEAST01200
OG0000048	AENJA_11619, AENJA_23226, AENJA_21270, AENJA_21713, AENJA_09360, AENJA_16735, AENJA_16736, AENJA_25506	YEAST05707
OG0000054	AENJA_06676, AENJA_23371, AENJA_12232, AENJA_06677	YEAST01385
OG0000055	AENJA_19390, AENJA_19388, AENJA_19387	YEAST01199, YEAST00225
OG0000058	AENJA_23345	YEAST02989
OG0000058	AENJA_12354, AENJA_14024, AENJA_26534, AENJA_10634	YEAST02120
OG0000069	AENJA_15982	YEAST03661
OG0000079	AENJA_16186, AENJA_02482, AENJA_17442, AENJA_11789, AENJA_10507, AENJA_05095	YEAST05330
OG0000082	AENJA_25747	YEAST04267, YEAST01834, YEAST03359
OG0000082	AENJA_11460	YEAST04992, YEAST00735
OG0000095	AENJA_19114, AENJA_16573, AENJA_22915, AENJA_07479, AENJA_11792, AENJA_11795, AENJA_02518, AENJA_18173, AENJA_25126, AENJA_11793, AENJA_23676	YEAST02993
OG0000096	AENJA_25727	YEAST02643
OG0000096	AENJA_21947, AENJA_08423, AENJA_09240, AENJA_14053	YEAST05104, YEAST05564
OG0000103	AENJA_10812, AENJA_14367	YEAST02873
OG0000113	AENJA_14458, AENJA_02203, AENJA_09826	YEAST00378, YEAST01351, YEAST05581
OG0000116	AENJA_23563, AENJA_23564, AENJA_17822	YEAST04456
OG0000122	AENJA_09263, AENJA_26721, AENJA_14198, AENJA_09459, AENJA_22788	YEAST04928
OG0000124	AENJA_03116, AENJA_25792	YEAST05021
OG0000124	AENJA_09769, AENJA_03187	YEAST04122
OG0000127	AENJA_11132, AENJA_20308, AENJA_04153, AENJA_17569, AENJA_00497, AENJA_11687	YEAST06208
OG0000128	AENJA_21735	YEAST01398, YEAST05967, YEAST05716
OG0000132	AENJA_18042	YEAST06016
OG0000137	AENJA_26083, AENJA_25528, AENJA_11173, AENJA_09533, AENJA_20614	YEAST01851, YEAST00637
OG0000142	AENJA_25989, AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249, AENJA_21733, AENJA_26417, AENJA_16857, AENJA_18146	YEAST02122
OG0000157	AENJA_07142	YEAST02851
OG0000158	AENJA_06739, AENJA_12334	YEAST05568
OG0000160	AENJA_20383, AENJA_06959, AENJA_13005	YEAST04194
OG0000175	AENJA_10259, AENJA_12556, AENJA_06264, AENJA_00936, AENJA_00556, AENJA_05120, AENJA_10260	YEAST00850, YEAST04327
OG0000179	AENJA_05305	YEAST01123, YEAST04430
OG0000179	AENJA_25279, AENJA_14465	YEAST02911, YEAST01281
OG0000179	AENJA_09174, AENJA_18216	YEAST04108, YEAST03346
OG0000181	AENJA_08843, AENJA_22272, AENJA_05116, AENJA_18867, AENJA_18892, AENJA_04368, AENJA_08840	YEAST00824, YEAST00771
OG0000186	AENJA_22491, AENJA_16129, AENJA_06752, AENJA_06753, AENJA_16122, AENJA_22490	YEAST00336
OG0000194	AENJA_10642, AENJA_01834	YEAST01410
OG0000195	AENJA_16048, AENJA_12573, AENJA_10227, AENJA_02703	YEAST03414
OG0000211	AENJA_25447, AENJA_09895, AENJA_19821, AENJA_00791, AENJA_02934, AENJA_21143, AENJA_10795	YEAST04964
OG0000221	AENJA_18945, AENJA_16769, AENJA_12084	YEAST05872
OG0000222	AENJA_10919, AENJA_15540	YEAST01460
OG0000225	AENJA_04793, AENJA_18668	YEAST06146
OG0000227	AENJA_15989, AENJA_15987, AENJA_15991	YEAST05815
OG0000228	AENJA_00460, AENJA_20374, AENJA_10515	YEAST04750
OG0000233	AENJA_15984, AENJA_01071, AENJA_13806, AENJA_04371	YEAST03726, YEAST03241, YEAST03242
OG0000238	AENJA_24755, AENJA_14161, AENJA_03329, AENJA_17228	YEAST06340, YEAST03834
OG0000240	AENJA_19535, AENJA_20534, AENJA_20529, AENJA_20532	YEAST03827
OG0000240	AENJA_09344	YEAST04973
OG0000242	AENJA_14245, AENJA_12414, AENJA_02018, AENJA_25996	YEAST00734
OG0000246	AENJA_23370, AENJA_10538, AENJA_10539, AENJA_20530, AENJA_11679, AENJA_05856, AENJA_05857, AENJA_05854, AENJA_23980, AENJA_21766	YEAST01746, YEAST01747
OG0000250	AENJA_21466, AENJA_01564, AENJA_18922, AENJA_05431, AENJA_25579	YEAST04716
OG0000255	AENJA_11302, AENJA_23771, AENJA_05199, AENJA_03525, AENJA_17033, AENJA_10693, AENJA_10691, AENJA_10694, AENJA_20407, AENJA_04940, AENJA_17159, AENJA_07356	YEAST02822
OG0000256	AENJA_24528, AENJA_04595, AENJA_22679, AENJA_05370, AENJA_07601, AENJA_13004	YEAST00266
OG0000258	AENJA_04201, AENJA_21764, AENJA_08669	YEAST00118
OG0000260	AENJA_02917, AENJA_18084, AENJA_23444	YEAST04323
OG0000265	AENJA_02918	YEAST03885, YEAST03714
OG0000272	AENJA_04696, AENJA_04697, AENJA_25855, AENJA_06572, AENJA_24245, AENJA_24884, AENJA_06955	YEAST02076, YEAST01066
OG0000274	AENJA_08883, AENJA_19422, AENJA_13452, AENJA_15148, AENJA_15151, AENJA_06609, AENJA_16582, AENJA_02680, AENJA_09511, AENJA_09513, AENJA_09516, AENJA_20225	YEAST02118, YEAST04573, YEAST01485
OG0000278	AENJA_24084	YEAST03847
OG0000278	AENJA_12104	YEAST04060
OG0000284	AENJA_03153, AENJA_16460, AENJA_16457, AENJA_23940, AENJA_23553, AENJA_12800, AENJA_09635, AENJA_14116, AENJA_03847, AENJA_00883, AENJA_14484, AENJA_03142, AENJA_20326	YEAST05621
OG0000289	AENJA_13824, AENJA_25023, AENJA_15869, AENJA_15870	YEAST00645
OG0000305	AENJA_01524, AENJA_20012, AENJA_20013, AENJA_23458	YEAST04899
OG0000308	AENJA_23339, AENJA_15829, AENJA_04225, AENJA_18481	YEAST02548
OG0000310	AENJA_12510, AENJA_19334, AENJA_10979, AENJA_16718, AENJA_13920, AENJA_20912, AENJA_20756	YEAST02635
OG0000312	AENJA_11345, AENJA_19966, AENJA_05337	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	AENJA_16242, AENJA_16057	YEAST05106
OG0000315	AENJA_20619	YEAST04684
OG0000316	AENJA_23705, AENJA_08472	YEAST01673
OG0000317	AENJA_15981, AENJA_16154, AENJA_18053	YEAST01356
OG0000321	AENJA_07424, AENJA_02624, AENJA_23362, AENJA_07423	YEAST03264
OG0000323	AENJA_15690, AENJA_22664, AENJA_20126	YEAST02249
OG0000326	AENJA_25612, AENJA_08013	YEAST06268, YEAST05286
OG0000326	AENJA_25861	YEAST03472, YEAST00720, YEAST00712, YEAST04873, YEAST02103, YEAST02102
OG0000327	AENJA_09087, AENJA_11801, AENJA_16140, AENJA_13471, AENJA_26486, AENJA_12542	YEAST01354
OG0000334	AENJA_18674, AENJA_08078, AENJA_20172, AENJA_19540, AENJA_16534, AENJA_18675, AENJA_11653, AENJA_06892, AENJA_10669, AENJA_22797, AENJA_22796, AENJA_24850, AENJA_10667, AENJA_10668	YEAST05626
OG0000338	AENJA_13192	YEAST02967
OG0000338	AENJA_22299	YEAST04211
OG0000343	AENJA_04274	YEAST03024, YEAST02736
OG0000345	AENJA_12976, AENJA_23748	YEAST01884
OG0000352	AENJA_13697, AENJA_04782, AENJA_25500, AENJA_11315	YEAST04069
OG0000357	AENJA_16412, AENJA_04794	YEAST01925
OG0000359	AENJA_14005, AENJA_07464, AENJA_09269	YEAST02489
OG0000363	AENJA_12906, AENJA_18208, AENJA_26154, AENJA_03399	YEAST04081, YEAST05870
OG0000365	AENJA_22716, AENJA_08243, AENJA_08242	YEAST05831
OG0000367	AENJA_21570, AENJA_21567, AENJA_15749	YEAST02141, YEAST03746, YEAST03210
OG0000372	AENJA_14610, AENJA_10537, AENJA_22918, AENJA_10254	YEAST05988
OG0000373	AENJA_10744, AENJA_18516	YEAST02023
OG0000373	AENJA_11897	YEAST04495, YEAST01417, YEAST05964
OG0000380	AENJA_15073, AENJA_11238, AENJA_23591, AENJA_06533, AENJA_00574, AENJA_17802, AENJA_15072, AENJA_07033, AENJA_02537, AENJA_08753, AENJA_20573, AENJA_13328, AENJA_08875, AENJA_15737	YEAST01047
OG0000385	AENJA_16044, AENJA_12666, AENJA_12667, AENJA_16346	YEAST03496
OG0000393	AENJA_20824	YEAST04072, YEAST04071
OG0000393	AENJA_11660	YEAST01302
OG0000397	AENJA_26085	YEAST05080
OG0000399	AENJA_09258, AENJA_25908, AENJA_11784, AENJA_23430, AENJA_13359, AENJA_24563, AENJA_03668, AENJA_14143	YEAST02160
OG0000400	AENJA_05665	YEAST05911
OG0000402	AENJA_01108, AENJA_20115	YEAST01657, YEAST01929
OG0000405	AENJA_21234	YEAST06055, YEAST00411
OG0000412	AENJA_26231, AENJA_11362	YEAST04469
OG0000413	AENJA_18235	YEAST04905, YEAST05340
OG0000413	AENJA_12102	YEAST02838
OG0000419	AENJA_02942, AENJA_25245, AENJA_25372, AENJA_25244	YEAST05989
OG0000420	AENJA_05214, AENJA_14372, AENJA_14000, AENJA_14371, AENJA_25418, AENJA_12757, AENJA_24304	YEAST03886
OG0000424	AENJA_15205, AENJA_15202, AENJA_26752	YEAST03563
OG0000426	AENJA_16516	YEAST03440
OG0000426	AENJA_15653	YEAST03848, YEAST01121
OG0000427	AENJA_16219, AENJA_26175	YEAST02655, YEAST02439
OG0000429	AENJA_21410, AENJA_01381	YEAST02285
OG0000431	AENJA_03019, AENJA_19097, AENJA_17426	YEAST04014
OG0000433	AENJA_24860, AENJA_10323	YEAST06177, YEAST00117
OG0000437	AENJA_24488, AENJA_24489	YEAST03074, YEAST02073
OG0000442	AENJA_21364, AENJA_20819, AENJA_08940	YEAST05012
OG0000444	AENJA_22469	YEAST01115, YEAST04019
OG0000445	AENJA_02867, AENJA_01957, AENJA_03366, AENJA_08087, AENJA_03365	YEAST03068
OG0000450	AENJA_18743, AENJA_10311	YEAST04709, YEAST05909
OG0000461	AENJA_10288	YEAST00120
OG0000467	AENJA_24285	YEAST03162
OG0000468	AENJA_06943, AENJA_02883, AENJA_02878, AENJA_08672, AENJA_12636	YEAST04372
OG0000469	AENJA_19006	YEAST02179, YEAST05440
OG0000469	AENJA_05512	YEAST02333, YEAST00863
OG0000474	AENJA_20251, AENJA_17737	YEAST02384
OG0000476	AENJA_25489, AENJA_12956, AENJA_25847, AENJA_03795, AENJA_24295, AENJA_10203, AENJA_21455, AENJA_20022, AENJA_00742	YEAST03038
OG0000479	AENJA_09587, AENJA_09588, AENJA_20878	YEAST04139
OG0000480	AENJA_10027, AENJA_23584, AENJA_25610, AENJA_14480, AENJA_23244	YEAST05750
OG0000481	AENJA_16592	YEAST01040
OG0000481	AENJA_22951	YEAST00916
OG0000481	AENJA_11417	YEAST00827, YEAST00774
OG0000484	AENJA_00628	YEAST05824
OG0000486	AENJA_24911, AENJA_01412, AENJA_01364, AENJA_22874	YEAST03122, YEAST04270
OG0000487	AENJA_25094, AENJA_24881, AENJA_24880	YEAST04968
OG0000487	AENJA_02732	YEAST02728
OG0000488	AENJA_10931	YEAST01414
OG0000490	AENJA_13962	YEAST04297, YEAST00894
OG0000505	AENJA_11465	YEAST03067
OG0000508	AENJA_05447, AENJA_18700, AENJA_18701	YEAST04626
OG0000510	AENJA_13229, AENJA_13230	YEAST04569, YEAST05730
OG0000519	AENJA_13197, AENJA_00264	YEAST04594, YEAST03616
OG0000520	AENJA_19532, AENJA_00693	YEAST02979
OG0000523	AENJA_23211, AENJA_01429	YEAST01952, YEAST05838, YEAST06082
OG0000529	AENJA_13079	YEAST05790, YEAST00048
OG0000534	AENJA_07190	YEAST04932
OG0000538	AENJA_23758	YEAST00499
OG0000549	AENJA_17344, AENJA_17342, AENJA_17318, AENJA_21943	YEAST06280, YEAST02610, YEAST05060
OG0000552	AENJA_18702, AENJA_23603	YEAST05717
OG0000561	AENJA_01455, AENJA_18412	YEAST06202, YEAST00331
OG0000562	AENJA_21496, AENJA_25856, AENJA_02716	YEAST00314
OG0000563	AENJA_25022, AENJA_03438	YEAST01406
OG0000566	AENJA_14810, AENJA_20531, AENJA_16653	YEAST05789, YEAST00049
OG0000573	AENJA_05835, AENJA_03220	YEAST05675
OG0000576	AENJA_05569	YEAST00470, YEAST00193
OG0000578	AENJA_09428	YEAST01208, YEAST00759
OG0000579	AENJA_18819, AENJA_12593, AENJA_20737, AENJA_22778	YEAST02484
OG0000582	AENJA_17591	YEAST03615
OG0000588	AENJA_02286, AENJA_21633	YEAST05197
OG0000590	AENJA_19774, AENJA_07046	YEAST05110, YEAST05552, YEAST03727
OG0000592	AENJA_12392, AENJA_13611	YEAST00388
OG0000597	AENJA_10748, AENJA_01626	YEAST04330
OG0000609	AENJA_03157	YEAST05180
OG0000612	AENJA_06346	YEAST02370
OG0000613	AENJA_08922, AENJA_20929	YEAST01072
OG0000623	AENJA_02871	YEAST02411
OG0000623	AENJA_17960	YEAST05090
OG0000627	AENJA_13466	YEAST02116, YEAST03957
OG0000639	AENJA_10965, AENJA_22126	YEAST02015
OG0000642	AENJA_02487, AENJA_00389, AENJA_26018	YEAST00618
OG0000645	AENJA_00673	YEAST05140
OG0000645	AENJA_22405	YEAST04743
OG0000647	AENJA_07172, AENJA_01826	YEAST04534
OG0000648	AENJA_04823, AENJA_04819	YEAST04178, YEAST05641
