Orthogroup	AENJA_ok	YEAST
OG0001326	AENJA_16742, AENJA_18964	YEAST05395
OG0001327	AENJA_18352, AENJA_26627	YEAST03176
OG0001332	AENJA_23263	YEAST03929, YEAST02705, YEAST00687
OG0001333	AENJA_23772	YEAST00728
OG0001341	AENJA_03707, AENJA_05111, AENJA_17935, AENJA_00473, AENJA_21191	YEAST06006
OG0001345	AENJA_17713, AENJA_01500, AENJA_25364	YEAST03613
OG0001353	AENJA_06742	YEAST00020, YEAST04041
OG0001363	AENJA_12332	YEAST06180
OG0001364	AENJA_13074	YEAST06038, YEAST00402
OG0001367	AENJA_16641	YEAST04688
OG0001368	AENJA_16737	YEAST01821
OG0001370	AENJA_17284	YEAST04067, YEAST05195, YEAST00897
OG0001371	AENJA_17844, AENJA_24112	YEAST00532, YEAST03976
OG0001372	AENJA_25899	YEAST00070
OG0001372	AENJA_17922	YEAST02226
OG0001375	AENJA_25362, AENJA_20082	YEAST05499, YEAST05567
OG0001378	AENJA_22766	YEAST02300
OG0001379	AENJA_23248	YEAST04155
OG0001386	AENJA_26718	YEAST05114
OG0001397	AENJA_05269, AENJA_01101	YEAST05731
OG0001400	AENJA_02508, AENJA_22499, AENJA_22498, AENJA_02507	YEAST02931
OG0001409	AENJA_06247	YEAST00885, YEAST04659
OG0001410	AENJA_18215, AENJA_06436	YEAST05046
OG0001411	AENJA_06963, AENJA_10958	YEAST04834
OG0001412	AENJA_07170	YEAST04490
OG0001413	AENJA_07474, AENJA_17340, AENJA_17343	YEAST04294
OG0001414	AENJA_08160	YEAST06070, YEAST01920
OG0001415	AENJA_15367	YEAST04230
OG0001415	AENJA_17665	YEAST00964
OG0001421	AENJA_13339	YEAST05252
OG0001422	AENJA_14173	YEAST05588, YEAST01363
OG0001424	AENJA_15682, AENJA_17237	YEAST01127
OG0001427	AENJA_17543	YEAST01885
OG0001428	AENJA_18858	YEAST04862, YEAST05862, YEAST02749, YEAST03037
OG0001430	AENJA_19108	YEAST01712
OG0001434	AENJA_26114, AENJA_26117	YEAST03991
OG0001445	AENJA_02385	YEAST01715
OG0001449	AENJA_04181	YEAST03188
OG0001449	AENJA_05517	YEAST05764
OG0001452	AENJA_05087	YEAST05900
OG0001454	AENJA_06306	YEAST01495, YEAST00573
OG0001456	AENJA_07027	YEAST00365
OG0001459	AENJA_18303, AENJA_08470	YEAST03073, YEAST03464
OG0001461	AENJA_09214	YEAST05255
OG0001468	AENJA_10995	YEAST03875, YEAST03904
OG0001469	AENJA_20582	YEAST02070
OG0001469	AENJA_11151	YEAST02765
OG0001470	AENJA_11625	YEAST00369, YEAST05375
OG0001472	AENJA_12236, AENJA_13235	YEAST03031
OG0001473	AENJA_13618	YEAST05711
OG0001474	AENJA_14700, AENJA_24781	YEAST01416, YEAST05312
OG0001478	AENJA_19708	YEAST01984
OG0001478	AENJA_15450	YEAST02078
OG0001479	AENJA_16158	YEAST01132
OG0001503	AENJA_23557	YEAST03032
OG0001503	AENJA_03755	YEAST02920
OG0001504	AENJA_04830, AENJA_04833, AENJA_15576, AENJA_04039	YEAST05406
OG0001505	AENJA_04619, AENJA_17806	YEAST03361
OG0001508	AENJA_06316	YEAST04143
OG0001515	AENJA_10215	YEAST03320
OG0001520	AENJA_12318	YEAST03872
OG0001524	AENJA_19275, AENJA_15536	YEAST03912
OG0001525	AENJA_16414	YEAST00757
OG0001527	AENJA_16808, AENJA_19917	YEAST01395
OG0001529	AENJA_18632	YEAST01143
OG0001530	AENJA_19473	YEAST00643
OG0001546	AENJA_02497, AENJA_09615, AENJA_02674, AENJA_04011	YEAST03111
OG0001550	AENJA_05034, AENJA_05035	YEAST02405, YEAST05953
OG0001551	AENJA_05503	YEAST04817
OG0001553	AENJA_06179	YEAST05147, YEAST01586
OG0001557	AENJA_13295	YEAST04671
OG0001557	AENJA_23342, AENJA_08073	YEAST04551
OG0001558	AENJA_08311	YEAST04449
OG0001559	AENJA_08667	YEAST00445, YEAST02434
OG0001561	AENJA_09420	YEAST06176
OG0001564	AENJA_11930	YEAST05390
OG0001570	AENJA_16842, AENJA_19842, AENJA_24461	YEAST04678
OG0001573	AENJA_19183	YEAST03285
OG0001578	AENJA_24180	YEAST01872
OG0001580	AENJA_25168	YEAST06270
OG0001590	AENJA_00406, AENJA_14826, AENJA_14823	YEAST03476, YEAST00717, YEAST03955
OG0001594	AENJA_16970, AENJA_01665, AENJA_04700, AENJA_09891	YEAST03418
OG0001597	AENJA_17835, AENJA_03457	YEAST01702
OG0001603	AENJA_05288, AENJA_25082, AENJA_05289	YEAST02584
OG0001604	AENJA_06276, AENJA_11253	YEAST01428
OG0001605	AENJA_06440	YEAST04101
OG0001609	AENJA_08323, AENJA_19787	YEAST02739
OG0001610	AENJA_08526, AENJA_08533, AENJA_08527, AENJA_09111, AENJA_08532	YEAST00596
OG0001612	AENJA_09589	YEAST01109
OG0001628	AENJA_16821, AENJA_21898, AENJA_21897, AENJA_25488	YEAST04790
OG0001653	AENJA_01256, AENJA_21125	YEAST01151
OG0001655	AENJA_03001	YEAST03354
OG0001657	AENJA_03268	YEAST00101, YEAST00944
OG0001663	AENJA_06086	YEAST05642
OG0001676	AENJA_26746	YEAST02848
OG0001676	AENJA_11724	YEAST06155
OG0001679	AENJA_16799, AENJA_17425	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	AENJA_16822	YEAST01119, YEAST04022
OG0001685	AENJA_18914	YEAST01147
OG0001687	AENJA_21090, AENJA_20311	YEAST05279
OG0001691	AENJA_24035	YEAST01315
OG0001704	AENJA_00857	YEAST01293
OG0001706	AENJA_00912	YEAST03424
OG0001707	AENJA_00981, AENJA_25581	YEAST06049, YEAST00407, YEAST04739
OG0001708	AENJA_01039	YEAST05744, YEAST05745
OG0001709	AENJA_12151, AENJA_01136	YEAST04440
OG0001713	AENJA_02209	YEAST04039
OG0001718	AENJA_02907	YEAST01537
OG0001721	AENJA_03497	YEAST04881, YEAST05253, YEAST00698
OG0001723	AENJA_04029, AENJA_12578	YEAST01435
OG0001727	AENJA_06020	YEAST04543
OG0001728	AENJA_08879, AENJA_09822	YEAST03347
OG0001730	AENJA_09007	YEAST00177
OG0001739	AENJA_15111	YEAST03760
OG0001745	AENJA_18802	YEAST01431
OG0001750	AENJA_22826	YEAST03628
OG0001754	AENJA_24677	YEAST03682
OG0001755	AENJA_24905	YEAST02688
OG0001756	AENJA_25749, AENJA_25480	YEAST00620
OG0001769	AENJA_00392, AENJA_14833	YEAST04726
OG0001770	AENJA_00514	YEAST02590
OG0001774	AENJA_01099, AENJA_09499	YEAST05166
OG0001775	AENJA_01192	YEAST05594
OG0001780	AENJA_03259, AENJA_03267, AENJA_06530	YEAST03768
OG0001781	AENJA_25405, AENJA_03406	YEAST01882
OG0001782	AENJA_04195, AENJA_22157	YEAST02421
OG0001785	AENJA_04786	YEAST02713
OG0001787	AENJA_05662	YEAST03546
OG0001792	AENJA_21975, AENJA_24891, AENJA_21976, AENJA_21971	YEAST04331
OG0001792	AENJA_06373	YEAST04595
OG0001793	AENJA_07131, AENJA_15294	YEAST02466
OG0001805	AENJA_10542	YEAST05496, YEAST01242
OG0001807	AENJA_12201	YEAST05464
OG0001808	AENJA_13026	YEAST01298
OG0001818	AENJA_18459	YEAST05902, YEAST04712
OG0001822	AENJA_21678	YEAST04378, YEAST01659
OG0001826	AENJA_23249	YEAST04777, YEAST01697, YEAST05781
OG0001828	AENJA_23757	YEAST04676
OG0001829	AENJA_24206	YEAST01613, YEAST00136, YEAST02008
OG0001831	AENJA_25733	YEAST00024
OG0001846	AENJA_23250, AENJA_00173	YEAST05067
OG0001850	AENJA_00766	YEAST01913
OG0001852	AENJA_01522, AENJA_13282, AENJA_18334	YEAST03121
OG0001853	AENJA_03214, AENJA_13354	YEAST05176
OG0001857	AENJA_04553	YEAST04741
OG0001860	AENJA_05152	YEAST00188
OG0001861	AENJA_25398, AENJA_11706, AENJA_05340	YEAST05779, YEAST04773
OG0001863	AENJA_14971, AENJA_06983	YEAST03017
OG0001866	AENJA_07311, AENJA_07312	YEAST05095, YEAST05570
OG0001867	AENJA_07397	YEAST01669
OG0001873	AENJA_08353, AENJA_24095	YEAST00981, YEAST00267
OG0001875	AENJA_09123, AENJA_16491	YEAST04137
OG0001877	AENJA_09356	YEAST04134
OG0001886	AENJA_14779	YEAST03260
OG0001888	AENJA_15918	YEAST05749, YEAST01573
OG0001893	AENJA_19715	YEAST01023
OG0001894	AENJA_21040	YEAST00433
OG0001899	AENJA_25912	YEAST01210, YEAST04466
OG0001913	AENJA_00224	YEAST05520
OG0001915	AENJA_00588	YEAST04791
OG0001917	AENJA_01170	YEAST01859
OG0001923	AENJA_03271	YEAST05881
OG0001926	AENJA_04624	YEAST02948
OG0001932	AENJA_07865	YEAST03770, YEAST03179
OG0001934	AENJA_08721	YEAST00877
OG0001935	AENJA_16826, AENJA_08803	YEAST00431
OG0001938	AENJA_09456	YEAST03931
OG0001940	AENJA_10312	YEAST04188, YEAST05646
OG0001943	AENJA_12411	YEAST02393, YEAST05966
OG0001945	AENJA_12644, AENJA_24575	YEAST01671
OG0001947	AENJA_13122	YEAST02570
OG0001951	AENJA_15959	YEAST00941, YEAST05396
OG0001952	AENJA_19250, AENJA_16307	YEAST04673, YEAST01990, YEAST00155
OG0001965	AENJA_21031, AENJA_26304	YEAST04582
OG0001968	AENJA_22770	YEAST04910
OG0001969	AENJA_23560	YEAST06173
OG0001972	AENJA_26436	YEAST01822, YEAST03363
OG0001985	AENJA_00265	YEAST04959
OG0001992	AENJA_04726, AENJA_03071	YEAST02679
OG0001998	AENJA_04890	YEAST00890
OG0002001	AENJA_07130, AENJA_13848	YEAST00502, YEAST03944
OG0002003	AENJA_07348, AENJA_16965	YEAST02826, YEAST03671
OG0002008	AENJA_09596	YEAST00768
OG0002010	AENJA_11279	YEAST00609
OG0002013	AENJA_12704, AENJA_12703	YEAST03040
OG0002014	AENJA_13118	YEAST02422
OG0002015	AENJA_13757	YEAST05525
OG0002025	AENJA_16933	YEAST03650
OG0002026	AENJA_17399, AENJA_20637	YEAST01247
OG0002029	AENJA_17966, AENJA_23173	YEAST02646
OG0002031	AENJA_20118	YEAST02752
OG0002032	AENJA_20630	YEAST01221
OG0002059	AENJA_02772	YEAST05893, YEAST04718
OG0002062	AENJA_03055	YEAST05454
OG0002063	AENJA_14140, AENJA_04991	YEAST00838
OG0002067	AENJA_05900	YEAST03444
OG0002069	AENJA_06511	YEAST05962
OG0002073	AENJA_09126, AENJA_08139	YEAST04552
OG0002076	AENJA_09702	YEAST02206
OG0002078	AENJA_10297	YEAST06232
OG0002079	AENJA_10742, AENJA_19098	YEAST05765, YEAST00483
OG0002080	AENJA_12041	YEAST05220, YEAST04736
OG0002084	AENJA_17921, AENJA_14845, AENJA_17915, AENJA_25742	YEAST04529
OG0002087	AENJA_23537, AENJA_15799	YEAST05702
OG0002090	AENJA_19678	YEAST02246
OG0002093	AENJA_20905	YEAST02255
OG0002097	AENJA_21956	YEAST02697
OG0002101	AENJA_24473	YEAST03902
OG0002103	AENJA_24883	YEAST05974
OG0002106	AENJA_25552, AENJA_25673	YEAST03654
OG0002108	AENJA_26100	YEAST03715
OG0002123	AENJA_00359	YEAST02444
OG0002125	AENJA_00917	YEAST05183
OG0002131	AENJA_05093, AENJA_06526, AENJA_03621	YEAST04275
OG0002137	AENJA_15350, AENJA_06237	YEAST04320
OG0002138	AENJA_06936	YEAST02406
OG0002144	AENJA_10174	YEAST02673
OG0002146	AENJA_10360	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	AENJA_10898	YEAST04532, YEAST01219
OG0002148	AENJA_10936, AENJA_17931	YEAST02060
OG0002152	AENJA_11762	YEAST05624
OG0002156	AENJA_12297	YEAST03007
OG0002160	AENJA_13922	YEAST03960
OG0002165	AENJA_16068	YEAST04504
OG0002168	AENJA_16471, AENJA_23270	YEAST00516
OG0002169	AENJA_17912	YEAST02258
OG0002175	AENJA_18688	YEAST04956
OG0002184	AENJA_22069	YEAST00242
OG0002185	AENJA_22305	YEAST05212
OG0002188	AENJA_22979	YEAST04638, YEAST03913
OG0002189	AENJA_23289, AENJA_24476	YEAST02882, YEAST04447
OG0002213	AENJA_00491	YEAST01241, YEAST05495
OG0002216	AENJA_06974, AENJA_00740, AENJA_06973	YEAST06040
OG0002217	AENJA_01250, AENJA_10139	YEAST06033
OG0002222	AENJA_01746	YEAST03240
OG0002224	AENJA_02077	YEAST01574
OG0002225	AENJA_02179	YEAST04939
OG0002226	AENJA_02285, AENJA_21347	YEAST00948
OG0002228	AENJA_02422	YEAST04154, YEAST05632
OG0002233	AENJA_04151	YEAST00277
OG0002239	AENJA_05630	YEAST01621
OG0002241	AENJA_06217	YEAST02005
OG0002243	AENJA_06283	YEAST04599, YEAST03601, YEAST04600
OG0002244	AENJA_20811, AENJA_25845, AENJA_06734, AENJA_20367, AENJA_25846, AENJA_11508	YEAST02768
OG0002252	AENJA_24190, AENJA_19865, AENJA_09873	YEAST00826
OG0002261	AENJA_13619	YEAST00472
OG0002264	AENJA_14565	YEAST01705
OG0002279	AENJA_21727	YEAST05800
OG0002282	AENJA_23640	YEAST00881
OG0002288	AENJA_25474	YEAST01591, YEAST05154
OG0002292	AENJA_26405	YEAST00152
OG0002312	AENJA_00869	YEAST06295
OG0002316	AENJA_01956	YEAST01805
OG0002318	AENJA_02715, AENJA_16923, AENJA_16483	YEAST02923
OG0002319	AENJA_03189	YEAST00329
OG0002321	AENJA_03802	YEAST02461
OG0002324	AENJA_19401, AENJA_05816	YEAST02615, YEAST06287
OG0002326	AENJA_06622, AENJA_06618	YEAST00310, YEAST02699
OG0002327	AENJA_22580, AENJA_06976	YEAST00346, YEAST06217
OG0002331	AENJA_08499	YEAST01653
OG0002332	AENJA_09253	YEAST01606, YEAST05184, YEAST00285
OG0002341	AENJA_11703	YEAST03640, YEAST04562
OG0002344	AENJA_13012, AENJA_13013	YEAST02312, YEAST02019
OG0002346	AENJA_13792	YEAST02012
OG0002348	AENJA_15315	YEAST01845
OG0002355	AENJA_18224	YEAST00016
OG0002356	AENJA_18622	YEAST00259
OG0002361	AENJA_19370	YEAST01027
OG0002367	AENJA_22340, AENJA_23782	YEAST01179
OG0002369	AENJA_22567	YEAST03766
OG0002374	AENJA_25507	YEAST02010, YEAST00133
OG0002377	AENJA_26503	YEAST05000
OG0002406	AENJA_04613	YEAST05509
OG0002407	AENJA_04703	YEAST00012
OG0002409	AENJA_05961	YEAST02027
OG0002411	AENJA_07692, AENJA_07684	YEAST05950, YEAST02407
OG0002412	AENJA_07876	YEAST06171
OG0002413	AENJA_18117, AENJA_07911	YEAST01196
OG0002415	AENJA_08809, AENJA_08808	YEAST01271
OG0002421	AENJA_11342, AENJA_23395	YEAST02982
OG0002422	AENJA_11769	YEAST05026
OG0002426	AENJA_12348	YEAST00184
OG0002441	AENJA_17578	YEAST00068, YEAST02278, YEAST05821
OG0002442	AENJA_19513	YEAST05932
OG0002443	AENJA_19788, AENJA_19789	YEAST04906
OG0002446	AENJA_21367	YEAST04254
OG0002448	AENJA_23309	YEAST00626
OG0002448	AENJA_22030	YEAST03419
OG0002450	AENJA_22561	YEAST04575
OG0002453	AENJA_24398	YEAST00512
OG0002476	AENJA_00015, AENJA_24202	YEAST05799
OG0002486	AENJA_22266, AENJA_12065, AENJA_02025	YEAST01433
OG0002492	AENJA_02686	YEAST01624
OG0002494	AENJA_03043	YEAST02402
OG0002495	AENJA_03162	YEAST02772
OG0002497	AENJA_04655	YEAST02747
OG0002500	AENJA_05082	YEAST05648
OG0002505	AENJA_07007	YEAST02959
OG0002510	AENJA_07822	YEAST04753
OG0002516	AENJA_22367, AENJA_09582	YEAST00066
OG0002518	AENJA_09754	YEAST02890
OG0002520	AENJA_10489	YEAST05256
OG0002523	AENJA_11036	YEAST06234
OG0002527	AENJA_11560	YEAST01639
OG0002528	AENJA_11715	YEAST00372
OG0002530	AENJA_12467	YEAST05530, YEAST03790
OG0002532	AENJA_13222	YEAST03235
OG0002533	AENJA_13514	YEAST04525
OG0002543	AENJA_15970	YEAST00527
OG0002557	AENJA_22119	YEAST06243
OG0002561	AENJA_23733, AENJA_26836	YEAST04438, YEAST02106
OG0002562	AENJA_24354	YEAST03992
OG0002564	AENJA_24782	YEAST02186
OG0002565	AENJA_24939	YEAST04224, YEAST02499
OG0002570	AENJA_26246	YEAST00592
OG0002594	AENJA_08034, AENJA_01113, AENJA_05641	YEAST06174
OG0002598	AENJA_19208, AENJA_02160	YEAST04621, YEAST03577
OG0002605	AENJA_04724, AENJA_04725	YEAST06332
OG0002608	AENJA_05149	YEAST03716, YEAST02846
OG0002609	AENJA_05158	YEAST01355
OG0002610	AENJA_05401	YEAST01078, YEAST03973
OG0002612	AENJA_06862	YEAST03508
OG0002617	AENJA_07485	YEAST00866
OG0002618	AENJA_26393, AENJA_07573	YEAST06247
OG0002621	AENJA_23070, AENJA_07837	YEAST05551
OG0002629	AENJA_09742, AENJA_14911	YEAST05919
OG0002632	AENJA_10800	YEAST02755
OG0002633	AENJA_10970	YEAST04206
OG0002636	AENJA_11871	YEAST01664, YEAST06215
OG0002638	AENJA_12588	YEAST00919, YEAST04703
OG0002643	AENJA_13808	YEAST01938
OG0002644	AENJA_13822	YEAST00724
OG0002645	AENJA_17636, AENJA_16911, AENJA_13967	YEAST01436
OG0002646	AENJA_14082, AENJA_14081	YEAST01946
OG0002651	AENJA_16730	YEAST02868
OG0002652	AENJA_17178	YEAST04937
OG0002656	AENJA_18631	YEAST05701
OG0002659	AENJA_19544	YEAST06290
OG0002666	AENJA_21371	YEAST02507
OG0002668	AENJA_22301	YEAST02324
OG0002677	AENJA_24115	YEAST05210
OG0002705	AENJA_00396	YEAST00553
OG0002713	AENJA_24272, AENJA_11110, AENJA_24274, AENJA_24275, AENJA_02692	YEAST00413, YEAST06057
OG0002715	AENJA_02725	YEAST01174, YEAST04131
OG0002717	AENJA_03489	YEAST02430
OG0002718	AENJA_03576, AENJA_22285	YEAST03380, YEAST03502
OG0002720	AENJA_04824	YEAST01914
OG0002722	AENJA_05319	YEAST04059
OG0002726	AENJA_24284, AENJA_17586, AENJA_06393	YEAST02958
OG0002729	AENJA_10262, AENJA_07855, AENJA_13538, AENJA_11456	YEAST01155
OG0002737	AENJA_10144	YEAST02827
OG0002739	AENJA_23418, AENJA_10424	YEAST01877
OG0002740	AENJA_10478	YEAST01658
OG0002742	AENJA_11246	YEAST03713
OG0002743	AENJA_11676	YEAST01824, YEAST03362
OG0002745	AENJA_12347	YEAST04244
OG0002746	AENJA_12370	YEAST04902, YEAST05332
OG0002747	AENJA_13285	YEAST05617
OG0002749	AENJA_13469, AENJA_25924	YEAST02810
OG0002750	AENJA_13825, AENJA_23058	YEAST04952
OG0002752	AENJA_14300	YEAST03686
OG0002753	AENJA_14354	YEAST03742
OG0002754	AENJA_14712	YEAST03620
OG0002756	AENJA_14955, AENJA_16000	YEAST04058
OG0002758	AENJA_15361	YEAST04409
OG0002760	AENJA_15553, AENJA_19974, AENJA_22798	YEAST01927
OG0002761	AENJA_15660	YEAST03261
OG0002763	AENJA_17978	YEAST00260
OG0002764	AENJA_17995	YEAST00423
OG0002765	AENJA_18242	YEAST01667, YEAST05523
OG0002766	AENJA_18864	YEAST05357
OG0002767	AENJA_18908	YEAST04591
OG0002771	AENJA_19705	YEAST02043
OG0002772	AENJA_20331	YEAST03384
OG0002773	AENJA_20591	YEAST03677
OG0002774	AENJA_20726	YEAST03575
OG0002775	AENJA_20727	YEAST03021
OG0002781	AENJA_21782	YEAST05450
OG0002782	AENJA_22198	YEAST02121
OG0002785	AENJA_23498	YEAST06106, YEAST01228
OG0002788	AENJA_24424	YEAST02578, YEAST01232
OG0002789	AENJA_25550, AENJA_24835	YEAST05269
OG0002793	AENJA_26539, AENJA_26542	YEAST01371
OG0002817	AENJA_00735	YEAST01189, YEAST04922
OG0002824	AENJA_01440	YEAST02137
OG0002826	AENJA_02168	YEAST00174
OG0002827	AENJA_02347	YEAST05976
OG0002828	AENJA_02401	YEAST00227, YEAST00963
OG0002831	AENJA_02800, AENJA_02799	YEAST03282
OG0002835	AENJA_04456	YEAST02656
OG0002837	AENJA_05456	YEAST01987, YEAST00157
OG0002839	AENJA_06051	YEAST03148
OG0002843	AENJA_06434	YEAST04737
OG0002844	AENJA_06497, AENJA_06632	YEAST05563
OG0002847	AENJA_07384	YEAST02294
OG0002851	AENJA_09890	YEAST04951
OG0002855	AENJA_10897	YEAST00137
OG0002860	AENJA_12346	YEAST02712
OG0002866	AENJA_14387	YEAST01136
OG0002876	AENJA_16221	YEAST02348
OG0002877	AENJA_16701	YEAST04537
OG0002883	AENJA_18948	YEAST03027
OG0002891	AENJA_20333	YEAST03205
OG0002893	AENJA_20681	YEAST03653
OG0002894	AENJA_20837	YEAST00906
OG0002895	AENJA_21152	YEAST01471, YEAST05353, YEAST05456
OG0002897	AENJA_22085	YEAST06308
OG0002899	AENJA_22623	YEAST00283
OG0002900	AENJA_25988, AENJA_22681	YEAST05306
OG0002907	AENJA_23794	YEAST02061
OG0002910	AENJA_24759	YEAST00223
OG0002915	AENJA_26181	YEAST02264
OG0002917	AENJA_26763	YEAST03703
OG0002947	AENJA_00803, AENJA_14586	YEAST00232
OG0002948	AENJA_09024, AENJA_17830, AENJA_00811	YEAST03584
OG0002949	AENJA_00985	YEAST00419, YEAST06063
OG0002952	AENJA_03492, AENJA_01286, AENJA_01288	YEAST05257
OG0002953	AENJA_01495	YEAST03034
OG0002957	AENJA_02431	YEAST03253
OG0002960	AENJA_02770	YEAST05502
OG0002965	AENJA_03749	YEAST03804
OG0002966	AENJA_06648, AENJA_03777	YEAST06059
OG0002968	AENJA_03998	YEAST00199
OG0002969	AENJA_04473	YEAST00655
OG0002982	AENJA_07566	YEAST02471
OG0002984	AENJA_08233	YEAST00961, YEAST01144
OG0002985	AENJA_08394	YEAST02147
OG0002987	AENJA_08505	YEAST02970, YEAST00081, YEAST02488
OG0002991	AENJA_09631, AENJA_22593	YEAST03345, YEAST01842
OG0002997	AENJA_25602, AENJA_11131	YEAST02374
OG0003001	AENJA_18654, AENJA_11581	YEAST01497
OG0003004	AENJA_11848	YEAST02183
OG0003006	AENJA_12351	YEAST00899
OG0003010	AENJA_14073	YEAST03035
OG0003012	AENJA_14839	YEAST04512
OG0003016	AENJA_15608, AENJA_21110, AENJA_15615	YEAST04810
OG0003017	AENJA_15754	YEAST02213
OG0003018	AENJA_15825	YEAST01635, YEAST01949
OG0003020	AENJA_16040, AENJA_19439, AENJA_16041	YEAST04851
OG0003027	AENJA_17824	YEAST05498
OG0003028	AENJA_17984	YEAST05822
OG0003029	AENJA_18248	YEAST04523
OG0003033	AENJA_18723	YEAST02457, YEAST02640
OG0003039	AENJA_21140	YEAST00055
OG0003043	AENJA_21648	YEAST02551
OG0003046	AENJA_21816	YEAST01632
OG0003054	AENJA_24441	YEAST04909, YEAST05341
OG0003056	AENJA_24565, AENJA_24568	YEAST02257
OG0003059	AENJA_24855	YEAST02832, YEAST03675
OG0003063	AENJA_25761	YEAST00204
OG0003066	AENJA_26723	YEAST00969
OG0003101	AENJA_00164	YEAST01357
OG0003104	AENJA_00844, AENJA_00412	YEAST00861
OG0003105	AENJA_00483	YEAST04282
OG0003106	AENJA_00659	YEAST03619
OG0003107	AENJA_00765	YEAST00029
OG0003108	AENJA_01637	YEAST00796
OG0003110	AENJA_01831	YEAST02197
OG0003114	AENJA_02181	YEAST00453, YEAST02426
OG0003119	AENJA_03324	YEAST00778
OG0003121	AENJA_03733	YEAST03190
OG0003126	AENJA_13311, AENJA_04114, AENJA_20192	YEAST00300
OG0003131	AENJA_04699	YEAST04435, YEAST04350
OG0003135	AENJA_05506	YEAST02069
OG0003138	AENJA_05937	YEAST01790, YEAST00784
OG0003145	AENJA_06906	YEAST06012
OG0003147	AENJA_07167	YEAST03729
OG0003151	AENJA_07870	YEAST03910
OG0003153	AENJA_08315	YEAST05438
OG0003154	AENJA_08755, AENJA_24160, AENJA_24621	YEAST00694
OG0003157	AENJA_09315, AENJA_09314	YEAST01203
OG0003164	AENJA_13680, AENJA_10532	YEAST05549, YEAST04492
OG0003169	AENJA_11201, AENJA_11198	YEAST04410
OG0003172	AENJA_11593	YEAST06030
OG0003174	AENJA_12148, AENJA_18390	YEAST06178
OG0003178	AENJA_12804	YEAST05823
OG0003179	AENJA_12977	YEAST00905
OG0003182	AENJA_13237	YEAST05565
OG0003189	AENJA_15393	YEAST00820
OG0003190	AENJA_16189, AENJA_16188	YEAST02550
OG0003191	AENJA_16289	YEAST01068
OG0003193	AENJA_16359	YEAST02494
OG0003197	AENJA_17257	YEAST06274
OG0003199	AENJA_17478	YEAST04961
OG0003207	AENJA_19792, AENJA_19791	YEAST04056
OG0003212	AENJA_20864	YEAST05531
OG0003214	AENJA_21694	YEAST03701
OG0003215	AENJA_22196	YEAST04373
OG0003218	AENJA_23390	YEAST04068
OG0003219	AENJA_23468	YEAST01656
OG0003220	AENJA_23504	YEAST03417, YEAST00186
OG0003221	AENJA_23575	YEAST05064
OG0003223	AENJA_24204	YEAST04472
OG0003228	AENJA_25997	YEAST06187
OG0003230	AENJA_26243	YEAST05487
OG0003251	AENJA_00517	YEAST05338, YEAST04904
OG0003254	AENJA_01261	YEAST03911
OG0003257	AENJA_01488, AENJA_01489	YEAST02741
OG0003263	AENJA_03032	YEAST05333
OG0003264	AENJA_03403	YEAST03398
OG0003266	AENJA_03526	YEAST05585
OG0003267	AENJA_03748	YEAST02516
OG0003270	AENJA_04789	YEAST01372, YEAST05351, YEAST01476
OG0003277	AENJA_06595	YEAST03706
OG0003283	AENJA_08388, AENJA_08386, AENJA_08389	YEAST02779
OG0003284	AENJA_08806	YEAST02184
OG0003287	AENJA_08945	YEAST00166
OG0003288	AENJA_08988	YEAST05062
OG0003290	AENJA_09114	YEAST06325
OG0003293	AENJA_10140	YEAST04930
OG0003295	AENJA_10278	YEAST06127
OG0003300	AENJA_16801, AENJA_10987	YEAST03316
OG0003301	AENJA_11385	YEAST03267
OG0003302	AENJA_11409	YEAST04633
OG0003303	AENJA_23721, AENJA_11641	YEAST05878
OG0003304	AENJA_11712, AENJA_18633	YEAST01018
OG0003316	AENJA_13112	YEAST04887
OG0003317	AENJA_13550	YEAST03051
OG0003318	AENJA_13567	YEAST02158
OG0003332	AENJA_15526	YEAST02945, YEAST00447
OG0003335	AENJA_15787	YEAST01260
OG0003340	AENJA_16463	YEAST04972
OG0003341	AENJA_17359	YEAST00990
OG0003343	AENJA_17465, AENJA_17471, AENJA_17472	YEAST04356, YEAST06258
OG0003344	AENJA_17550	YEAST04764
OG0003345	AENJA_17754, AENJA_22123	YEAST02133
OG0003348	AENJA_18879	YEAST02844
OG0003349	AENJA_18916	YEAST00235, YEAST04798
OG0003356	AENJA_21005, AENJA_21006	YEAST02937
OG0003357	AENJA_21046	YEAST04240, YEAST02522
OG0003364	AENJA_21855	YEAST00730
OG0003366	AENJA_22253	YEAST05276, YEAST03075
OG0003373	AENJA_24423	YEAST03755
OG0003374	AENJA_24682, AENJA_24683	YEAST03627
OG0003375	AENJA_24824	YEAST03722
OG0003377	AENJA_24906	YEAST03340
OG0003380	AENJA_25323	YEAST00529
OG0003381	AENJA_25399	YEAST03447, YEAST01380
OG0003382	AENJA_25400	YEAST01627
OG0003386	AENJA_26435	YEAST02725
OG0003425	AENJA_01194	YEAST05084
OG0003426	AENJA_01257	YEAST05251
OG0003428	AENJA_01568	YEAST04550, YEAST01154
OG0003429	AENJA_01963	YEAST05921
OG0003430	AENJA_02400	YEAST04732
OG0003434	AENJA_02675	YEAST02689
OG0003435	AENJA_02757	YEAST05483
