Orthogroup	AENJA_ok	MOUSE
OG0000006	AENJA_13126	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	AENJA_02691	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	AENJA_20911	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	AENJA_07226	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	AENJA_22522	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	AENJA_09814	MOUSE38532, MOUSE38531
OG0000006	AENJA_00662	MOUSE10280
OG0000006	AENJA_07549, AENJA_15373	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	AENJA_18450	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	AENJA_01590	MOUSE08011, MOUSE15296
OG0000006	AENJA_09210	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	AENJA_15474	MOUSE03398
OG0000007	AENJA_18325	MOUSE09063, MOUSE49748
OG0000007	AENJA_18163	MOUSE51845, MOUSE20686
OG0000007	AENJA_00810	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	AENJA_25020	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	AENJA_23908	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	AENJA_19234	MOUSE52320
OG0000007	AENJA_18326	MOUSE49749
OG0000007	AENJA_06479, AENJA_16018	MOUSE13954
OG0000007	AENJA_18328	MOUSE09062, MOUSE49739
OG0000007	AENJA_07359	MOUSE38585
OG0000007	AENJA_09687	MOUSE04689, MOUSE37388
OG0000007	AENJA_07358	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	AENJA_11277	MOUSE38586, MOUSE06525
OG0000007	AENJA_22886	MOUSE06204
OG0000007	AENJA_16981	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
OG0000007	AENJA_26507	MOUSE07031, MOUSE07030
OG0000008	AENJA_15934, AENJA_26738	MOUSE25500, MOUSE17513, MOUSE17514, MOUSE33182
OG0000008	AENJA_24404, AENJA_14450	MOUSE25728
OG0000010	AENJA_14735	MOUSE46557
OG0000010	AENJA_20491	MOUSE43879
OG0000010	AENJA_00347	MOUSE14717
OG0000011	AENJA_03543, AENJA_24193	MOUSE08113
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000012	AENJA_02869	MOUSE49305, MOUSE49307, MOUSE49306, MOUSE49299, MOUSE49298, MOUSE49301, MOUSE49308, MOUSE49304, MOUSE49302, MOUSE49309
OG0000014	AENJA_25536	MOUSE00504, MOUSE00505, MOUSE00503, MOUSE54686
OG0000014	AENJA_02819, AENJA_17724, AENJA_13039, AENJA_13036, AENJA_17723, AENJA_02820, AENJA_17722, AENJA_02818	MOUSE04191
OG0000015	AENJA_19636	MOUSE03220, MOUSE03221, MOUSE36411, MOUSE36410, MOUSE44503, MOUSE44502, MOUSE44501, MOUSE44500
