Orthogroup	AENJA_ok	LYTVA_ok
OG0000009	AENJA_04378	LYTVA_08221, LYTVA_08216
OG0000009	AENJA_20987, AENJA_03242, AENJA_20470, AENJA_24892	LYTVA_11963
OG0000009	AENJA_10638	LYTVA_00908
OG0000009	AENJA_13736, AENJA_17094	LYTVA_28432
OG0000009	AENJA_03229, AENJA_08449	LYTVA_02205
OG0000009	AENJA_02891	LYTVA_03649
OG0000009	AENJA_01343	LYTVA_21418
OG0000009	AENJA_09256	LYTVA_29726, LYTVA_09948, LYTVA_07513, LYTVA_08964, LYTVA_09966, LYTVA_22916
OG0000009	AENJA_15566	LYTVA_03297
OG0000009	AENJA_14084, AENJA_13529, AENJA_22419, AENJA_21438, AENJA_05572	LYTVA_22901, LYTVA_28165
OG0000009	AENJA_12983	LYTVA_10698, LYTVA_02136, LYTVA_14470
OG0000009	AENJA_26815, AENJA_17953	LYTVA_00127, LYTVA_29384
OG0000009	AENJA_24005, AENJA_00782	LYTVA_14775
OG0000009	AENJA_19291, AENJA_12021, AENJA_05571, AENJA_12773, AENJA_23978, AENJA_05392, AENJA_05099, AENJA_11504, AENJA_00189, AENJA_22152, AENJA_11549, AENJA_13947, AENJA_18570	LYTVA_30063, LYTVA_15489
OG0000010	AENJA_14735	LYTVA_28049, LYTVA_14417, LYTVA_22894
OG0000010	AENJA_20491	LYTVA_09270
OG0000011	AENJA_04598	LYTVA_15574
OG0000011	AENJA_06710	LYTVA_26033
OG0000011	AENJA_10554, AENJA_20178, AENJA_19192	LYTVA_13841
OG0000011	AENJA_02877, AENJA_17352	LYTVA_28284
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	LYTVA_29140
OG0000011	AENJA_23691	LYTVA_27141
OG0000011	AENJA_08871, AENJA_09595, AENJA_20150, AENJA_13507, AENJA_21384, AENJA_24664	LYTVA_25384
OG0000011	AENJA_01682	LYTVA_21583
OG0000011	AENJA_24133, AENJA_12015	LYTVA_18878
OG0000011	AENJA_00474, AENJA_17934	LYTVA_18199
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861	LYTVA_11199, LYTVA_24773
OG0000012	AENJA_02014	LYTVA_27764
OG0000012	AENJA_22984, AENJA_22983	LYTVA_27819, LYTVA_13632, LYTVA_19503, LYTVA_04725, LYTVA_24982, LYTVA_01955, LYTVA_01082, LYTVA_04724, LYTVA_28598, LYTVA_04726, LYTVA_05905, LYTVA_16828
OG0000012	AENJA_02869	LYTVA_12515, LYTVA_06149
OG0000013	AENJA_11516	LYTVA_22713, LYTVA_22716
OG0000014	AENJA_09518, AENJA_09012	LYTVA_29722
OG0000014	AENJA_17358	LYTVA_19649, LYTVA_07770, LYTVA_25588, LYTVA_00400
OG0000014	AENJA_12276, AENJA_23299	LYTVA_09996
OG0000014	AENJA_25536	LYTVA_13955
OG0000015	AENJA_25011	LYTVA_19488
OG0000015	AENJA_19636	LYTVA_26004
OG0000015	AENJA_18653	LYTVA_26002
OG0000015	AENJA_17614	LYTVA_09631, LYTVA_17348, LYTVA_06152
OG0000015	AENJA_02597	LYTVA_06792
OG0000016	AENJA_04814, AENJA_14549	LYTVA_02179
OG0000016	AENJA_07664	LYTVA_09460, LYTVA_20745
OG0000016	AENJA_15459	LYTVA_05193
OG0000016	AENJA_11513	LYTVA_21831, LYTVA_18288
OG0000016	AENJA_26671, AENJA_26677	LYTVA_27143
OG0000016	AENJA_21813, AENJA_16651	LYTVA_00562
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034
OG0000017	AENJA_25826, AENJA_19043	LYTVA_11588
OG0000017	AENJA_21177, AENJA_06799, AENJA_08416, AENJA_23360, AENJA_14486, AENJA_04643, AENJA_00407	LYTVA_10434
OG0000017	AENJA_00442	LYTVA_20423, LYTVA_02523, LYTVA_13694, LYTVA_17853, LYTVA_14292
