Orthogroup	AENJA_ok	PFLAV
OG0000096	AENJA_14053	TCONS_00056616.p1
OG0000097	AENJA_19407, AENJA_02407	TCONS_00016316.p1
OG0000097	AENJA_16144	TCONS_00036984.p1, TCONS_00027723.p1, TCONS_00027720.p1, TCONS_00027714.p1, TCONS_00027719.p1, TCONS_00027716.p1, TCONS_00037971.p1, TCONS_00037945.p1, TCONS_00037972.p1
OG0000097	AENJA_07989, AENJA_07990, AENJA_20179, AENJA_07992, AENJA_18648, AENJA_07730	TCONS_00048694.p1, TCONS_00048499.p1, TCONS_00048496.p1, TCONS_00048878.p1, TCONS_00048194.p1, TCONS_00049546.p1, TCONS_00049545.p1, TCONS_00049498.p1, TCONS_00049497.p1, TCONS_00023278.p1, TCONS_00048140.p1, TCONS_00049544.p1, TCONS_00003772.p1, TCONS_00003751.p1, TCONS_00002819.p1, TCONS_00017318.p1, TCONS_00002820.p1, TCONS_00002818.p1, TCONS_00018354.p1, TCONS_00048697.p1, TCONS_00048880.p1, TCONS_00048881.p1, TCONS_00045206.p1, TCONS_00047416.p1, TCONS_00047411.p1, TCONS_00047402.p1, TCONS_00047403.p1, TCONS_00047400.p1, TCONS_00047401.p1, TCONS_00047405.p1, TCONS_00048498.p1, TCONS_00048776.p1, TCONS_00048779.p1, TCONS_00048780.p1, TCONS_00048607.p1, TCONS_00048500.p1
OG0000098	AENJA_16173	TCONS_00040287.p1, TCONS_00040267.p1, TCONS_00040318.p1, TCONS_00040270.p1, TCONS_00040251.p1, TCONS_00013593.p1, TCONS_00035801.p1, TCONS_00035806.p1, TCONS_00035827.p1, TCONS_00041264.p1, TCONS_00013256.p1, TCONS_00040260.p1, TCONS_00012468.p1, TCONS_00013257.p1
OG0000098	AENJA_10136, AENJA_10137	TCONS_00019738.p1
OG0000098	AENJA_15215	TCONS_00029742.p1
OG0000098	AENJA_03419, AENJA_23542, AENJA_23540	TCONS_00026281.p1
OG0000099	AENJA_17408	TCONS_00029910.p1, TCONS_00029370.p1, TCONS_00006514.p1
OG0000099	AENJA_19631, AENJA_00123	TCONS_00043496.p1
OG0000099	AENJA_07638, AENJA_14869	TCONS_00001267.p1
OG0000099	AENJA_15326	TCONS_00054197.p1, TCONS_00054198.p1, TCONS_00053109.p1
OG0000100	AENJA_20876	TCONS_00047160.p1, TCONS_00031596.p1
OG0000100	AENJA_18418, AENJA_01971, AENJA_04352, AENJA_16267, AENJA_08182	TCONS_00021022.p1, TCONS_00041074.p1
OG0000100	AENJA_26104, AENJA_06096	TCONS_00038909.p1
OG0000101	AENJA_26592	TCONS_00056808.p1, TCONS_00056811.p1, TCONS_00025663.p1, TCONS_00025661.p1, TCONS_00025662.p1, TCONS_00025660.p1, TCONS_00023914.p1, TCONS_00025841.p1, TCONS_00024449.p1
OG0000101	AENJA_26594	TCONS_00010988.p1
OG0000101	AENJA_00251	TCONS_00031251.p1, TCONS_00001509.p1, TCONS_00000382.p1, TCONS_00004266.p1
OG0000101	AENJA_06142	TCONS_00032606.p1
OG0000101	AENJA_14914, AENJA_21479	TCONS_00057195.p1, TCONS_00017056.p1, TCONS_00055572.p1
OG0000102	AENJA_05030, AENJA_01229, AENJA_14532, AENJA_03604, AENJA_09290, AENJA_02099, AENJA_11586, AENJA_05172, AENJA_21823, AENJA_22292, AENJA_08727, AENJA_26596, AENJA_03728, AENJA_05251, AENJA_05418, AENJA_25773, AENJA_16535, AENJA_01181, AENJA_19177, AENJA_19154, AENJA_17660, AENJA_22655, AENJA_11696, AENJA_07164	TCONS_00005250.p1, TCONS_00011663.p1, TCONS_00011453.p1
OG0000102	AENJA_22391	TCONS_00051936.p1
OG0000102	AENJA_06075	TCONS_00015736.p1, TCONS_00014731.p1, TCONS_00016358.p1, TCONS_00042022.p1, TCONS_00042025.p1, TCONS_00053068.p1, TCONS_00053070.p1, TCONS_00053023.p1, TCONS_00053026.p1, TCONS_00014917.p1, TCONS_00014921.p1, TCONS_00014922.p1, TCONS_00014725.p1, TCONS_00014927.p1, TCONS_00014928.p1, TCONS_00014933.p1, TCONS_00014930.p1, TCONS_00042026.p1, TCONS_00042031.p1, TCONS_00003647.p1, TCONS_00014936.p1, TCONS_00026212.p1, TCONS_00024952.p1, TCONS_00024974.p1, TCONS_00042019.p1, TCONS_00043399.p1, TCONS_00042030.p1, TCONS_00053021.p1, TCONS_00015599.p1, TCONS_00015531.p1, TCONS_00016099.p1, TCONS_00051934.p1, TCONS_00016204.p1, TCONS_00016201.p1, TCONS_00016202.p1, TCONS_00016199.p1, TCONS_00032151.p1, TCONS_00015757.p1, TCONS_00015759.p1, TCONS_00015763.p1, TCONS_00015758.p1, TCONS_00015322.p1, TCONS_00015396.p1, TCONS_00004120.p1, TCONS_00004113.p1, TCONS_00004116.p1, TCONS_00015395.p1, TCONS_00004111.p1, TCONS_00016205.p1
OG0000103	AENJA_10812	TCONS_00013856.p1
OG0000103	AENJA_14367	TCONS_00012816.p1
OG0000104	AENJA_04107	TCONS_00034216.p1
OG0000104	AENJA_02684	TCONS_00019578.p1
OG0000104	AENJA_26666	TCONS_00033865.p1
OG0000105	AENJA_09389, AENJA_09390, AENJA_18341, AENJA_18342, AENJA_18210, AENJA_14801, AENJA_14802	TCONS_00002302.p1, TCONS_00011875.p1
OG0000106	AENJA_21591	TCONS_00007879.p1
OG0000106	AENJA_13743	TCONS_00020664.p1
OG0000106	AENJA_23816, AENJA_15640, AENJA_15584, AENJA_15585, AENJA_15161	TCONS_00005363.p1, TCONS_00005368.p1, TCONS_00005371.p1, TCONS_00006166.p1, TCONS_00006147.p1, TCONS_00006167.p1, TCONS_00005362.p1, TCONS_00028113.p1, TCONS_00028100.p1
OG0000106	AENJA_24394, AENJA_24395	TCONS_00004865.p1, TCONS_00004840.p1, TCONS_00005364.p1
OG0000108	AENJA_21690, AENJA_21287, AENJA_04453	TCONS_00007683.p1, TCONS_00007682.p1
OG0000108	AENJA_16086	TCONS_00043359.p1, TCONS_00043360.p1
OG0000109	AENJA_23715, AENJA_15408	TCONS_00054260.p1
OG0000109	AENJA_13828, AENJA_18518, AENJA_16912, AENJA_13953, AENJA_06460, AENJA_11116, AENJA_14472, AENJA_01542, AENJA_15538, AENJA_12477, AENJA_02149, AENJA_19268, AENJA_01689, AENJA_01697, AENJA_01520, AENJA_15125, AENJA_01693, AENJA_25302, AENJA_15124, AENJA_19269, AENJA_19270	TCONS_00053937.p1, TCONS_00054076.p1, TCONS_00054600.p1, TCONS_00054261.p1, TCONS_00054266.p1, TCONS_00054265.p1, TCONS_00054259.p1, TCONS_00052990.p1, TCONS_00054068.p1, TCONS_00054676.p1, TCONS_00054610.p1, TCONS_00054677.p1, TCONS_00054073.p1, TCONS_00054075.p1, TCONS_00012235.p1, TCONS_00054267.p1, TCONS_00050017.p1
OG0000109	AENJA_04502, AENJA_24882	TCONS_00028712.p1
OG0000110	AENJA_16216	TCONS_00049057.p1, TCONS_00049040.p1, TCONS_00049039.p1, TCONS_00049056.p1, TCONS_00048547.p1, TCONS_00006425.p1, TCONS_00049058.p1, TCONS_00049041.p1, TCONS_00014571.p1
OG0000110	AENJA_09309, AENJA_19995	TCONS_00010334.p1
OG0000110	AENJA_08732	TCONS_00011731.p1
OG0000111	AENJA_04205	TCONS_00014104.p1
OG0000111	AENJA_23685	TCONS_00028618.p1, TCONS_00029648.p1, TCONS_00001854.p1, TCONS_00029493.p1, TCONS_00029608.p1, TCONS_00053207.p1, TCONS_00029495.p1, TCONS_00026846.p1, TCONS_00028551.p1, TCONS_00028550.p1
OG0000112	AENJA_11052, AENJA_24371	TCONS_00056787.p1, TCONS_00055648.p1, TCONS_00030650.p1, TCONS_00029947.p1, TCONS_00056783.p1, TCONS_00056788.p1, TCONS_00031816.p1, TCONS_00032475.p1
OG0000112	AENJA_03899	TCONS_00017304.p1, TCONS_00017303.p1, TCONS_00048983.p1, TCONS_00033035.p1, TCONS_00033033.p1, TCONS_00033032.p1, TCONS_00033034.p1
OG0000112	AENJA_13242	TCONS_00051140.p1, TCONS_00028735.p1
OG0000113	AENJA_14458	TCONS_00039497.p1, TCONS_00047521.p1, TCONS_00047520.p1, TCONS_00055054.p1, TCONS_00027606.p1, TCONS_00027607.p1
OG0000113	AENJA_02203, AENJA_09826	TCONS_00036236.p1, TCONS_00036235.p1, TCONS_00029210.p1, TCONS_00036233.p1
OG0000114	AENJA_23406	TCONS_00051878.p1, TCONS_00009485.p1
OG0000114	AENJA_23585, AENJA_23588, AENJA_23590, AENJA_26073	TCONS_00052106.p1, TCONS_00052119.p1, TCONS_00052126.p1, TCONS_00052128.p1, TCONS_00052122.p1, TCONS_00052108.p1, TCONS_00052127.p1, TCONS_00052120.p1, TCONS_00052107.p1, TCONS_00052118.p1, TCONS_00052105.p1, TCONS_00051213.p1, TCONS_00051211.p1
OG0000115	AENJA_22451, AENJA_15043, AENJA_24779, AENJA_13990	TCONS_00012402.p1, TCONS_00012401.p1
OG0000115	AENJA_00532, AENJA_13552, AENJA_13554	TCONS_00013255.p1
OG0000115	AENJA_02773	TCONS_00007634.p1, TCONS_00008855.p1, TCONS_00028706.p1, TCONS_00021505.p1
OG0000116	AENJA_23563, AENJA_23564	TCONS_00041967.p1
OG0000116	AENJA_17822	TCONS_00041968.p1
OG0000117	AENJA_02548	TCONS_00034383.p1, TCONS_00000463.p1
OG0000117	AENJA_24559, AENJA_08111	TCONS_00000464.p1
OG0000119	AENJA_18357, AENJA_20512	TCONS_00056170.p1
OG0000119	AENJA_08115	TCONS_00055230.p1, TCONS_00055229.p1
OG0000120	AENJA_04133	TCONS_00056103.p1
OG0000121	AENJA_09065	TCONS_00030428.p1, TCONS_00031179.p1, TCONS_00030430.p1, TCONS_00030914.p1, TCONS_00003458.p1, TCONS_00030849.p1, TCONS_00030592.p1, TCONS_00007080.p1
OG0000121	AENJA_15702	TCONS_00031448.p1, TCONS_00030576.p1, TCONS_00031449.p1
OG0000121	AENJA_15894, AENJA_19956, AENJA_09165	TCONS_00050263.p1
OG0000121	AENJA_07109	TCONS_00016937.p1, TCONS_00017994.p2
OG0000121	AENJA_25145	TCONS_00002806.p1, TCONS_00002804.p1
OG0000122	AENJA_09263	TCONS_00002660.p1
OG0000123	AENJA_13105	TCONS_00026960.p1, TCONS_00027086.p1
OG0000123	AENJA_11261	TCONS_00027685.p1
OG0000123	AENJA_01277	TCONS_00009796.p1
OG0000123	AENJA_26530	TCONS_00027684.p1
OG0000123	AENJA_13111	TCONS_00027595.p1
OG0000123	AENJA_08161	TCONS_00025956.p1
OG0000123	AENJA_11939, AENJA_11934	TCONS_00021896.p1, TCONS_00020876.p1, TCONS_00027090.p1
OG0000124	AENJA_03116, AENJA_25792	TCONS_00021851.p1, TCONS_00022661.p1, TCONS_00021848.p1
OG0000124	AENJA_04495	TCONS_00012573.p1
OG0000124	AENJA_26736	TCONS_00051755.p1
OG0000124	AENJA_05859	TCONS_00010577.p1
OG0000125	AENJA_09264	TCONS_00003991.p1
OG0000125	AENJA_02003	TCONS_00003904.p1
OG0000125	AENJA_02605	TCONS_00024248.p1
OG0000125	AENJA_16597	TCONS_00006659.p1
OG0000125	AENJA_18946	TCONS_00002941.p1, TCONS_00002946.p1, TCONS_00002944.p1
OG0000125	AENJA_04836	TCONS_00002702.p1
OG0000125	AENJA_07272	TCONS_00036467.p1
OG0000126	AENJA_24273	TCONS_00021629.p1
OG0000126	AENJA_07507	TCONS_00027983.p1
OG0000127	AENJA_11132	TCONS_00021994.p1
OG0000127	AENJA_20308	TCONS_00021998.p1
OG0000127	AENJA_04153	TCONS_00045275.p1
OG0000127	AENJA_17569	TCONS_00045354.p1
OG0000127	AENJA_00497	TCONS_00013871.p1
OG0000127	AENJA_11687	TCONS_00027467.p1
OG0000128	AENJA_17413, AENJA_26743	TCONS_00011486.p1
OG0000128	AENJA_17415, AENJA_17420, AENJA_17414, AENJA_17416, AENJA_26744	TCONS_00010148.p1, TCONS_00010154.p1, TCONS_00010149.p1, TCONS_00010152.p1, TCONS_00010153.p1, TCONS_00010155.p1, TCONS_00011487.p1
OG0000129	AENJA_11469	TCONS_00010095.p1
OG0000129	AENJA_21737	TCONS_00021318.p1
OG0000130	AENJA_15966	TCONS_00008545.p1
OG0000131	AENJA_13807, AENJA_21097	TCONS_00018860.p1, TCONS_00000480.p1
OG0000131	AENJA_26205, AENJA_07936, AENJA_02468, AENJA_18143	TCONS_00042341.p1, TCONS_00042346.p1, TCONS_00042348.p1, TCONS_00044270.p1, TCONS_00042870.p1, TCONS_00042871.p1, TCONS_00044216.p1, TCONS_00042912.p1, TCONS_00044036.p1, TCONS_00044037.p1, TCONS_00042694.p1, TCONS_00042692.p1, TCONS_00000377.p1, TCONS_00000379.p1
OG0000131	AENJA_26204, AENJA_02558	TCONS_00044269.p1, TCONS_00044271.p1
OG0000132	AENJA_18042	TCONS_00028790.p1, TCONS_00029766.p1, TCONS_00001666.p1, TCONS_00001667.p1
OG0000133	AENJA_22212	TCONS_00054945.p1, TCONS_00050402.p1, TCONS_00050401.p1, TCONS_00054944.p1
OG0000134	AENJA_21791	TCONS_00023106.p1, TCONS_00041905.p1, TCONS_00029787.p1, TCONS_00012460.p1, TCONS_00011765.p1, TCONS_00004014.p1, TCONS_00037170.p1, TCONS_00041412.p1
OG0000135	AENJA_07860	TCONS_00008330.p1, TCONS_00036165.p1, TCONS_00045055.p1, TCONS_00045135.p1, TCONS_00045134.p1, TCONS_00045133.p1, TCONS_00056264.p1, TCONS_00056263.p1, TCONS_00056262.p1, TCONS_00055078.p1, TCONS_00056265.p1, TCONS_00045138.p1, TCONS_00044968.p1, TCONS_00045980.p1, TCONS_00044882.p1, TCONS_00044862.p1, TCONS_00037507.p1, TCONS_00037023.p1, TCONS_00033814.p1
OG0000135	AENJA_16606, AENJA_09023, AENJA_18820, AENJA_09020	TCONS_00022864.p1, TCONS_00036500.p1
OG0000135	AENJA_15053	TCONS_00049786.p1, TCONS_00049784.p1, TCONS_00020352.p1
OG0000136	AENJA_13535, AENJA_13533	TCONS_00030736.p1, TCONS_00029864.p1, TCONS_00030733.p1, TCONS_00029866.p1, TCONS_00029264.p1, TCONS_00007251.p1, TCONS_00007256.p1, TCONS_00007907.p1, TCONS_00007905.p1, TCONS_00007247.p1, TCONS_00007259.p1, TCONS_00046323.p1, TCONS_00046320.p1, TCONS_00046322.p1, TCONS_00045305.p1, TCONS_00046329.p1, TCONS_00046331.p1, TCONS_00045310.p1, TCONS_00045311.p1, TCONS_00045306.p1, TCONS_00045303.p1, TCONS_00045307.p1, TCONS_00046328.p1, TCONS_00046333.p1, TCONS_00045312.p1, TCONS_00045304.p1, TCONS_00025364.p1, TCONS_00046332.p1, TCONS_00007147.p1, TCONS_00031684.p1, TCONS_00032648.p1, TCONS_00002734.p1, TCONS_00002739.p1, TCONS_00002737.p1, TCONS_00002740.p1, TCONS_00002735.p1, TCONS_00002741.p1, TCONS_00030212.p1
OG0000136	AENJA_26094	TCONS_00038002.p1
OG0000136	AENJA_20044	TCONS_00045043.p1, TCONS_00045042.p1
OG0000137	AENJA_26083	TCONS_00046377.p1, TCONS_00046380.p1, TCONS_00046378.p1
OG0000137	AENJA_25528	TCONS_00001295.p1, TCONS_00048914.p1
OG0000137	AENJA_11173	TCONS_00045334.p1, TCONS_00008615.p1, TCONS_00007898.p1, TCONS_00008611.p1, TCONS_00046391.p1, TCONS_00046390.p1
OG0000137	AENJA_09533	TCONS_00000131.p1, TCONS_00023555.p1, TCONS_00023592.p1, TCONS_00023593.p1
OG0000137	AENJA_20614	TCONS_00046122.p1
OG0000138	AENJA_05793	TCONS_00006989.p1
OG0000138	AENJA_00682, AENJA_02229	TCONS_00010147.p1, TCONS_00034638.p1, TCONS_00035411.p1, TCONS_00003531.p1, TCONS_00025225.p1
OG0000138	AENJA_24347, AENJA_08482, AENJA_03330	TCONS_00009477.p1, TCONS_00045596.p1, TCONS_00038824.p1, TCONS_00006960.p1, TCONS_00006987.p1, TCONS_00039113.p1, TCONS_00035446.p1, TCONS_00041142.p1, TCONS_00038823.p1, TCONS_00045595.p1, TCONS_00028274.p1, TCONS_00031155.p1, TCONS_00034824.p1, TCONS_00021001.p1, TCONS_00055169.p1, TCONS_00009244.p1, TCONS_00054568.p1, TCONS_00005929.p1, TCONS_00009245.p1, TCONS_00054569.p1, TCONS_00006972.p1, TCONS_00046585.p1, TCONS_00009476.p1, TCONS_00006988.p1, TCONS_00006959.p1, TCONS_00035447.p1, TCONS_00045594.p1, TCONS_00001010.p1, TCONS_00041141.p1, TCONS_00041381.p1, TCONS_00027201.p1
OG0000138	AENJA_16432	TCONS_00031996.p1
OG0000140	AENJA_22374, AENJA_05446	TCONS_00007622.p1, TCONS_00049096.p1
OG0000140	AENJA_08529	TCONS_00017076.p1, TCONS_00017281.p1, TCONS_00017283.p1, TCONS_00017274.p1, TCONS_00016946.p1
OG0000141	AENJA_10675, AENJA_22306, AENJA_02826, AENJA_02825, AENJA_20605, AENJA_09478, AENJA_02824	TCONS_00028196.p1, TCONS_00028023.p1, TCONS_00028024.p1, TCONS_00028025.p1, TCONS_00052231.p1, TCONS_00028026.p1, TCONS_00029045.p1, TCONS_00044864.p1, TCONS_00044863.p1, TCONS_00029095.p1, TCONS_00029096.p1, TCONS_00028916.p1, TCONS_00029093.p1, TCONS_00048445.p1, TCONS_00034821.p1, TCONS_00034712.p1, TCONS_00048444.p1, TCONS_00048446.p1, TCONS_00049738.p1, TCONS_00049736.p1, TCONS_00049737.p1, TCONS_00048447.p1
OG0000141	AENJA_11870	TCONS_00013964.p1
OG0000141	AENJA_15985, AENJA_19700, AENJA_22297, AENJA_26376, AENJA_05407	TCONS_00007967.p1
OG0000142	AENJA_18497, AENJA_26251, AENJA_06608, AENJA_26249	TCONS_00044174.p1
OG0000144	AENJA_03260	TCONS_00039487.p1
OG0000145	AENJA_05166	TCONS_00031878.p1, TCONS_00014242.p1, TCONS_00055069.p1, TCONS_00001022.p1
OG0000145	AENJA_06072	TCONS_00024839.p1, TCONS_00047110.p1, TCONS_00044594.p1, TCONS_00023456.p1, TCONS_00038980.p1, TCONS_00039351.p2, TCONS_00040348.p2, TCONS_00036456.p1, TCONS_00042156.p1, TCONS_00038700.p1, TCONS_00044607.p1, TCONS_00038711.p1, TCONS_00000100.p1, TCONS_00000102.p1, TCONS_00005952.p1, TCONS_00012680.p1, TCONS_00034474.p1, TCONS_00014264.p1, TCONS_00052919.p1
OG0000146	AENJA_11735	TCONS_00046353.p1
OG0000146	AENJA_08336	TCONS_00038992.p1, TCONS_00014959.p1, TCONS_00037839.p1
OG0000147	AENJA_03761	TCONS_00050037.p1
OG0000147	AENJA_12275	TCONS_00016785.p1
OG0000147	AENJA_03922	TCONS_00014779.p1
OG0000147	AENJA_10787	TCONS_00002531.p1
OG0000147	AENJA_03843	TCONS_00009521.p1
OG0000148	AENJA_26311, AENJA_25264, AENJA_21218	TCONS_00049717.p1
OG0000148	AENJA_21220	TCONS_00049713.p1
OG0000149	AENJA_12114	TCONS_00032530.p1
OG0000149	AENJA_12111	TCONS_00032533.p1
OG0000149	AENJA_03471, AENJA_12512	TCONS_00001516.p1
OG0000149	AENJA_18447	TCONS_00029992.p1, TCONS_00029991.p1
OG0000151	AENJA_13408	TCONS_00016209.p1
OG0000151	AENJA_07187	TCONS_00015057.p1
OG0000151	AENJA_03698	TCONS_00015033.p1
OG0000152	AENJA_05664	TCONS_00052360.p1, TCONS_00028374.p1
OG0000152	AENJA_04313, AENJA_11964	TCONS_00030783.p1
OG0000152	AENJA_03562, AENJA_13976, AENJA_18206	TCONS_00034841.p1
OG0000152	AENJA_21209, AENJA_20261	TCONS_00011011.p1, TCONS_00032368.p1, TCONS_00003374.p1
OG0000152	AENJA_03918	TCONS_00035608.p1, TCONS_00041177.p1
OG0000152	AENJA_26414	TCONS_00022100.p1, TCONS_00021106.p1, TCONS_00037676.p1, TCONS_00047395.p1, TCONS_00050503.p1
OG0000153	AENJA_08542	TCONS_00032895.p1
OG0000153	AENJA_01518	TCONS_00005927.p1
OG0000153	AENJA_20469, AENJA_08012, AENJA_04663	TCONS_00005928.p1
OG0000154	AENJA_20462	TCONS_00000832.p1, TCONS_00000831.p1
OG0000154	AENJA_18738	TCONS_00001016.p1
OG0000155	AENJA_05237	TCONS_00044987.p1
OG0000155	AENJA_20550	TCONS_00044988.p1
OG0000157	AENJA_03158	TCONS_00012571.p1
OG0000157	AENJA_08473	TCONS_00048916.p1
OG0000157	AENJA_07142	TCONS_00008683.p1
OG0000158	AENJA_06739	TCONS_00046407.p1
OG0000158	AENJA_12334	TCONS_00015575.p1
OG0000159	AENJA_17890	TCONS_00018160.p1
OG0000159	AENJA_06073	TCONS_00014999.p1
OG0000159	AENJA_25487	TCONS_00052198.p1
OG0000160	AENJA_20383	TCONS_00006746.p1, TCONS_00005557.p1, TCONS_00005567.p1, TCONS_00005556.p1, TCONS_00005566.p1, TCONS_00005570.p1, TCONS_00005558.p1, TCONS_00006218.p1
OG0000160	AENJA_06959	TCONS_00018553.p1
OG0000160	AENJA_13005	TCONS_00029348.p1
OG0000161	AENJA_14853	TCONS_00038065.p1
OG0000161	AENJA_24971, AENJA_23989, AENJA_26710	TCONS_00033292.p1
OG0000161	AENJA_25641, AENJA_18963, AENJA_00469, AENJA_23196	TCONS_00017419.p1, TCONS_00018877.p1, TCONS_00028721.p1, TCONS_00038710.p1, TCONS_00041436.p1
OG0000161	AENJA_19867, AENJA_18077	TCONS_00002799.p1
OG0000161	AENJA_03649, AENJA_15286	TCONS_00027357.p1
OG0000161	AENJA_17716	TCONS_00051706.p1
OG0000162	AENJA_01578	TCONS_00028170.p1
OG0000163	AENJA_04184	TCONS_00010553.p1, TCONS_00038291.p1, TCONS_00014243.p1, TCONS_00022593.p1
OG0000163	AENJA_14266	TCONS_00013883.p1, TCONS_00012644.p1
OG0000163	AENJA_00250	TCONS_00013888.p1
OG0000163	AENJA_02338	TCONS_00019995.p1, TCONS_00019992.p1
OG0000164	AENJA_24821	TCONS_00023443.p1, TCONS_00023476.p1
OG0000164	AENJA_15219	TCONS_00028348.p1
OG0000165	AENJA_06820	TCONS_00043573.p1
OG0000165	AENJA_04113	TCONS_00034847.p1
OG0000166	AENJA_09907, AENJA_09910	TCONS_00044259.p1
OG0000166	AENJA_13257	TCONS_00000300.p1
OG0000166	AENJA_16006	TCONS_00004760.p1
OG0000166	AENJA_11187, AENJA_24885	TCONS_00036260.p1, TCONS_00017060.p1, TCONS_00035927.p1
OG0000167	AENJA_04545	TCONS_00046658.p1
OG0000167	AENJA_12329	TCONS_00044971.p1
OG0000167	AENJA_04868	TCONS_00046914.p1, TCONS_00045568.p1, TCONS_00046913.p1, TCONS_00045569.p1
OG0000168	AENJA_06793	TCONS_00038071.p1, TCONS_00006904.p1, TCONS_00006931.p1, TCONS_00006681.p1, TCONS_00006709.p1, TCONS_00006708.p1
OG0000168	AENJA_16549, AENJA_16551	TCONS_00053064.p1, TCONS_00053107.p1, TCONS_00054243.p1
OG0000168	AENJA_11862, AENJA_21363	TCONS_00054242.p1
OG0000169	AENJA_00158, AENJA_08952	TCONS_00055516.p1
OG0000169	AENJA_04999, AENJA_00159, AENJA_00157	TCONS_00043549.p1
OG0000171	AENJA_00267	TCONS_00004994.p1
OG0000171	AENJA_26673, AENJA_26672	TCONS_00008416.p1
OG0000171	AENJA_09998	TCONS_00030867.p1
OG0000172	AENJA_10826	TCONS_00008117.p1
OG0000172	AENJA_10825	TCONS_00050580.p1, TCONS_00050577.p1, TCONS_00050572.p1, TCONS_00050578.p1, TCONS_00050687.p1
OG0000172	AENJA_19160, AENJA_21023	TCONS_00023066.p1, TCONS_00023061.p1, TCONS_00023098.p1, TCONS_00023099.p1, TCONS_00023063.p1, TCONS_00023102.p1, TCONS_00023065.p1, TCONS_00023100.p1, TCONS_00023068.p1, TCONS_00009964.p1, TCONS_00009965.p1, TCONS_00009961.p1, TCONS_00009963.p1
OG0000172	AENJA_18883, AENJA_11722, AENJA_15851, AENJA_11721, AENJA_21024	TCONS_00013069.p1, TCONS_00013072.p1, TCONS_00013073.p1, TCONS_00013070.p1, TCONS_00014221.p1, TCONS_00013074.p1, TCONS_00025615.p1, TCONS_00025613.p1, TCONS_00024033.p1, TCONS_00024038.p1, TCONS_00024032.p1, TCONS_00024039.p1, TCONS_00024041.p1, TCONS_00024027.p1, TCONS_00014614.p1, TCONS_00014615.p1, TCONS_00024026.p1, TCONS_00024025.p1, TCONS_00024040.p1, TCONS_00024030.p1, TCONS_00024029.p1
OG0000174	AENJA_09684	TCONS_00007700.p1
OG0000174	AENJA_09689	TCONS_00031729.p1, TCONS_00031730.p1, TCONS_00031733.p1, TCONS_00055107.p1
OG0000174	AENJA_19122	TCONS_00049340.p1, TCONS_00055928.p1, TCONS_00007699.p1, TCONS_00009494.p1, TCONS_00020943.p1, TCONS_00057228.p1, TCONS_00057227.p1
OG0000174	AENJA_02198	TCONS_00056950.p1, TCONS_00032732.p1, TCONS_00032713.p1
OG0000175	AENJA_10259	TCONS_00006924.p1, TCONS_00017760.p1
OG0000175	AENJA_06264, AENJA_00936, AENJA_00556	TCONS_00017269.p1, TCONS_00017270.p1
OG0000175	AENJA_05120	TCONS_00001217.p1, TCONS_00002337.p1, TCONS_00042595.p1, TCONS_00018779.p1, TCONS_00045899.p1, TCONS_00017752.p1, TCONS_00045898.p1, TCONS_00018778.p1, TCONS_00018813.p1, TCONS_00005844.p1, TCONS_00017737.p1, TCONS_00044823.p1, TCONS_00005845.p1, TCONS_00018812.p1, TCONS_00017185.p1
OG0000178	AENJA_21429	TCONS_00043219.p1, TCONS_00021749.p1, TCONS_00022858.p1, TCONS_00002039.p1, TCONS_00053748.p1, TCONS_00032854.p1, TCONS_00033302.p1, TCONS_00033307.p1, TCONS_00040710.p1, TCONS_00040713.p1, TCONS_00040711.p1, TCONS_00040716.p1, TCONS_00040705.p1, TCONS_00052319.p1, TCONS_00012922.p1, TCONS_00033911.p1, TCONS_00052326.p1, TCONS_00002558.p1, TCONS_00033277.p1, TCONS_00032857.p1, TCONS_00032861.p1, TCONS_00032862.p1, TCONS_00012338.p1, TCONS_00005278.p1, TCONS_00006497.p1, TCONS_00006496.p1
OG0000178	AENJA_20680	TCONS_00022529.p1
OG0000179	AENJA_05305	TCONS_00030795.p1
OG0000179	AENJA_25279	TCONS_00029363.p1
OG0000179	AENJA_09174, AENJA_18216	TCONS_00043115.p1
OG0000180	AENJA_10008, AENJA_06703	TCONS_00050792.p1, TCONS_00050492.p1, TCONS_00050491.p1, TCONS_00050793.p1
OG0000180	AENJA_16046	TCONS_00039068.p1, TCONS_00051724.p1
OG0000181	AENJA_08843	TCONS_00055710.p1
OG0000181	AENJA_22272	TCONS_00049665.p1
OG0000181	AENJA_05116, AENJA_18867, AENJA_18892	TCONS_00025678.p1
OG0000182	AENJA_14646, AENJA_19566, AENJA_20760	TCONS_00031611.p1
OG0000182	AENJA_11285	TCONS_00040493.p1, TCONS_00040511.p1, TCONS_00038339.p1
OG0000182	AENJA_14094, AENJA_25433	TCONS_00016762.p1, TCONS_00005822.p1, TCONS_00005857.p1, TCONS_00053985.p1
OG0000182	AENJA_16384, AENJA_15115	TCONS_00021709.p1
OG0000183	AENJA_03852	TCONS_00017266.p1
OG0000183	AENJA_18616	TCONS_00040868.p1
OG0000184	AENJA_12909, AENJA_16138, AENJA_12907, AENJA_16139	TCONS_00015469.p1, TCONS_00015930.p1, TCONS_00015929.p1
OG0000184	AENJA_19614, AENJA_08959, AENJA_22614	TCONS_00016263.p1, TCONS_00016258.p1, TCONS_00016260.p1, TCONS_00016230.p1, TCONS_00016234.p1, TCONS_00016229.p1, TCONS_00016266.p1, TCONS_00040794.p1, TCONS_00016262.p1
