Orthogroup	AENJA_ok	PFLAV
OG0000003	AENJA_15435	TCONS_00050879.p2, TCONS_00050883.p1, TCONS_00012447.p1, TCONS_00012446.p1, TCONS_00012449.p1, TCONS_00007936.p1
OG0000003	AENJA_21338	TCONS_00031472.p1
OG0000003	AENJA_21667	TCONS_00013648.p1
OG0000004	AENJA_23066	TCONS_00045168.p1, TCONS_00046035.p1
OG0000004	AENJA_26802, AENJA_26808	TCONS_00046040.p1
OG0000004	AENJA_15703	TCONS_00030290.p1
OG0000004	AENJA_25009	TCONS_00028773.p1
OG0000004	AENJA_18812, AENJA_09022, AENJA_05320	TCONS_00039987.p1
OG0000004	AENJA_17546, AENJA_08909, AENJA_04874	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1
OG0000005	AENJA_12565	TCONS_00020907.p1
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	TCONS_00033021.p1
OG0000005	AENJA_07538	TCONS_00000617.p1
OG0000005	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129	TCONS_00001294.p1, TCONS_00050179.p1, TCONS_00050176.p1, TCONS_00050178.p1, TCONS_00051419.p1, TCONS_00051326.p1, TCONS_00040757.p1
OG0000005	AENJA_24820	TCONS_00028033.p1
OG0000005	AENJA_09577	TCONS_00038266.p1, TCONS_00012228.p1, TCONS_00038265.p1, TCONS_00040202.p1, TCONS_00038261.p1, TCONS_00038289.p1, TCONS_00038264.p1
OG0000006	AENJA_18239	TCONS_00023587.p1
OG0000006	AENJA_18510	TCONS_00048904.p1
OG0000006	AENJA_22158	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1
OG0000006	AENJA_13126	TCONS_00042787.p1
OG0000006	AENJA_02691	TCONS_00021207.p1
OG0000006	AENJA_20911	TCONS_00016646.p1
OG0000006	AENJA_07226	TCONS_00023551.p1
OG0000006	AENJA_22522	TCONS_00003496.p1
OG0000006	AENJA_09814	TCONS_00012810.p1
OG0000006	AENJA_09813	TCONS_00013984.p1, TCONS_00012809.p1
OG0000006	AENJA_00662	TCONS_00027932.p1
OG0000006	AENJA_07549	TCONS_00045950.p1
OG0000006	AENJA_15373	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	AENJA_18450	TCONS_00030792.p1
OG0000006	AENJA_01590	TCONS_00011489.p1
OG0000006	AENJA_09210	TCONS_00011491.p1
OG0000006	AENJA_15474	TCONS_00011052.p1
OG0000007	AENJA_18325	TCONS_00008966.p1
OG0000007	AENJA_18163	TCONS_00029574.p1
OG0000007	AENJA_00810	TCONS_00009611.p1
OG0000007	AENJA_25020	TCONS_00052518.p1
OG0000007	AENJA_23908	TCONS_00026068.p1
OG0000007	AENJA_19234	TCONS_00051149.p1
OG0000007	AENJA_06479, AENJA_16018	TCONS_00007744.p1
OG0000007	AENJA_18328	TCONS_00008967.p1
OG0000007	AENJA_07512	TCONS_00029831.p1
OG0000007	AENJA_11851	TCONS_00024115.p1
OG0000007	AENJA_09687	TCONS_00055417.p1
OG0000007	AENJA_07358	TCONS_00011336.p1
OG0000007	AENJA_11277	TCONS_00014249.p1
OG0000007	AENJA_22886	TCONS_00012754.p1
OG0000007	AENJA_20902	TCONS_00025375.p1
OG0000007	AENJA_16981	TCONS_00051989.p1
OG0000007	AENJA_26507	TCONS_00009689.p1
OG0000008	AENJA_26738	TCONS_00054315.p1
OG0000008	AENJA_01158	TCONS_00012951.p1
OG0000008	AENJA_21542	TCONS_00016727.p1, TCONS_00016728.p1, TCONS_00015622.p1, TCONS_00015620.p1, TCONS_00015621.p1
OG0000008	AENJA_21421, AENJA_04271	TCONS_00015623.p1
OG0000009	AENJA_04378	TCONS_00046982.p1
OG0000009	AENJA_20987, AENJA_03242, AENJA_20470, AENJA_24892	TCONS_00048729.p1
OG0000009	AENJA_10638	TCONS_00035089.p1
OG0000009	AENJA_00113, AENJA_11818	TCONS_00015545.p1, TCONS_00013954.p1
OG0000009	AENJA_13717, AENJA_06400	TCONS_00036795.p1
OG0000009	AENJA_22348, AENJA_01926	TCONS_00027666.p1
OG0000009	AENJA_09256, AENJA_15566	TCONS_00025851.p1, TCONS_00043074.p1, TCONS_00009542.p1
OG0000009	AENJA_12983	TCONS_00017424.p1, TCONS_00029219.p1, TCONS_00043312.p1, TCONS_00025216.p1
OG0000009	AENJA_12645	TCONS_00028883.p1, TCONS_00029472.p1
OG0000009	AENJA_26356, AENJA_04329	TCONS_00025230.p1, TCONS_00023849.p1, TCONS_00024354.p1
OG0000009	AENJA_26815, AENJA_17953	TCONS_00003938.p1, TCONS_00001483.p1
OG0000009	AENJA_06919, AENJA_24889	TCONS_00024219.p1, TCONS_00035162.p1
OG0000009	AENJA_13451	TCONS_00015854.p1, TCONS_00032573.p1, TCONS_00039462.p1, TCONS_00054445.p1
OG0000009	AENJA_24005, AENJA_00782	TCONS_00041833.p1, TCONS_00028866.p1, TCONS_00017705.p1
OG0000009	AENJA_09863, AENJA_04684, AENJA_26490, AENJA_11530	TCONS_00003937.p1, TCONS_00040217.p1, TCONS_00006910.p1, TCONS_00028935.p1, TCONS_00024506.p1, TCONS_00037020.p1
OG0000009	AENJA_22062	TCONS_00017823.p1, TCONS_00056063.p1
OG0000009	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938	TCONS_00045896.p1
OG0000009	AENJA_12021	TCONS_00019627.p1
OG0000009	AENJA_00189	TCONS_00048728.p1
OG0000009	AENJA_22152	TCONS_00027717.p1
OG0000010	AENJA_20491	TCONS_00017958.p1
OG0000010	AENJA_16004, AENJA_09141	TCONS_00043350.p1, TCONS_00043340.p1, TCONS_00043354.p1, TCONS_00043343.p1
OG0000010	AENJA_04234	TCONS_00026035.p1, TCONS_00030635.p1
OG0000011	AENJA_16502	TCONS_00044809.p1, TCONS_00015385.p1
OG0000011	AENJA_01290	TCONS_00052331.p1
OG0000011	AENJA_03543	TCONS_00056711.p1
OG0000011	AENJA_24193	TCONS_00034080.p1
OG0000011	AENJA_17587	TCONS_00040546.p1
OG0000011	AENJA_06710	TCONS_00009419.p1, TCONS_00014539.p1
OG0000011	AENJA_08607, AENJA_10319	TCONS_00031358.p1
OG0000011	AENJA_18099	TCONS_00048667.p1, TCONS_00018952.p1
OG0000011	AENJA_19192	TCONS_00004504.p1, TCONS_00005682.p1
OG0000011	AENJA_20291, AENJA_06516, AENJA_22650	TCONS_00033759.p1
OG0000011	AENJA_14414	TCONS_00033581.p1
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	TCONS_00025195.p1, TCONS_00051327.p1
OG0000011	AENJA_21547	TCONS_00035599.p1
OG0000011	AENJA_23170	TCONS_00050721.p1
OG0000011	AENJA_13507	TCONS_00004502.p1
OG0000011	AENJA_24664	TCONS_00051583.p1, TCONS_00054546.p1, TCONS_00038556.p1, TCONS_00002579.p1
OG0000011	AENJA_01682	TCONS_00020984.p3, TCONS_00034049.p1
OG0000011	AENJA_22850	TCONS_00046669.p1
OG0000011	AENJA_26050	TCONS_00041434.p1, TCONS_00057000.p1
OG0000011	AENJA_12186	TCONS_00051843.p1, TCONS_00037958.p1
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	AENJA_00771	TCONS_00040143.p1, TCONS_00041124.p1, TCONS_00040147.p2, TCONS_00035663.p1
OG0000012	AENJA_09696, AENJA_09697	TCONS_00040856.p1, TCONS_00040851.p1, TCONS_00040853.p1, TCONS_00040857.p1, TCONS_00039903.p1, TCONS_00039901.p1, TCONS_00039902.p1, TCONS_00039899.p1, TCONS_00040855.p1, TCONS_00040854.p1, TCONS_00039900.p1, TCONS_00039904.p1, TCONS_00040849.p1, TCONS_00040826.p1, TCONS_00039921.p1
OG0000012	AENJA_26327	TCONS_00039905.p1, TCONS_00032295.p1, TCONS_00032296.p1, TCONS_00032297.p1, TCONS_00032030.p1, TCONS_00040847.p1, TCONS_00040142.p1, TCONS_00041123.p1, TCONS_00041126.p1, TCONS_00040752.p1, TCONS_00041125.p1, TCONS_00040146.p1, TCONS_00041122.p1, TCONS_00041121.p1, TCONS_00040753.p1, TCONS_00039583.p1, TCONS_00033028.p1, TCONS_00033510.p1, TCONS_00039917.p1, TCONS_00039906.p1, TCONS_00040840.p1, TCONS_00040839.p1, TCONS_00039915.p1, TCONS_00040842.p1, TCONS_00040844.p1, TCONS_00039914.p1, TCONS_00040835.p1, TCONS_00039910.p1, TCONS_00039907.p1, TCONS_00040838.p1, TCONS_00039909.p1, TCONS_00040836.p1, TCONS_00040830.p1, TCONS_00040829.p1, TCONS_00049940.p1, TCONS_00054720.p1, TCONS_00040833.p1, TCONS_00039918.p1
OG0000012	AENJA_02869	TCONS_00041660.p1, TCONS_00041661.p1
OG0000013	AENJA_11516	TCONS_00017254.p1
OG0000013	AENJA_23415	TCONS_00030446.p1, TCONS_00030445.p1, TCONS_00021208.p1
OG0000014	AENJA_09518, AENJA_09012	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1
OG0000014	AENJA_17358	TCONS_00000124.p1
OG0000014	AENJA_25536	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	AENJA_18555, AENJA_02651, AENJA_19635	TCONS_00047525.p1
OG0000015	AENJA_25011	TCONS_00029137.p1, TCONS_00028127.p1
OG0000015	AENJA_19636	TCONS_00043861.p1
OG0000015	AENJA_18653	TCONS_00043863.p1
OG0000015	AENJA_17614	TCONS_00017456.p1, TCONS_00018530.p1, TCONS_00017014.p1, TCONS_00018220.p1, TCONS_00042403.p1, TCONS_00047528.p1, TCONS_00048847.p1, TCONS_00017787.p1, TCONS_00042857.p1, TCONS_00017072.p1, TCONS_00018222.p1
OG0000015	AENJA_19630	TCONS_00055081.p1, TCONS_00043497.p1
OG0000015	AENJA_02597	TCONS_00028843.p1
OG0000016	AENJA_04784	TCONS_00021465.p1, TCONS_00021468.p1, TCONS_00022584.p1
OG0000016	AENJA_04814, AENJA_14549	TCONS_00021259.p1, TCONS_00021263.p1, TCONS_00021262.p1, TCONS_00021257.p1, TCONS_00021260.p1
OG0000016	AENJA_07664	TCONS_00021265.p1, TCONS_00021132.p1, TCONS_00022476.p1, TCONS_00021082.p1
OG0000016	AENJA_26671, AENJA_26677	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	AENJA_21813, AENJA_16651	TCONS_00022184.p1
OG0000016	AENJA_02781	TCONS_00003602.p1
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	TCONS_00048016.p1, TCONS_00006587.p1, TCONS_00006585.p1, TCONS_00006586.p1, TCONS_00025201.p1, TCONS_00044922.p1, TCONS_00049648.p1, TCONS_00049647.p1, TCONS_00047522.p1, TCONS_00047523.p1, TCONS_00020558.p1, TCONS_00020423.p1, TCONS_00020419.p1, TCONS_00020810.p1, TCONS_00020323.p1, TCONS_00020321.p1, TCONS_00047919.p1, TCONS_00047915.p1, TCONS_00047927.p1, TCONS_00047930.p1, TCONS_00047932.p1, TCONS_00047911.p1, TCONS_00047917.p1, TCONS_00047907.p1, TCONS_00049536.p1, TCONS_00049538.p1, TCONS_00049540.p1, TCONS_00049543.p1, TCONS_00049542.p1, TCONS_00048321.p1, TCONS_00048323.p1, TCONS_00048325.p1, TCONS_00048328.p1
OG0000017	AENJA_08416, AENJA_23360	TCONS_00051588.p1
OG0000017	AENJA_14486, AENJA_04643	TCONS_00034438.p1, TCONS_00033112.p1
OG0000017	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492	TCONS_00056547.p1, TCONS_00003153.p1, TCONS_00035681.p1
OG0000017	AENJA_19441, AENJA_07002, AENJA_08981	TCONS_00015500.p1, TCONS_00014886.p1, TCONS_00040430.p1, TCONS_00029800.p1, TCONS_00024558.p1
OG0000017	AENJA_05154	TCONS_00043073.p1
OG0000017	AENJA_12426, AENJA_00338	TCONS_00050389.p1, TCONS_00031952.p1, TCONS_00031929.p1
OG0000017	AENJA_05284, AENJA_20820, AENJA_23397	TCONS_00003294.p1, TCONS_00017646.p1, TCONS_00035188.p1
OG0000017	AENJA_19028	TCONS_00012374.p1
OG0000017	AENJA_20255, AENJA_12755, AENJA_11961, AENJA_18790, AENJA_13918, AENJA_10470, AENJA_03539, AENJA_15181	TCONS_00010804.p1, TCONS_00041803.p1
OG0000017	AENJA_00442	TCONS_00053694.p1
OG0000017	AENJA_07451	TCONS_00034099.p1, TCONS_00035359.p1, TCONS_00049944.p1, TCONS_00032138.p1, TCONS_00052165.p1
OG0000017	AENJA_22962	TCONS_00056182.p1
OG0000017	AENJA_21386	TCONS_00037236.p1
OG0000017	AENJA_13274	TCONS_00037011.p1
OG0000017	AENJA_08674, AENJA_21573	TCONS_00054246.p1
OG0000017	AENJA_13357	TCONS_00052167.p1
OG0000017	AENJA_11406	TCONS_00021399.p1, TCONS_00014887.p1
OG0000017	AENJA_06463	TCONS_00045938.p1, TCONS_00049973.p1
OG0000017	AENJA_04888, AENJA_03290	TCONS_00034588.p2, TCONS_00049861.p1
