Orthogroup	SCHMD	DROME
OG0000069	SCHMD05798, SCHMD12262	DROME19859, DROME00928
OG0000070	SCHMD06745	DROME04028, DROME04029, DROME06783, DROME04912
OG0000070	SCHMD25128, SCHMD25923, SCHMD18099, SCHMD09836, SCHMD24858	DROME17588, DROME17589, DROME19032
OG0000072	SCHMD10090	DROME12247, DROME12248
OG0000072	SCHMD14329	DROME11831, DROME14422
OG0000073	SCHMD10978, SCHMD10977, SCHMD12234	DROME14684
OG0000077	SCHMD23576	DROME15696, DROME15698, DROME15697
OG0000077	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499	DROME07079, DROME07077, DROME07078
OG0000077	SCHMD17078, SCHMD07689, SCHMD07695, SCHMD07696, SCHMD19383, SCHMD13911, SCHMD21639, SCHMD26936, SCHMD03670, SCHMD19917, SCHMD15537, SCHMD13624	DROME18051
OG0000077	SCHMD15208, SCHMD02698	DROME15502, DROME15501
OG0000077	SCHMD27373	DROME12670
OG0000078	SCHMD04822, SCHMD04523	DROME08886, DROME17179, DROME17177, DROME17181, DROME19588, DROME14308, DROME18161, DROME07301, DROME20111
OG0000079	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316
OG0000079	SCHMD16559, SCHMD24052, SCHMD18199	DROME14749, DROME14748, DROME14747, DROME14750
OG0000079	SCHMD06941, SCHMD04736	DROME01298
OG0000082	SCHMD03263, SCHMD10119	DROME20298
OG0000082	SCHMD29028, SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460	DROME11174, DROME11173, DROME15008
OG0000082	SCHMD03363	DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000084	SCHMD21815, SCHMD19883, SCHMD02823, SCHMD10292, SCHMD19762	DROME12251
OG0000084	SCHMD19821, SCHMD23941, SCHMD23870	DROME13292, DROME13291, DROME13289, DROME13290
OG0000084	SCHMD22494, SCHMD00101, SCHMD19528, SCHMD27116, SCHMD16538, SCHMD01409	DROME17344, DROME17343, DROME17345
OG0000085	SCHMD12836	DROME19132, DROME19130, DROME19134, DROME19131, DROME19133
OG0000085	SCHMD12466	DROME00999, DROME00998, DROME01000
OG0000085	SCHMD18327	DROME19740
OG0000087	SCHMD09399, SCHMD09405, SCHMD09406	DROME22088
OG0000087	SCHMD09409, SCHMD09408	DROME06460
OG0000087	SCHMD05857, SCHMD05855	DROME21450
OG0000087	SCHMD03393, SCHMD23919	DROME03097
OG0000087	SCHMD21804, SCHMD25814, SCHMD16934	DROME08842
OG0000087	SCHMD25289, SCHMD16933, SCHMD25288, SCHMD17003, SCHMD07336, SCHMD07337	DROME09495
