Orthogroup	SCHMD	DROME
OG0000731	SCHMD03063	DROME03051, DROME03053, DROME03052
OG0000732	SCHMD09651	DROME00208, DROME00209
OG0000732	SCHMD05249	DROME15061
OG0000733	SCHMD28225, SCHMD15626	DROME17454
OG0000733	SCHMD13904, SCHMD02163	DROME15558, DROME15560, DROME15556, DROME15557, DROME15561, DROME15562, DROME15564, DROME15563, DROME15559
OG0000734	SCHMD11583, SCHMD14768, SCHMD09332, SCHMD02937, SCHMD07242, SCHMD04118, SCHMD01513, SCHMD07878, SCHMD24039, SCHMD13942, SCHMD22315, SCHMD14455, SCHMD27004, SCHMD20850, SCHMD13509, SCHMD10084, SCHMD08723, SCHMD14485, SCHMD25295, SCHMD26519, SCHMD04103, SCHMD26949, SCHMD09270, SCHMD20387, SCHMD03648, SCHMD09683, SCHMD10543, SCHMD08018, SCHMD27636, SCHMD18698, SCHMD07342, SCHMD09685, SCHMD09684, SCHMD15319, SCHMD24961, SCHMD26040, SCHMD09274, SCHMD04119	DROME17455
OG0000735	SCHMD07620	DROME13083, DROME13084, DROME13089, DROME13086, DROME13097, DROME13098, DROME13085, DROME13100, DROME13096, DROME13092, DROME13101, DROME13102, DROME13090, DROME13099, DROME13091, DROME13095, DROME13087, DROME13094, DROME13088, DROME13093
OG0000736	SCHMD03316, SCHMD03312, SCHMD03313, SCHMD28786, SCHMD03315	DROME12312, DROME12313
OG0000740	SCHMD13587	DROME19981
OG0000740	SCHMD16462	DROME03194
OG0000749	SCHMD08684, SCHMD14779, SCHMD14096, SCHMD26558, SCHMD10778, SCHMD24530, SCHMD14780	DROME10988, DROME10987
OG0000751	SCHMD12293, SCHMD13329, SCHMD18701, SCHMD04693, SCHMD17218, SCHMD17217, SCHMD03838, SCHMD03689, SCHMD13065, SCHMD14600, SCHMD18030, SCHMD13408	DROME06060, DROME06059, DROME06061, DROME06062
OG0000752	SCHMD03946	DROME15461
OG0000752	SCHMD12645	DROME09086
OG0000753	SCHMD14739	DROME16114, DROME16113
OG0000753	SCHMD19308, SCHMD17874	DROME22017, DROME22016, DROME22019, DROME22018, DROME22021
OG0000757	SCHMD13979, SCHMD10753, SCHMD18486	DROME01317, DROME07057
OG0000758	SCHMD07281	DROME04523, DROME04522, DROME04521
OG0000759	SCHMD22205	DROME01056
OG0000759	SCHMD21958	DROME11263, DROME11264, DROME11262, DROME11261, DROME01055, DROME03914, DROME03913, DROME01209, DROME01208
OG0000760	SCHMD12149	DROME04885, DROME04887, DROME04886, DROME04888, DROME04889, DROME04890, DROME04884
OG0000762	SCHMD24589, SCHMD13724, SCHMD08577, SCHMD18827, SCHMD18828	DROME02274, DROME02276, DROME02279, DROME02278, DROME02272, DROME02275, DROME02277, DROME02273
OG0000763	SCHMD22978, SCHMD08138	DROME19244, DROME19245, DROME19240, DROME19243, DROME19242, DROME19241, DROME19239, DROME19232, DROME19237, DROME19234, DROME19238, DROME19233, DROME19236, DROME19235
OG0000765	SCHMD21723, SCHMD22880	DROME04789, DROME04788
OG0000766	SCHMD07087	DROME06054, DROME06055, DROME01015
OG0000772	SCHMD07550, SCHMD11404	DROME13216
OG0000772	SCHMD29807	DROME03561, DROME03562, DROME03559, DROME03560, DROME03558, DROME03563
OG0000774	SCHMD04364	DROME18935, DROME18934
OG0000775	SCHMD02633, SCHMD02632	DROME01281, DROME01282
OG0000776	SCHMD10487	DROME20100, DROME20102, DROME20101
OG0000777	SCHMD17125	DROME05836
OG0000778	SCHMD17919, SCHMD25026, SCHMD16452, SCHMD20513	DROME11783, DROME11782
OG0000780	SCHMD13998, SCHMD18889, SCHMD10385, SCHMD10386	DROME16908
OG0000782	SCHMD01655, SCHMD14818	DROME04768, DROME04767, DROME04769, DROME04770, DROME04778, DROME04776, DROME04766, DROME04773, DROME04772, DROME04765, DROME04775, DROME04771, DROME04774, DROME04777
OG0000784	SCHMD19992, SCHMD27743	DROME16135, DROME14707, DROME14708, DROME14827
OG0000787	SCHMD22606, SCHMD20069, SCHMD13786	DROME06230
OG0000788	SCHMD11830, SCHMD18844	DROME11403
OG0000791	SCHMD12437	DROME16118, DROME16117, DROME16116, DROME16119, DROME16121, DROME16120
OG0000793	SCHMD22428, SCHMD23980, SCHMD15261, SCHMD00689, SCHMD02469, SCHMD09415, SCHMD08316	DROME20859, DROME20860
OG0000794	SCHMD10042	DROME04329, DROME04334, DROME04330, DROME04337, DROME04333, DROME04335, DROME04336, DROME04331, DROME04332
OG0000796	SCHMD27129, SCHMD07584, SCHMD10018, SCHMD09905	DROME03139, DROME03140, DROME10211
OG0000799	SCHMD17640	DROME17162
OG0000801	SCHMD09238	DROME05596, DROME05595, DROME05594
OG0000803	SCHMD13498, SCHMD13620, SCHMD26336	DROME06528, DROME04971, DROME16667, DROME08404, DROME08406, DROME08405, DROME06525, DROME06526, DROME15315, DROME15314, DROME15313, DROME14537, DROME01677, DROME14535, DROME14536, DROME17631, DROME09542, DROME09543, DROME19328, DROME18830, DROME15873
OG0000809	SCHMD21850, SCHMD00682	DROME15572, DROME15573
OG0000810	SCHMD03195, SCHMD03113	DROME04963, DROME04962, DROME04964
OG0000810	SCHMD06140, SCHMD03114	DROME08670
OG0000813	SCHMD04629, SCHMD20034, SCHMD10317, SCHMD04366, SCHMD20035, SCHMD10316, SCHMD26060	DROME18040, DROME18039
OG0000814	SCHMD13183, SCHMD07986	DROME03302, DROME03301
OG0000814	SCHMD07352	DROME04088, DROME04090
OG0000817	SCHMD22983	DROME06292
OG0000819	SCHMD03878	DROME19692
OG0000820	SCHMD19766	DROME04117, DROME04116, DROME04115
OG0000826	SCHMD01695, SCHMD01697, SCHMD12736, SCHMD10190, SCHMD02301, SCHMD07205, SCHMD20648, SCHMD19536, SCHMD29770	DROME12091
OG0000828	SCHMD08298	DROME20305
OG0000828	SCHMD07805, SCHMD08624	DROME19137
OG0000828	SCHMD09181, SCHMD13964	DROME07670
OG0000829	SCHMD27680, SCHMD26916	DROME18116, DROME07642
OG0000833	SCHMD13529, SCHMD19078, SCHMD01603, SCHMD13070	DROME00525, DROME00524, DROME00526, DROME20451, DROME20452, DROME18499, DROME18498
OG0000834	SCHMD11223, SCHMD19332, SCHMD16052	DROME13922
OG0000835	SCHMD14959	DROME14049, DROME14051, DROME14048, DROME14057, DROME14058
OG0000836	SCHMD23242	DROME02582, DROME02579, DROME02580, DROME02581
OG0000837	SCHMD09523, SCHMD05554, SCHMD04696, SCHMD00842, SCHMD03083	DROME05419, DROME18149
OG0000842	SCHMD01343	DROME10888, DROME10889
OG0000844	SCHMD01709	DROME14407, DROME14403, DROME14406, DROME14408, DROME14404, DROME14409, DROME14405
OG0000847	SCHMD00410	DROME16726
OG0000847	SCHMD03587	DROME03898, DROME03895, DROME03896, DROME03897
OG0000848	SCHMD03599	DROME00579, DROME00580
OG0000848	SCHMD06160	DROME19683
OG0000849	SCHMD25311, SCHMD22953, SCHMD26456, SCHMD01276, SCHMD04229, SCHMD16960, SCHMD16685	DROME20644, DROME20643, DROME20641, DROME20642, DROME20640, DROME20638, DROME20637, DROME20639
OG0000850	SCHMD10966, SCHMD04706, SCHMD04753, SCHMD01633, SCHMD04752	DROME12440, DROME20308
OG0000850	SCHMD26000, SCHMD27633	DROME12322
OG0000851	SCHMD21876, SCHMD17205	DROME20685, DROME20686
OG0000855	SCHMD29481, SCHMD01902, SCHMD15557	DROME19819, DROME20290, DROME16140, DROME01127, DROME11147, DROME22053, DROME22054, DROME22052, DROME20174, DROME16331
OG0000858	SCHMD22095, SCHMD27060	DROME07517, DROME07518
OG0000860	SCHMD05987	DROME09397, DROME09396, DROME09404, DROME09403, DROME09399, DROME09402, DROME09401, DROME09400, DROME09405, DROME09398
OG0000863	SCHMD22411	DROME11655, DROME11652, DROME11654, DROME11653, DROME11650, DROME11651
OG0000868	SCHMD05358	DROME18402
OG0000868	SCHMD10335	DROME10395
OG0000869	SCHMD07449	DROME06391
OG0000871	SCHMD06938	DROME03028
OG0000872	SCHMD07553	DROME09696, DROME09697, DROME09695
OG0000873	SCHMD02659	DROME18351, DROME18349, DROME18350, DROME18353
OG0000873	SCHMD16630	DROME18354, DROME18352
OG0000875	SCHMD17655, SCHMD18552, SCHMD00030, SCHMD10336	DROME06587
OG0000876	SCHMD01529	DROME08528, DROME08526, DROME08524, DROME08527, DROME08525
OG0000878	SCHMD18560	DROME07549
OG0000879	SCHMD10640	DROME00001, DROME21621, DROME11009
OG0000880	SCHMD03718	DROME13991, DROME13992
OG0000881	SCHMD04314, SCHMD09365, SCHMD01117, SCHMD08924	DROME06288, DROME06289
OG0000881	SCHMD20926, SCHMD25363	DROME20749, DROME20746, DROME20750, DROME20748, DROME20747, DROME20751, DROME20752, DROME20753
OG0000882	SCHMD28505, SCHMD21146	DROME12593, DROME12592, DROME12589, DROME12588, DROME12591, DROME12590
OG0000887	SCHMD27495	DROME18142, DROME18141
OG0000887	SCHMD18001	DROME05592
OG0000888	SCHMD01724	DROME13818
OG0000889	SCHMD00830, SCHMD04643	DROME20531, DROME20532
OG0000889	SCHMD02281, SCHMD02130	DROME20008
OG0000894	SCHMD05374	DROME01898, DROME01895, DROME01896, DROME01894, DROME01897
OG0000894	SCHMD11594, SCHMD05061	DROME08778, DROME08777
OG0000896	SCHMD03189	DROME07637, DROME07636
OG0000897	SCHMD05382	DROME09205, DROME09206
OG0000904	SCHMD20433, SCHMD03539	DROME14411, DROME14410
OG0000905	SCHMD17642, SCHMD19023	DROME11749
OG0000906	SCHMD01676	DROME09411
OG0000907	SCHMD20214, SCHMD15966, SCHMD20213, SCHMD25072, SCHMD03616, SCHMD11090	DROME01472, DROME01473, DROME01474, DROME01471
OG0000908	SCHMD03334, SCHMD11293	DROME05842, DROME05841
OG0000908	SCHMD14013	DROME16604
OG0000909	SCHMD05694, SCHMD03729	DROME21889, DROME21890, DROME21873, DROME21876, DROME21877, DROME21875, DROME19901, DROME19900
OG0000911	SCHMD02390, SCHMD02388	DROME15954, DROME15951, DROME15953, DROME15956, DROME15955, DROME15952, DROME15957
OG0000913	SCHMD10820, SCHMD18663	DROME01636, DROME01633, DROME01634, DROME01635, DROME10634, DROME10638, DROME10637, DROME10636, DROME10635, DROME10633, DROME05629, DROME10407, DROME10406, DROME08899, DROME10631, DROME10640, DROME10639, DROME21277, DROME21276, DROME21275
OG0000914	SCHMD13079, SCHMD10834, SCHMD13078	DROME06233, DROME06234, DROME06235
OG0000921	SCHMD07722	DROME01540
OG0000921	SCHMD16275	DROME21958
OG0000925	SCHMD01205, SCHMD18689	DROME02762
OG0000925	SCHMD00501, SCHMD05937	DROME13733, DROME13734
OG0000926	SCHMD17035, SCHMD24363	DROME22087
OG0000926	SCHMD13544, SCHMD06558	DROME13962, DROME13964, DROME13963, DROME13961
OG0000929	SCHMD00375, SCHMD08839	DROME02144, DROME02147, DROME02145, DROME02146, DROME02148, DROME02143
OG0000931	SCHMD02356	DROME06107, DROME06103, DROME06106, DROME06105, DROME06104
OG0000932	SCHMD13730	DROME19600, DROME19599, DROME19601, DROME19598
OG0000933	SCHMD17143, SCHMD03632, SCHMD07102, SCHMD01828, SCHMD29251, SCHMD08939, SCHMD02882, SCHMD28308, SCHMD17968, SCHMD28525, SCHMD13327, SCHMD17140, SCHMD17141	DROME00363
OG0000934	SCHMD07111, SCHMD08216	DROME18021
OG0000935	SCHMD18664	DROME19387
OG0000944	SCHMD15750	DROME06673, DROME05002, DROME05004, DROME05003, DROME05001, DROME05005, DROME04999, DROME05000
OG0000945	SCHMD15214, SCHMD06612, SCHMD06319	DROME11635, DROME10522
OG0000947	SCHMD24447	DROME14910, DROME14909
OG0000949	SCHMD10151, SCHMD29084, SCHMD29079, SCHMD02016	DROME20631
OG0000950	SCHMD21769, SCHMD25017	DROME15080, DROME15081, DROME15075, DROME15077, DROME15078, DROME15076, DROME15082, DROME15083, DROME15079
OG0000952	SCHMD25772, SCHMD22150, SCHMD05274	DROME18132
OG0000954	SCHMD05469, SCHMD02974	DROME12405, DROME12406, DROME12407
OG0000955	SCHMD06645, SCHMD03890, SCHMD04591	DROME04991, DROME04992, DROME04993, DROME04990
OG0000955	SCHMD06275	DROME09197
OG0000955	SCHMD20742	DROME02414
OG0000957	SCHMD18022, SCHMD18023	DROME11550, DROME11548, DROME11549
OG0000960	SCHMD05680, SCHMD08670, SCHMD05681, SCHMD12110	DROME04151, DROME04150, DROME04154, DROME04153, DROME04158, DROME04156, DROME04161, DROME04149, DROME04152, DROME04155, DROME04157, DROME04160, DROME04159
OG0000963	SCHMD22298, SCHMD11708, SCHMD04476	DROME09182, DROME09184, DROME09183, DROME07082
OG0000965	SCHMD22316, SCHMD15133, SCHMD13697, SCHMD12517	DROME10622
OG0000966	SCHMD17402, SCHMD18575	DROME05703
OG0000967	SCHMD05844, SCHMD03950	DROME01950, DROME01951, DROME01952
OG0000969	SCHMD15666, SCHMD13228	DROME17496
OG0000972	SCHMD05471	DROME12808, DROME12809
OG0000974	SCHMD24665, SCHMD24853, SCHMD26881	DROME20587, DROME20537, DROME20538
OG0000976	SCHMD13984	DROME15676
OG0000978	SCHMD15268, SCHMD25301, SCHMD25194	DROME08128, DROME08129, DROME08130, DROME08127, DROME08125, DROME08126
OG0000979	SCHMD24204, SCHMD01421	DROME10162, DROME10163, DROME10160, DROME10161, DROME10164
OG0000982	SCHMD26054	DROME07397, DROME07866, DROME07869, DROME07868, DROME07870, DROME07867
OG0000984	SCHMD02865, SCHMD00646	DROME12019, DROME07638
OG0000985	SCHMD18627, SCHMD20480, SCHMD13371, SCHMD11840	DROME16403, DROME16400, DROME16401, DROME16404, DROME16402
OG0000987	SCHMD03090, SCHMD13202, SCHMD12033, SCHMD17704	DROME05032, DROME05034, DROME05033, DROME05035, DROME05036
OG0000988	SCHMD00928	DROME19158
OG0000992	SCHMD08111	DROME02382, DROME02383
OG0000994	SCHMD16610, SCHMD07202, SCHMD11541, SCHMD07203	DROME20689
OG0000994	SCHMD16602, SCHMD10604	DROME05396
OG0000997	SCHMD28749	DROME21618
OG0000999	SCHMD24575, SCHMD22089, SCHMD08206, SCHMD16857, SCHMD24576, SCHMD11146, SCHMD08208	DROME05157, DROME05156
OG0001000	SCHMD22725, SCHMD28387	DROME14938, DROME14943, DROME14945, DROME14944, DROME14942, DROME14939, DROME14940, DROME14941
OG0001001	SCHMD07356	DROME01963, DROME01964, DROME01966, DROME01965
OG0001002	SCHMD14095	DROME16267, DROME12122, DROME12123, DROME12119, DROME12118, DROME12121, DROME12120, DROME17836, DROME17837
OG0001003	SCHMD21687, SCHMD24830	DROME20428, DROME20429
OG0001005	SCHMD01144, SCHMD03527, SCHMD03526	DROME16898
OG0001006	SCHMD17048, SCHMD11571	DROME12303
OG0001008	SCHMD04849, SCHMD04856, SCHMD04857	DROME03430, DROME03431, DROME03434, DROME03433, DROME03432, DROME03436, DROME03435, DROME03437, DROME03438
OG0001013	SCHMD14534, SCHMD13659, SCHMD16121, SCHMD28755, SCHMD14533	DROME18675, DROME18672, DROME18676, DROME18674, DROME18673
OG0001015	SCHMD06693, SCHMD06692	DROME02246
OG0001016	SCHMD23273, SCHMD15080	DROME03793
OG0001016	SCHMD25548, SCHMD21254	DROME04453
OG0001017	SCHMD04416, SCHMD11368	DROME18747, DROME18746
OG0001017	SCHMD16755, SCHMD16754	DROME08120, DROME08121
OG0001018	SCHMD08153	DROME08789
OG0001019	SCHMD15171	DROME18178
OG0001023	SCHMD07708, SCHMD18630, SCHMD28291, SCHMD19902	DROME07472, DROME07471
OG0001028	SCHMD01474, SCHMD11482	DROME17206, DROME17210, DROME17209, DROME17205, DROME17207, DROME17208
OG0001029	SCHMD04839, SCHMD00804, SCHMD00805	DROME15897, DROME08324
OG0001030	SCHMD08464	DROME15420, DROME15421, DROME15419
OG0001031	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644	DROME02372
OG0001032	SCHMD15671, SCHMD16553, SCHMD24305, SCHMD20230, SCHMD05282	DROME10930, DROME10931, DROME10932
OG0001033	SCHMD11399, SCHMD23908	DROME16359
OG0001033	SCHMD10492	DROME01958
OG0001036	SCHMD03745, SCHMD20768, SCHMD09235, SCHMD05156	DROME21959
OG0001037	SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259	DROME07145, DROME07148, DROME07147, DROME07146
OG0001038	SCHMD26628, SCHMD09164, SCHMD14733, SCHMD14734	DROME06346, DROME06343, DROME06345, DROME06344
OG0001039	SCHMD01765	DROME19717, DROME19715, DROME19716, DROME12713
OG0001042	SCHMD11839	DROME12465, DROME12464, DROME12463, DROME12462
OG0001046	SCHMD05104, SCHMD02045, SCHMD11124	DROME05889
OG0001050	SCHMD03458	DROME09499, DROME09500
OG0001052	SCHMD09988	DROME01922
OG0001053	SCHMD25503, SCHMD22630	DROME11830
OG0001054	SCHMD24047	DROME21929
OG0001056	SCHMD02897	DROME10790
OG0001059	SCHMD18021	DROME05567, DROME05571, DROME05569, DROME05566, DROME05568, DROME05572, DROME05570
OG0001060	SCHMD12337, SCHMD14762, SCHMD05051	DROME06478, DROME01930
OG0001062	SCHMD24440, SCHMD23600, SCHMD17910	DROME12175, DROME12172
OG0001063	SCHMD00703	DROME14111
OG0001064	SCHMD00355, SCHMD00354	DROME16728
OG0001064	SCHMD28345	DROME20769
OG0001072	SCHMD24459, SCHMD27893	DROME08170
OG0001073	SCHMD00478	DROME03543, DROME03544, DROME03542
OG0001075	SCHMD20153, SCHMD20154, SCHMD04393, SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771	DROME05007, DROME05008
OG0001076	SCHMD11877, SCHMD11878, SCHMD07132, SCHMD07131	DROME10433, DROME10436, DROME10429, DROME10434, DROME10430, DROME10435, DROME10431, DROME10432
OG0001077	SCHMD18584, SCHMD01953	DROME14374
OG0001077	SCHMD18407, SCHMD17122	DROME15216, DROME15217, DROME15215, DROME15218
OG0001078	SCHMD20731, SCHMD25766	DROME16039, DROME16040
OG0001079	SCHMD27223	DROME12134, DROME12135, DROME12136
OG0001080	SCHMD05782, SCHMD22091	DROME21548, DROME21547
OG0001081	SCHMD05425	DROME00421, DROME00420, DROME00419, DROME02998, DROME02997
OG0001083	SCHMD07690	DROME07895
OG0001084	SCHMD10718	DROME15262, DROME15263
OG0001085	SCHMD03894	DROME18407, DROME18408, DROME18409
OG0001086	SCHMD14120	DROME20573
OG0001086	SCHMD22447, SCHMD28850, SCHMD24214	DROME03964, DROME03962, DROME03963, DROME03961
OG0001091	SCHMD13206, SCHMD15908	DROME08376, DROME08378, DROME08377
OG0001092	SCHMD18000, SCHMD17999, SCHMD18945, SCHMD28277, SCHMD28278, SCHMD18946	DROME19209, DROME19207, DROME19204, DROME19205, DROME19206, DROME19208, DROME19203
OG0001093	SCHMD16772	DROME09012, DROME09005, DROME09009, DROME09004, DROME09007, DROME09010, DROME09011, DROME09006, DROME09008
OG0001094	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662	DROME08185, DROME21556
OG0001096	SCHMD11467, SCHMD14874	DROME20588, DROME20589, DROME02389
OG0001101	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685	DROME01099
OG0001102	SCHMD06311	DROME11539
OG0001103	SCHMD10595	DROME13242, DROME13241, DROME13243, DROME13244
OG0001104	SCHMD11885	DROME02777, DROME02778
OG0001104	SCHMD14895, SCHMD18516, SCHMD03705	DROME02350, DROME02351
OG0001108	SCHMD08133	DROME12857, DROME12858, DROME12856, DROME12855, DROME21101, DROME21100, DROME21098, DROME21099, DROME21102, DROME18011
OG0001112	SCHMD12345, SCHMD07656, SCHMD07657, SCHMD23860, SCHMD19548, SCHMD19654, SCHMD19655	DROME13039, DROME13038, DROME13037, DROME13036
OG0001113	SCHMD04717	DROME18531, DROME18532
OG0001113	SCHMD10085	DROME05388
OG0001113	SCHMD08665, SCHMD03992	DROME01680
OG0001114	SCHMD27710, SCHMD15592, SCHMD14156, SCHMD02552, SCHMD07391	DROME00496, DROME16340, DROME16339
OG0001114	SCHMD18228, SCHMD14100, SCHMD15222	DROME14934, DROME16341
OG0001118	SCHMD16905, SCHMD07256, SCHMD20803, SCHMD22443	DROME14402, DROME14401
OG0001119	SCHMD23322, SCHMD22988, SCHMD23323	DROME17259, DROME17271, DROME17273, DROME17270, DROME17257, DROME17260, DROME17272, DROME17265, DROME17267, DROME17258, DROME17266, DROME17262, DROME17261, DROME17268, DROME17263, DROME17264, DROME17269
OG0001121	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994	DROME11643, DROME11644, DROME11645, DROME11642
OG0001123	SCHMD02755, SCHMD22573, SCHMD28528, SCHMD01636, SCHMD08373	DROME20601
OG0001124	SCHMD24013	DROME13810
OG0001126	SCHMD17193, SCHMD24674, SCHMD17192	DROME07144
OG0001127	SCHMD06664	DROME21295, DROME21293, DROME21294, DROME21292
OG0001128	SCHMD08323	DROME07099, DROME07102, DROME07101, DROME07098, DROME07100
OG0001129	SCHMD15504, SCHMD18282, SCHMD05846	DROME06610
OG0001130	SCHMD04030	DROME08159
OG0001130	SCHMD13287	DROME08055
OG0001130	SCHMD04031	DROME04983, DROME04982
OG0001133	SCHMD18643	DROME16631
OG0001133	SCHMD29299, SCHMD19714	DROME02832
OG0001135	SCHMD28946, SCHMD01011, SCHMD22792	DROME18153, DROME18152
OG0001137	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243	DROME07212, DROME07220, DROME07223, DROME07218, DROME07213, DROME07221, DROME07215, DROME07214, DROME07216, DROME07226, DROME07219, DROME07222, DROME07224, DROME07227, DROME07229, DROME07217, DROME07228, DROME07225
OG0001138	SCHMD00170	DROME16831, DROME16832, DROME16830, DROME16829
OG0001139	SCHMD00334	DROME11285, DROME11284, DROME20784
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	DROME04492, DROME04491
OG0001141	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658	DROME07353, DROME07352, DROME07355, DROME07354, DROME07356
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	DROME15460, DROME15458, DROME15459
OG0001143	SCHMD05178	DROME17973, DROME17969, DROME17968, DROME17972, DROME17970, DROME17971, DROME17975, DROME17976, DROME17974, DROME17978, DROME17977
OG0001148	SCHMD02133, SCHMD02134, SCHMD22264, SCHMD25588	DROME04431, DROME04432
OG0001149	SCHMD16336, SCHMD29633	DROME20514
OG0001156	SCHMD11390	DROME20509, DROME20508, DROME20507, DROME20506, DROME20511, DROME20510
OG0001158	SCHMD01514, SCHMD06104, SCHMD00376	DROME08138, DROME08137
OG0001159	SCHMD21936	DROME00704
OG0001159	SCHMD26551, SCHMD23487	DROME00654, DROME00655
OG0001160	SCHMD20666	DROME05833, DROME05832, DROME05835, DROME05834
OG0001161	SCHMD10427, SCHMD25982, SCHMD11638	DROME10169, DROME10171, DROME10167, DROME10168, DROME10170
OG0001162	SCHMD04355, SCHMD04356	DROME19105, DROME19103, DROME19101, DROME19104, DROME19102, DROME19106, DROME19107
OG0001164	SCHMD22065	DROME08761, DROME08760, DROME08762, DROME08763, DROME08759
OG0001165	SCHMD11819, SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131	DROME20938, DROME07288
OG0001167	SCHMD08043, SCHMD04406	DROME17311
OG0001168	SCHMD13073	DROME02336
OG0001172	SCHMD19335	DROME12074, DROME12075
OG0001172	SCHMD00291	DROME11227, DROME11226
OG0001174	SCHMD01912, SCHMD10503, SCHMD10504, SCHMD01914	DROME01257, DROME01258
OG0001175	SCHMD29294, SCHMD29072, SCHMD18473	DROME10674
OG0001177	SCHMD07014, SCHMD07016, SCHMD07017, SCHMD07015	DROME01933, DROME01934, DROME21906
OG0001178	SCHMD13713	DROME18168, DROME18169, DROME18170, DROME18167
OG0001180	SCHMD06758, SCHMD11099, SCHMD23467, SCHMD27444, SCHMD17396	DROME10923, DROME10922
OG0001184	SCHMD09255, SCHMD12752	DROME03279
OG0001184	SCHMD29753, SCHMD15110, SCHMD23640	DROME17805
OG0001185	SCHMD23236	DROME09235, DROME09236, DROME09242, DROME09234, DROME09239, DROME09241, DROME09240, DROME09237, DROME09238
OG0001185	SCHMD12839	DROME09245
OG0001186	SCHMD20610	DROME11811, DROME11812
OG0001186	SCHMD05037	DROME18932
OG0001188	SCHMD18590, SCHMD05961, SCHMD05963, SCHMD14167	DROME07119, DROME07117, DROME07120, DROME07116, DROME07118
OG0001191	SCHMD11387	DROME15546, DROME15547, DROME15549, DROME15548
OG0001197	SCHMD06230	DROME14364
OG0001197	SCHMD16253	DROME07563
OG0001201	SCHMD18644	DROME20824, DROME20825, DROME20823, DROME20822
OG0001203	SCHMD00135, SCHMD00546, SCHMD10565, SCHMD27661, SCHMD10341	DROME16841
OG0001204	SCHMD08657, SCHMD22624, SCHMD10325	DROME15252
OG0001208	SCHMD11671, SCHMD13440, SCHMD22806	DROME21826, DROME21829, DROME21823, DROME21824, DROME21830, DROME21827, DROME21819, DROME21821, DROME21825, DROME21822, DROME21820, DROME21828, DROME21813, DROME21818, DROME21814, DROME21817, DROME21815, DROME21816
OG0001209	SCHMD22043, SCHMD28492	DROME03307
OG0001210	SCHMD19441	DROME01292
OG0001210	SCHMD03204	DROME21654, DROME21653
OG0001211	SCHMD16385, SCHMD14428, SCHMD25192, SCHMD09586	DROME14817, DROME14816, DROME14814, DROME14815
OG0001213	SCHMD01086	DROME12028
OG0001213	SCHMD23993, SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675	DROME15857
OG0001214	SCHMD22221	DROME14229, DROME14228, DROME14227, DROME14223, DROME14224, DROME14225, DROME14226
OG0001215	SCHMD25774	DROME05613, DROME05611, DROME05612
OG0001217	SCHMD18537	DROME06701
OG0001218	SCHMD03255	DROME12108, DROME12211, DROME12213, DROME12212
OG0001219	SCHMD09614, SCHMD00713	DROME17625, DROME17624, DROME17623, DROME17626, DROME17619, DROME17620, DROME17618, DROME17621, DROME17622, DROME17627, DROME17628
OG0001220	SCHMD07712	DROME02744, DROME20493, DROME20492
OG0001221	SCHMD16690, SCHMD16872	DROME09514
OG0001223	SCHMD08671	DROME08781, DROME08780
OG0001226	SCHMD21222	DROME09885, DROME09884, DROME09883, DROME09882
OG0001230	SCHMD18159	DROME05921, DROME05920
OG0001231	SCHMD05786, SCHMD07759, SCHMD03181, SCHMD13940, SCHMD03182	DROME17241, DROME17722, DROME17723, DROME17725, DROME17724
OG0001234	SCHMD01688	DROME10228, DROME10226, DROME10225, DROME10229, DROME10230, DROME10227, DROME10232, DROME10231
OG0001236	SCHMD08913, SCHMD03442, SCHMD05776, SCHMD14035	DROME06609, DROME04424, DROME20964
OG0001238	SCHMD09688	DROME21058, DROME14293, DROME05136, DROME05137, DROME05138, DROME14291, DROME14292
OG0001239	SCHMD22060, SCHMD22059, SCHMD04401, SCHMD16791	DROME18412, DROME18411, DROME18415, DROME18413, DROME18414
OG0001241	SCHMD04757, SCHMD04223	DROME02596
OG0001241	SCHMD16327	DROME03537
OG0001245	SCHMD24743, SCHMD24744	DROME06795
OG0001247	SCHMD01541, SCHMD06119, SCHMD06121	DROME18852
OG0001248	SCHMD28672, SCHMD29190, SCHMD17657	DROME02625, DROME02624, DROME02623
OG0001249	SCHMD01150, SCHMD03693, SCHMD01149	DROME05745, DROME05744, DROME04456, DROME04455
OG0001250	SCHMD08101, SCHMD04347	DROME10391, DROME10390, DROME10392
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715	DROME04532
