Orthogroup	SCHMD	DANRE
OG0001015	SCHMD06693, SCHMD06692	DANRE36830, DANRE28847, DANRE28849, DANRE28848, DANRE28850
OG0001016	SCHMD23273, SCHMD15080	DANRE23809, DANRE23808
OG0001016	SCHMD25548, SCHMD21254	DANRE24167
OG0001017	SCHMD04416, SCHMD11368	DANRE23148, DANRE23147, DANRE23146, DANRE23149
OG0001017	SCHMD16755	DANRE23925, DANRE23924, DANRE26677
OG0001017	SCHMD16754	DANRE23145
OG0001018	SCHMD08153	DANRE16608, DANRE16609
OG0001019	SCHMD15171	DANRE14405, DANRE14404, DANRE09084, DANRE40539
OG0001023	SCHMD07708, SCHMD18630, SCHMD28291	DANRE03679, DANRE03680
OG0001023	SCHMD19902	DANRE38253, DANRE38255
OG0001028	SCHMD01474, SCHMD11482	DANRE21742, DANRE21744, DANRE21743, DANRE12753, DANRE12754, DANRE12752, DANRE38499
OG0001029	SCHMD04839, SCHMD00804, SCHMD00805	DANRE12697, DANRE37177
OG0001030	SCHMD08464	DANRE17793, DANRE05538, DANRE16720, DANRE16719, DANRE16721, DANRE05568, DANRE05569
OG0001031	SCHMD14040, SCHMD09371, SCHMD16991, SCHMD19644	DANRE05231
OG0001031	SCHMD21518, SCHMD21621, SCHMD16193, SCHMD12815, SCHMD19646, SCHMD16992, SCHMD17709, SCHMD09373	DANRE16690
OG0001032	SCHMD15671, SCHMD16553, SCHMD24305, SCHMD20230, SCHMD05282	DANRE16885, DANRE16886, DANRE29809
OG0001033	SCHMD11399, SCHMD23908	DANRE34683, DANRE19218, DANRE35345
OG0001033	SCHMD10492	DANRE02095, DANRE40162
OG0001036	SCHMD20768, SCHMD09235	DANRE22470, DANRE22471, DANRE22469, DANRE10595, DANRE15083, DANRE15084, DANRE10596
OG0001036	SCHMD05156	DANRE07130
OG0001037	SCHMD23424, SCHMD16427, SCHMD02530, SCHMD07259	DANRE39620, DANRE39624, DANRE39622, DANRE39623, DANRE39619, DANRE34192, DANRE39621, DANRE34191, DANRE34188, DANRE34189, DANRE34190, DANRE26737, DANRE39625, DANRE26734, DANRE26735, DANRE26736, DANRE24510
OG0001038	SCHMD26628, SCHMD09164, SCHMD14733, SCHMD14734	DANRE15917, DANRE15918, DANRE06671, DANRE04444, DANRE22123, DANRE22124, DANRE22125
OG0001039	SCHMD01765	DANRE33583
OG0001042	SCHMD11839	DANRE40759, DANRE40758, DANRE40284, DANRE02474, DANRE02475, DANRE22411, DANRE22410, DANRE12329, DANRE12330, DANRE12328, DANRE31604, DANRE31603
OG0001046	SCHMD05104, SCHMD02045, SCHMD11124	DANRE29998, DANRE15431, DANRE15430, DANRE43288, DANRE29165, DANRE30394, DANRE02971, DANRE02969, DANRE02970
OG0001047	SCHMD28420	DANRE01241, DANRE08399, DANRE08397, DANRE08398, DANRE01243, DANRE01242, DANRE12244, DANRE12243, DANRE19750, DANRE19749, DANRE06956, DANRE06957
OG0001048	SCHMD12160	DANRE33726, DANRE33727, DANRE05406, DANRE03103, DANRE05407, DANRE19307, DANRE19308, DANRE20140, DANRE20141, DANRE20142
OG0001049	SCHMD16614	DANRE02648, DANRE23652
OG0001050	SCHMD03458	DANRE40771, DANRE17632, DANRE37651, DANRE36467, DANRE25249, DANRE25251, DANRE25250, DANRE09895, DANRE09896
OG0001052	SCHMD09988	DANRE34546, DANRE34547, DANRE04642
OG0001053	SCHMD25503, SCHMD22630	DANRE03466, DANRE28187, DANRE28188, DANRE28186, DANRE24594, DANRE24595, DANRE23165, DANRE42694, DANRE42693
OG0001059	SCHMD17881, SCHMD18020	DANRE18761
OG0001060	SCHMD12337, SCHMD14762, SCHMD05051	DANRE30655
OG0001062	SCHMD24440, SCHMD23600, SCHMD17910	DANRE28653, DANRE16543, DANRE21837, DANRE21838, DANRE26303, DANRE23617
OG0001068	SCHMD00936	DANRE22932, DANRE22934, DANRE22933, DANRE36832, DANRE27671, DANRE27672, DANRE27673, DANRE24451
OG0001070	SCHMD15531	DANRE08972, DANRE08664, DANRE43004, DANRE23709, DANRE32853, DANRE16871
OG0001072	SCHMD24459, SCHMD27893	DANRE34212, DANRE34213, DANRE33687, DANRE33686, DANRE30991
OG0001073	SCHMD00478	DANRE07147, DANRE07148, DANRE02614
OG0001075	SCHMD13181, SCHMD04392, SCHMD00196, SCHMD16771	DANRE18111, DANRE18112
OG0001076	SCHMD11877	DANRE17847
OG0001076	SCHMD07131	DANRE01059, DANRE01061, DANRE08511, DANRE08513, DANRE08512, DANRE01060, DANRE08514, DANRE17848, DANRE17845, DANRE17846, DANRE17844
OG0001077	SCHMD18407, SCHMD17122	DANRE42724
OG0001078	SCHMD20731, SCHMD25766	DANRE33231, DANRE33234, DANRE33233, DANRE33232, DANRE22373, DANRE22374, DANRE22372, DANRE36986, DANRE29517, DANRE24790, DANRE24791, DANRE39097, DANRE39096, DANRE39098
OG0001079	SCHMD27223	DANRE40520, DANRE40521, DANRE31014, DANRE39805
OG0001080	SCHMD08586	DANRE10317
OG0001080	SCHMD15438, SCHMD19176	DANRE38901, DANRE38902
OG0001081	SCHMD05425	DANRE12197, DANRE12196, DANRE12195
OG0001083	SCHMD07690	DANRE11162, DANRE03313, DANRE06572, DANRE11816, DANRE11815
OG0001084	SCHMD10718	DANRE21390, DANRE09519, DANRE09517, DANRE09518, DANRE21391
OG0001084	SCHMD10717	DANRE28176, DANRE28177
OG0001085	SCHMD03894	DANRE36752, DANRE36751, DANRE22295, DANRE39750, DANRE39751, DANRE02426, DANRE30868, DANRE30869, DANRE02298, DANRE02297, DANRE02296
OG0001086	SCHMD14120	DANRE07854, DANRE07855, DANRE07853, DANRE34443, DANRE18052, DANRE18053, DANRE06661, DANRE34442, DANRE34441, DANRE34444
OG0001088	SCHMD01007, SCHMD19898, SCHMD23791	DANRE12098
OG0001090	SCHMD22171, SCHMD15052	DANRE04613
OG0001090	SCHMD14871, SCHMD23868, SCHMD00934	DANRE35589
OG0001091	SCHMD13206, SCHMD15908	DANRE16115, DANRE41479, DANRE03250, DANRE14908, DANRE14909, DANRE29822, DANRE03251, DANRE14907, DANRE14905, DANRE14906, DANRE41478
OG0001092	SCHMD18945	DANRE01082, DANRE15922
OG0001093	SCHMD16772	DANRE14894, DANRE14893, DANRE03347, DANRE29218, DANRE29217, DANRE16120, DANRE41468, DANRE41467, DANRE41466
OG0001094	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662	DANRE10894, DANRE06835, DANRE05547
OG0001096	SCHMD11467, SCHMD14874	DANRE36317, DANRE41555, DANRE41553, DANRE41554
OG0001101	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685	DANRE43023, DANRE43024
OG0001101	SCHMD18683, SCHMD23171	DANRE02372
OG0001102	SCHMD06311	DANRE05563
OG0001103	SCHMD10595	DANRE12024
OG0001108	SCHMD08133	DANRE22562, DANRE36536, DANRE36537, DANRE22561, DANRE22563, DANRE07648, DANRE07647, DANRE07649, DANRE07646, DANRE07645
OG0001112	SCHMD26529, SCHMD08447	DANRE36239, DANRE41400, DANRE15335, DANRE15332
OG0001112	SCHMD07657, SCHMD23860, SCHMD19548, SCHMD19654, SCHMD19655	DANRE36240
OG0001113	SCHMD04717	DANRE29305, DANRE29306
OG0001113	SCHMD10085	DANRE13286
OG0001113	SCHMD08665, SCHMD03992	DANRE36120
OG0001114	SCHMD27710, SCHMD15592, SCHMD14156	DANRE12192, DANRE12194, DANRE25899, DANRE10621, DANRE10620, DANRE10623, DANRE10622
OG0001116	SCHMD19491	DANRE42047
OG0001116	SCHMD04023	DANRE26874, DANRE28973, DANRE28974
OG0001117	SCHMD18856	DANRE26679, DANRE24503, DANRE22781
OG0001119	SCHMD23323	DANRE38797
OG0001121	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994	DANRE05588, DANRE05587, DANRE16591, DANRE16590, DANRE16589
OG0001123	SCHMD02756	DANRE23983
OG0001124	SCHMD24013	DANRE03040, DANRE01476
OG0001126	SCHMD17192	DANRE37911
OG0001128	SCHMD08323	DANRE11570, DANRE11571, DANRE13253, DANRE13252, DANRE00033, DANRE18370, DANRE18369, DANRE18368, DANRE18366, DANRE18367
OG0001129	SCHMD15504, SCHMD18282, SCHMD05846	DANRE12805, DANRE38100, DANRE10144
OG0001130	SCHMD04030	DANRE00191, DANRE00192
OG0001133	SCHMD18643	DANRE14565
OG0001133	SCHMD29299, SCHMD19714	DANRE00326, DANRE00325
OG0001135	SCHMD28946	DANRE43114, DANRE28908, DANRE28907, DANRE28967, DANRE28968
OG0001136	SCHMD09640	DANRE40170, DANRE40169, DANRE26964, DANRE26965, DANRE39095, DANRE39094
OG0001138	SCHMD00170	DANRE23035, DANRE23036, DANRE36919, DANRE36920, DANRE38760, DANRE38759, DANRE27896, DANRE27895, DANRE27897, DANRE42085
OG0001139	SCHMD00334	DANRE16147, DANRE16148, DANRE25097, DANRE30941, DANRE30942
OG0001140	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472	DANRE14735, DANRE14736, DANRE12076, DANRE12078
OG0001141	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658	DANRE41144, DANRE41143, DANRE41145, DANRE34924, DANRE34925, DANRE41146, DANRE34926
OG0001142	SCHMD12785, SCHMD19807, SCHMD09379	DANRE38005, DANRE38003
OG0001143	SCHMD05178	DANRE25849, DANRE30754, DANRE30755, DANRE13212, DANRE15627, DANRE09922
OG0001146	SCHMD06189	DANRE36295, DANRE36291, DANRE36297, DANRE36294, DANRE36292, DANRE36293, DANRE36296, DANRE41104, DANRE41105, DANRE33875, DANRE33874
OG0001149	SCHMD16336, SCHMD29633	DANRE14289, DANRE14290, DANRE14288, DANRE43370, DANRE43369
OG0001155	SCHMD01897	DANRE00096
OG0001156	SCHMD11390	DANRE36530, DANRE22268, DANRE29205, DANRE29204, DANRE42727, DANRE42726
OG0001158	SCHMD06105	DANRE24675
OG0001158	SCHMD01514, SCHMD06104, SCHMD00376	DANRE36872, DANRE23963, DANRE23962
OG0001161	SCHMD27832, SCHMD10429, SCHMD10428	DANRE38331, DANRE38329, DANRE38330, DANRE25997, DANRE00207, DANRE00210, DANRE00209
OG0001162	SCHMD04355, SCHMD04356	DANRE08007, DANRE08006, DANRE08008, DANRE08009, DANRE19831, DANRE19828, DANRE19830, DANRE19829, DANRE42512, DANRE42511, DANRE43065
OG0001164	SCHMD22065	DANRE00549, DANRE00552, DANRE00551
OG0001164	SCHMD03049, SCHMD03051, SCHMD03050	DANRE00550
OG0001165	SCHMD11819	DANRE18768
OG0001165	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131	DANRE42434, DANRE42435, DANRE42433
OG0001167	SCHMD08043, SCHMD04406	DANRE11150, DANRE38292, DANRE38291, DANRE05260, DANRE05261
OG0001168	SCHMD13073	DANRE14764
OG0001172	SCHMD19335	DANRE28103, DANRE23854, DANRE42209
OG0001172	SCHMD00291	DANRE43426
OG0001175	SCHMD18473	DANRE40566, DANRE40568, DANRE40567, DANRE40616, DANRE40615, DANRE00572, DANRE40617
OG0001176	SCHMD14886	DANRE38313, DANRE14113, DANRE21453
OG0001178	SCHMD07684	DANRE17522, DANRE17523
OG0001178	SCHMD13713	DANRE42414, DANRE42416, DANRE42415
OG0001179	SCHMD26379	DANRE37036, DANRE37035
OG0001181	SCHMD21797	DANRE23910, DANRE23911, DANRE26674, DANRE26675, DANRE03474, DANRE29972, DANRE29971
OG0001183	SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725	DANRE24698
OG0001183	SCHMD02325	DANRE29477, DANRE29478, DANRE29479, DANRE29476, DANRE29483, DANRE29481, DANRE29482, DANRE29480, DANRE24697
OG0001184	SCHMD12752	DANRE14296
OG0001184	SCHMD29753, SCHMD15110, SCHMD23640	DANRE38448
OG0001185	SCHMD23236	DANRE10091, DANRE10087, DANRE10090, DANRE10088, DANRE10089, DANRE05149, DANRE05150
OG0001186	SCHMD20610	DANRE26898, DANRE26897, DANRE26189
OG0001186	SCHMD05037	DANRE39141
OG0001188	SCHMD05963, SCHMD14167	DANRE02573, DANRE11351, DANRE11352
OG0001189	SCHMD17573, SCHMD27159, SCHMD05552	DANRE23240, DANRE23241, DANRE22508, DANRE22507, DANRE23239, DANRE23238, DANRE18126
OG0001191	SCHMD11387	DANRE23738, DANRE41174, DANRE11828, DANRE11011, DANRE11829, DANRE03309, DANRE03310, DANRE06571
OG0001197	SCHMD06230	DANRE19964, DANRE19965
OG0001197	SCHMD16253	DANRE09525, DANRE42674
OG0001198	SCHMD04078	DANRE12408
OG0001199	SCHMD17507, SCHMD14047	DANRE11652, DANRE11653
OG0001199	SCHMD17830	DANRE18330, DANRE18331
OG0001201	SCHMD18644	DANRE22353, DANRE22355, DANRE12520, DANRE24918
OG0001204	SCHMD08657, SCHMD22624, SCHMD10325	DANRE00077, DANRE07916, DANRE07914, DANRE07913, DANRE20317, DANRE20315, DANRE20314, DANRE07915, DANRE20316
OG0001207	SCHMD07731	DANRE42063, DANRE24209, DANRE29571, DANRE35692
OG0001208	SCHMD11671, SCHMD13440, SCHMD22806	DANRE35541, DANRE41476, DANRE41472, DANRE41473, DANRE09739, DANRE09738, DANRE43074
OG0001210	SCHMD19441	DANRE18802, DANRE18801, DANRE18800
OG0001213	SCHMD01086	DANRE04387, DANRE43203, DANRE04388
OG0001213	SCHMD23993	DANRE01516, DANRE01514
OG0001213	SCHMD21364, SCHMD26387, SCHMD21954, SCHMD22675	DANRE01515
OG0001214	SCHMD22221	DANRE24143
OG0001215	SCHMD25774	DANRE27329, DANRE27330, DANRE35594, DANRE35595, DANRE41572, DANRE41571, DANRE41573, DANRE35593, DANRE35592, DANRE41574, DANRE23354, DANRE23355, DANRE36527, DANRE36526
OG0001216	SCHMD13349	DANRE26030
OG0001217	SCHMD18537	DANRE24420, DANRE19883, DANRE19884, DANRE24419, DANRE33785, DANRE17425, DANRE17426
OG0001217	SCHMD21187, SCHMD21148	DANRE11461
OG0001218	SCHMD03256	DANRE13767
OG0001218	SCHMD03255	DANRE09982, DANRE13766, DANRE13765, DANRE02525, DANRE02526, DANRE37945
OG0001219	SCHMD09614, SCHMD00713	DANRE06219, DANRE06220, DANRE20139, DANRE10625, DANRE13985, DANRE13984
OG0001221	SCHMD16690	DANRE38048, DANRE38049
OG0001223	SCHMD08671	DANRE26912, DANRE26911, DANRE26910, DANRE38596, DANRE37189, DANRE27744, DANRE37064, DANRE37065
OG0001226	SCHMD21222	DANRE07724, DANRE07723, DANRE07722, DANRE06318, DANRE23264, DANRE23266, DANRE23265, DANRE14194
OG0001230	SCHMD04385, SCHMD04382, SCHMD28531	DANRE10536
OG0001234	SCHMD01688	DANRE09492
OG0001236	SCHMD08913, SCHMD03442	DANRE10388
OG0001236	SCHMD05776	DANRE09452, DANRE09451
OG0001236	SCHMD14035	DANRE09450, DANRE09449
OG0001238	SCHMD09688	DANRE07226, DANRE26310
OG0001239	SCHMD22059, SCHMD04401	DANRE25860
OG0001239	SCHMD16791	DANRE25861, DANRE25859
OG0001241	SCHMD04223	DANRE22500, DANRE22501
OG0001241	SCHMD16327	DANRE16085, DANRE06905
OG0001247	SCHMD01541, SCHMD06119	DANRE22419
OG0001249	SCHMD01149	DANRE15846, DANRE26785, DANRE35515, DANRE20943
OG0001250	SCHMD08101, SCHMD04347	DANRE29340, DANRE29339, DANRE29338, DANRE03569, DANRE03568, DANRE03567, DANRE30537
OG0001251	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715	DANRE39135, DANRE39136, DANRE39134, DANRE24093, DANRE24095, DANRE24092, DANRE24094
OG0001254	SCHMD14258, SCHMD09217	DANRE00247, DANRE00249, DANRE39065, DANRE25611, DANRE25612
OG0001256	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518	DANRE11481, DANRE11480, DANRE11479, DANRE04535, DANRE04093, DANRE04094, DANRE04536
OG0001261	SCHMD13436	DANRE23743, DANRE15935, DANRE15934, DANRE23744, DANRE42389
OG0001262	SCHMD20011	DANRE19262
OG0001263	SCHMD17470	DANRE33573, DANRE05204, DANRE05205, DANRE03253, DANRE03252, DANRE29681, DANRE29682
OG0001264	SCHMD27230, SCHMD17432	DANRE14753, DANRE14754, DANRE37060, DANRE37059, DANRE37061, DANRE39137, DANRE14755, DANRE14750, DANRE14751, DANRE14752
OG0001266	SCHMD10438	DANRE39425, DANRE27260, DANRE35490, DANRE23595
OG0001267	SCHMD05399	DANRE35017, DANRE01548, DANRE34033, DANRE16499, DANRE16498
OG0001268	SCHMD01057	DANRE15799
OG0001271	SCHMD05357	DANRE38819, DANRE38817, DANRE38818, DANRE27361, DANRE27362, DANRE27360, DANRE03360, DANRE21111
OG0001272	SCHMD22716, SCHMD09459	DANRE29978, DANRE03166, DANRE07917, DANRE20323, DANRE06556, DANRE06559, DANRE06557, DANRE06558
OG0001273	SCHMD13838, SCHMD25918, SCHMD21739	DANRE02106, DANRE02107, DANRE28331, DANRE34837, DANRE34836, DANRE34838
OG0001275	SCHMD12521	DANRE18235
OG0001279	SCHMD06836	DANRE13251, DANRE13250, DANRE00031, DANRE00032, DANRE10695, DANRE04800, DANRE16827
OG0001280	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884	DANRE25620, DANRE25621, DANRE37606, DANRE37604, DANRE37605, DANRE28151, DANRE40113, DANRE40112, DANRE37607, DANRE16017, DANRE23707, DANRE16016
OG0001280	SCHMD00561	DANRE37603
OG0001282	SCHMD08025	DANRE42333, DANRE34496, DANRE34495, DANRE42332, DANRE42331, DANRE27101, DANRE24465, DANRE24464
OG0001284	SCHMD09316	DANRE24158
OG0001284	SCHMD00434	DANRE09932, DANRE14552, DANRE25929
OG0001287	SCHMD07530	DANRE20476, DANRE07347, DANRE20477, DANRE42919, DANRE06963, DANRE06964
OG0001288	SCHMD24194, SCHMD28204	DANRE34317
OG0001291	SCHMD20641, SCHMD11793	DANRE00618, DANRE00617, DANRE34030, DANRE34031, DANRE34032, DANRE06257, DANRE06256, DANRE20027, DANRE20028, DANRE20029
OG0001294	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418	DANRE18837, DANRE18836
OG0001296	SCHMD20454, SCHMD11060	DANRE11527, DANRE38121, DANRE38122, DANRE38123, DANRE38120, DANRE22225, DANRE22224
OG0001297	SCHMD10762	DANRE30717, DANRE22459, DANRE22458, DANRE22460, DANRE37013, DANRE37014, DANRE37702
OG0001300	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202	DANRE26543, DANRE26542, DANRE42930, DANRE42928, DANRE42929, DANRE06398, DANRE06399
OG0001302	SCHMD13885	DANRE35522
OG0001302	SCHMD08617, SCHMD27826	DANRE09810
OG0001304	SCHMD13840	DANRE27746, DANRE27745, DANRE38594, DANRE38595, DANRE26905, DANRE26906, DANRE36903, DANRE36902
OG0001306	SCHMD04516	DANRE26353, DANRE26352, DANRE17686, DANRE17685, DANRE17684
OG0001308	SCHMD08020	DANRE05117, DANRE05116, DANRE06233, DANRE34680
OG0001310	SCHMD19422	DANRE12016, DANRE12017
OG0001310	SCHMD09167	DANRE11088, DANRE11087, DANRE35906
OG0001311	SCHMD05801	DANRE14576, DANRE08602
OG0001312	SCHMD02056, SCHMD02055	DANRE33358, DANRE24238, DANRE24239
OG0001316	SCHMD15981	DANRE17825, DANRE24274, DANRE24275, DANRE06941
OG0001318	SCHMD07054	DANRE03829
OG0001318	SCHMD16802	DANRE41846, DANRE16169
OG0001319	SCHMD14764	DANRE33830, DANRE06762, DANRE06763, DANRE27088, DANRE27087, DANRE24474, DANRE42476
OG0001320	SCHMD01321, SCHMD01324, SCHMD01322	DANRE24902
OG0001320	SCHMD05527	DANRE18723, DANRE18722, DANRE05778
OG0001321	SCHMD23818	DANRE12728
OG0001322	SCHMD09506	DANRE39175, DANRE39174, DANRE12563, DANRE12562, DANRE07737
OG0001323	SCHMD18380, SCHMD28053	DANRE43273
OG0001323	SCHMD14852, SCHMD22300	DANRE11172, DANRE04362, DANRE11171, DANRE19992, DANRE37489, DANRE05619
OG0001326	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423	DANRE05749, DANRE05748, DANRE43139, DANRE01553, DANRE33552, DANRE33553, DANRE33551, DANRE05304, DANRE16141
OG0001327	SCHMD08653, SCHMD04846	DANRE31148, DANRE31147, DANRE02284
OG0001329	SCHMD15324	DANRE31065, DANRE31064, DANRE31063, DANRE31066, DANRE31067, DANRE39827
OG0001331	SCHMD14545	DANRE05979, DANRE05980, DANRE05978, DANRE05981, DANRE20417
OG0001332	SCHMD04204	DANRE16331, DANRE38071
OG0001333	SCHMD15673, SCHMD23155	DANRE00100, DANRE03587
OG0001335	SCHMD04673, SCHMD24476	DANRE25894
OG0001337	SCHMD11229, SCHMD01704, SCHMD14444	DANRE39869, DANRE27426, DANRE27424
OG0001339	SCHMD08909	DANRE18341, DANRE18554, DANRE18555
OG0001341	SCHMD01188, SCHMD02608	DANRE39753, DANRE02429
OG0001348	SCHMD24331, SCHMD29399	DANRE41949, DANRE41948, DANRE16560, DANRE16561, DANRE16562, DANRE06898, DANRE06897, DANRE06899
OG0001350	SCHMD16735, SCHMD15485, SCHMD23052	DANRE26476, DANRE26475
OG0001350	SCHMD17071, SCHMD29804, SCHMD10618	DANRE23566
OG0001351	SCHMD20739, SCHMD24185	DANRE37115
OG0001351	SCHMD24241	DANRE37113, DANRE37114, DANRE42425, DANRE42427, DANRE42426, DANRE42424
OG0001353	SCHMD10586	DANRE22526, DANRE22525, DANRE28302, DANRE28301, DANRE22523, DANRE22524
OG0001354	SCHMD11475, SCHMD26080	DANRE42392
OG0001354	SCHMD12063	DANRE35436, DANRE35435, DANRE21505, DANRE33460
OG0001355	SCHMD23781	DANRE26753, DANRE13285, DANRE34884, DANRE15252, DANRE20243, DANRE15599, DANRE15597, DANRE40954, DANRE00104, DANRE00105
OG0001356	SCHMD21598, SCHMD19916	DANRE02255, DANRE41297, DANRE31190, DANRE24957, DANRE31188, DANRE31189
OG0001357	SCHMD16921	DANRE11276, DANRE20008, DANRE20007, DANRE39440, DANRE13135, DANRE13134, DANRE13136
OG0001362	SCHMD04122, SCHMD05643, SCHMD13617	DANRE03032, DANRE09504
OG0001362	SCHMD26327, SCHMD13619, SCHMD27588, SCHMD05644	DANRE09501, DANRE09502, DANRE09503
OG0001363	SCHMD05287, SCHMD16288, SCHMD05291	DANRE36183, DANRE36182, DANRE26801, DANRE19464, DANRE19465
OG0001367	SCHMD04624	DANRE35489, DANRE35487, DANRE35488, DANRE27264, DANRE27263, DANRE18747, DANRE18746, DANRE11545, DANRE11547
OG0001368	SCHMD02343	DANRE11214, DANRE18968, DANRE11869, DANRE11868
OG0001370	SCHMD12004	DANRE12902, DANRE12901
OG0001370	SCHMD18225, SCHMD11963	DANRE42207, DANRE42206
OG0001371	SCHMD02523	DANRE21328
OG0001372	SCHMD12353, SCHMD23970	DANRE36486, DANRE36487, DANRE36488, DANRE36489
OG0001375	SCHMD18333	DANRE10157, DANRE18696, DANRE09144, DANRE14191
OG0001376	SCHMD14191, SCHMD01800	DANRE13312, DANRE08674, DANRE08675, DANRE15292, DANRE15289, DANRE42507, DANRE42508, DANRE42506, DANRE42509, DANRE42505, DANRE15290, DANRE15291
OG0001378	SCHMD12504, SCHMD07107	DANRE04190, DANRE04191
OG0001381	SCHMD02869, SCHMD02871, SCHMD02870	DANRE38391
OG0001383	SCHMD18571, SCHMD21036	DANRE19422
OG0001383	SCHMD28197, SCHMD18572	DANRE11521
OG0001385	SCHMD01908, SCHMD03151, SCHMD17215, SCHMD24251, SCHMD27846, SCHMD02887, SCHMD11624, SCHMD23448, SCHMD19127, SCHMD25605, SCHMD28267, SCHMD17606, SCHMD15084, SCHMD05289, SCHMD01079, SCHMD09083, SCHMD01371, SCHMD22024, SCHMD20763, SCHMD00169, SCHMD10113, SCHMD25905, SCHMD23599, SCHMD20992, SCHMD25254, SCHMD04155, SCHMD13353, SCHMD04418, SCHMD04625, SCHMD01016, SCHMD05445, SCHMD11800, SCHMD07275, SCHMD24250, SCHMD23891, SCHMD22262, SCHMD03886, SCHMD08662, SCHMD26442, SCHMD17996, SCHMD07274, SCHMD18437, SCHMD19128, SCHMD05290, SCHMD02781, SCHMD20262, SCHMD04634, SCHMD21900, SCHMD12522, SCHMD05458, SCHMD01372, SCHMD01080, SCHMD22023, SCHMD12942, SCHMD02783	DANRE34870, DANRE32405
OG0001388	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999	DANRE24136, DANRE24135, DANRE43047, DANRE06369
OG0001389	SCHMD02031, SCHMD17776	DANRE33845, DANRE33846, DANRE06321, DANRE06320, DANRE16804, DANRE23628, DANRE07111, DANRE07109, DANRE07110
OG0001394	SCHMD23211, SCHMD24249	DANRE15699, DANRE15700, DANRE06811, DANRE06812
OG0001397	SCHMD08548, SCHMD08095	DANRE07349, DANRE05010
OG0001399	SCHMD20091, SCHMD16432	DANRE19814, DANRE36899, DANRE36900, DANRE36901, DANRE26137
OG0001400	SCHMD26317	DANRE14343, DANRE03875, DANRE03874, DANRE03873, DANRE41416, DANRE41417, DANRE14344, DANRE09550
OG0001401	SCHMD15712	DANRE26545, DANRE23866, DANRE42440, DANRE42441
OG0001402	SCHMD06853	DANRE00307, DANRE00305, DANRE00306, DANRE33911, DANRE33913, DANRE33912, DANRE33910, DANRE33909, DANRE29660, DANRE07551, DANRE07549, DANRE07550, DANRE07552
OG0001404	SCHMD14853	DANRE41083
OG0001405	SCHMD16175	DANRE15536
OG0001406	SCHMD13359, SCHMD19152	DANRE22189, DANRE22190, DANRE37991, DANRE37992, DANRE06530, DANRE06531, DANRE06529
OG0001408	SCHMD23659, SCHMD15840, SCHMD15841	DANRE24541, DANRE24540
OG0001409	SCHMD04792	DANRE13818, DANRE13817, DANRE13819
OG0001410	SCHMD09832	DANRE30066, DANRE30065
OG0001410	SCHMD09687	DANRE24024
OG0001411	SCHMD13416, SCHMD19137	DANRE17922, DANRE17923, DANRE17924
OG0001412	SCHMD13223	DANRE34214, DANRE35250, DANRE35249, DANRE35251
OG0001413	SCHMD02827	DANRE35337
OG0001413	SCHMD02718	DANRE38970
OG0001414	SCHMD19649	DANRE04939
OG0001415	SCHMD01522, SCHMD16066, SCHMD16500, SCHMD15947	DANRE41471
OG0001416	SCHMD01722	DANRE43206, DANRE43207, DANRE02789, DANRE02788, DANRE23231, DANRE23232, DANRE02791, DANRE02790
OG0001417	SCHMD06429, SCHMD24380, SCHMD19840, SCHMD16804, SCHMD06430	DANRE02016, DANRE02015
OG0001421	SCHMD14208	DANRE00035, DANRE10854, DANRE17719, DANRE10855, DANRE18329, DANRE18327
OG0001422	SCHMD18897, SCHMD04981, SCHMD04982	DANRE09528, DANRE09527, DANRE41453
OG0001425	SCHMD16287, SCHMD09188, SCHMD09187	DANRE11642, DANRE18590, DANRE18588, DANRE18587, DANRE18589, DANRE25170, DANRE00361, DANRE34566
OG0001426	SCHMD02033	DANRE22196, DANRE22198, DANRE26468, DANRE01765, DANRE01763, DANRE01764, DANRE22197, DANRE23464, DANRE23465, DANRE37899, DANRE37900, DANRE08922, DANRE08923
