Orthogroup	SCHMD	DANRE
OG0000006	SCHMD13710	DANRE07087, DANRE07088, DANRE04631, DANRE04632, DANRE20580
OG0000006	SCHMD18814	DANRE04654, DANRE04655
OG0000007	SCHMD12323	DANRE26275, DANRE17982
OG0000007	SCHMD08294	DANRE07019, DANRE07017, DANRE07018, DANRE13390, DANRE11787, DANRE11788, DANRE10909, DANRE10908
OG0000007	SCHMD03666	DANRE07035, DANRE20085, DANRE04871, DANRE04210
OG0000007	SCHMD12296, SCHMD02893	DANRE03447, DANRE26278, DANRE26279, DANRE17980, DANRE17979, DANRE26277, DANRE17981, DANRE12992, DANRE12991
OG0000007	SCHMD08423	DANRE21702
OG0000007	SCHMD08922, SCHMD00556	DANRE03039
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	DANRE08320, DANRE33659, DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	SCHMD19134	DANRE30028, DANRE03038, DANRE28801
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	DANRE30495, DANRE03657, DANRE03658
OG0000007	SCHMD02246	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000010	SCHMD19321	DANRE30968
OG0000010	SCHMD12053	DANRE25470
OG0000010	SCHMD16346	DANRE39463, DANRE39462
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	DANRE38177, DANRE38176
OG0000015	SCHMD16724	DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	DANRE04448
OG0000016	SCHMD16694	DANRE35611
OG0000016	SCHMD02183	DANRE02012
OG0000016	SCHMD09773, SCHMD05700	DANRE13447
OG0000020	SCHMD00005	DANRE10827, DANRE10826, DANRE10743
OG0000020	SCHMD09886	DANRE40536
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	DANRE27431, DANRE27432, DANRE27433
OG0000021	SCHMD09794	DANRE38577, DANRE08977, DANRE08978, DANRE08976
OG0000021	SCHMD09793, SCHMD07893	DANRE37717, DANRE02277
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	DANRE20108
OG0000022	SCHMD04466	DANRE31996
OG0000022	SCHMD24329, SCHMD24328	DANRE32408, DANRE32244
