Orthogroup	SCHMD	BRALA
OG0000012	SCHMD06045, SCHMD22580	BRALA20558, BRALA12213, BRALA23779, BRALA32735
OG0000015	SCHMD16725	BRALA06628
OG0000015	SCHMD16724	BRALA22448
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	BRALA22447
OG0000016	SCHMD21264, SCHMD01350, SCHMD17302	BRALA34743
OG0000016	SCHMD23829	BRALA21428
OG0000016	SCHMD09774, SCHMD19607, SCHMD01356, SCHMD01351	BRALA18621
OG0000016	SCHMD16694	BRALA12120, BRALA09688
OG0000017	SCHMD13346	BRALA05160, BRALA33969, BRALA05159, BRALA12730, BRALA24981, BRALA28546, BRALA31994, BRALA23160, BRALA12731
OG0000018	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969	BRALA26433
OG0000019	SCHMD07568	BRALA23185, BRALA13461, BRALA09553
OG0000020	SCHMD01272	BRALA28177, BRALA04365
OG0000020	SCHMD00005	BRALA09136, BRALA09135
OG0000020	SCHMD08736	BRALA27241
OG0000020	SCHMD24153	BRALA30618
OG0000020	SCHMD09886	BRALA18984
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	BRALA27392
OG0000021	SCHMD09794	BRALA22428
OG0000021	SCHMD09793, SCHMD07893	BRALA06012
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	BRALA20364, BRALA11803, BRALA20363, BRALA20361
OG0000026	SCHMD10899	BRALA07901, BRALA07423
OG0000026	SCHMD22460	BRALA01767
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542, BRALA08547, BRALA15654, BRALA01199, BRALA17029, BRALA17030
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	BRALA08523
OG0000030	SCHMD17295	BRALA04160, BRALA13442
OG0000030	SCHMD07576, SCHMD09292	BRALA21433
OG0000030	SCHMD20495, SCHMD12490	BRALA13443
OG0000030	SCHMD25384, SCHMD27555	BRALA12205
