Orthogroup	LYTVA_ok	ORYLA
OG0000085	LYTVA_13307	ORYLA04311, ORYLA03740, ORYLA02606
OG0000085	LYTVA_05365	ORYLA06168
OG0000085	LYTVA_17776	ORYLA17935
OG0000085	LYTVA_06708	ORYLA02243, ORYLA05178
OG0000087	LYTVA_15159	ORYLA07293
OG0000087	LYTVA_04512	ORYLA15867
OG0000088	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524
OG0000089	LYTVA_06777, LYTVA_25975	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332
OG0000090	LYTVA_02577	ORYLA02080, ORYLA06082
OG0000090	LYTVA_18395, LYTVA_13128	ORYLA01746, ORYLA06194
OG0000091	LYTVA_04137	ORYLA02531
OG0000093	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845
OG0000094	LYTVA_10290	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240
OG0000094	LYTVA_09221	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149
OG0000096	LYTVA_28490	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328
OG0000096	LYTVA_12286	ORYLA16077, ORYLA13956, ORYLA11296
OG0000096	LYTVA_21388	ORYLA13747, ORYLA08870
OG0000096	LYTVA_19397	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104
OG0000096	LYTVA_24298	ORYLA12353, ORYLA17186
OG0000096	LYTVA_20858	ORYLA10017
OG0000098	LYTVA_15643	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777
OG0000098	LYTVA_24589, LYTVA_16909	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721
OG0000099	LYTVA_09301, LYTVA_14363, LYTVA_14362	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063
OG0000101	LYTVA_13163	ORYLA12058
OG0000101	LYTVA_03793	ORYLA09166, ORYLA09165
OG0000101	LYTVA_25292, LYTVA_25291	ORYLA09845, ORYLA13979, ORYLA09844, ORYLA08653, ORYLA08654
OG0000102	LYTVA_23145	ORYLA19358, ORYLA00094
OG0000102	LYTVA_08951	ORYLA12106
OG0000103	LYTVA_05784	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966
OG0000103	LYTVA_08412	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059
OG0000104	LYTVA_24486	ORYLA03680, ORYLA06072
OG0000104	LYTVA_21210	ORYLA19284, ORYLA06159, ORYLA19393, ORYLA08226
OG0000104	LYTVA_17807	ORYLA06071
OG0000104	LYTVA_17806	ORYLA03679
OG0000104	LYTVA_12502	ORYLA09408
OG0000104	LYTVA_12996	ORYLA14236, ORYLA14756, ORYLA10856
OG0000106	LYTVA_01037	ORYLA06794
OG0000106	LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256	ORYLA05764, ORYLA14913, ORYLA14914
OG0000113	LYTVA_11625	ORYLA17645, ORYLA13433
OG0000113	LYTVA_11752, LYTVA_11754	ORYLA15283
OG0000114	LYTVA_18980, LYTVA_05208, LYTVA_13458	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653
OG0000115	LYTVA_15799, LYTVA_02089	ORYLA10019, ORYLA12386
OG0000116	LYTVA_00275, LYTVA_00276, LYTVA_12381	ORYLA19541
OG0000119	LYTVA_11474	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823
OG0000119	LYTVA_08592, LYTVA_07119, LYTVA_19356	ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654
OG0000119	LYTVA_04285, LYTVA_11467	ORYLA09477, ORYLA05169
OG0000121	LYTVA_23606, LYTVA_10086	ORYLA00510, ORYLA01379, ORYLA07858
OG0000121	LYTVA_03587	ORYLA06690, ORYLA06688
OG0000122	LYTVA_10750	ORYLA07892, ORYLA16400, ORYLA09254, ORYLA06471
OG0000122	LYTVA_18458	ORYLA02327, ORYLA17983, ORYLA02410, ORYLA19820, ORYLA19819, ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153
OG0000123	LYTVA_03404	ORYLA19007, ORYLA01318, ORYLA03924, ORYLA00364
OG0000123	LYTVA_12956	ORYLA07863, ORYLA17749, ORYLA01334, ORYLA03949
OG0000123	LYTVA_28852, LYTVA_16769	ORYLA04317, ORYLA01144
OG0000124	LYTVA_14993	ORYLA04499, ORYLA01264
OG0000124	LYTVA_27850	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019
OG0000124	LYTVA_05622	ORYLA04689
OG0000124	LYTVA_20699	ORYLA11954, ORYLA03395, ORYLA00019, ORYLA12516
OG0000125	LYTVA_16406	ORYLA01994, ORYLA06133, ORYLA07833, ORYLA15765, ORYLA14368
OG0000125	LYTVA_25487	ORYLA01977, ORYLA08228, ORYLA17147
OG0000125	LYTVA_01832	ORYLA12115
OG0000126	LYTVA_19767	ORYLA08773, ORYLA09545, ORYLA01000
OG0000126	LYTVA_16967	ORYLA02839
OG0000126	LYTVA_03902	ORYLA09118
OG0000126	LYTVA_29180	ORYLA02980, ORYLA13012, ORYLA19785, ORYLA05724, ORYLA19714, ORYLA14802
OG0000127	LYTVA_27169	ORYLA09546, ORYLA01017, ORYLA13298
OG0000127	LYTVA_12856	ORYLA18247, ORYLA09922
OG0000127	LYTVA_21563	ORYLA05476, ORYLA10382
OG0000127	LYTVA_12830	ORYLA11714, ORYLA16210, ORYLA09241, ORYLA09240
OG0000127	LYTVA_20093	ORYLA16687, ORYLA17012, ORYLA18446, ORYLA16683
OG0000128	LYTVA_01369, LYTVA_05348, LYTVA_25678	ORYLA17289
OG0000128	LYTVA_25569, LYTVA_25568	ORYLA03587
OG0000128	LYTVA_25168	ORYLA06619, ORYLA09314
OG0000129	LYTVA_24420, LYTVA_06816	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766
OG0000129	LYTVA_27162	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452
OG0000130	LYTVA_15064	ORYLA06999, ORYLA11637, ORYLA11367
OG0000130	LYTVA_05651	ORYLA18984, ORYLA14309, ORYLA14308, ORYLA20195, ORYLA20194, ORYLA20193, ORYLA20192, ORYLA15914, ORYLA15896
OG0000130	LYTVA_15765, LYTVA_27521	ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772
OG0000131	LYTVA_24487, LYTVA_12418, LYTVA_04259, LYTVA_21090	ORYLA02651, ORYLA17218
OG0000132	LYTVA_01373	ORYLA13789
OG0000132	LYTVA_12161, LYTVA_21000, LYTVA_22030, LYTVA_12450, LYTVA_13402	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043
OG0000137	LYTVA_14649	ORYLA01561, ORYLA05405, ORYLA11449, ORYLA01560
OG0000137	LYTVA_14169, LYTVA_05475	ORYLA06196, ORYLA16275
OG0000137	LYTVA_25469, LYTVA_15627	ORYLA11370, ORYLA08706
OG0000140	LYTVA_30020	ORYLA08885
OG0000140	LYTVA_19546	ORYLA14990
OG0000141	LYTVA_04353, LYTVA_16633, LYTVA_23463, LYTVA_05955, LYTVA_05956, LYTVA_05957, LYTVA_05958, LYTVA_17141, LYTVA_11297, LYTVA_29166, LYTVA_09438, LYTVA_09439, LYTVA_25402	ORYLA15273
OG0000142	LYTVA_01494	ORYLA18004, ORYLA10671, ORYLA16620, ORYLA01917, ORYLA05889
OG0000147	LYTVA_06334	ORYLA06944, ORYLA12833, ORYLA15636
OG0000147	LYTVA_24464	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688
OG0000147	LYTVA_06610, LYTVA_07302	ORYLA13100, ORYLA13101
OG0000147	LYTVA_18928	ORYLA18182
OG0000147	LYTVA_03351	ORYLA10192
OG0000148	LYTVA_19008	ORYLA15726, ORYLA20251, ORYLA14206, ORYLA15625, ORYLA10888, ORYLA14723, ORYLA14171
OG0000149	LYTVA_27288	ORYLA17290, ORYLA17651, ORYLA17652
OG0000149	LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082	ORYLA15235, ORYLA15236, ORYLA12701, ORYLA20319
OG0000149	LYTVA_24788	ORYLA19729
OG0000151	LYTVA_06631	ORYLA00584, ORYLA16576, ORYLA02429, ORYLA18300, ORYLA01900, ORYLA08949
OG0000151	LYTVA_13428, LYTVA_13427	ORYLA02467, ORYLA17249, ORYLA13261
OG0000154	LYTVA_22149	ORYLA18264
OG0000154	LYTVA_08370	ORYLA15514, ORYLA15513, ORYLA15515, ORYLA15516
OG0000155	LYTVA_12158	ORYLA01962, ORYLA20370
OG0000155	LYTVA_22929	ORYLA01931, ORYLA05131
OG0000157	LYTVA_24947	ORYLA16681, ORYLA00723
