Orthogroup	LYTVA_ok	AMPFI_ok
OG0000026	LYTVA_08598, LYTVA_05009, LYTVA_02302	AMPFI_12171
OG0000026	LYTVA_08564	AMPFI_24667
OG0000026	LYTVA_25399, LYTVA_26794	AMPFI_17661
OG0000026	LYTVA_19796	AMPFI_08447, AMPFI_21379, AMPFI_14524, AMPFI_00667, AMPFI_07824, AMPFI_23957
OG0000027	LYTVA_19671, LYTVA_28057, LYTVA_19674, LYTVA_23495, LYTVA_25604, LYTVA_04986, LYTVA_22090	AMPFI_23434
OG0000027	LYTVA_18136, LYTVA_21206, LYTVA_09140, LYTVA_26069, LYTVA_02318, LYTVA_09971, LYTVA_25862	AMPFI_03819
OG0000028	LYTVA_06601	AMPFI_13515, AMPFI_15765
OG0000028	LYTVA_03719	AMPFI_19162
OG0000028	LYTVA_11085	AMPFI_04248
OG0000028	LYTVA_07479, LYTVA_22824	AMPFI_13861
OG0000028	LYTVA_11743	AMPFI_21505
OG0000029	LYTVA_19314	AMPFI_17682, AMPFI_23832
OG0000029	LYTVA_19555	AMPFI_10300
OG0000029	LYTVA_01403, LYTVA_23870	AMPFI_01562, AMPFI_19753
OG0000029	LYTVA_25609	AMPFI_18884
OG0000029	LYTVA_16374, LYTVA_14118, LYTVA_17454, LYTVA_10670, LYTVA_10669, LYTVA_12106, LYTVA_25172, LYTVA_28751, LYTVA_15803, LYTVA_05470, LYTVA_12796, LYTVA_24295, LYTVA_15802, LYTVA_16107, LYTVA_15826, LYTVA_25550, LYTVA_16955, LYTVA_29691, LYTVA_23564, LYTVA_08386	AMPFI_24440
OG0000030	LYTVA_13667	AMPFI_04928, AMPFI_02183
OG0000030	LYTVA_25177, LYTVA_24082, LYTVA_18277, LYTVA_24623, LYTVA_26760	AMPFI_03176
OG0000031	LYTVA_04157, LYTVA_03000	AMPFI_06256
OG0000031	LYTVA_07394	AMPFI_14304
OG0000031	LYTVA_19491	AMPFI_10484
OG0000031	LYTVA_13645	AMPFI_01333
OG0000031	LYTVA_29658	AMPFI_05075
OG0000031	LYTVA_09735	AMPFI_02985
OG0000031	LYTVA_24172	AMPFI_03768
OG0000032	LYTVA_21601	AMPFI_10091
OG0000032	LYTVA_15486, LYTVA_13671	AMPFI_08698
OG0000032	LYTVA_00916	AMPFI_03594
OG0000032	LYTVA_26011, LYTVA_24216, LYTVA_22020	AMPFI_22327, AMPFI_04329
OG0000033	LYTVA_26430	AMPFI_12725
OG0000033	LYTVA_28431	AMPFI_17526, AMPFI_16483, AMPFI_06102, AMPFI_06688
OG0000033	LYTVA_01818	AMPFI_22418
OG0000033	LYTVA_26144	AMPFI_24844
OG0000033	LYTVA_28731	AMPFI_22100, AMPFI_08482
OG0000033	LYTVA_04922	AMPFI_05216
OG0000033	LYTVA_02656, LYTVA_01378	AMPFI_19595, AMPFI_18759
OG0000033	LYTVA_09579, LYTVA_17007, LYTVA_04337, LYTVA_20141, LYTVA_23929, LYTVA_14663, LYTVA_12466	AMPFI_23966, AMPFI_19067, AMPFI_17279
OG0000033	LYTVA_08031	AMPFI_21967
OG0000033	LYTVA_19303, LYTVA_26986, LYTVA_09691, LYTVA_16830, LYTVA_23842, LYTVA_08232, LYTVA_25046, LYTVA_17139, LYTVA_00757, LYTVA_12726, LYTVA_28732, LYTVA_23242	AMPFI_01844, AMPFI_20234
OG0000033	LYTVA_20558, LYTVA_07100	AMPFI_01742, AMPFI_17317
OG0000033	LYTVA_19429, LYTVA_26229	AMPFI_01780, AMPFI_01855, AMPFI_18243, AMPFI_02747, AMPFI_01913, AMPFI_02903
OG0000034	LYTVA_20191	AMPFI_04753
OG0000034	LYTVA_04080	AMPFI_00398
OG0000035	LYTVA_02303, LYTVA_16617	AMPFI_24612, AMPFI_24508, AMPFI_00269, AMPFI_05651, AMPFI_21566
OG0000035	LYTVA_27828	AMPFI_13261
OG0000035	LYTVA_22468	AMPFI_08859
OG0000035	LYTVA_12116	AMPFI_12878
OG0000035	LYTVA_12115	AMPFI_13349
OG0000035	LYTVA_04128	AMPFI_11303
OG0000036	LYTVA_14662, LYTVA_10525, LYTVA_29789, LYTVA_04431, LYTVA_20434	AMPFI_06932
OG0000036	LYTVA_13908, LYTVA_15589, LYTVA_17448, LYTVA_14119, LYTVA_09824, LYTVA_28930, LYTVA_28136	AMPFI_10500
OG0000036	LYTVA_07532	AMPFI_15407
OG0000036	LYTVA_03326	AMPFI_19204
OG0000036	LYTVA_18880, LYTVA_25896	AMPFI_07474
OG0000036	LYTVA_13566	AMPFI_18710
OG0000037	LYTVA_11127	AMPFI_00972
OG0000037	LYTVA_04662	AMPFI_17087
OG0000038	LYTVA_09821	AMPFI_07219
OG0000038	LYTVA_00437	AMPFI_17412, AMPFI_07007, AMPFI_22984, AMPFI_19985, AMPFI_07006, AMPFI_00855, AMPFI_03880
OG0000038	LYTVA_05063	AMPFI_11821, AMPFI_12065
OG0000039	LYTVA_16233, LYTVA_28543	AMPFI_15658
OG0000039	LYTVA_07607	AMPFI_01199
OG0000039	LYTVA_13062	AMPFI_04473, AMPFI_17373
OG0000039	LYTVA_02868	AMPFI_17767
OG0000040	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285	AMPFI_02741
OG0000042	LYTVA_24767, LYTVA_21894	AMPFI_02915, AMPFI_12175, AMPFI_02664, AMPFI_15276
OG0000042	LYTVA_25081, LYTVA_25080, LYTVA_12139, LYTVA_18903, LYTVA_17561, LYTVA_10627, LYTVA_07504, LYTVA_30053	AMPFI_24137
OG0000043	LYTVA_05725, LYTVA_13550	AMPFI_07177
OG0000043	LYTVA_00226	AMPFI_13817
OG0000043	LYTVA_12710	AMPFI_04816
OG0000044	LYTVA_11853	AMPFI_13059
OG0000044	LYTVA_10017	AMPFI_10491
OG0000044	LYTVA_14074	AMPFI_12455
OG0000044	LYTVA_26561	AMPFI_02748
OG0000044	LYTVA_19279	AMPFI_18408
OG0000044	LYTVA_19469, LYTVA_22018	AMPFI_15551
OG0000045	LYTVA_24388, LYTVA_02507	AMPFI_20949
OG0000046	LYTVA_22286	AMPFI_02275, AMPFI_17068
OG0000046	LYTVA_20626	AMPFI_08774
OG0000047	LYTVA_03680, LYTVA_24771	AMPFI_20742, AMPFI_00834
OG0000047	LYTVA_29236, LYTVA_23656, LYTVA_28273	AMPFI_06583
OG0000047	LYTVA_15082	AMPFI_11820, AMPFI_21835
OG0000047	LYTVA_09701	AMPFI_23686
OG0000048	LYTVA_25775	AMPFI_07263
OG0000048	LYTVA_15043	AMPFI_06745
OG0000048	LYTVA_26635	AMPFI_01185
OG0000048	LYTVA_27999	AMPFI_22758
OG0000048	LYTVA_08149	AMPFI_10591
OG0000048	LYTVA_01464, LYTVA_09123	AMPFI_16815
OG0000048	LYTVA_17485, LYTVA_17487, LYTVA_17489	AMPFI_19210, AMPFI_10367, AMPFI_21707, AMPFI_01763
OG0000048	LYTVA_11620	AMPFI_08767
OG0000049	LYTVA_14034	AMPFI_25468
OG0000049	LYTVA_25007	AMPFI_21732
OG0000049	LYTVA_28129	AMPFI_05869
OG0000050	LYTVA_22634, LYTVA_29206, LYTVA_08549, LYTVA_25325, LYTVA_16900, LYTVA_03419	AMPFI_09852, AMPFI_09851, AMPFI_22369, AMPFI_19942, AMPFI_15208
OG0000050	LYTVA_16160, LYTVA_19016, LYTVA_06118, LYTVA_23189	AMPFI_19742
OG0000050	LYTVA_17620	AMPFI_12802
OG0000051	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370	AMPFI_12251, AMPFI_06956, AMPFI_18032
OG0000051	LYTVA_16492, LYTVA_16490	AMPFI_18977
OG0000051	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428	AMPFI_01376, AMPFI_01979, AMPFI_15572, AMPFI_18266, AMPFI_05878, AMPFI_02130, AMPFI_25599
OG0000052	LYTVA_24950	AMPFI_03740
OG0000052	LYTVA_15380	AMPFI_09055, AMPFI_22969, AMPFI_16643, AMPFI_18443, AMPFI_21368
OG0000052	LYTVA_25360, LYTVA_13343, LYTVA_27172, LYTVA_14727, LYTVA_07095, LYTVA_26162	AMPFI_24630, AMPFI_04652, AMPFI_10912, AMPFI_12754, AMPFI_13833, AMPFI_12690, AMPFI_19427, AMPFI_04582, AMPFI_02325, AMPFI_23491, AMPFI_05841, AMPFI_24118, AMPFI_20511, AMPFI_08366, AMPFI_13707, AMPFI_14605, AMPFI_11434, AMPFI_03965, AMPFI_20512, AMPFI_13505, AMPFI_14163, AMPFI_22708, AMPFI_14350, AMPFI_13327, AMPFI_07170, AMPFI_10973, AMPFI_20869, AMPFI_16702, AMPFI_09892, AMPFI_19128, AMPFI_20552, AMPFI_11422, AMPFI_14308
OG0000053	LYTVA_06684, LYTVA_08646, LYTVA_29027	AMPFI_17492
OG0000053	LYTVA_10692, LYTVA_10696	AMPFI_03971, AMPFI_14513
