Orthogroup	XENTR	HELIO_ok
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945
OG0000043	XENTR13561, XENTR13559	HELIO_03541
OG0000044	XENTR08740, XENTR08871, XENTR02238, XENTR13100	HELIO_05461
OG0000044	XENTR04387, XENTR17931	HELIO_08837
OG0000046	XENTR04959	HELIO_08475
OG0000047	XENTR07962	HELIO_06838
OG0000048	XENTR03701	HELIO_10223
OG0000048	XENTR01169	HELIO_03643
OG0000048	XENTR18412	HELIO_05568
OG0000048	XENTR04117	HELIO_11655
OG0000048	XENTR05160	HELIO_08708
OG0000050	XENTR17952, XENTR07342, XENTR01845, XENTR01386, XENTR11958, XENTR03951, XENTR08402, XENTR03429, XENTR15018, XENTR17520, XENTR02104	HELIO_04507, HELIO_05305
OG0000052	XENTR09745, XENTR16766, XENTR16795	HELIO_05693
OG0000054	XENTR04962, XENTR04961	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	HELIO_05303
OG0000056	XENTR00781	HELIO_03513
OG0000057	XENTR04236, XENTR01413, XENTR01414	HELIO_05858
OG0000059	XENTR09381	HELIO_08348
OG0000059	XENTR06961, XENTR16370	HELIO_07693, HELIO_05488
OG0000060	XENTR09513	HELIO_02035
OG0000060	XENTR11489, XENTR04114, XENTR08957	HELIO_12113
OG0000061	XENTR00116, XENTR05367	HELIO_11204
OG0000061	XENTR10609, XENTR10747	HELIO_04007, HELIO_00294, HELIO_10663
OG0000062	XENTR15501, XENTR17622, XENTR14200, XENTR18173, XENTR15500, XENTR15498, XENTR15499, XENTR15497, XENTR15494, XENTR11355, XENTR11358, XENTR11354, XENTR16052, XENTR16051, XENTR19033, XENTR17596, XENTR16050, XENTR15496	HELIO_01760, HELIO_09809, HELIO_08709
OG0000062	XENTR09512	HELIO_06316
OG0000063	XENTR10234, XENTR04709, XENTR00319	HELIO_10147
OG0000063	XENTR11311	HELIO_12629
OG0000063	XENTR08048, XENTR02007, XENTR01303	HELIO_04155
OG0000066	XENTR18882	HELIO_11387
OG0000067	XENTR13783, XENTR04874	HELIO_07211, HELIO_04257, HELIO_02907, HELIO_01151, HELIO_02361, HELIO_07310, HELIO_09285, HELIO_10782
OG0000069	XENTR15529	HELIO_11698
OG0000070	XENTR00314, XENTR18775, XENTR18776, XENTR05723, XENTR09834	HELIO_00590, HELIO_05047, HELIO_00591
OG0000072	XENTR03548, XENTR18546	HELIO_09782
OG0000072	XENTR01057	HELIO_10131
OG0000072	XENTR13152	HELIO_05118, HELIO_10379
OG0000073	XENTR03006, XENTR09344, XENTR05966, XENTR05967, XENTR09343, XENTR13665	HELIO_07437
OG0000074	XENTR10798, XENTR10797, XENTR11114	HELIO_11128, HELIO_09183, HELIO_01338, HELIO_05011, HELIO_10435, HELIO_08963
OG0000074	XENTR14396	HELIO_06403
OG0000074	XENTR07269, XENTR06689	HELIO_01439, HELIO_07384, HELIO_06770, HELIO_11885
OG0000075	XENTR02757, XENTR11353, XENTR12610	HELIO_02705
OG0000075	XENTR06215	HELIO_01007
OG0000075	XENTR09250	HELIO_07086
OG0000075	XENTR04179, XENTR06216	HELIO_01193
OG0000075	XENTR10723	HELIO_09567
OG0000075	XENTR06816, XENTR17547, XENTR16124	HELIO_05177
OG0000075	XENTR05986, XENTR05987	HELIO_00684
OG0000077	XENTR06888, XENTR17790, XENTR02687	HELIO_05657
OG0000077	XENTR07875, XENTR00642, XENTR04757	HELIO_00295
OG0000077	XENTR13588	HELIO_12145
