Orthogroup	XENTR	BRAFL
OG0000005	XENTR09142	bflo_26492, bflo_15967, bflo_15868, bflo_16776, bflo_21372
OG0000006	XENTR06019	bflo_06221
OG0000006	XENTR00026	bflo_07660
OG0000006	XENTR03474, XENTR03473, XENTR14730	bflo_14856, bflo_15258
OG0000006	XENTR03090, XENTR09060	bflo_22120
OG0000006	XENTR03954, XENTR14945	bflo_16305
OG0000006	XENTR03689	bflo_22526
OG0000006	XENTR00399, XENTR09859	bflo_10066, bflo_10065
OG0000006	XENTR09947, XENTR11692	bflo_12576
OG0000006	XENTR11329	bflo_23572
OG0000006	XENTR15046	bflo_06220
OG0000006	XENTR13548	bflo_08237
OG0000006	XENTR15729, XENTR08627	bflo_06222
OG0000006	XENTR04854, XENTR07280, XENTR07527	bflo_08431
OG0000006	XENTR07719	bflo_22598
OG0000006	XENTR12339, XENTR03854, XENTR12781	bflo_15412
OG0000007	XENTR04989, XENTR07641	bflo_13266
OG0000007	XENTR10435	bflo_05651
OG0000007	XENTR12787, XENTR08906, XENTR06676	bflo_16444, bflo_15598
OG0000007	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041	bflo_25603
OG0000007	XENTR00040	bflo_25903
OG0000007	XENTR10333, XENTR09768, XENTR09769, XENTR02009	bflo_10207
OG0000007	XENTR03222	bflo_23632
OG0000007	XENTR07642	bflo_13761
OG0000007	XENTR11347, XENTR18406	bflo_13742
OG0000007	XENTR04991	bflo_13892
OG0000007	XENTR04990, XENTR05942	bflo_13084
OG0000007	XENTR09461, XENTR01137	bflo_12369
OG0000007	XENTR03031, XENTR06562	bflo_23309
OG0000007	XENTR16583	bflo_23091
OG0000007	XENTR07405, XENTR01816	bflo_23283
OG0000007	XENTR09232, XENTR15271	bflo_24497
OG0000008	XENTR11531, XENTR11530, XENTR00356	bflo_24920
OG0000008	XENTR06130	bflo_04328
