Orthogroup	XENTR	BRALA
OG0000028	XENTR18279, XENTR05325	BRALA08537, BRALA08538, BRALA08539, BRALA08540, BRALA08541, BRALA08543, BRALA08542
OG0000028	XENTR05326, XENTR17548, XENTR15539, XENTR18293	BRALA08547, BRALA15654
OG0000028	XENTR17549, XENTR05379, XENTR05378	BRALA01199, BRALA17029, BRALA17030
OG0000028	XENTR10277, XENTR06737	BRALA08523
OG0000029	XENTR11755, XENTR10534	BRALA18593, BRALA15599, BRALA21105, BRALA06813, BRALA30989, BRALA00525, BRALA00526, BRALA00527, BRALA00523, BRALA00522, BRALA00528, BRALA09392, BRALA20510, BRALA08676
OG0000030	XENTR08639	BRALA13442
OG0000030	XENTR14147	BRALA32573
OG0000031	XENTR05405, XENTR03766	BRALA04543
OG0000031	XENTR08553, XENTR05384, XENTR03164	BRALA04547
OG0000031	XENTR03163	BRALA04610
OG0000031	XENTR09319	BRALA05046
OG0000031	XENTR00229	BRALA16640
OG0000031	XENTR02595, XENTR11133	BRALA09408
OG0000031	XENTR12584, XENTR00918	BRALA28311
OG0000032	XENTR06599	BRALA10240
OG0000032	XENTR17016	BRALA11179, BRALA11177, BRALA09647
OG0000032	XENTR03433	BRALA04146, BRALA04145, BRALA04144, BRALA00632, BRALA09098, BRALA21017, BRALA21018, BRALA21016, BRALA22581, BRALA14174
OG0000034	XENTR14967, XENTR08246, XENTR04943	BRALA27570
OG0000034	XENTR11418, XENTR11419, XENTR10883, XENTR07417	BRALA08751
OG0000034	XENTR01252, XENTR11199, XENTR07072, XENTR12065	BRALA08901, BRALA03079
OG0000034	XENTR15456	BRALA17580
OG0000034	XENTR10156	BRALA08885
OG0000034	XENTR16254	BRALA23966, BRALA06594
OG0000034	XENTR08340	BRALA02412
OG0000035	XENTR05239	BRALA21367, BRALA35402
OG0000035	XENTR07648	BRALA13921
OG0000035	XENTR17453, XENTR14129, XENTR07651, XENTR11799	BRALA29588
OG0000035	XENTR11381, XENTR11382, XENTR12076, XENTR01605	BRALA13915, BRALA22877
OG0000035	XENTR13293, XENTR09857	BRALA13917
OG0000036	XENTR16945, XENTR13571, XENTR05152	BRALA03126, BRALA19967
OG0000036	XENTR07761	BRALA22400
OG0000036	XENTR12415, XENTR07272	BRALA22399, BRALA22398, BRALA02193, BRALA22463, BRALA05181
OG0000036	XENTR01038, XENTR15969	BRALA31321, BRALA06755, BRALA06753, BRALA18345
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	BRALA22402, BRALA22404
OG0000037	XENTR03868, XENTR16595, XENTR17072, XENTR05552, XENTR03023, XENTR14114	BRALA22282
OG0000037	XENTR16580, XENTR14770, XENTR03861	BRALA22275
OG0000037	XENTR10865, XENTR10696	BRALA16015
OG0000037	XENTR18131	BRALA16388
OG0000038	XENTR04197, XENTR04200	BRALA15513, BRALA22708, BRALA13194
OG0000038	XENTR04205	BRALA19648
OG0000038	XENTR04206	BRALA27417
OG0000039	XENTR17227	BRALA01170, BRALA17648, BRALA19632, BRALA19635
OG0000039	XENTR01241, XENTR01240, XENTR01239, XENTR01242	BRALA31558
OG0000039	XENTR17697	BRALA19542
OG0000040	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473	BRALA11729, BRALA05958, BRALA30125, BRALA25190, BRALA05957, BRALA05956, BRALA24498, BRALA28368, BRALA17917, BRALA31975, BRALA14369, BRALA25635, BRALA14529, BRALA07729, BRALA29177, BRALA06759, BRALA31556, BRALA17916, BRALA33438, BRALA30900, BRALA15606
OG0000041	XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869	BRALA27215
