Orthogroup	XENTR	ORYLA
OG0000002	XENTR12747	ORYLA00438
OG0000002	XENTR12310, XENTR12309, XENTR12000, XENTR09586, XENTR09587, XENTR12323, XENTR12325, XENTR12320, XENTR12319, XENTR12322, XENTR12321, XENTR12318, XENTR12317, XENTR12311, XENTR12314, XENTR12312, XENTR12313	ORYLA03051
OG0000002	XENTR16022	ORYLA12350
OG0000002	XENTR16271, XENTR03602, XENTR03603, XENTR03601	ORYLA11640, ORYLA16693
OG0000002	XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598	ORYLA11641
OG0000002	XENTR17667	ORYLA13467, ORYLA16691
OG0000004	XENTR07289, XENTR07290	ORYLA08163
OG0000004	XENTR04025, XENTR04024	ORYLA04400
OG0000005	XENTR05002, XENTR05003	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	XENTR09492, XENTR09491	ORYLA04143
OG0000005	XENTR09477	ORYLA04443
OG0000005	XENTR17068	ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000005	XENTR09142	ORYLA11550
OG0000005	XENTR09568	ORYLA04733
OG0000006	XENTR00026	ORYLA13568, ORYLA06565
OG0000006	XENTR03474, XENTR03473	ORYLA20407
OG0000006	XENTR14730	ORYLA03595
OG0000006	XENTR03090	ORYLA03421
OG0000006	XENTR09060	ORYLA09483
OG0000006	XENTR03954	ORYLA13382
OG0000006	XENTR03689	ORYLA09038
OG0000006	XENTR00399	ORYLA07217
OG0000006	XENTR09859	ORYLA12345, ORYLA14784
OG0000006	XENTR11692	ORYLA10511, ORYLA11827
OG0000006	XENTR11329	ORYLA16517
OG0000006	XENTR15046	ORYLA17394
OG0000006	XENTR13548	ORYLA05082
OG0000006	XENTR15729	ORYLA13656, ORYLA07153
OG0000006	XENTR08627	ORYLA02533
OG0000006	XENTR04854	ORYLA20473
OG0000006	XENTR07280	ORYLA04673
OG0000006	XENTR07527	ORYLA03873
OG0000006	XENTR12339	ORYLA03500
OG0000006	XENTR03854	ORYLA10460
OG0000006	XENTR16538, XENTR16537, XENTR09455	ORYLA03542
OG0000007	XENTR04989	ORYLA13334
OG0000007	XENTR10435	ORYLA14937
OG0000007	XENTR08906	ORYLA10601
OG0000007	XENTR06676	ORYLA19360
OG0000007	XENTR07000, XENTR07001	ORYLA17457
OG0000007	XENTR00358	ORYLA13245
OG0000007	XENTR05826	ORYLA02416
OG0000007	XENTR00041	ORYLA13595
OG0000007	XENTR08678	ORYLA00451
OG0000007	XENTR00040	ORYLA13596
OG0000007	XENTR09768, XENTR09769	ORYLA10719
OG0000007	XENTR03222	ORYLA18472
OG0000007	XENTR07642	ORYLA15197
OG0000007	XENTR11347, XENTR18406	ORYLA09030
OG0000007	XENTR04990	ORYLA13335
OG0000007	XENTR05942	ORYLA12464
OG0000007	XENTR09461	ORYLA03471
OG0000007	XENTR01137	ORYLA17615
OG0000007	XENTR03031	ORYLA11394
OG0000007	XENTR06562	ORYLA05164
OG0000007	XENTR16583	ORYLA16283, ORYLA08278
OG0000007	XENTR07405	ORYLA16317
OG0000007	XENTR15271	ORYLA05828
OG0000008	XENTR11531, XENTR11530	ORYLA06372
