Orthogroup	XENTR	CAEEL
OG0000036	XENTR16237, XENTR16236, XENTR05174, XENTR07278	CAEEL10476, CAEEL02253, CAEEL00335, CAEEL15639, CAEEL03284, CAEEL09948
OG0000037	XENTR16580, XENTR14770, XENTR03861	CAEEL17629, CAEEL17628
OG0000037	XENTR10865, XENTR10696	CAEEL03654, CAEEL20275
OG0000037	XENTR18131	CAEEL09012, CAEEL08645
OG0000038	XENTR04206	CAEEL07106
OG0000039	XENTR17697	CAEEL18993
OG0000041	XENTR14135	CAEEL16024, CAEEL05122, CAEEL05121
OG0000041	XENTR16713, XENTR17286, XENTR13662, XENTR02569	CAEEL19747
OG0000041	XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042	CAEEL05494
OG0000041	XENTR13929, XENTR05159, XENTR10869	CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427
OG0000049	XENTR00212, XENTR08482	CAEEL02028
OG0000049	XENTR07031, XENTR06401	CAEEL19631
OG0000049	XENTR01319, XENTR18684, XENTR07961, XENTR13014	CAEEL10349
OG0000051	XENTR08842	CAEEL19606
OG0000054	XENTR04962, XENTR04961	CAEEL17602, CAEEL12164, CAEEL11714, CAEEL10176
OG0000055	XENTR18833, XENTR15661, XENTR14985, XENTR15663, XENTR15655, XENTR15666, XENTR15669, XENTR17995, XENTR17898, XENTR19084, XENTR18000, XENTR17996, XENTR17524, XENTR17994, XENTR15014, XENTR17999	CAEEL06327, CAEEL06332, CAEEL10935, CAEEL10929, CAEEL06323, CAEEL14939, CAEEL14938, CAEEL16893, CAEEL14854, CAEEL14953, CAEEL14952, CAEEL15123, CAEEL11701, CAEEL11692, CAEEL11711, CAEEL10738
OG0000056	XENTR00422, XENTR06505, XENTR06516, XENTR06514, XENTR06515, XENTR06513, XENTR06506	CAEEL05273
OG0000058	XENTR11839	CAEEL06550
OG0000058	XENTR16220	CAEEL09297
OG0000058	XENTR16040, XENTR02416, XENTR06707	CAEEL18778, CAEEL15540, CAEEL15542, CAEEL15541
OG0000061	XENTR00116, XENTR05367	CAEEL08422
OG0000062	XENTR09512	CAEEL02955
OG0000063	XENTR10234, XENTR04709, XENTR00319	CAEEL05773
OG0000063	XENTR08048, XENTR02007, XENTR01303	CAEEL04400
