Orthogroup	XENTR	CAEEL
OG0001104	XENTR13771, XENTR13900, XENTR18117	CAEEL20081
OG0001107	XENTR10533, XENTR02061, XENTR02717	CAEEL18427
OG0001108	XENTR08568, XENTR01519	CAEEL09307
OG0001109	XENTR13118, XENTR13119, XENTR13710, XENTR07737, XENTR12458	CAEEL14851, CAEEL20028, CAEEL14852, CAEEL14853, CAEEL13761, CAEEL14859, CAEEL09898, CAEEL19118
OG0001112	XENTR08598, XENTR07078	CAEEL19902
OG0001112	XENTR02026, XENTR02027	CAEEL19901
OG0001113	XENTR03194	CAEEL01128
OG0001114	XENTR05283, XENTR05282, XENTR18949	CAEEL11582, CAEEL01758, CAEEL01759
OG0001124	XENTR16582, XENTR06212	CAEEL08814
OG0001126	XENTR18698	CAEEL04859
OG0001127	XENTR08217	CAEEL07664
OG0001130	XENTR03434	CAEEL00952, CAEEL00232
OG0001131	XENTR08901, XENTR13407	CAEEL14208
OG0001132	XENTR06989	CAEEL04290
OG0001133	XENTR15362	CAEEL11294
OG0001135	XENTR01797, XENTR01779	CAEEL02069
OG0001136	XENTR10642, XENTR00557, XENTR12118	CAEEL02001
OG0001137	XENTR12668, XENTR04145	CAEEL04790
OG0001138	XENTR05997, XENTR02144, XENTR04471, XENTR18324, XENTR16579, XENTR16494, XENTR08552, XENTR05227, XENTR06291, XENTR15641, XENTR15640	CAEEL07800, CAEEL07799
OG0001139	XENTR12289	CAEEL06928, CAEEL15457
OG0001140	XENTR00230, XENTR13675, XENTR13933	CAEEL14389
OG0001141	XENTR05715	CAEEL01107, CAEEL01106
OG0001142	XENTR06629	CAEEL12657
OG0001143	XENTR16291, XENTR08123, XENTR08124, XENTR08673, XENTR09685	CAEEL01013
OG0001155	XENTR09180	CAEEL13066, CAEEL13586, CAEEL04642, CAEEL13526
OG0001156	XENTR07093, XENTR06912, XENTR01092	CAEEL20728
OG0001158	XENTR16126, XENTR16127, XENTR07686, XENTR07685	CAEEL00147
OG0001159	XENTR05163, XENTR05113	CAEEL07987, CAEEL18966
OG0001160	XENTR08948, XENTR07949	CAEEL16381, CAEEL20121
OG0001162	XENTR10454, XENTR14933	CAEEL18096
OG0001163	XENTR08141	CAEEL11823, CAEEL14454, CAEEL17374
OG0001164	XENTR00877	CAEEL07306
OG0001165	XENTR03624	CAEEL19696
OG0001167	XENTR07709, XENTR06636, XENTR08900	CAEEL04546
OG0001168	XENTR06904	CAEEL02000
OG0001171	XENTR19114, XENTR06589, XENTR07471, XENTR02457	CAEEL20677
OG0001172	XENTR06358, XENTR09420	CAEEL13596
OG0001173	XENTR06425, XENTR01039	CAEEL15708
OG0001173	XENTR06289, XENTR03346, XENTR03345	CAEEL14248
OG0001175	XENTR04334, XENTR01937	CAEEL15152, CAEEL14463, CAEEL15032, CAEEL15031, CAEEL06075, CAEEL10718
OG0001176	XENTR04321	CAEEL11466
OG0001177	XENTR04520, XENTR01947	CAEEL08262, CAEEL18706
OG0001178	XENTR00333	CAEEL05306
OG0001179	XENTR01714	CAEEL07894, CAEEL04651, CAEEL04194, CAEEL05939
OG0001180	XENTR11241, XENTR01431, XENTR19021	CAEEL00751
OG0001181	XENTR02917, XENTR13969	CAEEL08327
OG0001184	XENTR11761	CAEEL20576
OG0001184	XENTR16633	CAEEL19676
OG0001185	XENTR05474	CAEEL01778
OG0001186	XENTR07680, XENTR03745	CAEEL00480
OG0001186	XENTR03736	CAEEL09703
OG0001188	XENTR12660, XENTR10956, XENTR04124	CAEEL14362
OG0001189	XENTR16871, XENTR08031, XENTR04626	CAEEL01928
OG0001191	XENTR02213, XENTR13144, XENTR08963	CAEEL09751, CAEEL20476, CAEEL09505
OG0001197	XENTR14109	CAEEL11613
OG0001201	XENTR05955, XENTR17812, XENTR17811	CAEEL02666
OG0001203	XENTR16211, XENTR10957, XENTR14354	CAEEL09769
OG0001204	XENTR01197, XENTR13340	CAEEL09132
OG0001208	XENTR05399, XENTR14797	CAEEL10574
OG0001209	XENTR17550	CAEEL00442
OG0001210	XENTR12983	CAEEL06396
OG0001210	XENTR09378	CAEEL06380
OG0001213	XENTR10507	CAEEL01138, CAEEL01163, CAEEL01148, CAEEL04429, CAEEL04430
OG0001214	XENTR02921	CAEEL08401
OG0001215	XENTR12954, XENTR16550, XENTR16549	CAEEL11249
OG0001216	XENTR13109	CAEEL04644
OG0001217	XENTR07688, XENTR11580, XENTR00148	CAEEL08746
OG0001218	XENTR16071, XENTR10134, XENTR14884, XENTR14883, XENTR16396	CAEEL20131, CAEEL14167
OG0001219	XENTR03647, XENTR18228, XENTR12113	CAEEL20379
OG0001220	XENTR06344, XENTR06343	CAEEL07890
OG0001221	XENTR15915	CAEEL13124
OG0001223	XENTR07799, XENTR10652, XENTR13605, XENTR02494, XENTR02495	CAEEL02795
OG0001224	XENTR18588	CAEEL07196
OG0001225	XENTR09310, XENTR06994, XENTR15732	CAEEL02873
OG0001226	XENTR11877, XENTR07881	CAEEL02848, CAEEL02849
OG0001230	XENTR07940	CAEEL12987, CAEEL17236, CAEEL15243, CAEEL01949
OG0001233	XENTR15515	CAEEL03755, CAEEL04189
OG0001234	XENTR15695, XENTR00503	CAEEL00806
OG0001236	XENTR16068	CAEEL18476, CAEEL18477, CAEEL05637, CAEEL05588
OG0001238	XENTR08981, XENTR12621, XENTR06928, XENTR03786	CAEEL05166, CAEEL11182
OG0001239	XENTR05992, XENTR11309	CAEEL12011
OG0001241	XENTR12971	CAEEL01749
OG0001241	XENTR07087, XENTR02055	CAEEL19375
OG0001243	XENTR17516, XENTR17517	CAEEL01806
OG0001247	XENTR19062, XENTR18189, XENTR18467, XENTR11045	CAEEL10570
OG0001248	XENTR01078, XENTR18804, XENTR03776	CAEEL08830
OG0001249	XENTR10238, XENTR10239, XENTR04710, XENTR00318	CAEEL06406
OG0001250	XENTR10529, XENTR04777, XENTR07316	CAEEL18712
OG0001251	XENTR03730, XENTR12411	CAEEL01802
OG0001252	XENTR06520, XENTR03993, XENTR03992, XENTR09825	CAEEL05030
OG0001253	XENTR01323, XENTR07953, XENTR11293, XENTR01322, XENTR02523	CAEEL10888, CAEEL10887
OG0001254	XENTR03435, XENTR01471	CAEEL00935
OG0001256	XENTR12356	CAEEL01426, CAEEL01244, CAEEL01245, CAEEL09738, CAEEL10917, CAEEL07997
OG0001261	XENTR03563, XENTR16999	CAEEL07850
OG0001262	XENTR06170, XENTR06171, XENTR19017, XENTR15533	CAEEL15249, CAEEL20627
OG0001266	XENTR10900, XENTR02450	CAEEL07143
OG0001267	XENTR06333	CAEEL14111
OG0001268	XENTR08282, XENTR18855	CAEEL11342
OG0001270	XENTR01782, XENTR12521, XENTR12522	CAEEL01959
OG0001271	XENTR17754, XENTR02751, XENTR07226	CAEEL08717, CAEEL00634
OG0001272	XENTR18340, XENTR09464, XENTR00960	CAEEL07720, CAEEL09293
OG0001274	XENTR13249, XENTR15210, XENTR15211, XENTR07752	CAEEL20835, CAEEL00917, CAEEL15316, CAEEL07981
OG0001278	XENTR09813	CAEEL20013
OG0001279	XENTR11976, XENTR14916	CAEEL15321, CAEEL15322, CAEEL20353
OG0001280	XENTR13872, XENTR04350, XENTR07156	CAEEL00726
OG0001281	XENTR10819, XENTR07891, XENTR08370, XENTR12911, XENTR17643	CAEEL05459
OG0001282	XENTR16436, XENTR00274	CAEEL04296
OG0001284	XENTR15697	CAEEL08223
OG0001284	XENTR01467, XENTR01466	CAEEL01272
OG0001285	XENTR08874, XENTR13103	CAEEL06501
OG0001287	XENTR06418, XENTR10568, XENTR10975, XENTR14177	CAEEL16475
OG0001288	XENTR05832, XENTR05833	CAEEL18355
OG0001290	XENTR08522, XENTR00546, XENTR09553, XENTR04590	CAEEL12279
OG0001291	XENTR02209, XENTR05578, XENTR07580, XENTR07579	CAEEL11483
OG0001292	XENTR03404, XENTR01086	CAEEL07942
OG0001293	XENTR06445, XENTR06449, XENTR06446, XENTR16665, XENTR14560	CAEEL07048
OG0001294	XENTR08985, XENTR08984	CAEEL15893
OG0001296	XENTR10758, XENTR16218, XENTR01664, XENTR01665	CAEEL00003, CAEEL14758
OG0001300	XENTR09380, XENTR15087, XENTR13396	CAEEL09562
OG0001302	XENTR00019	CAEEL01736
OG0001302	XENTR05127, XENTR05128	CAEEL12633
OG0001304	XENTR13603, XENTR09891, XENTR07804, XENTR02497	CAEEL00728
OG0001305	XENTR06508, XENTR06784, XENTR15394	CAEEL19700
OG0001306	XENTR00068	CAEEL05042
OG0001306	XENTR06783	CAEEL06741
OG0001310	XENTR02393	CAEEL16286
OG0001311	XENTR11767	CAEEL07271, CAEEL18160
OG0001315	XENTR18202, XENTR00932, XENTR03902	CAEEL20540
OG0001318	XENTR10187	CAEEL06153
OG0001318	XENTR00640	CAEEL02686
OG0001319	XENTR00669, XENTR10926, XENTR09062	CAEEL15967
OG0001320	XENTR12547	CAEEL02958
OG0001320	XENTR13078, XENTR04130	CAEEL05842, CAEEL10256, CAEEL08614, CAEEL15241, CAEEL08907
OG0001321	XENTR12156	CAEEL02303, CAEEL00016
OG0001325	XENTR05586, XENTR05589, XENTR05579, XENTR05585, XENTR05588, XENTR08671, XENTR05587, XENTR05590, XENTR05591, XENTR05592	CAEEL12980
OG0001326	XENTR09549, XENTR01917, XENTR01916, XENTR08643, XENTR11848	CAEEL18463, CAEEL12672, CAEEL19447
OG0001327	XENTR10101, XENTR14547	CAEEL12070
OG0001329	XENTR00757	CAEEL03625, CAEEL07934
OG0001330	XENTR14976, XENTR11097, XENTR10939	CAEEL07772
OG0001333	XENTR01835	CAEEL08384, CAEEL10397, CAEEL14152, CAEEL14148, CAEEL14153
OG0001337	XENTR04761, XENTR09361	CAEEL08858
OG0001339	XENTR10662, XENTR05180	CAEEL01555
OG0001341	XENTR17450	CAEEL12273
OG0001344	XENTR06464	CAEEL12166
OG0001348	XENTR02721, XENTR02053	CAEEL20290
OG0001350	XENTR00070	CAEEL06068
OG0001351	XENTR06632	CAEEL20071, CAEEL20072
OG0001353	XENTR09957, XENTR02518	CAEEL07231
OG0001354	XENTR09675	CAEEL18385
OG0001355	XENTR08752, XENTR12634, XENTR02287, XENTR14204	CAEEL19633
OG0001356	XENTR11301, XENTR02362	CAEEL10619
OG0001357	XENTR05091, XENTR02425, XENTR12657	CAEEL15128
OG0001363	XENTR09917, XENTR06150	CAEEL12526, CAEEL18947, CAEEL08666, CAEEL12684, CAEEL11272
OG0001364	XENTR17966, XENTR03257	CAEEL16269
OG0001366	XENTR03370, XENTR13631	CAEEL07140
OG0001367	XENTR02449, XENTR12179, XENTR12890	CAEEL16176
OG0001368	XENTR09946, XENTR11688	CAEEL15247
OG0001369	XENTR07049, XENTR14549, XENTR14550, XENTR10107	CAEEL05836
OG0001370	XENTR01446	CAEEL19838
OG0001370	XENTR09409	CAEEL11201
OG0001372	XENTR17215	CAEEL04824, CAEEL16917
OG0001375	XENTR07997, XENTR12997	CAEEL01718
OG0001376	XENTR13691, XENTR14498, XENTR07143	CAEEL18806
OG0001378	XENTR01985, XENTR01998, XENTR11085, XENTR12484	CAEEL01898
OG0001379	XENTR05934, XENTR18078, XENTR18079, XENTR06099, XENTR06100	CAEEL20800, CAEEL08440
OG0001380	XENTR13793, XENTR03477, XENTR03478	CAEEL07027
OG0001381	XENTR15731, XENTR09312, XENTR06992	CAEEL01510
OG0001387	XENTR00111, XENTR05202	CAEEL01449, CAEEL05040, CAEEL06498
OG0001389	XENTR05255, XENTR05190, XENTR01018, XENTR09739	CAEEL06582
OG0001394	XENTR16874	CAEEL16146
OG0001395	XENTR05456, XENTR16923, XENTR11578, XENTR07687	CAEEL01604
OG0001397	XENTR17141, XENTR17665	CAEEL05815, CAEEL05422, CAEEL16780, CAEEL05924, CAEEL19916
OG0001397	XENTR11843	CAEEL19290
OG0001399	XENTR06193, XENTR06192, XENTR02498, XENTR09890	CAEEL00972
OG0001404	XENTR15166, XENTR15165	CAEEL15778
OG0001405	XENTR07643, XENTR11005	CAEEL00987
OG0001405	XENTR16937, XENTR16938	CAEEL02297
OG0001408	XENTR06160, XENTR13671, XENTR01315	CAEEL19513
OG0001409	XENTR08239, XENTR15156	CAEEL02567
OG0001410	XENTR04211, XENTR11331	CAEEL16277
OG0001411	XENTR05513	CAEEL07405
OG0001413	XENTR10327	CAEEL08368
OG0001413	XENTR01450	CAEEL04716
OG0001414	XENTR16760, XENTR03396	CAEEL13823
OG0001417	XENTR05604	CAEEL02921
OG0001418	XENTR11447, XENTR00014, XENTR05877, XENTR04739	CAEEL11722
OG0001421	XENTR11642, XENTR10761, XENTR11862	CAEEL14241
OG0001422	XENTR07180, XENTR03319	CAEEL06778
OG0001423	XENTR11753, XENTR07724, XENTR12211	CAEEL18493
OG0001424	XENTR09472	CAEEL12121
OG0001425	XENTR00165, XENTR10054, XENTR15292	CAEEL12269, CAEEL12270, CAEEL12268, CAEEL12271
OG0001426	XENTR10547, XENTR11607, XENTR18289	CAEEL06005, CAEEL06004
OG0001427	XENTR19013	CAEEL17428, CAEEL17430
OG0001428	XENTR08058	CAEEL05279
OG0001430	XENTR11865, XENTR09506, XENTR03841, XENTR12647	CAEEL14236
OG0001432	XENTR14704, XENTR18322, XENTR18323	CAEEL18746
OG0001433	XENTR12757, XENTR01397, XENTR08074	CAEEL01226
OG0001437	XENTR07683, XENTR08203	CAEEL01346, CAEEL01345
OG0001440	XENTR02912, XENTR02913, XENTR13967	CAEEL02919
OG0001445	XENTR00603, XENTR11995	CAEEL10043, CAEEL10044
OG0001446	XENTR11107	CAEEL19040, CAEEL19039
OG0001447	XENTR09505	CAEEL00798, CAEEL00797
OG0001449	XENTR18530	CAEEL05216
OG0001452	XENTR05846, XENTR01476, XENTR12152	CAEEL02837
OG0001458	XENTR03285, XENTR14377, XENTR03961, XENTR03960	CAEEL04619
OG0001459	XENTR19263, XENTR05668	CAEEL20135, CAEEL17975
OG0001461	XENTR05990	CAEEL09368
OG0001462	XENTR15395	CAEEL03309
OG0001464	XENTR03158, XENTR17134, XENTR06200	CAEEL07180
OG0001466	XENTR16300, XENTR03641	CAEEL00165
OG0001468	XENTR04167, XENTR10607, XENTR03785	CAEEL01968, CAEEL01966, CAEEL01967
OG0001469	XENTR01908	CAEEL06147
OG0001469	XENTR01260	CAEEL06502
OG0001472	XENTR12389	CAEEL07491
OG0001472	XENTR13330	CAEEL02663
OG0001473	XENTR16670, XENTR04818, XENTR04817	CAEEL15728, CAEEL16017
OG0001474	XENTR01827	CAEEL07328
OG0001475	XENTR12916	CAEEL04851, CAEEL05298
OG0001476	XENTR11401	CAEEL00667
OG0001478	XENTR14390	CAEEL11433
OG0001479	XENTR01295, XENTR15874, XENTR09664	CAEEL19245
OG0001480	XENTR08394, XENTR12252, XENTR14932	CAEEL01047
OG0001482	XENTR16187, XENTR10305, XENTR01513	CAEEL08859
OG0001484	XENTR07065	CAEEL01076, CAEEL01075
OG0001485	XENTR03119, XENTR03410	CAEEL01187
OG0001486	XENTR14269, XENTR05434, XENTR04448, XENTR04449	CAEEL06199
OG0001489	XENTR00338, XENTR12149	CAEEL05101
OG0001493	XENTR14218, XENTR06696	CAEEL11731
OG0001500	XENTR08590, XENTR12582, XENTR10830	CAEEL11009
OG0001503	XENTR14751	CAEEL04111
OG0001503	XENTR05638	CAEEL08520
OG0001504	XENTR02517	CAEEL05392
OG0001505	XENTR00271	CAEEL05185, CAEEL08607
OG0001506	XENTR00266, XENTR08441, XENTR08440	CAEEL04371
OG0001508	XENTR15984, XENTR15983, XENTR11480, XENTR11479	CAEEL19670
OG0001510	XENTR07005, XENTR12209, XENTR00355	CAEEL19165
OG0001515	XENTR04041, XENTR04537	CAEEL07598
OG0001516	XENTR11018	CAEEL05831
OG0001517	XENTR13941, XENTR13905, XENTR09064	CAEEL20700
OG0001522	XENTR15230, XENTR06664, XENTR16658	CAEEL01881
OG0001523	XENTR10881, XENTR17742	CAEEL20306
OG0001524	XENTR00484	CAEEL18987, CAEEL00715
OG0001525	XENTR12515, XENTR12514	CAEEL08599, CAEEL13978, CAEEL13977, CAEEL14698, CAEEL08600
OG0001526	XENTR01289, XENTR17681, XENTR16198	CAEEL19873
OG0001527	XENTR01509	CAEEL08026
OG0001527	XENTR15735	CAEEL02029
OG0001528	XENTR17324, XENTR04419	CAEEL20795
OG0001529	XENTR02811, XENTR02810, XENTR08383	CAEEL01822, CAEEL20748, CAEEL06896
OG0001533	XENTR07080, XENTR17861	CAEEL01048, CAEEL19033, CAEEL11552
OG0001536	XENTR00181, XENTR02934	CAEEL11259, CAEEL20066, CAEEL20058
OG0001538	XENTR15405	CAEEL15530
OG0001546	XENTR02403, XENTR05092	CAEEL14468
OG0001549	XENTR06613, XENTR07982, XENTR02588	CAEEL18956
OG0001550	XENTR05520	CAEEL12391, CAEEL06493
OG0001551	XENTR05545, XENTR05547	CAEEL13359
OG0001552	XENTR07028	CAEEL09513
OG0001553	XENTR02229, XENTR09430, XENTR09742	CAEEL10745
OG0001554	XENTR08488, XENTR05924	CAEEL00812
OG0001557	XENTR11819	CAEEL09005
OG0001558	XENTR16416, XENTR06488	CAEEL05103, CAEEL08374
OG0001559	XENTR09039, XENTR06623	CAEEL16062
OG0001560	XENTR12473, XENTR04353, XENTR13870, XENTR12299	CAEEL01011
OG0001561	XENTR16133, XENTR07954, XENTR01341	CAEEL11007
OG0001562	XENTR16910	CAEEL04167
OG0001567	XENTR10094, XENTR00289	CAEEL04524
OG0001568	XENTR05615	CAEEL15339
OG0001569	XENTR02711, XENTR00703, XENTR00702	CAEEL19014, CAEEL18168
OG0001572	XENTR14408	CAEEL00311
OG0001575	XENTR14038, XENTR14037	CAEEL09642
OG0001576	XENTR15048, XENTR13227	CAEEL00120
OG0001578	XENTR01969, XENTR09544	CAEEL10814, CAEEL18928
OG0001580	XENTR13327, XENTR07267	CAEEL02579
OG0001581	XENTR07619, XENTR15249	CAEEL09430, CAEEL13347, CAEEL16915
OG0001583	XENTR11561, XENTR14641	CAEEL19802
OG0001589	XENTR11338	CAEEL18417
OG0001590	XENTR10428	CAEEL15262, CAEEL15263
OG0001593	XENTR11547, XENTR08681, XENTR08680, XENTR02666, XENTR11433	CAEEL02963, CAEEL13946
OG0001594	XENTR11402	CAEEL04807, CAEEL04125
OG0001596	XENTR18374, XENTR16155	CAEEL10536
OG0001597	XENTR05372	CAEEL10283
OG0001599	XENTR07390, XENTR07367	CAEEL20479
OG0001602	XENTR04428	CAEEL18101
OG0001603	XENTR15113	CAEEL14729
OG0001604	XENTR11091, XENTR13341	CAEEL04879
OG0001605	XENTR04606	CAEEL09382
OG0001606	XENTR08318	CAEEL14239
OG0001606	XENTR10494	CAEEL15795
OG0001608	XENTR00220, XENTR05052	CAEEL02190, CAEEL02191
OG0001609	XENTR06189	CAEEL19774
OG0001609	XENTR11285	CAEEL10790
OG0001610	XENTR16107, XENTR10867, XENTR00221	CAEEL02035, CAEEL20252
OG0001611	XENTR13532, XENTR13440, XENTR02083	CAEEL15699
OG0001612	XENTR12835	CAEEL02577
OG0001614	XENTR03364	CAEEL01012
OG0001615	XENTR04468, XENTR16398	CAEEL04670
OG0001617	XENTR13009, XENTR13010	CAEEL10780
OG0001620	XENTR12935, XENTR17480, XENTR03941	CAEEL18514, CAEEL18862
OG0001621	XENTR01806, XENTR05633	CAEEL08615
OG0001625	XENTR00351, XENTR00352, XENTR13943	CAEEL05727
OG0001627	XENTR11789, XENTR13175, XENTR07907	CAEEL00684
OG0001628	XENTR01654	CAEEL00193
OG0001632	XENTR02813, XENTR01250, XENTR01348	CAEEL16035
OG0001635	XENTR14373, XENTR03970	CAEEL08024
OG0001638	XENTR17765, XENTR01518	CAEEL09133, CAEEL15796, CAEEL12088, CAEEL20172
OG0001640	XENTR02367, XENTR10463, XENTR11286	CAEEL10788
OG0001641	XENTR14307	CAEEL00743
OG0001642	XENTR09499, XENTR14534, XENTR14535	CAEEL15818
OG0001643	XENTR18601, XENTR05703, XENTR05702, XENTR14501	CAEEL19599
OG0001651	XENTR14299, XENTR16608	CAEEL10611
OG0001652	XENTR13535	CAEEL15806
OG0001653	XENTR11019	CAEEL03026
OG0001654	XENTR09616	CAEEL20359, CAEEL20360
OG0001655	XENTR03302, XENTR02328, XENTR08790, XENTR08791	CAEEL05314
OG0001657	XENTR00532, XENTR17851	CAEEL08928, CAEEL08927
OG0001659	XENTR00170	CAEEL00855
OG0001661	XENTR10294	CAEEL14147
OG0001662	XENTR03671, XENTR14025	CAEEL00357
OG0001663	XENTR04832, XENTR16289, XENTR18540, XENTR18541	CAEEL10899, CAEEL10898
OG0001664	XENTR11452	CAEEL04260
OG0001665	XENTR01674, XENTR10394	CAEEL07716
OG0001666	XENTR09349	CAEEL07781
OG0001668	XENTR00151	CAEEL00277
OG0001671	XENTR08372	CAEEL19781
OG0001672	XENTR03686, XENTR05392, XENTR14798	CAEEL08375
OG0001673	XENTR02411	CAEEL17134, CAEEL17133
OG0001675	XENTR05024, XENTR15538	CAEEL00808
OG0001676	XENTR08096	CAEEL01617
OG0001677	XENTR06345	CAEEL07860
OG0001680	XENTR01655, XENTR07200, XENTR11670, XENTR09484, XENTR09485	CAEEL15664
OG0001680	XENTR11671	CAEEL09102
OG0001682	XENTR18099	CAEEL17995
OG0001683	XENTR14409, XENTR18194, XENTR05463, XENTR11397	CAEEL00875
OG0001684	XENTR12235, XENTR00429	CAEEL08513, CAEEL19560
OG0001685	XENTR03486, XENTR03485	CAEEL06629, CAEEL19461
OG0001688	XENTR12165, XENTR12164, XENTR17332	CAEEL06653
OG0001690	XENTR07789	CAEEL02923
OG0001691	XENTR19286, XENTR00789, XENTR14685	CAEEL09136, CAEEL09137
OG0001706	XENTR05262, XENTR06974, XENTR05263	CAEEL00824
OG0001707	XENTR18222, XENTR18221, XENTR18924, XENTR04513	CAEEL18144, CAEEL17802
OG0001709	XENTR06407, XENTR13040, XENTR18243, XENTR18244, XENTR13039, XENTR06408	CAEEL07646, CAEEL07650
OG0001710	XENTR16784, XENTR13163, XENTR16154	CAEEL11053
OG0001711	XENTR06620, XENTR13096	CAEEL15052
OG0001713	XENTR06081	CAEEL02704
OG0001714	XENTR03907	CAEEL12772
OG0001714	XENTR16567	CAEEL15825
OG0001718	XENTR03869	CAEEL12769
OG0001720	XENTR17421, XENTR17422, XENTR01149	CAEEL07819
OG0001721	XENTR13555, XENTR07868, XENTR08455	CAEEL10104, CAEEL11043
OG0001723	XENTR11325, XENTR02045, XENTR09068	CAEEL19731
OG0001724	XENTR07871	CAEEL00188, CAEEL09412
OG0001726	XENTR10952	CAEEL15546
OG0001727	XENTR02406, XENTR00200, XENTR00201	CAEEL15354
OG0001728	XENTR08116, XENTR00572	CAEEL20444
OG0001730	XENTR00053, XENTR16791	CAEEL04519
OG0001731	XENTR15747	CAEEL19569
OG0001732	XENTR09057, XENTR03190	CAEEL05337
OG0001733	XENTR07919	CAEEL11586
OG0001734	XENTR17630, XENTR17863, XENTR17864, XENTR17631	CAEEL11289
OG0001735	XENTR05402, XENTR16930	CAEEL08598
OG0001736	XENTR10208, XENTR16350	CAEEL20331
OG0001738	XENTR14124, XENTR16771	CAEEL09745, CAEEL09746
OG0001739	XENTR13668, XENTR18284	CAEEL10953
OG0001743	XENTR07739	CAEEL18830
OG0001745	XENTR12852	CAEEL15294
OG0001746	XENTR17013, XENTR17012	CAEEL09374
OG0001747	XENTR01108, XENTR03213, XENTR03209, XENTR03208, XENTR03210, XENTR03212, XENTR03211, XENTR03203, XENTR03204, XENTR07433	CAEEL13414, CAEEL14611, CAEEL15557
OG0001750	XENTR13062, XENTR03762, XENTR06525	CAEEL08294
OG0001754	XENTR11387, XENTR08474, XENTR05086	CAEEL06405
OG0001755	XENTR09873	CAEEL12716
OG0001755	XENTR02652	CAEEL16403
OG0001756	XENTR08856, XENTR02230	CAEEL02757
OG0001769	XENTR12819	CAEEL12367
OG0001770	XENTR05192, XENTR05256, XENTR09738, XENTR01019	CAEEL12180
OG0001774	XENTR17983	CAEEL20358
OG0001774	XENTR10461	CAEEL07377, CAEEL01266
OG0001775	XENTR08314, XENTR15724	CAEEL01757
OG0001776	XENTR15841, XENTR08652, XENTR01913	CAEEL20827
OG0001779	XENTR10429, XENTR10432	CAEEL00025, CAEEL00024
OG0001780	XENTR00800, XENTR12607	CAEEL12979
OG0001781	XENTR01701	CAEEL04378
OG0001781	XENTR12943	CAEEL06468
OG0001782	XENTR07561	CAEEL11605
OG0001783	XENTR01760, XENTR09127	CAEEL18807
OG0001785	XENTR09347	CAEEL10450, CAEEL07502
OG0001787	XENTR16345, XENTR10666, XENTR10665, XENTR13689	CAEEL07669
OG0001790	XENTR08234	CAEEL19999
OG0001792	XENTR11934, XENTR11933	CAEEL00159
OG0001798	XENTR16775, XENTR10051	CAEEL02504
OG0001799	XENTR03523, XENTR06340	CAEEL07172
OG0001800	XENTR11113, XENTR10796	CAEEL10920, CAEEL02655, CAEEL10124
OG0001805	XENTR07066, XENTR17499	CAEEL10422, CAEEL19401
OG0001809	XENTR09671, XENTR00098, XENTR00099	CAEEL18133
OG0001810	XENTR11814	CAEEL00534
OG0001816	XENTR12357, XENTR04741	CAEEL05710
OG0001818	XENTR08496, XENTR08495, XENTR08497, XENTR16571	CAEEL16460
OG0001819	XENTR03393, XENTR03154	CAEEL08110
OG0001820	XENTR11735, XENTR11739, XENTR08919	CAEEL00161
OG0001821	XENTR04786	CAEEL18946, CAEEL11366, CAEEL11028, CAEEL00517, CAEEL17960, CAEEL19600
OG0001822	XENTR17740, XENTR13294, XENTR10879	CAEEL14275, CAEEL14276
OG0001824	XENTR12094	CAEEL20525
OG0001826	XENTR08576, XENTR11916	CAEEL08005, CAEEL18927
OG0001827	XENTR06795	CAEEL12511
OG0001828	XENTR16952	CAEEL07411
OG0001830	XENTR04509, XENTR16727	CAEEL00742
OG0001831	XENTR18275, XENTR17969	CAEEL10161, CAEEL19257
OG0001832	XENTR16823	CAEEL05995
OG0001834	XENTR08408, XENTR02906	CAEEL08270
OG0001835	XENTR09853	CAEEL15709
OG0001846	XENTR18639, XENTR07601	CAEEL02581, CAEEL02580
OG0001849	XENTR05212	CAEEL04779
OG0001849	XENTR05214, XENTR06882	CAEEL07132
OG0001852	XENTR14319, XENTR08373	CAEEL10571
OG0001854	XENTR07106, XENTR07105	CAEEL12618
OG0001857	XENTR18087, XENTR13066	CAEEL04635
OG0001860	XENTR18593	CAEEL19534
OG0001861	XENTR05532	CAEEL19043
OG0001862	XENTR05039, XENTR12303, XENTR03115	CAEEL07094
OG0001863	XENTR01885	CAEEL11286
OG0001864	XENTR04517, XENTR13336	CAEEL00359
OG0001866	XENTR00166, XENTR11409	CAEEL12131
OG0001867	XENTR18858, XENTR18859, XENTR00928, XENTR18201	CAEEL18932
OG0001870	XENTR05017, XENTR12751, XENTR08077, XENTR08078	CAEEL18619
OG0001873	XENTR11870	CAEEL14280, CAEEL14281, CAEEL15718
OG0001874	XENTR08894	CAEEL00933
OG0001875	XENTR05593	CAEEL09917
OG0001876	XENTR06060	CAEEL11614
OG0001878	XENTR04362, XENTR12083, XENTR10903, XENTR05516	CAEEL07138
OG0001879	XENTR12513	CAEEL07021, CAEEL20524, CAEEL09154
OG0001881	XENTR16627, XENTR17045, XENTR12268	CAEEL18890
OG0001884	XENTR13203, XENTR03005, XENTR07644	CAEEL01920, CAEEL19384, CAEEL00428, CAEEL18714, CAEEL01922
OG0001886	XENTR06797, XENTR15392	CAEEL20566, CAEEL20351
OG0001887	XENTR06427, XENTR00912, XENTR12585, XENTR03465, XENTR18819	CAEEL05740
OG0001888	XENTR17512, XENTR15191	CAEEL18672, CAEEL11639
OG0001889	XENTR13126, XENTR01850	CAEEL11129, CAEEL11128
OG0001890	XENTR14057, XENTR07419, XENTR17098	CAEEL18655
