Orthogroup	XENTR	LYTVA_ok
OG0000018	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010	LYTVA_18794
OG0000018	XENTR19110	LYTVA_07859, LYTVA_26503, LYTVA_00759, LYTVA_05774, LYTVA_08224, LYTVA_20675
OG0000018	XENTR19228, XENTR16288, XENTR15347, XENTR15469	LYTVA_28161, LYTVA_00818
OG0000019	XENTR14707	LYTVA_17120
OG0000019	XENTR07225, XENTR02749, XENTR04194	LYTVA_01420
OG0000020	XENTR18565	LYTVA_19355
OG0000020	XENTR14576	LYTVA_09793
OG0000020	XENTR00311	LYTVA_04298
OG0000020	XENTR13299	LYTVA_23496
OG0000020	XENTR05411	LYTVA_05479
OG0000020	XENTR15461, XENTR03248, XENTR03249	LYTVA_08129
OG0000020	XENTR04697	LYTVA_23009
OG0000020	XENTR07864, XENTR11783	LYTVA_12234
OG0000020	XENTR08063	LYTVA_17081
OG0000020	XENTR15846	LYTVA_09530
OG0000020	XENTR15636	LYTVA_00542
OG0000021	XENTR17791, XENTR16377	LYTVA_04917
OG0000021	XENTR06809, XENTR02794	LYTVA_13831
OG0000021	XENTR12641, XENTR02936	LYTVA_10118
OG0000021	XENTR18096, XENTR01150	LYTVA_09991
OG0000021	XENTR13705, XENTR13394, XENTR13393	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778
OG0000021	XENTR00007	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648	LYTVA_11225
OG0000023	XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074
OG0000023	XENTR13097	LYTVA_27483
OG0000023	XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976	LYTVA_24785
OG0000028	XENTR10277, XENTR06737	LYTVA_12763
