Orthogroup	ASTMX	CAPO3
OG0001359	ASTMX02428, ASTMX11942, ASTMX17796, ASTMX09162	CAPO303726
OG0001361	ASTMX01071, ASTMX20061, ASTMX16172	CAPO307400
OG0001364	ASTMX17782, ASTMX06972, ASTMX17850	CAPO307249
OG0001366	ASTMX14130, ASTMX01928, ASTMX19346, ASTMX14132, ASTMX14131, ASTMX19344, ASTMX18739, ASTMX02673	CAPO302707
OG0001367	ASTMX00960, ASTMX11729, ASTMX19617, ASTMX13008, ASTMX20021	CAPO304628
OG0001370	ASTMX09028	CAPO305064
OG0001370	ASTMX12996	CAPO306956
OG0001372	ASTMX06020	CAPO301063
OG0001373	ASTMX07702, ASTMX20451, ASTMX17338, ASTMX22761, ASTMX07731	CAPO300734
OG0001378	ASTMX05115, ASTMX18038, ASTMX12590, ASTMX15728, ASTMX14012, ASTMX04632	CAPO302717
OG0001379	ASTMX03133, ASTMX08769, ASTMX08803, ASTMX08802, ASTMX03013, ASTMX03014	CAPO304865
OG0001382	ASTMX22770, ASTMX17021	CAPO306735
OG0001383	ASTMX16017	CAPO300442
OG0001386	ASTMX10454, ASTMX13567, ASTMX13566	CAPO305078
OG0001387	ASTMX07864, ASTMX13262, ASTMX14247, ASTMX08858	CAPO306110, CAPO306288
OG0001397	ASTMX08012, ASTMX19505, ASTMX01488	CAPO306119
OG0001399	ASTMX06124, ASTMX11454, ASTMX00428	CAPO304148
OG0001400	ASTMX01461, ASTMX15365, ASTMX12046, ASTMX21798, ASTMX01897	CAPO305841
OG0001404	ASTMX03622, ASTMX05687	CAPO302450
OG0001405	ASTMX21998	CAPO302942
OG0001406	ASTMX11154, ASTMX06992, ASTMX15717	CAPO305604
OG0001408	ASTMX08971, ASTMX19130, ASTMX19997, ASTMX18382, ASTMX18903, ASTMX19996, ASTMX18383	CAPO304468
OG0001409	ASTMX06764, ASTMX08743, ASTMX16438, ASTMX11918	CAPO300832
OG0001410	ASTMX14683	CAPO304381
OG0001410	ASTMX11950	CAPO303461
OG0001411	ASTMX12471	CAPO301653
OG0001412	ASTMX19015, ASTMX19014	CAPO304843
OG0001413	ASTMX19024	CAPO300375
OG0001414	ASTMX02756	CAPO303273
OG0001416	ASTMX16935, ASTMX00724, ASTMX04812	CAPO300753
OG0001418	ASTMX11591, ASTMX19434, ASTMX05467, ASTMX02896, ASTMX19463	CAPO300218
OG0001420	ASTMX04576, ASTMX01772, ASTMX08878, ASTMX08385, ASTMX19032, ASTMX19033	CAPO304723, CAPO308198, CAPO308234, CAPO305541, CAPO307813
OG0001422	ASTMX17695, ASTMX01913	CAPO308345, CAPO303120
OG0001423	ASTMX01856, ASTMX07807, ASTMX04010, ASTMX11404, ASTMX22608	CAPO301310
OG0001424	ASTMX17288, ASTMX12720	CAPO304776
OG0001425	ASTMX03298, ASTMX08956, ASTMX13239, ASTMX13087, ASTMX06948	CAPO302275, CAPO302850
OG0001426	ASTMX11150, ASTMX19183, ASTMX05528, ASTMX15051, ASTMX19182, ASTMX02679, ASTMX19079	CAPO302841
OG0001427	ASTMX10767, ASTMX01765, ASTMX17165	CAPO302723
OG0001428	ASTMX05247, ASTMX09437, ASTMX16939, ASTMX14746	CAPO303027
OG0001430	ASTMX21020, ASTMX21443, ASTMX04688, ASTMX10990, ASTMX18254, ASTMX13065	CAPO300562
OG0001431	ASTMX15509, ASTMX15371, ASTMX05030	CAPO308230
OG0001437	ASTMX18553, ASTMX12632	CAPO304955
OG0001440	ASTMX06448, ASTMX19471, ASTMX02877	CAPO305450
OG0001445	ASTMX04130, ASTMX07057	CAPO301958
OG0001447	ASTMX09669, ASTMX06060, ASTMX07055, ASTMX19124, ASTMX04644	CAPO307093
OG0001449	ASTMX21017, ASTMX21018	CAPO306822
OG0001451	ASTMX19016, ASTMX00580	CAPO300036
OG0001452	ASTMX12067, ASTMX20582, ASTMX19197	CAPO301933
OG0001454	ASTMX22213, ASTMX18012, ASTMX21139	CAPO303806
OG0001456	ASTMX18389, ASTMX18392, ASTMX18390	CAPO307965
OG0001459	ASTMX20587, ASTMX19737	CAPO307035
OG0001460	ASTMX05935	CAPO300988
OG0001460	ASTMX06612	CAPO305875
OG0001461	ASTMX05184	CAPO307458, CAPO305472
OG0001463	ASTMX00203, ASTMX01706	CAPO304054
OG0001466	ASTMX10811, ASTMX14884	CAPO305831
OG0001467	ASTMX14338, ASTMX02258	CAPO304882
OG0001468	ASTMX14778, ASTMX06215, ASTMX18545, ASTMX05354	CAPO306475
OG0001469	ASTMX17940	CAPO306371
OG0001469	ASTMX05748	CAPO301724
OG0001470	ASTMX22480, ASTMX02997, ASTMX02333	CAPO305163
OG0001472	ASTMX14550	CAPO300986
OG0001472	ASTMX17138	CAPO305311
OG0001473	ASTMX15501, ASTMX19877	CAPO304310
OG0001474	ASTMX07703	CAPO306191
OG0001475	ASTMX01033, ASTMX04792	CAPO305552
OG0001476	ASTMX01244, ASTMX04837, ASTMX14359, ASTMX03706	CAPO305062
OG0001478	ASTMX12885	CAPO303095
OG0001478	ASTMX07723	CAPO304965
OG0001479	ASTMX01954, ASTMX14199, ASTMX14335, ASTMX15077	CAPO306515
OG0001482	ASTMX17250, ASTMX10958, ASTMX07796, ASTMX13431, ASTMX13296, ASTMX22753, ASTMX17504	CAPO307610
OG0001484	ASTMX17553, ASTMX17552, ASTMX18774	CAPO301411
OG0001485	ASTMX21673	CAPO305378, CAPO305590
OG0001485	ASTMX04894, ASTMX10882, ASTMX03334, ASTMX21672	CAPO301954
OG0001486	ASTMX09250, ASTMX10289, ASTMX01104, ASTMX08981	CAPO302441
OG0001490	ASTMX07604, ASTMX00526, ASTMX03930, ASTMX19516, ASTMX03287, ASTMX16189, ASTMX19517	CAPO305433
OG0001492	ASTMX17077, ASTMX04445	CAPO305155
OG0001495	ASTMX17637	CAPO302008
OG0001496	ASTMX09754	CAPO301356
OG0001500	ASTMX19077, ASTMX07007, ASTMX07549, ASTMX07006	CAPO300054
OG0001501	ASTMX22706, ASTMX09507	CAPO305474
OG0001503	ASTMX02356	CAPO305666
OG0001503	ASTMX19525	CAPO307598
OG0001504	ASTMX13743	CAPO307661
OG0001505	ASTMX16658, ASTMX10480	CAPO301009
OG0001506	ASTMX16668, ASTMX02040	CAPO300953
OG0001507	ASTMX04595, ASTMX10941, ASTMX13047	CAPO304204
OG0001511	ASTMX18393, ASTMX02680	CAPO306127, CAPO305043
OG0001512	ASTMX10020, ASTMX02034, ASTMX11028	CAPO301118
OG0001515	ASTMX03532	CAPO302117
OG0001516	ASTMX06094, ASTMX22766	CAPO300345
OG0001517	ASTMX05080, ASTMX07941, ASTMX05461, ASTMX06024, ASTMX06023	CAPO303690
OG0001519	ASTMX02035, ASTMX10088	CAPO306949
OG0001522	ASTMX05739, ASTMX08097, ASTMX22565, ASTMX01282	CAPO303667
OG0001524	ASTMX02800	CAPO300996
OG0001524	ASTMX10909	CAPO308304
OG0001525	ASTMX03602	CAPO303907
OG0001526	ASTMX08595, ASTMX10378, ASTMX13114	CAPO305679
OG0001527	ASTMX03505	CAPO300128
OG0001529	ASTMX09418, ASTMX00938, ASTMX00780	CAPO300593
OG0001530	ASTMX06648, ASTMX06951	CAPO302602
OG0001532	ASTMX04807, ASTMX04808, ASTMX17443, ASTMX02683, ASTMX09204, ASTMX06449	CAPO300282
OG0001533	ASTMX12054, ASTMX05383, ASTMX00173	CAPO306032
OG0001534	ASTMX18082, ASTMX07715, ASTMX20898, ASTMX01419	CAPO304425
OG0001545	ASTMX03396, ASTMX18260, ASTMX09148, ASTMX14733	CAPO300895
OG0001551	ASTMX01345, ASTMX03884	CAPO306604
OG0001553	ASTMX13473, ASTMX02742, ASTMX20664	CAPO308172
OG0001554	ASTMX03717, ASTMX05853, ASTMX03716, ASTMX07008	CAPO302370
OG0001557	ASTMX08321	CAPO304176
OG0001558	ASTMX15085, ASTMX15086, ASTMX13703, ASTMX08558	CAPO301132
OG0001559	ASTMX07506, ASTMX04609, ASTMX03837, ASTMX21052	CAPO301785
OG0001561	ASTMX12815, ASTMX13331, ASTMX05206, ASTMX16235	CAPO301999
OG0001563	ASTMX16894	CAPO306378
OG0001564	ASTMX08775, ASTMX04344, ASTMX08787	CAPO301061
OG0001567	ASTMX04861, ASTMX05681, ASTMX15554	CAPO300948
OG0001568	ASTMX14315	CAPO301468
OG0001572	ASTMX10710, ASTMX01136	CAPO304756
OG0001572	ASTMX21679	CAPO304137
OG0001573	ASTMX07410, ASTMX09054	CAPO305125, CAPO303819
OG0001576	ASTMX04056	CAPO306270
OG0001578	ASTMX17269	CAPO300715
OG0001580	ASTMX17141, ASTMX00422, ASTMX07082	CAPO307900
OG0001581	ASTMX16532	CAPO306056
OG0001582	ASTMX05961, ASTMX13814, ASTMX08233, ASTMX17082	CAPO307073
OG0001583	ASTMX21750, ASTMX01613, ASTMX19566, ASTMX06604, ASTMX04877	CAPO306289
OG0001584	ASTMX21214, ASTMX16901	CAPO301068
OG0001589	ASTMX19868, ASTMX21658, ASTMX21657, ASTMX21656, ASTMX20087, ASTMX19867	CAPO303301, CAPO304004
OG0001590	ASTMX14704	CAPO302386
OG0001593	ASTMX21886, ASTMX18436, ASTMX00248, ASTMX04255	CAPO305942
OG0001594	ASTMX03704	CAPO304243
OG0001597	ASTMX12010	CAPO302703
OG0001599	ASTMX14692, ASTMX14693, ASTMX18782	CAPO300887
OG0001600	ASTMX00827, ASTMX04589, ASTMX16583, ASTMX11957, ASTMX16357	CAPO305994
OG0001603	ASTMX15815, ASTMX06753, ASTMX22513	CAPO306228
OG0001604	ASTMX22550, ASTMX05873	CAPO303898
OG0001605	ASTMX17869, ASTMX10907, ASTMX17438, ASTMX13921	CAPO307473
OG0001609	ASTMX05434	CAPO304683
OG0001609	ASTMX10748	CAPO302057
OG0001610	ASTMX11326, ASTMX21155, ASTMX22190, ASTMX15390	CAPO301483
OG0001611	ASTMX20464, ASTMX19687, ASTMX14783, ASTMX22329, ASTMX10519, ASTMX17389, ASTMX13933	CAPO305038
OG0001612	ASTMX00061, ASTMX08047	CAPO302202
OG0001614	ASTMX11931	CAPO303895
OG0001614	ASTMX01689	CAPO307630
OG0001615	ASTMX02210, ASTMX03596, ASTMX14419	CAPO300749
OG0001617	ASTMX09414, ASTMX08375, ASTMX07272, ASTMX08862	CAPO302798
OG0001621	ASTMX22157, ASTMX01413, ASTMX19883	CAPO302875
OG0001622	ASTMX12674, ASTMX13967, ASTMX13341, ASTMX13342	CAPO302121
OG0001634	ASTMX20573, ASTMX09757	CAPO305688
OG0001634	ASTMX05822, ASTMX13820	CAPO305614
OG0001638	ASTMX17085, ASTMX13300, ASTMX13301	CAPO303528
OG0001641	ASTMX14840, ASTMX17044, ASTMX12642, ASTMX21552, ASTMX21553	CAPO303281
OG0001643	ASTMX11888, ASTMX11887, ASTMX17860, ASTMX01841	CAPO306838
OG0001644	ASTMX13408, ASTMX01826, ASTMX07591	CAPO303665
OG0001652	ASTMX21292, ASTMX22257, ASTMX09489	CAPO302838
OG0001653	ASTMX03023	CAPO305118
OG0001655	ASTMX19212, ASTMX01670, ASTMX07000, ASTMX09332	CAPO302812
OG0001657	ASTMX22284, ASTMX12850, ASTMX15429	CAPO304165, CAPO303952
OG0001660	ASTMX16915, ASTMX11846, ASTMX17881, ASTMX16914, ASTMX08833, ASTMX08831	CAPO305930
OG0001661	ASTMX14504	CAPO302789
OG0001661	ASTMX12346	CAPO304920
OG0001663	ASTMX05177, ASTMX19785, ASTMX01771, ASTMX08877	CAPO301057
OG0001664	ASTMX12458, ASTMX14304, ASTMX15093	CAPO303152
OG0001665	ASTMX16406, ASTMX15478	CAPO302331
OG0001672	ASTMX12193, ASTMX07934, ASTMX08671, ASTMX18092, ASTMX01458, ASTMX12016	CAPO301880
OG0001673	ASTMX21354, ASTMX18919, ASTMX01248, ASTMX09514, ASTMX10983, ASTMX10984	CAPO305520
OG0001674	ASTMX22303, ASTMX21243, ASTMX12863	CAPO301357
OG0001675	ASTMX06836, ASTMX12553, ASTMX10815, ASTMX08168	CAPO307574
OG0001676	ASTMX02737	CAPO300524
OG0001676	ASTMX18175	CAPO305992
OG0001677	ASTMX05947, ASTMX20317	CAPO307978
OG0001680	ASTMX10466	CAPO304235, CAPO304477
OG0001684	ASTMX01855, ASTMX02369	CAPO300563
OG0001685	ASTMX11627, ASTMX01624	CAPO307707
OG0001686	ASTMX22514, ASTMX03958, ASTMX16779, ASTMX17655	CAPO307138
OG0001687	ASTMX02771	CAPO302907
OG0001688	ASTMX20357, ASTMX05569, ASTMX09337, ASTMX11298	CAPO300133
OG0001690	ASTMX16868	CAPO304820
OG0001691	ASTMX01434, ASTMX18308	CAPO307420
OG0001699	ASTMX17276, ASTMX10668	CAPO306472, CAPO300057
OG0001704	ASTMX09400	CAPO304434
OG0001706	ASTMX05640, ASTMX20258, ASTMX05639	CAPO301033
OG0001707	ASTMX18307, ASTMX18306	CAPO303836
OG0001708	ASTMX08054, ASTMX06200, ASTMX04674	CAPO303804
OG0001709	ASTMX04095	CAPO304969
OG0001711	ASTMX13045, ASTMX17864, ASTMX16102, ASTMX04614, ASTMX04603, ASTMX16103	CAPO301872
OG0001713	ASTMX02275	CAPO308041
OG0001713	ASTMX17234	CAPO302278
OG0001714	ASTMX14531, ASTMX21207	CAPO306669
OG0001714	ASTMX02509, ASTMX10518	CAPO300188
OG0001718	ASTMX23036	CAPO300964
OG0001718	ASTMX19842, ASTMX19691, ASTMX04823, ASTMX19689	CAPO301559, CAPO301838
OG0001720	ASTMX02308, ASTMX17599, ASTMX16344	CAPO303957
OG0001721	ASTMX00052, ASTMX01262, ASTMX09503, ASTMX12296	CAPO302302
OG0001723	ASTMX11836, ASTMX12143, ASTMX06027	CAPO308089
OG0001724	ASTMX09937, ASTMX07584	CAPO306474
OG0001727	ASTMX18920, ASTMX10976, ASTMX04884, ASTMX01599	CAPO301729
OG0001728	ASTMX21304, ASTMX21305	CAPO304086
OG0001730	ASTMX20533, ASTMX14053, ASTMX14051, ASTMX02853	CAPO303469
OG0001732	ASTMX00146, ASTMX09573, ASTMX02281	CAPO304710
OG0001733	ASTMX21899, ASTMX21900, ASTMX21495	CAPO306615
OG0001734	ASTMX02188	CAPO306594
OG0001735	ASTMX08661, ASTMX00485, ASTMX18296, ASTMX19896	CAPO301389
OG0001738	ASTMX04483, ASTMX07349, ASTMX21178, ASTMX07257	CAPO301655
OG0001739	ASTMX19266, ASTMX03558, ASTMX00354	CAPO304154
OG0001743	ASTMX13429, ASTMX22574, ASTMX10367	CAPO306128
OG0001746	ASTMX02179, ASTMX09002, ASTMX01088, ASTMX02180	CAPO306662
OG0001750	ASTMX12646, ASTMX21008, ASTMX02080, ASTMX01052, ASTMX06673	CAPO304954
OG0001755	ASTMX00395	CAPO300413
OG0001756	ASTMX08584	CAPO301153
OG0001756	ASTMX13471	CAPO306605
OG0001769	ASTMX01507	CAPO300754
OG0001769	ASTMX04557	CAPO306748
OG0001770	ASTMX16705, ASTMX20255, ASTMX00311, ASTMX08260	CAPO304551
OG0001772	ASTMX16531, ASTMX13929, ASTMX04857	CAPO303731
OG0001774	ASTMX10351, ASTMX06409	CAPO302411
OG0001775	ASTMX18173, ASTMX02453, ASTMX19386	CAPO300385, CAPO303998
OG0001778	ASTMX07028, ASTMX10049	CAPO303585
OG0001780	ASTMX11982	CAPO305647
OG0001781	ASTMX01449	CAPO304059
OG0001781	ASTMX19769	CAPO306335
OG0001782	ASTMX13624	CAPO302329
OG0001783	ASTMX21511, ASTMX11389	CAPO302497
OG0001787	ASTMX00153, ASTMX21186, ASTMX20336	CAPO302384
OG0001789	ASTMX04418, ASTMX03005, ASTMX22705	CAPO303597
OG0001792	ASTMX10365	CAPO305067
OG0001792	ASTMX18195	CAPO302146
OG0001793	ASTMX07514	CAPO302934
OG0001793	ASTMX02969	CAPO300098
OG0001794	ASTMX01096, ASTMX10295	CAPO305037
OG0001797	ASTMX00321	CAPO305230
OG0001799	ASTMX21315, ASTMX12220, ASTMX21504, ASTMX05952, ASTMX20313	CAPO307439
OG0001800	ASTMX00967, ASTMX17639, ASTMX00705, ASTMX05193, ASTMX16166	CAPO302099, CAPO301494
OG0001801	ASTMX02045, ASTMX09269, ASTMX19747, ASTMX21684, ASTMX15777, ASTMX13337, ASTMX13336	CAPO301631
OG0001804	ASTMX02687, ASTMX13072, ASTMX07800	CAPO307706
OG0001805	ASTMX21541, ASTMX17763, ASTMX22144	CAPO301307
OG0001807	ASTMX04499, ASTMX10176	CAPO305640
OG0001808	ASTMX21696, ASTMX05491, ASTMX21695	CAPO300354
OG0001809	ASTMX14244, ASTMX07924, ASTMX16684	CAPO307543
OG0001811	ASTMX05430, ASTMX15122, ASTMX08690, ASTMX07378, ASTMX05317, ASTMX19173	CAPO304043
OG0001814	ASTMX21503	CAPO305508
OG0001816	ASTMX09877, ASTMX01690, ASTMX08907	CAPO300431
OG0001818	ASTMX15112, ASTMX15111, ASTMX01280	CAPO302088
OG0001819	ASTMX10139, ASTMX08405	CAPO307172
OG0001820	ASTMX17311, ASTMX17314, ASTMX08253, ASTMX02490	CAPO300515
OG0001822	ASTMX17911, ASTMX05380, ASTMX01084	CAPO301119
OG0001825	ASTMX08472, ASTMX20024, ASTMX22910, ASTMX22676, ASTMX08471, ASTMX22168	CAPO306238
OG0001827	ASTMX10371	CAPO303060
OG0001828	ASTMX21055	CAPO305081
OG0001830	ASTMX08635, ASTMX20818, ASTMX22664, ASTMX04561	CAPO300316
OG0001831	ASTMX09701, ASTMX11370, ASTMX05003	CAPO306824
OG0001832	ASTMX06849, ASTMX17231	CAPO300612
OG0001834	ASTMX04164, ASTMX17094, ASTMX23044	CAPO301512
OG0001849	ASTMX05295, ASTMX20398	CAPO303014
OG0001850	ASTMX19918	CAPO301689
OG0001851	ASTMX20369, ASTMX20370, ASTMX19823	CAPO303828
OG0001852	ASTMX04038, ASTMX18646, ASTMX00935	CAPO303604
OG0001857	ASTMX08952, ASTMX08953, ASTMX03295, ASTMX15454	CAPO306766
OG0001859	ASTMX12452, ASTMX02530	CAPO304942
OG0001860	ASTMX12416, ASTMX07354	CAPO306960
OG0001861	ASTMX13536	CAPO303333
OG0001861	ASTMX07579, ASTMX01292	CAPO306489
OG0001863	ASTMX09136	CAPO300966
OG0001864	ASTMX14124, ASTMX05208, ASTMX06684	CAPO300448
OG0001866	ASTMX03690	CAPO306683
OG0001867	ASTMX16400, ASTMX16454	CAPO302026
OG0001870	ASTMX18491, ASTMX06826, ASTMX20463, ASTMX12239, ASTMX18877	CAPO303422
OG0001871	ASTMX08228, ASTMX02241, ASTMX15903, ASTMX11796, ASTMX02240	CAPO300664
OG0001873	ASTMX13537	CAPO305494
OG0001875	ASTMX04145	CAPO303129
OG0001875	ASTMX19333	CAPO300770
OG0001877	ASTMX16552, ASTMX01676, ASTMX12947, ASTMX10278	CAPO305419
OG0001878	ASTMX03678, ASTMX03679, ASTMX11223, ASTMX09106, ASTMX11222, ASTMX15218, ASTMX21903, ASTMX11221	CAPO300594
OG0001879	ASTMX12971	CAPO302675
OG0001879	ASTMX07742, ASTMX20887	CAPO304068
OG0001882	ASTMX10217, ASTMX21215, ASTMX00491	CAPO302587
OG0001883	ASTMX21822, ASTMX15504, ASTMX11383, ASTMX20343	CAPO304395
OG0001886	ASTMX11188, ASTMX19864	CAPO301013
OG0001888	ASTMX15480, ASTMX17356, ASTMX11277	CAPO307373
OG0001894	ASTMX07802, ASTMX07302, ASTMX12290	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462
OG0001895	ASTMX17836, ASTMX21328, ASTMX21293	CAPO300178
OG0001898	ASTMX02303, ASTMX08107, ASTMX16484	CAPO303887
OG0001900	ASTMX17301	CAPO306468, CAPO308362
OG0001901	ASTMX01661, ASTMX11240, ASTMX22217	CAPO302174
OG0001903	ASTMX04440, ASTMX02517	CAPO301651
OG0001913	ASTMX20767, ASTMX02135, ASTMX20390	CAPO308270
OG0001914	ASTMX19238	CAPO308187
OG0001915	ASTMX06154, ASTMX20145	CAPO305922
OG0001916	ASTMX05801, ASTMX16187	CAPO304398
OG0001917	ASTMX12441, ASTMX14303, ASTMX04127, ASTMX20172, ASTMX18196	CAPO303937
OG0001919	ASTMX10083	CAPO305966
OG0001919	ASTMX02747	CAPO300799
OG0001923	ASTMX11549, ASTMX15481, ASTMX19703	CAPO300364
OG0001926	ASTMX02370	CAPO308203
OG0001927	ASTMX19820, ASTMX22361, ASTMX19112, ASTMX07652	CAPO303832
OG0001928	ASTMX11034	CAPO303627
OG0001930	ASTMX00407, ASTMX00470	CAPO301567
OG0001932	ASTMX08414, ASTMX03192, ASTMX04190	CAPO304653
OG0001935	ASTMX11590, ASTMX11916	CAPO301339
OG0001937	ASTMX00171	CAPO301986
OG0001938	ASTMX18132	CAPO303883
OG0001939	ASTMX19952, ASTMX00403	CAPO304703
OG0001940	ASTMX17596	CAPO307447
OG0001941	ASTMX00477, ASTMX00476, ASTMX10134	CAPO303660
OG0001943	ASTMX17179, ASTMX00958	CAPO304272
OG0001945	ASTMX00044, ASTMX10524, ASTMX09938	CAPO302125, CAPO302413
OG0001947	ASTMX05518, ASTMX09474, ASTMX03096, ASTMX00626	CAPO306182
OG0001948	ASTMX22858, ASTMX15647, ASTMX13681, ASTMX18721, ASTMX19377, ASTMX13543	CAPO307548
OG0001949	ASTMX16347, ASTMX05904, ASTMX22823, ASTMX16345, ASTMX02307	CAPO303945
OG0001951	ASTMX20250, ASTMX00814, ASTMX21087, ASTMX07517	CAPO305792
OG0001953	ASTMX17339, ASTMX11073, ASTMX17815	CAPO306993
OG0001956	ASTMX07766	CAPO302405
OG0001957	ASTMX03767, ASTMX02309, ASTMX12199, ASTMX18807, ASTMX15756	CAPO307027
OG0001961	ASTMX01985, ASTMX00433, ASTMX05535	CAPO301591
OG0001963	ASTMX19201, ASTMX06233, ASTMX10086	CAPO304559
OG0001964	ASTMX18977, ASTMX19220	CAPO306144
OG0001965	ASTMX04867	CAPO305377
OG0001966	ASTMX14196, ASTMX08275	CAPO308069
OG0001968	ASTMX01530, ASTMX09462	CAPO303436
OG0001969	ASTMX10572, ASTMX16678, ASTMX02918	CAPO301897
OG0001972	ASTMX16670, ASTMX02119	CAPO302726
OG0001985	ASTMX05944, ASTMX20318, ASTMX20204	CAPO307425
OG0001988	ASTMX13581, ASTMX09059	CAPO301454
OG0001989	ASTMX03043, ASTMX19847	CAPO303699
OG0001992	ASTMX04244, ASTMX09494	CAPO301694
OG0001994	ASTMX13184, ASTMX03001, ASTMX02331	CAPO307422
OG0001997	ASTMX13529	CAPO301018
OG0001998	ASTMX15724, ASTMX01470	CAPO304168
OG0001999	ASTMX11680, ASTMX12424	CAPO303159
OG0002000	ASTMX14056, ASTMX08846, ASTMX12081	CAPO305912
OG0002001	ASTMX01040	CAPO301730, CAPO305766
OG0002003	ASTMX12936, ASTMX02322, ASTMX09501	CAPO306645
OG0002006	ASTMX10173, ASTMX04500	CAPO302881
OG0002007	ASTMX15423, ASTMX10068, ASTMX12124, ASTMX11077	CAPO301764
OG0002009	ASTMX17629	CAPO305521
OG0002009	ASTMX16191	CAPO304107
OG0002010	ASTMX12934, ASTMX08578, ASTMX21425, ASTMX11376	CAPO303286
OG0002011	ASTMX00517, ASTMX17175	CAPO305222
OG0002014	ASTMX22107, ASTMX15926, ASTMX08364, ASTMX13940	CAPO305309
OG0002015	ASTMX22305, ASTMX21197	CAPO304377
OG0002016	ASTMX06954, ASTMX13089	CAPO300736, CAPO303360
OG0002019	ASTMX15451, ASTMX05404, ASTMX19114, ASTMX20262	CAPO303943, CAPO301189
OG0002020	ASTMX09967, ASTMX07803, ASTMX07643, ASTMX11910	CAPO301809, CAPO306607
OG0002024	ASTMX12446, ASTMX05724, ASTMX11342, ASTMX11340	CAPO300776
OG0002025	ASTMX21209	CAPO301502
OG0002026	ASTMX08004, ASTMX05432	CAPO307889, CAPO306582
OG0002027	ASTMX01143, ASTMX02252, ASTMX16654, ASTMX03186	CAPO307021
OG0002029	ASTMX07856, ASTMX13315	CAPO303181
OG0002030	ASTMX06466, ASTMX05489, ASTMX22119, ASTMX02054, ASTMX07809, ASTMX08607	CAPO303987
OG0002031	ASTMX19732, ASTMX01811	CAPO300135
OG0002032	ASTMX17188	CAPO304689
OG0002034	ASTMX00200, ASTMX01649, ASTMX00920, ASTMX09084	CAPO306318
OG0002042	ASTMX12108, ASTMX12109	CAPO300525
OG0002043	ASTMX04301, ASTMX15262	CAPO306649
OG0002061	ASTMX17947, ASTMX17948, ASTMX19772, ASTMX17946, ASTMX19260, ASTMX16152, ASTMX19773	CAPO307339
OG0002062	ASTMX13242, ASTMX19992, ASTMX02071	CAPO301382
OG0002063	ASTMX14592	CAPO302417
OG0002066	ASTMX03814, ASTMX00825, ASTMX11956, ASTMX16358	CAPO300576
OG0002067	ASTMX12928	CAPO302721
OG0002068	ASTMX12273, ASTMX16517	CAPO303650
OG0002069	ASTMX05370, ASTMX06681, ASTMX06821	CAPO306402
OG0002073	ASTMX18638	CAPO302333
OG0002074	ASTMX02153	CAPO304152
OG0002076	ASTMX09409, ASTMX19822, ASTMX20304	CAPO303117
OG0002078	ASTMX22650, ASTMX07822, ASTMX22651, ASTMX21198, ASTMX07693	CAPO302217
OG0002080	ASTMX03462, ASTMX21263	CAPO307474, CAPO307552
OG0002081	ASTMX07542	CAPO300584
OG0002084	ASTMX10426, ASTMX03243, ASTMX05634	CAPO300150
OG0002087	ASTMX16781	CAPO306536
OG0002093	ASTMX15922	CAPO304254
OG0002094	ASTMX16837	CAPO303399
OG0002097	ASTMX09200, ASTMX06450, ASTMX12192, ASTMX07933	CAPO302111
OG0002099	ASTMX07474, ASTMX07475	CAPO306675
OG0002103	ASTMX03950, ASTMX04643	CAPO305235
OG0002106	ASTMX03785	CAPO300071
OG0002108	ASTMX07612, ASTMX01236	CAPO303834
OG0002122	ASTMX08830, ASTMX06030	CAPO300191
OG0002124	ASTMX14518	CAPO300980
OG0002129	ASTMX02262, ASTMX09089, ASTMX08266	CAPO305068
OG0002130	ASTMX08156	CAPO301943
OG0002131	ASTMX11268, ASTMX11269, ASTMX11344	CAPO302159
OG0002135	ASTMX20057, ASTMX09828, ASTMX01206	CAPO300616, CAPO300802
OG0002136	ASTMX21780, ASTMX04714, ASTMX01514	CAPO300292
OG0002137	ASTMX02787, ASTMX18215	CAPO306593
OG0002138	ASTMX02006	CAPO304101
OG0002140	ASTMX11031, ASTMX06147	CAPO300489
OG0002141	ASTMX20185, ASTMX00108, ASTMX22344	CAPO300491
OG0002144	ASTMX17084, ASTMX17508, ASTMX19379	CAPO308205
OG0002145	ASTMX07271	CAPO305963
OG0002146	ASTMX03073, ASTMX07185	CAPO303694
OG0002147	ASTMX15556, ASTMX15557, ASTMX18212	CAPO307247
OG0002148	ASTMX15638, ASTMX01497	CAPO301311
OG0002150	ASTMX15752, ASTMX00387	CAPO305991
OG0002151	ASTMX04874, ASTMX21404	CAPO300513
OG0002152	ASTMX16305, ASTMX07269, ASTMX15710	CAPO305214
OG0002158	ASTMX12621	CAPO300426
OG0002159	ASTMX00345	CAPO301618
OG0002160	ASTMX06371	CAPO306354
OG0002165	ASTMX00308, ASTMX00309	CAPO306860
OG0002166	ASTMX09990, ASTMX05068, ASTMX03530	CAPO300536
OG0002168	ASTMX12023, ASTMX02930	CAPO305846
OG0002169	ASTMX05633, ASTMX10425	CAPO305188, CAPO305186
OG0002170	ASTMX08212, ASTMX10098	CAPO306065
OG0002171	ASTMX17441, ASTMX17115	CAPO300657
OG0002172	ASTMX06303, ASTMX15881	CAPO300117
OG0002173	ASTMX15806, ASTMX17795, ASTMX05204	CAPO300163
