Orthogroup	ASTMX	CAPO3
OG0000082	ASTMX15920, ASTMX10851, ASTMX17248, ASTMX10849, ASTMX11876, ASTMX19980	CAPO300843
OG0000085	ASTMX01460, ASTMX20784, ASTMX14674	CAPO303061
OG0000085	ASTMX16335, ASTMX03461, ASTMX09889, ASTMX09760, ASTMX17475, ASTMX20829, ASTMX09647, ASTMX22578, ASTMX19538, ASTMX01137, ASTMX09823, ASTMX11049, ASTMX21189, ASTMX20129, ASTMX09759, ASTMX09890, ASTMX10718, ASTMX08704, ASTMX02521, ASTMX05460	CAPO303047
OG0000089	ASTMX10521, ASTMX12140, ASTMX19290, ASTMX07948, ASTMX03871, ASTMX13992	CAPO300386, CAPO300810, CAPO302098
OG0000091	ASTMX03395	CAPO301134
OG0000096	ASTMX13693, ASTMX16094, ASTMX16093	CAPO301431
OG0000096	ASTMX08845	CAPO303349
OG0000096	ASTMX18278, ASTMX15892	CAPO307955
OG0000096	ASTMX09859	CAPO307522
OG0000096	ASTMX00377, ASTMX10196, ASTMX13339, ASTMX00337, ASTMX00376, ASTMX22998	CAPO300294
OG0000096	ASTMX19590, ASTMX07352, ASTMX10423, ASTMX12959	CAPO307017
OG0000101	ASTMX00206, ASTMX00424, ASTMX01330, ASTMX08413, ASTMX14248, ASTMX12706, ASTMX02894	CAPO306858
OG0000103	ASTMX21446, ASTMX16835, ASTMX09444, ASTMX11660, ASTMX22226, ASTMX10672, ASTMX15124, ASTMX06401, ASTMX04972, ASTMX06869, ASTMX11394, ASTMX17816, ASTMX11412, ASTMX14316	CAPO302453
OG0000106	ASTMX14703, ASTMX18591, ASTMX08015, ASTMX03154, ASTMX09347, ASTMX05865, ASTMX09621, ASTMX04479, ASTMX10570, ASTMX00462	CAPO300017
OG0000107	ASTMX08032	CAPO301524
OG0000110	ASTMX08227, ASTMX03691, ASTMX16247, ASTMX08508	CAPO300387
OG0000114	ASTMX20865	CAPO302440
OG0000116	ASTMX01410	CAPO305622
OG0000119	ASTMX04143, ASTMX08665, ASTMX05337, ASTMX14891, ASTMX21636, ASTMX16721, ASTMX15474, ASTMX01803, ASTMX19905, ASTMX00656, ASTMX18233	CAPO304642
OG0000122	ASTMX10444, ASTMX20272, ASTMX16361, ASTMX12761, ASTMX10832, ASTMX22053, ASTMX06000, ASTMX18931, ASTMX06001, ASTMX16780, ASTMX11273, ASTMX05998, ASTMX22052, ASTMX20363, ASTMX17092, ASTMX18973, ASTMX14675, ASTMX09421	CAPO307824
OG0000124	ASTMX10640, ASTMX14745, ASTMX06441	CAPO302553
OG0000126	ASTMX18095, ASTMX08006, ASTMX06040	CAPO301836
OG0000126	ASTMX08551, ASTMX08784, ASTMX11157	CAPO302484
OG0000126	ASTMX09154	CAPO306676
OG0000126	ASTMX06187, ASTMX17244, ASTMX07769, ASTMX02408, ASTMX15338, ASTMX09155, ASTMX05148	CAPO300572
OG0000128	ASTMX05854	CAPO306991, CAPO304956
OG0000129	ASTMX02483, ASTMX17929, ASTMX17925, ASTMX02484, ASTMX13044, ASTMX17866, ASTMX17928, ASTMX17927, ASTMX11589, ASTMX08939, ASTMX16539, ASTMX16528, ASTMX06087, ASTMX09196, ASTMX23025, ASTMX05614, ASTMX22248, ASTMX21316, ASTMX21317	CAPO303361
OG0000137	ASTMX17487, ASTMX09719, ASTMX10412, ASTMX17486, ASTMX04665, ASTMX08942, ASTMX01570, ASTMX22671, ASTMX10792, ASTMX08181	CAPO305369
OG0000142	ASTMX02569, ASTMX02645, ASTMX11196, ASTMX15663, ASTMX04648, ASTMX18481, ASTMX09137, ASTMX22061, ASTMX14163, ASTMX21325	CAPO302031, CAPO302030
