Orthogroup	ASTMX	LYTVA_ok
OG0000043	ASTMX09533	LYTVA_12710
OG0000044	ASTMX03900, ASTMX14800, ASTMX17272, ASTMX12948	LYTVA_11853
OG0000044	ASTMX08796, ASTMX20812, ASTMX22549, ASTMX06174, ASTMX11109	LYTVA_10017
OG0000044	ASTMX06176	LYTVA_14074
OG0000045	ASTMX16178	LYTVA_10187, LYTVA_26738
OG0000046	ASTMX22281	LYTVA_22286
OG0000048	ASTMX04189	LYTVA_06179
OG0000048	ASTMX13714	LYTVA_15043
OG0000048	ASTMX03384	LYTVA_26635
OG0000048	ASTMX15600	LYTVA_27999
OG0000048	ASTMX04570	LYTVA_08149
OG0000048	ASTMX00590	LYTVA_11620
OG0000049	ASTMX10248, ASTMX08138, ASTMX03713, ASTMX05857	LYTVA_16567
OG0000049	ASTMX00928, ASTMX08370, ASTMX07196	LYTVA_21152
OG0000050	ASTMX16561	LYTVA_22854, LYTVA_13054, LYTVA_07499, LYTVA_19706, LYTVA_22634, LYTVA_29206, LYTVA_08549, LYTVA_25325, LYTVA_16900, LYTVA_03419, LYTVA_16160, LYTVA_19016, LYTVA_06118, LYTVA_23189, LYTVA_13929, LYTVA_13140, LYTVA_13188, LYTVA_14198, LYTVA_17620
OG0000051	ASTMX02511	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000054	ASTMX04679	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000055	ASTMX17485	LYTVA_28790
OG0000056	ASTMX17742	LYTVA_05867
OG0000056	ASTMX22444, ASTMX01590, ASTMX01617, ASTMX02364, ASTMX08903, ASTMX17902, ASTMX14177, ASTMX02363	LYTVA_03272
OG0000056	ASTMX18310	LYTVA_17286
OG0000057	ASTMX16761, ASTMX17228, ASTMX14491, ASTMX16762, ASTMX21257	LYTVA_05797, LYTVA_22815
OG0000058	ASTMX01061	LYTVA_14430
OG0000058	ASTMX17542, ASTMX11001, ASTMX18630, ASTMX08080	LYTVA_16698
OG0000059	ASTMX20918	LYTVA_18957
OG0000059	ASTMX06113, ASTMX17681, ASTMX08000, ASTMX00300, ASTMX18960	LYTVA_06967, LYTVA_19211, LYTVA_17534
OG0000060	ASTMX04292, ASTMX07603	LYTVA_30158, LYTVA_18098
OG0000060	ASTMX21094, ASTMX10197, ASTMX00223, ASTMX00445, ASTMX07264	LYTVA_10196
OG0000061	ASTMX00680, ASTMX05396, ASTMX12006, ASTMX20657	LYTVA_16102
OG0000061	ASTMX10422, ASTMX12960, ASTMX20513, ASTMX13746, ASTMX21095, ASTMX14165, ASTMX02316, ASTMX11665, ASTMX13598, ASTMX06207, ASTMX18339, ASTMX05474, ASTMX04490, ASTMX01934, ASTMX05473, ASTMX16790, ASTMX15449	LYTVA_20900
