Orthogroup	ASTMX	STRPU_ok
OG0000007	ASTMX04966, ASTMX11650	STRPU_08442
OG0000007	ASTMX18779, ASTMX07711	STRPU_08417
OG0000007	ASTMX15846, ASTMX15847, ASTMX10097	STRPU_10590
OG0000007	ASTMX10986, ASTMX01681, ASTMX08450	STRPU_21559
OG0000008	ASTMX13129	STRPU_23377, STRPU_23376
OG0000011	ASTMX07900	STRPU_14781, STRPU_12222, STRPU_15041
OG0000011	ASTMX01926	STRPU_01277, STRPU_02577
OG0000011	ASTMX21375, ASTMX22962, ASTMX22920	STRPU_20280, STRPU_12367
OG0000011	ASTMX22970	STRPU_03079
OG0000012	ASTMX22063, ASTMX16492	STRPU_06380, STRPU_06825
OG0000012	ASTMX06265	STRPU_23513
OG0000014	ASTMX12908, ASTMX11632	STRPU_17754, STRPU_17755
OG0000014	ASTMX01423, ASTMX16397	STRPU_19509
OG0000015	ASTMX01476, ASTMX13504, ASTMX02112, ASTMX15417, ASTMX08007, ASTMX06039, ASTMX15203, ASTMX18097	STRPU_05546, STRPU_05605
OG0000015	ASTMX18335, ASTMX18098, ASTMX06037, ASTMX18099, ASTMX04658, ASTMX18334, ASTMX04125, ASTMX06038, ASTMX08008, ASTMX04657, ASTMX18333	STRPU_05547, STRPU_05606
OG0000015	ASTMX00011, ASTMX10695, ASTMX18288, ASTMX04727	STRPU_21905
OG0000016	ASTMX03544, ASTMX11482, ASTMX09207	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221
OG0000016	ASTMX09206	STRPU_06909
OG0000016	ASTMX17817, ASTMX17818, ASTMX05407, ASTMX11675	STRPU_09277
OG0000016	ASTMX00540	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484
OG0000016	ASTMX02874	STRPU_15361, STRPU_21110
OG0000016	ASTMX13275, ASTMX19540, ASTMX20114, ASTMX00361	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082
OG0000019	ASTMX19662, ASTMX20251, ASTMX21077, ASTMX14834, ASTMX14832, ASTMX21241, ASTMX14833, ASTMX15190, ASTMX17156	STRPU_23414, STRPU_01023
OG0000020	ASTMX04834	STRPU_13949
OG0000020	ASTMX12285	STRPU_20580
OG0000020	ASTMX15062	STRPU_19028, STRPU_00464
OG0000020	ASTMX14060	STRPU_22748, STRPU_01903
OG0000020	ASTMX00490, ASTMX12696	STRPU_07115
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318, ASTMX16689	STRPU_26678
OG0000020	ASTMX16028	STRPU_22232
OG0000020	ASTMX17320	STRPU_19861, STRPU_19888
OG0000020	ASTMX04750, ASTMX21042	STRPU_05007
OG0000020	ASTMX05243	STRPU_11453
OG0000020	ASTMX04710	STRPU_04309, STRPU_04336
OG0000020	ASTMX07754	STRPU_05521
OG0000020	ASTMX13875	STRPU_21977
OG0000021	ASTMX05285, ASTMX16996, ASTMX01998	STRPU_23367
OG0000021	ASTMX00201, ASTMX09085	STRPU_25829
OG0000021	ASTMX02310, ASTMX16342	STRPU_02205, STRPU_15603
OG0000021	ASTMX09645	STRPU_02212, STRPU_15595
OG0000021	ASTMX21461, ASTMX05545	STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213
OG0000021	ASTMX13864	STRPU_05019, STRPU_05298, STRPU_05227, STRPU_05132, STRPU_05059
OG0000023	ASTMX18896	STRPU_09714, STRPU_09758
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358
OG0000023	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426	STRPU_14183, STRPU_00265
OG0000026	ASTMX06810	STRPU_24999
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	STRPU_27008
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	STRPU_09836, STRPU_17433, STRPU_17432
OG0000029	ASTMX19971, ASTMX06514, ASTMX07156	STRPU_14123
OG0000030	ASTMX22473	STRPU_00450, STRPU_03952
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	STRPU_23383
OG0000030	ASTMX02378, ASTMX18821	STRPU_18729, STRPU_18720
OG0000030	ASTMX22293	STRPU_10522
OG0000031	ASTMX08659, ASTMX04771	STRPU_24640
OG0000031	ASTMX01055, ASTMX17701, ASTMX18426, ASTMX12571	STRPU_24955
OG0000031	ASTMX12572	STRPU_24636
OG0000031	ASTMX06525	STRPU_27330
OG0000031	ASTMX09693, ASTMX17541	STRPU_08004
OG0000031	ASTMX03912, ASTMX00105	STRPU_05537, STRPU_05597
OG0000031	ASTMX13865, ASTMX02854, ASTMX20534, ASTMX14725	STRPU_18994
OG0000031	ASTMX00107, ASTMX04176	STRPU_05368
OG0000031	ASTMX13001, ASTMX20334, ASTMX13774, ASTMX02637	STRPU_24676
OG0000032	ASTMX19317, ASTMX01989, ASTMX01990, ASTMX01991, ASTMX08768, ASTMX12211, ASTMX09018	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458
OG0000032	ASTMX06705	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816
OG0000034	ASTMX03519	STRPU_15245, STRPU_15189
OG0000034	ASTMX17020, ASTMX02547, ASTMX01081, ASTMX20715, ASTMX17446	STRPU_11798
OG0000034	ASTMX07364, ASTMX20522, ASTMX22336, ASTMX07448, ASTMX16123, ASTMX02622, ASTMX00372	STRPU_11930, STRPU_11885
OG0000034	ASTMX09860, ASTMX06813, ASTMX07013	STRPU_27315
OG0000034	ASTMX12428, ASTMX02190	STRPU_11793
OG0000034	ASTMX01548	STRPU_04070
OG0000034	ASTMX02136	STRPU_12141, STRPU_12106
OG0000035	ASTMX17732	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194
