Orthogroup	ASTMX	APOSC_ok
OG0000021	ASTMX02310, ASTMX16342	APOSC_02202
OG0000021	ASTMX09645	APOSC_27384
OG0000021	ASTMX21461, ASTMX05545	APOSC_03399, APOSC_23486, APOSC_20200, APOSC_20201, APOSC_00458, APOSC_17587, APOSC_13199, APOSC_11609, APOSC_23651, APOSC_17223, APOSC_20614
OG0000021	ASTMX13864	APOSC_04995, APOSC_08508, APOSC_08509, APOSC_11901, APOSC_23082
OG0000023	ASTMX18896	APOSC_14758
OG0000023	ASTMX07788, ASTMX10048, ASTMX07031, ASTMX08985, ASTMX18700, ASTMX14127, ASTMX07394, ASTMX07336, ASTMX04478, ASTMX03414	APOSC_23823, APOSC_12992, APOSC_08983, APOSC_08982
OG0000023	ASTMX02981, ASTMX04385, ASTMX04386, ASTMX11217, ASTMX00199, ASTMX01795, ASTMX02984, ASTMX02983	APOSC_23115
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426	APOSC_01461, APOSC_26217, APOSC_01854, APOSC_01855, APOSC_18488, APOSC_05397, APOSC_28827, APOSC_12673, APOSC_17746, APOSC_17532, APOSC_17533, APOSC_28434, APOSC_09826, APOSC_02940
OG0000026	ASTMX06810	APOSC_25312
OG0000026	ASTMX12978	APOSC_13965
OG0000028	ASTMX01721, ASTMX15155, ASTMX14212	APOSC_17838, APOSC_17839
OG0000029	ASTMX02055, ASTMX06262, ASTMX11166, ASTMX03267, ASTMX11576, ASTMX22545	APOSC_07574, APOSC_20436
OG0000029	ASTMX12065, ASTMX05431, ASTMX02396, ASTMX13116, ASTMX01708	APOSC_20307, APOSC_21722, APOSC_14165, APOSC_23954, APOSC_24664, APOSC_08971
OG0000030	ASTMX06934	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	ASTMX13784, ASTMX06816, ASTMX18369	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	ASTMX02378, ASTMX18821	APOSC_00359
OG0000030	ASTMX22293	APOSC_12149
OG0000031	ASTMX05563	APOSC_16590
