Orthogroup	CAPO3	NEMVE
OG0000016	CAPO304360	NEMVE18985, NEMVE00901, NEMVE00895, NEMVE14894
OG0000016	CAPO306803	NEMVE14449, NEMVE01947, NEMVE01449, NEMVE05079, NEMVE20577, NEMVE25247, NEMVE00923, NEMVE09035, NEMVE08472, NEMVE13671, NEMVE08763, NEMVE00914, NEMVE01462, NEMVE08573
OG0000016	CAPO304214	NEMVE12388
OG0000016	CAPO303259	NEMVE05675
OG0000016	CAPO300936	NEMVE01836
OG0000023	CAPO307690	NEMVE05404, NEMVE18646, NEMVE00827, NEMVE11575, NEMVE10787, NEMVE10449, NEMVE01882, NEMVE07698, NEMVE02033, NEMVE05058, NEMVE00878, NEMVE13647, NEMVE01164, NEMVE04601, NEMVE15478, NEMVE15477, NEMVE23023, NEMVE08487, NEMVE18628, NEMVE01195, NEMVE03514, NEMVE05012, NEMVE13501, NEMVE11593, NEMVE05686, NEMVE11655, NEMVE11747, NEMVE12580, NEMVE16721, NEMVE11897, NEMVE08792, NEMVE18254
OG0000029	CAPO307131	NEMVE03602, NEMVE01722, NEMVE08343, NEMVE10355, NEMVE09829, NEMVE10357, NEMVE01138, NEMVE14376, NEMVE10294, NEMVE08593, NEMVE02187, NEMVE17445, NEMVE08578, NEMVE19238, NEMVE07628, NEMVE02133, NEMVE25799, NEMVE01718, NEMVE03076, NEMVE01185, NEMVE02169, NEMVE00230, NEMVE10888, NEMVE09595, NEMVE09593, NEMVE09900, NEMVE01683
OG0000030	CAPO300110	NEMVE20373, NEMVE19035
OG0000030	CAPO305356, CAPO301638, CAPO307563	NEMVE00336, NEMVE06254, NEMVE14217, NEMVE02377, NEMVE09974, NEMVE02213, NEMVE02794, NEMVE01011, NEMVE09887, NEMVE00264, NEMVE09324, NEMVE09320, NEMVE12294, NEMVE13952, NEMVE02370, NEMVE06265, NEMVE06266, NEMVE00220, NEMVE16622, NEMVE15282
OG0000031	CAPO303729	NEMVE02343
OG0000031	CAPO302122	NEMVE04984
OG0000035	CAPO307346, CAPO308354	NEMVE23841, NEMVE25824, NEMVE22676, NEMVE13965, NEMVE22226, NEMVE05357, NEMVE02194, NEMVE05613, NEMVE15629, NEMVE22520, NEMVE22285, NEMVE20289, NEMVE01710, NEMVE22620, NEMVE22233
OG0000039	CAPO306958, CAPO306959	NEMVE01371, NEMVE05995
OG0000041	CAPO308025, CAPO306861	NEMVE00625, NEMVE05205, NEMVE02645, NEMVE12910, NEMVE02225, NEMVE15516, NEMVE06792, NEMVE05166, NEMVE17369, NEMVE07542, NEMVE08619, NEMVE21809, NEMVE02404, NEMVE05170, NEMVE01536, NEMVE08033, NEMVE01036, NEMVE05046, NEMVE18248, NEMVE18247, NEMVE10912, NEMVE25031, NEMVE01071, NEMVE10609, NEMVE15601, NEMVE17131, NEMVE01535, NEMVE08864, NEMVE18334, NEMVE01110, NEMVE18337, NEMVE00105, NEMVE01601, NEMVE14886, NEMVE03031, NEMVE02337, NEMVE05295
OG0000043	CAPO301478, CAPO305172	NEMVE00880, NEMVE00770
OG0000043	CAPO308256	NEMVE21961, NEMVE21792, NEMVE19640, NEMVE21007, NEMVE21132, NEMVE18462, NEMVE12789, NEMVE12803, NEMVE14296, NEMVE02775, NEMVE00615, NEMVE12385, NEMVE21267, NEMVE22714, NEMVE22026, NEMVE21348, NEMVE21359, NEMVE05121
OG0000048	CAPO305301	NEMVE05567
OG0000048	CAPO306877, CAPO303671, CAPO303687, CAPO303495, CAPO304823	NEMVE15061
OG0000049	CAPO304018	NEMVE19461, NEMVE02399, NEMVE21864, NEMVE15395, NEMVE15644, NEMVE16905, NEMVE16051, NEMVE24775, NEMVE01999, NEMVE16789, NEMVE16790, NEMVE16128, NEMVE01975, NEMVE02047, NEMVE16717, NEMVE08586, NEMVE23821, NEMVE10283, NEMVE01510, NEMVE06990, NEMVE03443, NEMVE05693, NEMVE00604, NEMVE19016, NEMVE00041, NEMVE16082, NEMVE01920, NEMVE01841, NEMVE07661, NEMVE06992, NEMVE00847
OG0000051	CAPO307809, CAPO301249	NEMVE14426, NEMVE13406, NEMVE08489, NEMVE22548, NEMVE18951, NEMVE15008
OG0000054	CAPO303213, CAPO305653	NEMVE01268
OG0000054	CAPO302015	NEMVE15086, NEMVE10916
OG0000054	CAPO303797	NEMVE05466, NEMVE10915
OG0000055	CAPO301479, CAPO301432	NEMVE00590, NEMVE12695, NEMVE19639, NEMVE15980, NEMVE21960
OG0000056	CAPO305974, CAPO306012, CAPO306941	NEMVE11244, NEMVE11933, NEMVE01724, NEMVE05835, NEMVE01653, NEMVE06803, NEMVE01503, NEMVE04541, NEMVE09885, NEMVE11865, NEMVE19274, NEMVE04833, NEMVE10670, NEMVE04649, NEMVE01116, NEMVE16234, NEMVE16764, NEMVE18863, NEMVE02201, NEMVE19957, NEMVE15228
OG0000058	CAPO305595	NEMVE13151
