Orthogroup	CAPO3	LYTVA_ok
OG0000041	CAPO308025, CAPO306861	LYTVA_08901, LYTVA_17546, LYTVA_17545, LYTVA_25852, LYTVA_03177
OG0000043	CAPO308256	LYTVA_05725, LYTVA_13550, LYTVA_24763, LYTVA_20678, LYTVA_30007, LYTVA_26935, LYTVA_10735, LYTVA_00383, LYTVA_02758, LYTVA_00226
OG0000048	CAPO305301	LYTVA_06179
OG0000048	CAPO306877	LYTVA_17485, LYTVA_17487, LYTVA_17489
OG0000048	CAPO304823	LYTVA_11620
OG0000049	CAPO304018	LYTVA_26462, LYTVA_16567, LYTVA_21152, LYTVA_07886, LYTVA_06358, LYTVA_14034, LYTVA_25007, LYTVA_28129, LYTVA_02138
OG0000051	CAPO307809, CAPO301249	LYTVA_20043, LYTVA_13578, LYTVA_29605, LYTVA_13579, LYTVA_20045, LYTVA_20046, LYTVA_12866, LYTVA_12868, LYTVA_12869, LYTVA_29317, LYTVA_29318, LYTVA_29319, LYTVA_03012, LYTVA_09968, LYTVA_16489, LYTVA_16496, LYTVA_27370, LYTVA_16492, LYTVA_16490, LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000053	CAPO302193	LYTVA_16375
OG0000054	CAPO303213, CAPO305653	LYTVA_10090, LYTVA_07086, LYTVA_21421, LYTVA_17925, LYTVA_09472, LYTVA_10089
OG0000054	CAPO302015	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000055	CAPO301479, CAPO301432	LYTVA_09126, LYTVA_26970, LYTVA_18344, LYTVA_18117
OG0000056	CAPO305974, CAPO306012, CAPO306941	LYTVA_15958, LYTVA_10361, LYTVA_05867, LYTVA_03272, LYTVA_17286, LYTVA_25903, LYTVA_02051, LYTVA_29706, LYTVA_23383, LYTVA_28840, LYTVA_00266, LYTVA_13357
OG0000058	CAPO305595	LYTVA_09175, LYTVA_09177, LYTVA_25827, LYTVA_18449, LYTVA_29674
OG0000058	CAPO307225	LYTVA_14430
OG0000060	CAPO305373	LYTVA_30158, LYTVA_18098, LYTVA_02319, LYTVA_11689, LYTVA_07972, LYTVA_20466, LYTVA_16681, LYTVA_27455, LYTVA_18661, LYTVA_15046, LYTVA_11690, LYTVA_27067, LYTVA_20469, LYTVA_27945, LYTVA_28067, LYTVA_19641, LYTVA_23621, LYTVA_28547, LYTVA_22653, LYTVA_18637, LYTVA_13960, LYTVA_15384, LYTVA_10196
OG0000062	CAPO300910	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092, LYTVA_18550, LYTVA_02333, LYTVA_05093, LYTVA_01566
OG0000063	CAPO300270	LYTVA_03474, LYTVA_28622, LYTVA_11640, LYTVA_20066, LYTVA_07999, LYTVA_16178
OG0000066	CAPO308057	LYTVA_00023, LYTVA_01899, LYTVA_28191, LYTVA_01654, LYTVA_19934, LYTVA_14724, LYTVA_24831
OG0000069	CAPO302182	LYTVA_15781
OG0000069	CAPO301523, CAPO305173	LYTVA_28251, LYTVA_19634, LYTVA_18557
OG0000079	CAPO302518	LYTVA_06214, LYTVA_17750
OG0000082	CAPO304738	LYTVA_25888
OG0000082	CAPO306626	LYTVA_18803
OG0000082	CAPO300843	LYTVA_21157, LYTVA_15644, LYTVA_26329
OG0000082	CAPO306232	LYTVA_02026, LYTVA_02027, LYTVA_02312, LYTVA_17399
OG0000085	CAPO303061	LYTVA_26350, LYTVA_11857, LYTVA_19136
OG0000085	CAPO303047	LYTVA_13307, LYTVA_05365, LYTVA_17776, LYTVA_09034, LYTVA_06708
OG0000089	CAPO300386, CAPO300810, CAPO302098	LYTVA_19843, LYTVA_06742, LYTVA_22521, LYTVA_05675, LYTVA_25746, LYTVA_25741, LYTVA_21117, LYTVA_13006, LYTVA_19844, LYTVA_06777, LYTVA_25975, LYTVA_02304, LYTVA_26795, LYTVA_03634, LYTVA_28359, LYTVA_27830, LYTVA_15322, LYTVA_12984, LYTVA_16551, LYTVA_28799, LYTVA_00948
OG0000090	CAPO304460, CAPO304458, CAPO303991	LYTVA_08725, LYTVA_21266
OG0000091	CAPO301134	LYTVA_15883, LYTVA_09142, LYTVA_00715, LYTVA_01605, LYTVA_15273, LYTVA_04137, LYTVA_25909, LYTVA_25916, LYTVA_21851, LYTVA_19476, LYTVA_12113
OG0000095	CAPO301288, CAPO306046	LYTVA_04385, LYTVA_29816, LYTVA_16046, LYTVA_16047, LYTVA_11749, LYTVA_09779, LYTVA_25118, LYTVA_13288, LYTVA_13853, LYTVA_24054, LYTVA_27487, LYTVA_28301
OG0000096	CAPO301431	LYTVA_12286
OG0000096	CAPO307955	LYTVA_21388
OG0000096	CAPO307522	LYTVA_10606
OG0000096	CAPO300294	LYTVA_19397
OG0000096	CAPO307017	LYTVA_24298, LYTVA_20858
OG0000101	CAPO306858	LYTVA_13163, LYTVA_03798, LYTVA_11413, LYTVA_03793, LYTVA_25292, LYTVA_25291
OG0000103	CAPO302453	LYTVA_05784, LYTVA_08412
OG0000106	CAPO300017	LYTVA_01037, LYTVA_12933, LYTVA_15504, LYTVA_30171, LYTVA_06537, LYTVA_25256
OG0000110	CAPO300387	LYTVA_29623, LYTVA_02879, LYTVA_11692, LYTVA_23200, LYTVA_23199, LYTVA_05602, LYTVA_12820, LYTVA_03446, LYTVA_06301, LYTVA_17449, LYTVA_27975, LYTVA_20694, LYTVA_00973, LYTVA_27976, LYTVA_05807, LYTVA_30126, LYTVA_30125
OG0000116	CAPO305622	LYTVA_00275, LYTVA_00276, LYTVA_12381
OG0000119	CAPO304642	LYTVA_11474, LYTVA_08592, LYTVA_07119, LYTVA_19356, LYTVA_04285, LYTVA_11467
OG0000122	CAPO307824	LYTVA_26094, LYTVA_10750, LYTVA_18458, LYTVA_18460
OG0000124	CAPO302553	LYTVA_27850
OG0000126	CAPO302484	LYTVA_19767
OG0000126	CAPO306676	LYTVA_16967
OG0000126	CAPO300572	LYTVA_03902, LYTVA_29180
OG0000128	CAPO306991, CAPO304956	LYTVA_18955, LYTVA_21574, LYTVA_01369, LYTVA_05348, LYTVA_25678, LYTVA_25569, LYTVA_25568, LYTVA_09097, LYTVA_07273, LYTVA_29734, LYTVA_23730, LYTVA_23728, LYTVA_23729
OG0000129	CAPO303361	LYTVA_24420, LYTVA_06816, LYTVA_27162
OG0000132	CAPO305174	LYTVA_01373
OG0000137	CAPO305369	LYTVA_14649, LYTVA_14169, LYTVA_05475, LYTVA_25469, LYTVA_15627
OG0000142	CAPO302031, CAPO302030	LYTVA_04554, LYTVA_20509, LYTVA_25812, LYTVA_27034, LYTVA_20510, LYTVA_01494, LYTVA_20512, LYTVA_27041, LYTVA_04856, LYTVA_01496, LYTVA_01493
OG0000147	CAPO305863	LYTVA_20853
OG0000147	CAPO308132	LYTVA_24464
OG0000147	CAPO304230	LYTVA_18928, LYTVA_03351
OG0000149	CAPO305206, CAPO306214	LYTVA_27288, LYTVA_06518, LYTVA_19439, LYTVA_27853, LYTVA_06524, LYTVA_14878, LYTVA_23613, LYTVA_03219, LYTVA_27903, LYTVA_15256, LYTVA_09082, LYTVA_24788
OG0000157	CAPO302981	LYTVA_24947
OG0000157	CAPO305824	LYTVA_14449
OG0000167	CAPO301364, CAPO303476	LYTVA_05879, LYTVA_28563, LYTVA_24832, LYTVA_22740
OG0000171	CAPO304813	LYTVA_27882, LYTVA_20168, LYTVA_24654, LYTVA_27222
OG0000174	CAPO304629	LYTVA_12646, LYTVA_19454, LYTVA_00411, LYTVA_10125, LYTVA_06774
OG0000175	CAPO303513	LYTVA_23856
OG0000179	CAPO300694	LYTVA_11503
OG0000179	CAPO303342	LYTVA_09715, LYTVA_09722, LYTVA_06848
OG0000181	CAPO307692	LYTVA_30016
OG0000183	CAPO305638	LYTVA_29269
OG0000183	CAPO305829	LYTVA_12902, LYTVA_28105
OG0000184	CAPO307711	LYTVA_15221
OG0000184	CAPO304928	LYTVA_22049, LYTVA_02101, LYTVA_11407, LYTVA_11408
OG0000192	CAPO305422	LYTVA_22636
OG0000192	CAPO300533	LYTVA_19467
OG0000192	CAPO301980	LYTVA_04263, LYTVA_18552
OG0000193	CAPO302628	LYTVA_15362, LYTVA_23759, LYTVA_03510, LYTVA_08489
OG0000194	CAPO305195	LYTVA_10369, LYTVA_19148, LYTVA_19770, LYTVA_19763, LYTVA_12264, LYTVA_12263, LYTVA_12262, LYTVA_24414
OG0000195	CAPO305454	LYTVA_28994, LYTVA_02735, LYTVA_11062, LYTVA_09814, LYTVA_16951
OG0000201	CAPO307729	LYTVA_05027
OG0000203	CAPO302139	LYTVA_05320, LYTVA_26037, LYTVA_26044, LYTVA_15099
OG0000204	CAPO303090	LYTVA_09811, LYTVA_08501
OG0000207	CAPO304105, CAPO304106, CAPO304714	LYTVA_11110, LYTVA_21753, LYTVA_28234, LYTVA_23513, LYTVA_30157, LYTVA_01312, LYTVA_23468, LYTVA_16683, LYTVA_23967, LYTVA_11884, LYTVA_08682
OG0000211	CAPO306209	LYTVA_13895, LYTVA_06449, LYTVA_04294, LYTVA_06557, LYTVA_26568
OG0000218	CAPO300559	LYTVA_12244, LYTVA_02104, LYTVA_26547, LYTVA_01722, LYTVA_15921, LYTVA_12774, LYTVA_12768, LYTVA_01721, LYTVA_12719, LYTVA_12771, LYTVA_14011, LYTVA_01720, LYTVA_19061, LYTVA_27533, LYTVA_27534, LYTVA_25346, LYTVA_06371, LYTVA_08949, LYTVA_19062, LYTVA_12767, LYTVA_18998, LYTVA_15920, LYTVA_19551
OG0000220	CAPO306780, CAPO307695	LYTVA_22048, LYTVA_04465, LYTVA_04466, LYTVA_04468, LYTVA_16045, LYTVA_14940, LYTVA_20936
OG0000221	CAPO300247	LYTVA_17595, LYTVA_04768, LYTVA_08100
OG0000222	CAPO304211	LYTVA_26734, LYTVA_13738, LYTVA_24122, LYTVA_28945, LYTVA_27554, LYTVA_20917, LYTVA_23553, LYTVA_21370
OG0000223	CAPO308126	LYTVA_00593, LYTVA_24317, LYTVA_13912
OG0000225	CAPO305347	LYTVA_20688, LYTVA_20689, LYTVA_18494
OG0000228	CAPO306208	LYTVA_28978
OG0000234	CAPO301359	LYTVA_19906
OG0000238	CAPO305428	LYTVA_04511
OG0000239	CAPO302089	LYTVA_06349, LYTVA_09698, LYTVA_06433
OG0000244	CAPO301556	LYTVA_00671, LYTVA_14110, LYTVA_00337, LYTVA_21810, LYTVA_07546
OG0000246	CAPO303496	LYTVA_19658, LYTVA_09005, LYTVA_09273, LYTVA_01924, LYTVA_25419, LYTVA_06938, LYTVA_09139, LYTVA_25259
OG0000246	CAPO308181	LYTVA_00930
OG0000248	CAPO307635, CAPO302481, CAPO302487	LYTVA_10723, LYTVA_21251
OG0000250	CAPO305827	LYTVA_28209
OG0000255	CAPO306632	LYTVA_13936
OG0000255	CAPO300499	LYTVA_14731, LYTVA_05053, LYTVA_05047, LYTVA_01200, LYTVA_21255, LYTVA_21254, LYTVA_22664, LYTVA_22659, LYTVA_22497, LYTVA_19292
OG0000256	CAPO307884	LYTVA_17873
OG0000256	CAPO306483	LYTVA_25028, LYTVA_05484, LYTVA_26739, LYTVA_18612, LYTVA_19747
OG0000257	CAPO300414	LYTVA_13638, LYTVA_14095, LYTVA_27307, LYTVA_26231, LYTVA_01560
OG0000258	CAPO301746	LYTVA_18309, LYTVA_23522
OG0000260	CAPO300399	LYTVA_02941
OG0000265	CAPO306126	LYTVA_27571, LYTVA_27683
OG0000265	CAPO306540	LYTVA_23503
OG0000271	CAPO304641	LYTVA_06909, LYTVA_01054, LYTVA_19544
OG0000272	CAPO304601	LYTVA_27469, LYTVA_20744
OG0000273	CAPO307666	LYTVA_14211
OG0000277	CAPO303621	LYTVA_08395
OG0000278	CAPO300620	LYTVA_26707
OG0000278	CAPO302023	LYTVA_29542
OG0000278	CAPO305864	LYTVA_18701
OG0000282	CAPO308183	LYTVA_01761, LYTVA_10300, LYTVA_07993
OG0000284	CAPO305695	LYTVA_20653
OG0000285	CAPO303377	LYTVA_02472, LYTVA_02471, LYTVA_16191, LYTVA_10934, LYTVA_01900, LYTVA_00819, LYTVA_10933
OG0000289	CAPO307835	LYTVA_08529, LYTVA_08530
OG0000295	CAPO302113, CAPO302799	LYTVA_12691, LYTVA_02154, LYTVA_08756, LYTVA_13817, LYTVA_30195, LYTVA_18727
OG0000299	CAPO306599	LYTVA_07089
OG0000305	CAPO307183	LYTVA_16632
OG0000306	CAPO308212	LYTVA_05730
OG0000308	CAPO304037	LYTVA_17738, LYTVA_10665
OG0000308	CAPO303083	LYTVA_00091
OG0000310	CAPO305978	LYTVA_24764, LYTVA_27096, LYTVA_01202, LYTVA_01201, LYTVA_05847, LYTVA_09671, LYTVA_17316, LYTVA_12375, LYTVA_07118
OG0000312	CAPO304557	LYTVA_13219
OG0000312	CAPO302691	LYTVA_14217
OG0000313	CAPO307072	LYTVA_13685
OG0000313	CAPO301348	LYTVA_23108
OG0000314	CAPO304303	LYTVA_16209, LYTVA_08014, LYTVA_13477, LYTVA_06213, LYTVA_04787
OG0000315	CAPO307611	LYTVA_09346
OG0000315	CAPO308167	LYTVA_26355
OG0000316	CAPO307924, CAPO300321	LYTVA_07908
OG0000317	CAPO306620	LYTVA_06380, LYTVA_13588
OG0000319	CAPO303225	LYTVA_14716, LYTVA_21422, LYTVA_01923, LYTVA_01922, LYTVA_03060, LYTVA_10385, LYTVA_22668, LYTVA_20832
OG0000322	CAPO306406	LYTVA_23095, LYTVA_01957, LYTVA_08299, LYTVA_00474
OG0000326	CAPO303322	LYTVA_18602
OG0000334	CAPO300337	LYTVA_05579, LYTVA_27451, LYTVA_26985, LYTVA_19447, LYTVA_14665, LYTVA_23457, LYTVA_26982, LYTVA_24482, LYTVA_14664, LYTVA_26630, LYTVA_26983, LYTVA_02495, LYTVA_02498
