Orthogroup	CAPO3	HUMAN
OG0001572	CAPO304756	HUMAN13726
OG0001572	CAPO304137	HUMAN11626, HUMAN11627
OG0001573	CAPO305125, CAPO303819	HUMAN01295, HUMAN29048
OG0001576	CAPO306270	HUMAN23520, HUMAN09989, HUMAN09990
OG0001578	CAPO300715	HUMAN27577, HUMAN27576, HUMAN03525
OG0001580	CAPO307900	HUMAN19240, HUMAN19239, HUMAN19238, HUMAN15241
OG0001581	CAPO306056	HUMAN02526, HUMAN02524, HUMAN02525
OG0001582	CAPO307073	HUMAN11711, HUMAN11710, HUMAN19935
OG0001583	CAPO306289	HUMAN22254, HUMAN22253, HUMAN22251, HUMAN22252, HUMAN03577
OG0001584	CAPO301068	HUMAN07637, HUMAN22038
OG0001589	CAPO303301, CAPO304004	HUMAN13366, HUMAN10236
OG0001590	CAPO306067	HUMAN09425
OG0001590	CAPO302386	HUMAN09424
OG0001593	CAPO305942	HUMAN28942, HUMAN09707, HUMAN06299, HUMAN01587, HUMAN01588
OG0001594	CAPO304243	HUMAN19429
OG0001597	CAPO302703	HUMAN26560, HUMAN26561, HUMAN26559
OG0001599	CAPO300887	HUMAN13429, HUMAN13426, HUMAN13428
OG0001600	CAPO305994	HUMAN00788, HUMAN00787, HUMAN16635, HUMAN28233
OG0001603	CAPO306228	HUMAN24754, HUMAN24819
OG0001604	CAPO303898	HUMAN12471, HUMAN12472
OG0001605	CAPO307473	HUMAN07945, HUMAN07944
OG0001609	CAPO304683	HUMAN07643
OG0001609	CAPO302057	HUMAN21122, HUMAN07645
OG0001610	CAPO301483	HUMAN22869, HUMAN00777, HUMAN19044, HUMAN07487, HUMAN28094
OG0001611	CAPO305038	HUMAN08977, HUMAN08979, HUMAN08978, HUMAN02546
OG0001612	CAPO302202	HUMAN19504, HUMAN25319
OG0001614	CAPO303895	HUMAN14358
OG0001614	CAPO307630	HUMAN13572
OG0001615	CAPO300749	HUMAN04414, HUMAN27016
OG0001617	CAPO302798	HUMAN20425, HUMAN06149, HUMAN24916
OG0001621	CAPO302875	HUMAN10405, HUMAN20233
OG0001622	CAPO302121	HUMAN03730, HUMAN03729, HUMAN27716
OG0001634	CAPO305688	HUMAN29106
OG0001634	CAPO305614	HUMAN02620, HUMAN15581
OG0001638	CAPO303528	HUMAN10802, HUMAN10801, HUMAN11783, HUMAN11785, HUMAN11784
OG0001641	CAPO303281	HUMAN02994
OG0001643	CAPO300422	HUMAN01999
OG0001643	CAPO306838	HUMAN01998, HUMAN05730, HUMAN15333, HUMAN15332, HUMAN15331
OG0001644	CAPO303665	HUMAN24567, HUMAN16593
OG0001652	CAPO302838	HUMAN08985
OG0001653	CAPO305118	HUMAN23274
OG0001655	CAPO302812	HUMAN29890, HUMAN23043, HUMAN29586, HUMAN29889
OG0001657	CAPO304165, CAPO303952	HUMAN20003, HUMAN20005, HUMAN20004, HUMAN04603
OG0001660	CAPO305930	HUMAN24142, HUMAN22382, HUMAN29625, HUMAN30126, HUMAN22381
OG0001661	CAPO302789	HUMAN07166
OG0001661	CAPO304920	HUMAN21509
OG0001663	CAPO301057	HUMAN26903, HUMAN29828
OG0001664	CAPO303152	HUMAN01079, HUMAN14776, HUMAN14775, HUMAN27769
OG0001665	CAPO302331	HUMAN13477, HUMAN13476, HUMAN10572
OG0001672	CAPO301880	HUMAN29688, HUMAN17876, HUMAN12952, HUMAN26575
OG0001673	CAPO305520	HUMAN08249, HUMAN08251, HUMAN15858, HUMAN16851, HUMAN15857
OG0001674	CAPO301357	HUMAN09862, HUMAN09861, HUMAN09864, HUMAN09865, HUMAN13900
OG0001675	CAPO307574	HUMAN28279, HUMAN27610
OG0001676	CAPO300524	HUMAN03206
OG0001676	CAPO305992	HUMAN15070
OG0001677	CAPO307978	HUMAN07349, HUMAN07350
OG0001684	CAPO300563	HUMAN14785, HUMAN01201
OG0001685	CAPO307707	HUMAN22339
OG0001686	CAPO307138	HUMAN22500, HUMAN11161, HUMAN11160, HUMAN17160, HUMAN22501
OG0001687	CAPO302907	HUMAN03234
OG0001688	CAPO300133	HUMAN22303, HUMAN22304, HUMAN22302, HUMAN03992
OG0001690	CAPO304820	HUMAN01169
OG0001691	CAPO307420	HUMAN10903, HUMAN07404
OG0001699	CAPO306472, CAPO300057	HUMAN12717, HUMAN12716, HUMAN27253
OG0001704	CAPO304434	HUMAN06407, HUMAN06567
OG0001706	CAPO301033	HUMAN30453, HUMAN05373, HUMAN30452
OG0001707	CAPO303836	HUMAN13776, HUMAN13775, HUMAN16739
OG0001708	CAPO303804	HUMAN25399, HUMAN25398, HUMAN01995, HUMAN01996
OG0001709	CAPO304969	HUMAN23995
OG0001711	CAPO301872	HUMAN04935, HUMAN04934, HUMAN04933, HUMAN09017
OG0001713	CAPO308041	HUMAN05026
OG0001713	CAPO302278	HUMAN11446, HUMAN11444, HUMAN11445
OG0001714	CAPO306669	HUMAN20171, HUMAN20172
OG0001714	CAPO300188	HUMAN25119, HUMAN20173
OG0001718	CAPO301559, CAPO301838	HUMAN08462, HUMAN25013, HUMAN25014
OG0001720	CAPO303957	HUMAN12316, HUMAN04993, HUMAN07123
OG0001721	CAPO302302	HUMAN25291, HUMAN08491
OG0001723	CAPO308089	HUMAN30388, HUMAN21619, HUMAN30386, HUMAN29777
OG0001724	CAPO306474	HUMAN25295
OG0001727	CAPO301729	HUMAN15860, HUMAN15859, HUMAN08259, HUMAN16842
OG0001730	CAPO303469	HUMAN14924, HUMAN00990, HUMAN14923
OG0001732	CAPO304710	HUMAN30348, HUMAN07896, HUMAN21599, HUMAN21598, HUMAN21600
OG0001733	CAPO306615	HUMAN17168
OG0001734	CAPO306594	HUMAN04690, HUMAN04685, HUMAN04687, HUMAN04689, HUMAN04688
OG0001735	CAPO301389	HUMAN17857, HUMAN13129
OG0001738	CAPO301655	HUMAN07064, HUMAN07066, HUMAN03839, HUMAN03837, HUMAN07063, HUMAN07065, HUMAN03838
OG0001739	CAPO304154	HUMAN30049, HUMAN30048, HUMAN06840, HUMAN06841, HUMAN06839, HUMAN03964
OG0001743	CAPO307541, CAPO302971	HUMAN29327
OG0001743	CAPO306128	HUMAN29328, HUMAN29326
OG0001746	CAPO306662	HUMAN20303, HUMAN04189, HUMAN20301, HUMAN20300, HUMAN20302
OG0001750	CAPO304954	HUMAN03005, HUMAN06675, HUMAN17719
OG0001755	CAPO300413	HUMAN04349
OG0001756	CAPO301153	HUMAN03565, HUMAN03566
OG0001756	CAPO306605	HUMAN27757, HUMAN27756, HUMAN27755
OG0001769	CAPO300754	HUMAN03651
OG0001769	CAPO306748	HUMAN08557, HUMAN08556, HUMAN08559
OG0001770	CAPO304551	HUMAN24382, HUMAN17425, HUMAN30193, HUMAN24381, HUMAN22894
OG0001772	CAPO303731	HUMAN02529, HUMAN08892
OG0001774	CAPO302411	HUMAN18619, HUMAN30515, HUMAN30516
OG0001775	CAPO300385, CAPO303998	HUMAN14353
OG0001778	CAPO303585	HUMAN08145, HUMAN08147, HUMAN08146
OG0001781	CAPO304059	HUMAN12741, HUMAN12740, HUMAN12739
OG0001781	CAPO306335	HUMAN24740
OG0001782	CAPO302329	HUMAN23640
OG0001783	CAPO302497	HUMAN10327, HUMAN10326
OG0001787	CAPO302384	HUMAN19491, HUMAN19493, HUMAN19494, HUMAN19492, HUMAN25152, HUMAN25151, HUMAN00492
OG0001789	CAPO303597	HUMAN19923, HUMAN12300
OG0001792	CAPO305067	HUMAN29333
OG0001792	CAPO302146	HUMAN15054
OG0001793	CAPO302934	HUMAN20623
OG0001793	CAPO300098	HUMAN05697
OG0001794	CAPO305037	HUMAN19680
OG0001797	CAPO305230	HUMAN22063
OG0001799	CAPO307439	HUMAN11851, HUMAN07342, HUMAN05015, HUMAN07343
OG0001800	CAPO302099, CAPO301494	HUMAN21427, HUMAN21429, HUMAN21428, HUMAN02409, HUMAN07046
OG0001801	CAPO301631	HUMAN01406, HUMAN04138, HUMAN27053, HUMAN01453
OG0001801	CAPO300406, CAPO302328, CAPO300564	HUMAN04141, HUMAN04140
OG0001802	CAPO307992	HUMAN10430, HUMAN10427, HUMAN10426
OG0001804	CAPO307706	HUMAN11697, HUMAN11700, HUMAN11696, HUMAN11695, HUMAN11698, HUMAN19866
OG0001805	CAPO301307	HUMAN06844, HUMAN04264, HUMAN06848
OG0001807	CAPO305640	HUMAN12665, HUMAN12666, HUMAN12667
OG0001808	CAPO300354	HUMAN22068, HUMAN01110
OG0001809	CAPO307543	HUMAN29140, HUMAN02152, HUMAN02151, HUMAN02153, HUMAN02155, HUMAN02158, HUMAN02157, HUMAN02156, HUMAN02154
OG0001811	CAPO304043	HUMAN17818, HUMAN13153, HUMAN06398
OG0001814	CAPO305508	HUMAN12655, HUMAN12657, HUMAN26160, HUMAN26161
OG0001816	CAPO300431	HUMAN23426, HUMAN01145, HUMAN23425, HUMAN01146, HUMAN01144, HUMAN23424
OG0001818	CAPO302088	HUMAN08932, HUMAN25133
OG0001819	CAPO307172	HUMAN26303, HUMAN26302, HUMAN17758
OG0001820	CAPO300515	HUMAN03193, HUMAN22655, HUMAN22654, HUMAN22657, HUMAN03192
OG0001822	CAPO301119	HUMAN20278, HUMAN04122, HUMAN02352, HUMAN02353, HUMAN04121
OG0001825	CAPO306238	HUMAN28268, HUMAN25258, HUMAN28269, HUMAN28270
OG0001827	CAPO303060	HUMAN29268, HUMAN29270
OG0001828	CAPO305081	HUMAN20552
OG0001830	CAPO300316	HUMAN13769, HUMAN16621
OG0001831	CAPO306824	HUMAN10191, HUMAN10190, HUMAN12366, HUMAN12368
OG0001832	CAPO300612	HUMAN10008, HUMAN10007, HUMAN01888, HUMAN10006
OG0001834	CAPO301512	HUMAN18097, HUMAN02973
OG0001849	CAPO303014	HUMAN06580, HUMAN06581, HUMAN06579, HUMAN06583, HUMAN06578
OG0001850	CAPO301689	HUMAN27413, HUMAN27412, HUMAN27410, HUMAN27411
OG0001851	CAPO303828	HUMAN21496
OG0001852	CAPO303604	HUMAN29789, HUMAN06720, HUMAN20898, HUMAN20900, HUMAN20899
OG0001857	CAPO306766	HUMAN16699, HUMAN28241
OG0001859	CAPO304942	HUMAN02067, HUMAN02068
OG0001860	CAPO306960	HUMAN03905, HUMAN03906, HUMAN03904, HUMAN16040
OG0001861	CAPO303333	HUMAN02516
OG0001861	CAPO306489	HUMAN02475
OG0001863	CAPO307080	HUMAN24744
OG0001864	CAPO300448	HUMAN13784, HUMAN13785, HUMAN19255
OG0001866	CAPO306683	HUMAN25781, HUMAN25782, HUMAN25780, HUMAN19444
OG0001867	CAPO302026	HUMAN13231, HUMAN25879, HUMAN25878, HUMAN13230
OG0001870	CAPO303422	HUMAN28292, HUMAN00640, HUMAN25247
OG0001871	CAPO300664	HUMAN07522, HUMAN27482
OG0001873	CAPO305494	HUMAN16810, HUMAN16807, HUMAN16808, HUMAN16809
OG0001875	CAPO303129	HUMAN17871
OG0001875	CAPO300770	HUMAN22698
OG0001877	CAPO305419	HUMAN08708, HUMAN25127, HUMAN02567
OG0001878	CAPO300594	HUMAN07553, HUMAN29985, HUMAN27457, HUMAN27458
OG0001879	CAPO302675	HUMAN07208
OG0001879	CAPO304068	HUMAN06063
OG0001882	CAPO302587	HUMAN12928, HUMAN17839
OG0001883	CAPO304395	HUMAN10705, HUMAN10706, HUMAN10704, HUMAN20116, HUMAN13322, HUMAN13323
OG0001886	CAPO301013	HUMAN29265, HUMAN01236
OG0001888	CAPO307373	HUMAN14663, HUMAN28454, HUMAN28455
OG0001894	CAPO300859, CAPO305070, CAPO302912, CAPO302464, CAPO305462	HUMAN24228, HUMAN24227, HUMAN24229, HUMAN03619
OG0001895	CAPO300178	HUMAN19223
OG0001898	CAPO303887	HUMAN15350, HUMAN09326
OG0001900	CAPO306468, CAPO308362	HUMAN17169, HUMAN15354, HUMAN15355, HUMAN15353
OG0001901	CAPO302174	HUMAN22953, HUMAN04090, HUMAN04089
OG0001903	CAPO301651	HUMAN25841, HUMAN25839, HUMAN25838, HUMAN25840
OG0001913	CAPO308270	HUMAN10068, HUMAN10067, HUMAN10069
OG0001914	CAPO308187	HUMAN25807, HUMAN25808, HUMAN10542, HUMAN10543
OG0001915	CAPO305922	HUMAN30648, HUMAN29662
OG0001916	CAPO304398	HUMAN08379, HUMAN08376, HUMAN08378, HUMAN15612
OG0001917	CAPO303937	HUMAN01077, HUMAN14777, HUMAN15018
OG0001919	CAPO300799	HUMAN03322
OG0001923	CAPO300364	HUMAN14644, HUMAN14642, HUMAN14921, HUMAN14920
OG0001926	CAPO308203	HUMAN01202
OG0001927	CAPO303832	HUMAN23857, HUMAN03418
OG0001928	CAPO303627	HUMAN25622
OG0001930	CAPO301567	HUMAN16720, HUMAN10045, HUMAN09875, HUMAN09876, HUMAN09873, HUMAN14916
OG0001932	CAPO304653	HUMAN21635, HUMAN29559
OG0001935	CAPO301339	HUMAN02626, HUMAN02627, HUMAN03611
OG0001937	CAPO301986	HUMAN21397
OG0001939	CAPO304703	HUMAN18875, HUMAN18876, HUMAN11453
OG0001940	CAPO307447	HUMAN07394, HUMAN07393
OG0001941	CAPO303660	HUMAN18090, HUMAN20811
OG0001943	CAPO304272	HUMAN30102, HUMAN30614, HUMAN13678, HUMAN18947, HUMAN18949, HUMAN18948, HUMAN13677
OG0001945	CAPO302125, CAPO302413	HUMAN21241, HUMAN25293
OG0001947	CAPO306182	HUMAN20996, HUMAN06249, HUMAN06248
OG0001947	CAPO302176	HUMAN20995
OG0001948	CAPO307548	HUMAN15430, HUMAN15431, HUMAN08601, HUMAN02652, HUMAN04901
OG0001949	CAPO303945	HUMAN12315, HUMAN07122, HUMAN12313, HUMAN12314
OG0001951	CAPO305792	HUMAN06387, HUMAN20627, HUMAN06388
OG0001953	CAPO306993	HUMAN12007, HUMAN12009, HUMAN10575, HUMAN12011, HUMAN12010, HUMAN12008, HUMAN10577, HUMAN10576, HUMAN10578, HUMAN10574
OG0001956	CAPO302405	HUMAN13997, HUMAN13995, HUMAN09517
OG0001957	CAPO307027	HUMAN04994, HUMAN12320, HUMAN12321, HUMAN07092, HUMAN07091
OG0001961	CAPO301591	HUMAN06222, HUMAN02307
OG0001963	CAPO304559	HUMAN01746, HUMAN09665, HUMAN28531
OG0001964	CAPO306144	HUMAN17471, HUMAN17608, HUMAN17469, HUMAN17470, HUMAN17482, HUMAN17490, HUMAN17609
OG0001965	CAPO305377	HUMAN13579, HUMAN13582, HUMAN13580, HUMAN13581, HUMAN13578, HUMAN13577
OG0001966	CAPO308069	HUMAN14884, HUMAN01261
OG0001968	CAPO303436	HUMAN03672, HUMAN29233
OG0001969	CAPO301897	HUMAN23666, HUMAN23664, HUMAN23665, HUMAN14220, HUMAN14219
OG0001972	CAPO302726	HUMAN00080, HUMAN00081
OG0001985	CAPO307425	HUMAN07334, HUMAN26445
OG0001988	CAPO301454	HUMAN28137, HUMAN28138, HUMAN28140, HUMAN28139
OG0001989	CAPO303699	HUMAN06979, HUMAN24933
OG0001992	CAPO301694	HUMAN25065, HUMAN25066, HUMAN09362
OG0001994	CAPO307422	HUMAN07229, HUMAN12231
OG0001997	CAPO301018	HUMAN08836, HUMAN08834, HUMAN08837, HUMAN00575
OG0001998	CAPO304168	HUMAN28974, HUMAN10909, HUMAN10908
OG0001999	CAPO303159	HUMAN25970, HUMAN04679
OG0002000	CAPO305912	HUMAN23473
OG0002001	CAPO301730, CAPO305766	HUMAN06657
OG0002003	CAPO306645	HUMAN09340, HUMAN17505, HUMAN09339, HUMAN09338
OG0002004	CAPO305661, CAPO300359	HUMAN01800
OG0002006	CAPO302881	HUMAN12661
OG0002007	CAPO301764	HUMAN22823, HUMAN03290
OG0002009	CAPO304107	HUMAN24651
OG0002010	CAPO303286	HUMAN20263, HUMAN13434, HUMAN13440, HUMAN10451, HUMAN10452, HUMAN13438, HUMAN13437
OG0002011	CAPO305222	HUMAN19203, HUMAN08184
OG0002014	CAPO305309	HUMAN01361, HUMAN26801, HUMAN26800, HUMAN26799, HUMAN01362, HUMAN21111
OG0002015	CAPO304377	HUMAN20193, HUMAN20194, HUMAN10277, HUMAN20192
OG0002016	CAPO300736, CAPO303360	HUMAN22594, HUMAN22595, HUMAN24384, HUMAN03045
OG0002019	CAPO303943, CAPO301189	HUMAN23213, HUMAN12701, HUMAN12700
OG0002020	CAPO301809, CAPO306607	HUMAN24224, HUMAN24223, HUMAN03621
OG0002024	CAPO300776	HUMAN02179, HUMAN02180, HUMAN29178, HUMAN29177, HUMAN29179
OG0002025	CAPO301502	HUMAN10728
OG0002026	CAPO307889, CAPO306582	HUMAN30074, HUMAN07690
OG0002027	CAPO307021	HUMAN07656, HUMAN07655, HUMAN21805
OG0002029	CAPO303181	HUMAN19340, HUMAN19571, HUMAN19572
OG0002030	CAPO303987	HUMAN01108, HUMAN14623, HUMAN14622, HUMAN14998, HUMAN28476
OG0002031	CAPO300135	HUMAN12775, HUMAN26512
OG0002032	CAPO304689	HUMAN05596, HUMAN05597
OG0002034	CAPO306318	HUMAN11051, HUMAN11052, HUMAN09233, HUMAN23167
OG0002042	CAPO300525	HUMAN03199, HUMAN03198, HUMAN03197
OG0002043	CAPO306649	HUMAN00470, HUMAN00469, HUMAN27809
OG0002061	CAPO307339	HUMAN27409, HUMAN03425, HUMAN27408
OG0002062	CAPO301382	HUMAN09834, HUMAN14941, HUMAN14940
OG0002063	CAPO302417	HUMAN28682
OG0002066	CAPO300576	HUMAN16636, HUMAN28236
OG0002067	CAPO302721	HUMAN10471, HUMAN27448, HUMAN27449, HUMAN10470, HUMAN05101, HUMAN05100, HUMAN05102, HUMAN27447, HUMAN27451, HUMAN27446, HUMAN10469
OG0002068	CAPO303650	HUMAN15824, HUMAN15821, HUMAN15825, HUMAN15822, HUMAN08936, HUMAN15827, HUMAN15826, HUMAN08934, HUMAN08935, HUMAN08933, HUMAN15823
OG0002069	CAPO306402	HUMAN28251, HUMAN28252, HUMAN28249, HUMAN18933, HUMAN18934, HUMAN28250
OG0002073	CAPO302333	HUMAN23862, HUMAN23861, HUMAN20828, HUMAN18650
OG0002074	CAPO304152	HUMAN27012
OG0002076	CAPO303117	HUMAN06613, HUMAN20823
OG0002078	CAPO302217	HUMAN13179
OG0002080	CAPO307474, CAPO307552	HUMAN07100, HUMAN12467
OG0002081	CAPO300584	HUMAN07746
OG0002084	CAPO300150	HUMAN03437, HUMAN03435, HUMAN03436, HUMAN17130, HUMAN17131
OG0002087	CAPO306536	HUMAN29203
OG0002093	CAPO304254	HUMAN25025
OG0002094	CAPO303399	HUMAN20985
OG0002097	CAPO302111	HUMAN22005, HUMAN29689, HUMAN22006, HUMAN22007
OG0002099	CAPO306675	HUMAN18988
OG0002101	CAPO307803	HUMAN28559, HUMAN28561, HUMAN28560, HUMAN28558
OG0002103	CAPO305235	HUMAN04751, HUMAN30155, HUMAN30139, HUMAN30145, HUMAN30144
OG0002106	CAPO300071	HUMAN23038
OG0002108	CAPO303834	HUMAN17009, HUMAN25939, HUMAN08879
OG0002122	CAPO300191	HUMAN09148, HUMAN24144, HUMAN09147, HUMAN09151
OG0002124	CAPO300980	HUMAN28973
OG0002129	CAPO305068	HUMAN05263, HUMAN19676, HUMAN30581, HUMAN22903, HUMAN22904
OG0002130	CAPO301943	HUMAN16683
OG0002131	CAPO302159	HUMAN28897, HUMAN28898
OG0002135	CAPO300616, CAPO300802	HUMAN00505, HUMAN01477, HUMAN25525
OG0002136	CAPO300292	HUMAN24058, HUMAN22755, HUMAN03530, HUMAN03529
OG0002137	CAPO306593	HUMAN16869, HUMAN21685
OG0002138	CAPO304101	HUMAN06987, HUMAN06986
OG0002140	CAPO300489	HUMAN25637, HUMAN25635, HUMAN27866, HUMAN27867, HUMAN27865, HUMAN25636
OG0002141	CAPO300491	HUMAN07727, HUMAN22320, HUMAN22319
OG0002144	CAPO308205	HUMAN07163, HUMAN10788, HUMAN10789, HUMAN07164, HUMAN07161
OG0002145	CAPO305963	HUMAN06915, HUMAN06914
OG0002146	CAPO303694	HUMAN26928, HUMAN20884
OG0002147	CAPO307247	HUMAN21834, HUMAN21835, HUMAN21833
OG0002148	CAPO301311	HUMAN09309, HUMAN16972
OG0002150	CAPO305991	HUMAN23646, HUMAN10063
OG0002151	CAPO300513	HUMAN13474, HUMAN13473
OG0002152	CAPO305214	HUMAN29898, HUMAN29896, HUMAN06918, HUMAN24926
OG0002156	CAPO307789	HUMAN23074
OG0002158	CAPO300426	HUMAN24486, HUMAN24482, HUMAN24481, HUMAN24484, HUMAN24483
OG0002159	CAPO301618	HUMAN04258, HUMAN16343
OG0002160	CAPO306354	HUMAN30547, HUMAN30546, HUMAN08352, HUMAN30545, HUMAN30548, HUMAN30549, HUMAN30550
OG0002166	CAPO300536	HUMAN07297, HUMAN26751, HUMAN10918, HUMAN10916
OG0002168	CAPO305846	HUMAN28277, HUMAN28276, HUMAN28275, HUMAN17195
OG0002169	CAPO305188, CAPO305186	HUMAN17132, HUMAN03434
OG0002170	CAPO306065	HUMAN23741, HUMAN16364
OG0002171	CAPO300657	HUMAN18925, HUMAN08132, HUMAN18929
OG0002172	CAPO300117	HUMAN05082, HUMAN21374, HUMAN21373
OG0002173	CAPO300163	HUMAN23179, HUMAN01775, HUMAN09844, HUMAN09843
OG0002177	CAPO303715	HUMAN15512, HUMAN25741, HUMAN08516
OG0002178	CAPO300762	HUMAN24840
OG0002179	CAPO301344	HUMAN25017, HUMAN25015, HUMAN25016
OG0002182	CAPO300304	HUMAN26866, HUMAN01426, HUMAN26865, HUMAN26864
OG0002184	CAPO302808	HUMAN23481, HUMAN14768
OG0002185	CAPO306894	HUMAN11287, HUMAN11285, HUMAN11271
OG0002187	CAPO303260	HUMAN29354
OG0002188	CAPO307308	HUMAN18175
OG0002189	CAPO302919, CAPO302901	HUMAN09640
OG0002190	CAPO305794	HUMAN15760, HUMAN05616, HUMAN21255, HUMAN21256
OG0002191	CAPO306349	HUMAN20700, HUMAN06414, HUMAN17809
OG0002193	CAPO307827, CAPO303661	HUMAN00932
OG0002194	CAPO306073	HUMAN19741, HUMAN19740, HUMAN05114, HUMAN19742
OG0002199	CAPO306236, CAPO308165	HUMAN03853, HUMAN05772, HUMAN05773
OG0002201	CAPO305256	HUMAN11420, HUMAN11419, HUMAN11421, HUMAN24520
OG0002202	CAPO305145	HUMAN08958
OG0002216	CAPO308083	HUMAN26776
OG0002217	CAPO303403	HUMAN18668, HUMAN18667
OG0002219	CAPO301953	HUMAN16735, HUMAN16736, HUMAN16734
OG0002222	CAPO300961	HUMAN18518
OG0002224	CAPO304952	HUMAN03121, HUMAN26274
OG0002225	CAPO301769	HUMAN15442, HUMAN15441, HUMAN04945, HUMAN04946
OG0002226	CAPO307804	HUMAN14861, HUMAN14859, HUMAN22446
OG0002227	CAPO307820, CAPO307799	HUMAN28363, HUMAN28362, HUMAN28361
OG0002228	CAPO301630, CAPO300068	HUMAN13403, HUMAN15939
OG0002229	CAPO308040	HUMAN19714
OG0002235	CAPO303035	HUMAN17190, HUMAN24315, HUMAN24316, HUMAN27517
OG0002237	CAPO306506	HUMAN00596, HUMAN05367, HUMAN25446
OG0002239	CAPO303809	HUMAN01599
OG0002239	CAPO301966	HUMAN10125, HUMAN23236
OG0002240	CAPO306707	HUMAN21965, HUMAN21964, HUMAN21963
OG0002241	CAPO303979	HUMAN20013, HUMAN24854, HUMAN20014
OG0002243	CAPO301335, CAPO300484	HUMAN24387, HUMAN17085
OG0002244	CAPO303840	HUMAN30021, HUMAN30020, HUMAN28593
OG0002245	CAPO302737	HUMAN12770, HUMAN05328
OG0002246	CAPO301929	HUMAN09200, HUMAN01582, HUMAN23227, HUMAN23228
OG0002251	CAPO302537	HUMAN22625, HUMAN27738
OG0002252	CAPO304306	HUMAN06074, HUMAN13562, HUMAN13563, HUMAN13561, HUMAN10150, HUMAN10149
OG0002255	CAPO301475, CAPO302337	HUMAN15235, HUMAN15234, HUMAN19154
OG0002257	CAPO303721	HUMAN16801, HUMAN09320, HUMAN16802
OG0002258	CAPO302229	HUMAN22190
OG0002261	CAPO303559	HUMAN26610, HUMAN26609
OG0002263	CAPO304694	HUMAN21617
OG0002264	CAPO304810	HUMAN30321, HUMAN00757
OG0002266	CAPO307392	HUMAN13024, HUMAN13023, HUMAN13025
OG0002270	CAPO302042	HUMAN17941, HUMAN20351
OG0002272	CAPO301905	HUMAN28420
OG0002279	CAPO304874	HUMAN07773, HUMAN17618
OG0002282	CAPO300014	HUMAN14852, HUMAN24776, HUMAN24779, HUMAN24778, HUMAN24777
OG0002284	CAPO304167	HUMAN28860, HUMAN01016
OG0002285	CAPO305012	HUMAN26249, HUMAN26250, HUMAN26248, HUMAN26247, HUMAN03480
OG0002287	CAPO306430	HUMAN19237, HUMAN13819, HUMAN19236
OG0002288	CAPO306855	HUMAN22780, HUMAN23814
OG0002292	CAPO308118, CAPO308288	HUMAN20567
OG0002292	CAPO301471	HUMAN04304
OG0002293	CAPO302207	HUMAN25669, HUMAN29640, HUMAN00645, HUMAN25668
OG0002294	CAPO300522	HUMAN28915, HUMAN01132
OG0002296	CAPO307746	HUMAN03478, HUMAN03479
OG0002297	CAPO307845	HUMAN00943
OG0002312	CAPO305339	HUMAN03791, HUMAN24016
OG0002316	CAPO302192	HUMAN00675, HUMAN00674, HUMAN29642, HUMAN29641
OG0002317	CAPO301129	HUMAN08597, HUMAN15545, HUMAN02658, HUMAN04899
OG0002318	CAPO302292	HUMAN14764
OG0002321	CAPO300390	HUMAN17177
OG0002322	CAPO300979	HUMAN10133, HUMAN13407, HUMAN13408
OG0002323	CAPO308299	HUMAN26717, HUMAN26716
OG0002324	CAPO301866	HUMAN26593
OG0002325	CAPO300458	HUMAN15321, HUMAN15322, HUMAN19341, HUMAN19574
OG0002326	CAPO302239	HUMAN08506, HUMAN25742
OG0002327	CAPO302954	HUMAN30541, HUMAN23011, HUMAN21036, HUMAN30542
OG0002330	CAPO300172	HUMAN19770, HUMAN11705, HUMAN11704
OG0002331	CAPO302246	HUMAN19166, HUMAN14100, HUMAN14101
OG0002332	CAPO300761	HUMAN22581, HUMAN17089, HUMAN17088
OG0002337	CAPO307155	HUMAN07216, HUMAN13125, HUMAN07217
OG0002340	CAPO307906	HUMAN27845, HUMAN27848, HUMAN07989, HUMAN27846
OG0002341	CAPO300617	HUMAN03984
OG0002343	CAPO303889	HUMAN03892, HUMAN19683
OG0002344	CAPO307434	HUMAN11772, HUMAN07290, HUMAN07289
OG0002345	CAPO304277	HUMAN04408, HUMAN20313, HUMAN04406, HUMAN04409, HUMAN04407
OG0002346	CAPO307106	HUMAN20281, HUMAN04431, HUMAN04432
OG0002348	CAPO302095	HUMAN08458, HUMAN04091
OG0002354	CAPO306383	HUMAN13758, HUMAN19183, HUMAN19184
OG0002356	CAPO305051	HUMAN05813, HUMAN16034
OG0002357	CAPO302341	HUMAN25726
OG0002358	CAPO307788	HUMAN02384, HUMAN06090, HUMAN04218, HUMAN02383
OG0002359	CAPO302128	HUMAN09276, HUMAN09278, HUMAN09279, HUMAN09277
OG0002361	CAPO304727	HUMAN18700, HUMAN08727
OG0002362	CAPO301902	HUMAN14238, HUMAN28776, HUMAN09925, HUMAN14237
OG0002363	CAPO302980	HUMAN10308, HUMAN13337
OG0002364	CAPO306488	HUMAN11399, HUMAN11400
OG0002367	CAPO304316	HUMAN23440, HUMAN23441
OG0002368	CAPO301447	HUMAN08785, HUMAN08788, HUMAN16937, HUMAN08786, HUMAN08787
OG0002369	CAPO301279	HUMAN08931
OG0002370	CAPO303015	HUMAN16385
OG0002371	CAPO304426	HUMAN02548, HUMAN08900
OG0002372	CAPO303540	HUMAN10836, HUMAN10835
OG0002373	CAPO306145	HUMAN09022, HUMAN09023, HUMAN25099, HUMAN25100
