Orthogroup	CAPO3	HUMAN
OG0000062	CAPO300910	HUMAN29104, HUMAN14474, HUMAN24841, HUMAN24843, HUMAN05951, HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195, HUMAN25285
OG0000063	CAPO300270	HUMAN14398, HUMAN28499, HUMAN00858, HUMAN21099, HUMAN00859, HUMAN28501, HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	CAPO308057	HUMAN29798
OG0000069	CAPO301523, CAPO305173	HUMAN13360, HUMAN02573, HUMAN06204
OG0000079	CAPO302518	HUMAN14194, HUMAN14192
OG0000082	CAPO304738	HUMAN29167
OG0000082	CAPO306626	HUMAN23869
OG0000082	CAPO300843	HUMAN24823, HUMAN24822, HUMAN24821, HUMAN02032, HUMAN08513, HUMAN05645
OG0000085	CAPO303061	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	CAPO303047	HUMAN13119, HUMAN07215, HUMAN10861, HUMAN26172, HUMAN30084, HUMAN01484, HUMAN25335, HUMAN25334, HUMAN19734, HUMAN19733, HUMAN05027, HUMAN07214, HUMAN13120, HUMAN25832, HUMAN02095, HUMAN02096
OG0000089	CAPO300386, CAPO300810, CAPO302098	HUMAN21235, HUMAN29653, HUMAN25674, HUMAN25675
OG0000096	CAPO301431	HUMAN01418, HUMAN23507, HUMAN06774
OG0000096	CAPO307955	HUMAN06336, HUMAN27289
OG0000096	CAPO307522	HUMAN13889, HUMAN01832
OG0000096	CAPO300294	HUMAN06142, HUMAN01455, HUMAN03867, HUMAN06143, HUMAN03866
OG0000096	CAPO307017	HUMAN04200, HUMAN04201, HUMAN16028, HUMAN21561
OG0000101	CAPO306858	HUMAN11236, HUMAN11477, HUMAN11479, HUMAN11478, HUMAN22036, HUMAN22037, HUMAN06575, HUMAN06643, HUMAN06644, HUMAN06642, HUMAN17830
OG0000103	CAPO302453	HUMAN12034, HUMAN12033, HUMAN12032, HUMAN12035, HUMAN12031, HUMAN12036, HUMAN08164, HUMAN08165, HUMAN21265, HUMAN18888, HUMAN16070, HUMAN12012, HUMAN10579, HUMAN20080
OG0000106	CAPO300017	HUMAN01590, HUMAN11182, HUMAN29629, HUMAN29628, HUMAN11556, HUMAN27976, HUMAN27977, HUMAN27979, HUMAN27978, HUMAN27844, HUMAN13103, HUMAN13104, HUMAN13105, HUMAN01589, HUMAN09602
OG0000107	CAPO301524	HUMAN24662
OG0000110	CAPO300387	HUMAN07521, HUMAN12253, HUMAN12252
OG0000116	CAPO305622	HUMAN18678
OG0000119	CAPO301188, CAPO306668	HUMAN12951
OG0000119	CAPO304642	HUMAN17875, HUMAN06568, HUMAN12949, HUMAN17960, HUMAN06534, HUMAN02909, HUMAN12779, HUMAN17940, HUMAN20669, HUMAN06569
