transcript_id	gene_id
rna-XM_035822972.1	LOC118417405
rna-XM_035822987.1	LOC118417405
rna-XM_035823003.1	LOC118417405
rna-XM_035822964.1	LOC118417405
rna-XM_035822980.1	LOC118417405
rna-XM_035822995.1	LOC118417405
rna-XM_035807886.1	LOC118407381
rna-XM_035807958.1	LOC118407381
rna-XM_035829693.1	LOC118422173
rna-XM_035831491.1	LOC118423371
rna-XM_035819457.1	LOC118415059
rna-XM_035831618.1	LOC118423452
rna-XM_035831641.1	LOC118423469
rna-XM_035818932.1	LOC118414714
rna-XM_035818941.1	LOC118414714
rna-XM_035818923.1	LOC118414714
rna-XM_035818916.1	LOC118414714
rna-XM_035835823.1	LOC118426422
rna-XM_035835807.1	LOC118426422
rna-XM_035835815.1	LOC118426422
rna-XM_035835800.1	LOC118426422
rna-XM_035831654.1	LOC118423477
rna-XM_035824425.1	LOC118418478
rna-XM_035831669.1	LOC118423496
rna-XM_035831883.1	LOC118423646
rna-XM_035833564.1	LOC118424787
rna-XM_035833572.1	LOC118424787
rna-XM_035833578.1	LOC118424787
rna-XM_035831918.1	LOC118423686
rna-XM_035831919.1	LOC118423702
rna-XM_035831997.1	LOC118423775
rna-XM_035832086.1	LOC118423820
rna-XM_035811246.1	LOC118409874
rna-XM_035811235.1	LOC118409859
rna-XM_035811226.1	LOC118409859
rna-XM_035811208.1	LOC118409839
rna-XM_035811200.1	LOC118409839
rna-XM_035811216.1	LOC118409839
rna-XM_035832215.1	LOC118423895
rna-XM_035832240.1	LOC118423921
rna-XM_035832285.1	LOC118423952
rna-XM_035823282.1	LOC118417618
rna-XM_035823232.1	LOC118417618
rna-XM_035823240.1	LOC118417618
rna-XM_035823247.1	LOC118417618
rna-XM_035823255.1	LOC118417618
rna-XM_035823263.1	LOC118417618
rna-XM_035823290.1	LOC118417618
rna-XM_035823308.1	LOC118417618
rna-XM_035823273.1	LOC118417618
rna-XM_035823299.1	LOC118417618
rna-XM_035828802.1	LOC118421487
rna-XM_035830652.1	LOC118422844
rna-XM_035830636.1	LOC118422841
rna-XM_035830661.1	LOC118422850
rna-XM_035831132.1	LOC118423108
rna-XM_035831116.1	LOC118423108
rna-XM_035831107.1	LOC118423108
rna-XM_035831124.1	LOC118423108
rna-XM_035831145.1	LOC118423108
rna-XM_035831138.1	LOC118423108
rna-XM_035839036.1	LOC118428814
rna-XM_035839061.1	LOC118428832
rna-XM_035839048.1	LOC118428823
rna-XM_035832354.1	LOC118423983
rna-XM_035829433.1	LOC118421926
rna-XM_035829440.1	LOC118421926
rna-XM_035832387.1	LOC118424003
rna-XM_035818470.1	LOC118414435
rna-XM_035818490.1	LOC118414441
rna-XM_035818482.1	LOC118414441
rna-XM_035839227.1	LOC118428929
rna-XM_035833715.1	LOC118424906
rna-XM_035832402.1	LOC118424008
rna-XM_035832481.1	LOC118424035
rna-XM_035832612.1	LOC118424120
rna-XM_035836980.1	LOC118427283
rna-XM_035840613.1	LOC118429958
rna-XM_035840601.1	LOC118429949
rna-XM_035840672.1	LOC118429993
rna-XM_035832626.1	LOC118424127
rna-XM_035840589.1	LOC118429938
rna-XM_035840643.1	LOC118429981
rna-XM_035840634.1	LOC118429981
rna-XM_035840620.1	LOC118429970
rna-XM_035840709.1	LOC118430002
rna-XM_035840691.1	LOC118430002
rna-XM_035840699.1	LOC118430002
rna-XM_035840684.1	LOC118430002
rna-XM_035840656.1	LOC118429991
rna-XM_035828142.1	LOC118421006
rna-XM_035828150.1	LOC118421006
rna-XM_035834887.1	LOC118425794
rna-XM_035834858.1	LOC118425776
rna-XM_035834875.1	LOC118425776
rna-XM_035834868.1	LOC118425776
rna-XM_035832730.1	LOC118424190
rna-XM_035834908.1	LOC118425803
rna-XM_035834899.1	LOC118425803
rna-XM_035834931.1	LOC118425825
rna-XM_035834919.1	LOC118425818
rna-XM_035838262.1	LOC118428218
rna-XM_035832866.1	LOC118424318
rna-XM_035810656.1	LOC118429978
rna-XM_035809188.1	LOC118429978
rna-XM_035801442.1	LOC118429978
rna-XM_035811881.1	LOC118410030
rna-XM_035811754.1	LOC118410200
rna-XM_035832760.1	LOC118424218
rna-XM_035832917.1	LOC118424365
rna-XM_035810775.1	LOC118409622
rna-XM_035810735.1	LOC118409594
rna-XM_035810726.1	LOC118409594
rna-XM_035810743.1	LOC118409594
rna-XM_035810757.1	LOC118409611
rna-XM_035810766.1	LOC118409611
rna-XM_035832946.1	LOC118424396
rna-XM_035833028.1	LOC118424456
rna-XM_035833401.1	LOC118424708
rna-XM_035833420.1	LOC118424708
rna-XM_035833393.1	LOC118424708
rna-XM_035833411.1	LOC118424708
rna-XM_035829201.1	LOC118421655
rna-XM_035829165.1	LOC118421655
rna-XM_035829111.1	LOC118421655
rna-XM_035829192.1	LOC118421655
rna-XM_035829156.1	LOC118421655
rna-XM_035829174.1	LOC118421655
rna-XM_035829133.1	LOC118421655
rna-XM_035829184.1	LOC118421655
rna-XM_035829124.1	LOC118421655
rna-XM_035829140.1	LOC118421655
rna-XM_035829094.1	LOC118421655
rna-XM_035829118.1	LOC118421655
rna-XM_035829147.1	LOC118421655
rna-XM_035829104.1	LOC118421655
rna-XM_035829211.1	LOC118421655
rna-XM_035829224.1	LOC118421724
rna-XM_035829232.1	LOC118421724
rna-XM_035833038.1	LOC118424466
rna-XM_035829243.1	LOC118421739
rna-XM_035829253.1	LOC118421749
rna-XM_035829261.1	LOC118421749
rna-XM_035833073.1	LOC118424494
rna-XM_035823725.1	LOC118417957
rna-XM_035829882.1	LOC118422359
rna-XM_035830206.1	LOC118422572
rna-XM_035830362.1	LOC118422671
rna-XM_035830426.1	LOC118422710
rna-XM_035830193.1	LOC118422562
rna-XM_035830126.1	LOC118422480
rna-XM_035830119.1	LOC118422480
rna-XM_035830101.1	LOC118422480
rna-XM_035830109.1	LOC118422480
rna-XM_035830093.1	LOC118422480
rna-XM_035830164.1	LOC118422535
rna-XM_035830172.1	LOC118422535
rna-XM_035830002.1	LOC118422436
rna-XM_035830011.1	LOC118422436
rna-XM_035830183.1	LOC118422551
rna-XM_035830387.1	LOC118422688
rna-XM_035830263.1	LOC118422612
rna-XM_035830306.1	LOC118422644
rna-XM_035829900.1	LOC118422370
rna-XM_035829893.1	LOC118422370
rna-XM_035829915.1	LOC118422370
rna-XM_035829907.1	LOC118422370
rna-XM_035829922.1	LOC118422370
rna-XM_035829987.1	LOC118422370
rna-XM_035829959.1	LOC118422370
rna-XM_035829995.1	LOC118422370
rna-XM_035829978.1	LOC118422370
rna-XM_035829940.1	LOC118422370
rna-XM_035829932.1	LOC118422370
rna-XM_035829949.1	LOC118422370
rna-XM_035829968.1	LOC118422370
rna-XM_035830083.1	LOC118422473
rna-XM_035830320.1	LOC118422651
