Orthogroup	ORYLA	XENTR
OG0000037	ORYLA15954	XENTR10865
OG0000037	ORYLA02209, ORYLA10771, ORYLA11448	XENTR10696
OG0000037	ORYLA04725	XENTR18131
OG0000038	ORYLA04512	XENTR06225
OG0000038	ORYLA16141	XENTR06223
OG0000038	ORYLA06128	XENTR13297
OG0000038	ORYLA08393, ORYLA09754	XENTR04206
OG0000039	ORYLA13584	XENTR03946
OG0000039	ORYLA13588	XENTR03945
OG0000039	ORYLA07496	XENTR17227
OG0000039	ORYLA05812, ORYLA00801, ORYLA00802	XENTR17697
OG0000040	ORYLA15343	XENTR14058
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	XENTR18548, XENTR04218, XENTR04219, XENTR10472, XENTR10474, XENTR10473
OG0000041	ORYLA07969	XENTR16713
OG0000041	ORYLA14839	XENTR17286
OG0000041	ORYLA15678, ORYLA15677	XENTR02569
OG0000041	ORYLA16345, ORYLA07970	XENTR12683
OG0000041	ORYLA13989, ORYLA15806	XENTR11379
OG0000041	ORYLA13990, ORYLA15807	XENTR11378
OG0000041	ORYLA14735, ORYLA19535	XENTR01609
OG0000041	ORYLA15808	XENTR11377
OG0000041	ORYLA14736, ORYLA19536	XENTR01610
OG0000041	ORYLA12118	XENTR10042
OG0000041	ORYLA13695	XENTR03001
OG0000041	ORYLA09068	XENTR09331
OG0000041	ORYLA11484	XENTR13929
OG0000041	ORYLA11472	XENTR05159
OG0000041	ORYLA19350	XENTR10869
OG0000042	ORYLA12797, ORYLA10877, ORYLA10878	XENTR01504
OG0000043	ORYLA04209	XENTR06023, XENTR06022
OG0000043	ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854	XENTR15011
OG0000043	ORYLA03388	XENTR13561, XENTR13559
OG0000044	ORYLA04503	XENTR08740
OG0000044	ORYLA10718	XENTR08871
OG0000044	ORYLA02275, ORYLA17868	XENTR02238
OG0000044	ORYLA05261	XENTR13100
OG0000044	ORYLA01286	XENTR01628
OG0000044	ORYLA09105, ORYLA12800	XENTR00688
OG0000044	ORYLA05288	XENTR04256
OG0000045	ORYLA02935	XENTR14513
OG0000045	ORYLA02913	XENTR06990
OG0000046	ORYLA00520	XENTR04959
OG0000046	ORYLA07200, ORYLA07202, ORYLA07201	XENTR03550, XENTR03551
OG0000046	ORYLA01168	XENTR11781, XENTR11780
OG0000046	ORYLA06050	XENTR17457, XENTR17456, XENTR17458, XENTR16941
OG0000046	ORYLA18815	XENTR17142
OG0000046	ORYLA05911	XENTR08235, XENTR05674
OG0000048	ORYLA19472	XENTR03701
OG0000048	ORYLA03737, ORYLA03687	XENTR11111
OG0000048	ORYLA17217	XENTR01169
OG0000048	ORYLA14101	XENTR18412
OG0000048	ORYLA08002	XENTR04117
OG0000048	ORYLA11420	XENTR05160
OG0000049	ORYLA11559, ORYLA19044	XENTR00212
OG0000049	ORYLA04067, ORYLA03584	XENTR08482
OG0000049	ORYLA13704, ORYLA13828	XENTR07031
OG0000049	ORYLA15018	XENTR06401
OG0000049	ORYLA11032, ORYLA11031	XENTR01319
OG0000049	ORYLA20256, ORYLA14320	XENTR18684
OG0000049	ORYLA15871	XENTR07961
OG0000049	ORYLA11029	XENTR07960
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	XENTR09745, XENTR16766, XENTR16795
OG0000053	ORYLA12857	XENTR00094
OG0000054	ORYLA00519	XENTR04962, XENTR04961
OG0000054	ORYLA05953	XENTR00035, XENTR00034, XENTR00033, XENTR00032
