Orthogroup	ORYLA	SACKO_ok
OG0000002	ORYLA13467, ORYLA16691	SACKO_00245, SACKO_00252
OG0000005	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142
OG0000005	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160	SACKO_22081, SACKO_22108, SACKO_22102
OG0000006	ORYLA04794	SACKO_25366, SACKO_23311, SACKO_02952
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	SACKO_11503
OG0000006	ORYLA20407, ORYLA03595	SACKO_02616
OG0000006	ORYLA13382	SACKO_13650
OG0000006	ORYLA10511, ORYLA11827	SACKO_23250
OG0000006	ORYLA16517	SACKO_15817
OG0000006	ORYLA16515	SACKO_15812
OG0000006	ORYLA17394	SACKO_32444
OG0000006	ORYLA05082	SACKO_12590, SACKO_14761, SACKO_02017
OG0000006	ORYLA13656, ORYLA07153, ORYLA02533	SACKO_32500
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	SACKO_06429
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	SACKO_20803
OG0000006	ORYLA04691	SACKO_32388
OG0000007	ORYLA13334	SACKO_33112
OG0000007	ORYLA14937, ORYLA17526	SACKO_16486
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	SACKO_25751
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	SACKO_17363
OG0000007	ORYLA00451, ORYLA13596	SACKO_07507
OG0000007	ORYLA10719	SACKO_03410
OG0000007	ORYLA15197	SACKO_33128
OG0000007	ORYLA09030	SACKO_15684
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	SACKO_22717
OG0000007	ORYLA13010	SACKO_04591
OG0000007	ORYLA03471, ORYLA17615	SACKO_27771
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	SACKO_27817
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	SACKO_00927
OG0000007	ORYLA16317	SACKO_02233
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	SACKO_31102, SACKO_31073
OG0000007	ORYLA10158, ORYLA04736	SACKO_11981
OG0000008	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477, ORYLA00582	SACKO_05714, SACKO_03429
OG0000008	ORYLA18857	SACKO_10317
OG0000010	ORYLA09104, ORYLA13024	SACKO_30054
OG0000010	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309	SACKO_31740
OG0000010	ORYLA18230	SACKO_19852, SACKO_19839, SACKO_20088
OG0000012	ORYLA07628	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565
OG0000012	ORYLA15199	SACKO_01736
