Orthogroup	ORYLA	SCHMD
OG0001092	ORYLA00474	SCHMD17999
OG0001092	ORYLA00476	SCHMD18945
OG0001093	ORYLA01792, ORYLA08189, ORYLA17127, ORYLA09876	SCHMD16772
OG0001094	ORYLA10145, ORYLA01044, ORYLA11275, ORYLA05201	SCHMD01339, SCHMD02841, SCHMD07133, SCHMD16607, SCHMD02809, SCHMD26909, SCHMD21662
OG0001096	ORYLA08777, ORYLA09557	SCHMD11467, SCHMD14874
OG0001101	ORYLA10929	SCHMD06917, SCHMD18684, SCHMD23170, SCHMD18685
OG0001102	ORYLA05217	SCHMD06311
OG0001108	ORYLA14450, ORYLA18375	SCHMD08133
OG0001112	ORYLA12894, ORYLA09914, ORYLA08799	SCHMD26529, SCHMD08447
OG0001113	ORYLA16987	SCHMD04717
OG0001113	ORYLA03611	SCHMD10085
OG0001113	ORYLA00138	SCHMD08665, SCHMD03992
OG0001114	ORYLA12632, ORYLA12633, ORYLA14795, ORYLA05778	SCHMD27710, SCHMD15592, SCHMD14156
OG0001116	ORYLA08841	SCHMD19491
OG0001116	ORYLA16423, ORYLA08216	SCHMD04023
OG0001117	ORYLA06972, ORYLA06971, ORYLA14305	SCHMD18856
OG0001118	ORYLA10960	SCHMD22443
OG0001121	ORYLA05153, ORYLA20092	SCHMD18066, SCHMD06995, SCHMD25343, SCHMD23015, SCHMD06994
OG0001123	ORYLA09262	SCHMD02756
OG0001123	ORYLA17704	SCHMD02755, SCHMD22573, SCHMD28528, SCHMD01636, SCHMD08373
OG0001124	ORYLA08277, ORYLA02278	SCHMD24013
OG0001126	ORYLA07447	SCHMD17192
OG0001127	ORYLA20099	SCHMD06664
OG0001128	ORYLA04096, ORYLA11339, ORYLA10410, ORYLA03669	SCHMD08323
OG0001129	ORYLA15169, ORYLA12442	SCHMD15504, SCHMD18282, SCHMD05846
OG0001133	ORYLA01655	SCHMD18643
OG0001133	ORYLA02500	SCHMD29299, SCHMD19714
OG0001135	ORYLA16838, ORYLA16856	SCHMD28946
OG0001136	ORYLA13203, ORYLA06530, ORYLA12133	SCHMD09640
OG0001137	ORYLA03842	SCHMD17448, SCHMD26312, SCHMD05464, SCHMD01243
OG0001138	ORYLA14334, ORYLA15755, ORYLA09204, ORYLA06399, ORYLA09997	SCHMD00170
OG0001139	ORYLA15805, ORYLA14857, ORYLA11008	SCHMD00334
OG0001140	ORYLA05368, ORYLA02157, ORYLA10675	SCHMD22679, SCHMD17712, SCHMD14631, SCHMD02111, SCHMD16673, SCHMD18031, SCHMD24981, SCHMD17350, SCHMD11695, SCHMD21848, SCHMD22963, SCHMD14630, SCHMD17713, SCHMD26239, SCHMD04472
OG0001141	ORYLA02472, ORYLA17498	SCHMD02981, SCHMD09902, SCHMD11211, SCHMD15344, SCHMD18658
OG0001142	ORYLA07693	SCHMD12785, SCHMD19807, SCHMD09379
OG0001143	ORYLA11035, ORYLA12195, ORYLA06058	SCHMD05178
OG0001146	ORYLA13499, ORYLA13500, ORYLA15595, ORYLA07425	SCHMD06189
OG0001149	ORYLA01670, ORYLA13258	SCHMD16336, SCHMD29633
OG0001155	ORYLA02504, ORYLA02505	SCHMD01897
OG0001156	ORYLA14447, ORYLA15424, ORYLA17150, ORYLA10003	SCHMD11390
OG0001158	ORYLA13950, ORYLA15560, ORYLA06290, ORYLA20120	SCHMD01514, SCHMD06104, SCHMD00376
OG0001160	ORYLA18207	SCHMD20666
OG0001161	ORYLA14942, ORYLA12582, ORYLA02883	SCHMD27832, SCHMD10429, SCHMD10428
OG0001162	ORYLA03278, ORYLA04547, ORYLA08795	SCHMD04355, SCHMD04356
OG0001164	ORYLA06374	SCHMD22065
OG0001165	ORYLA11504	SCHMD11819
OG0001165	ORYLA09619	SCHMD07378, SCHMD22157, SCHMD03644, SCHMD08052, SCHMD12131
OG0001167	ORYLA10169, ORYLA12428, ORYLA04713	SCHMD08043, SCHMD04406
OG0001168	ORYLA14387	SCHMD13073
OG0001172	ORYLA08914, ORYLA06213, ORYLA09461	SCHMD19335
OG0001175	ORYLA17323, ORYLA17834, ORYLA02704	SCHMD18473
OG0001176	ORYLA14922	SCHMD14886
OG0001178	ORYLA12858	SCHMD07684
OG0001178	ORYLA09479	SCHMD13713
OG0001179	ORYLA14131	SCHMD26379
OG0001181	ORYLA09302, ORYLA06967, ORYLA16422	SCHMD21797
OG0001183	ORYLA01780	SCHMD25354, SCHMD18351, SCHMD24868, SCHMD15726, SCHMD18352, SCHMD01499, SCHMD23054, SCHMD29166, SCHMD15725
OG0001183	ORYLA16340, ORYLA08337	SCHMD02325
OG0001184	ORYLA01867	SCHMD12752
OG0001184	ORYLA12325	SCHMD29753, SCHMD15110, SCHMD23640
OG0001185	ORYLA01991, ORYLA19744, ORYLA04885	SCHMD23236
OG0001186	ORYLA06474, ORYLA12462, ORYLA14584	SCHMD20610
OG0001186	ORYLA12305	SCHMD05037
OG0001188	ORYLA04742	SCHMD05963, SCHMD14167
OG0001189	ORYLA20265, ORYLA15490, ORYLA10691, ORYLA11979, ORYLA07034	SCHMD17573, SCHMD27159, SCHMD05552
OG0001191	ORYLA00416, ORYLA17734, ORYLA04735, ORYLA08358, ORYLA01217, ORYLA03865	SCHMD11387
OG0001193	ORYLA06669	SCHMD12958, SCHMD22452, SCHMD02700, SCHMD19896, SCHMD17670, SCHMD09694, SCHMD27509, SCHMD10677, SCHMD09180, SCHMD00362, SCHMD21792, SCHMD04316, SCHMD11407, SCHMD03239, SCHMD21281, SCHMD12921, SCHMD15927, SCHMD20908, SCHMD01832, SCHMD05239, SCHMD07556, SCHMD12326, SCHMD10433, SCHMD14912, SCHMD12015, SCHMD00712, SCHMD22176, SCHMD21183, SCHMD17249, SCHMD00775, SCHMD00226, SCHMD16468, SCHMD10676, SCHMD04602, SCHMD03712, SCHMD15498, SCHMD06416, SCHMD28037, SCHMD18646, SCHMD26455, SCHMD10614, SCHMD20982, SCHMD07377, SCHMD14926, SCHMD28029, SCHMD00163, SCHMD18413, SCHMD10104, SCHMD20192, SCHMD12959, SCHMD20223, SCHMD00045, SCHMD17962, SCHMD26085, SCHMD03128, SCHMD23419, SCHMD00363, SCHMD17671, SCHMD02699, SCHMD26368, SCHMD21791, SCHMD21300, SCHMD29384, SCHMD15837, SCHMD11488
OG0001197	ORYLA13277	SCHMD06230
OG0001197	ORYLA01817, ORYLA05607, ORYLA09693	SCHMD16253
OG0001198	ORYLA15126	SCHMD25694, SCHMD06964
OG0001198	ORYLA15038	SCHMD04078
OG0001199	ORYLA11679	SCHMD17830
OG0001201	ORYLA15310	SCHMD18644
OG0001204	ORYLA04102, ORYLA03247	SCHMD08657, SCHMD22624, SCHMD10325
OG0001207	ORYLA10023, ORYLA09156, ORYLA16388, ORYLA08504	SCHMD07731
OG0001208	ORYLA06825, ORYLA09868, ORYLA01795	SCHMD11671, SCHMD13440, SCHMD22806
OG0001209	ORYLA07316, ORYLA00319	SCHMD22043, SCHMD28492
OG0001210	ORYLA11799	SCHMD19441
OG0001213	ORYLA08112	SCHMD01086
OG0001213	ORYLA02321	SCHMD23993
OG0001214	ORYLA09019	SCHMD22221
OG0001215	ORYLA06541, ORYLA08559, ORYLA09761, ORYLA09762, ORYLA16114, ORYLA14222	SCHMD25774
OG0001216	ORYLA12067, ORYLA15267	SCHMD13349
OG0001217	ORYLA04237, ORYLA01368, ORYLA10596, ORYLA10595	SCHMD18537
OG0001217	ORYLA10337	SCHMD21187, SCHMD21148
OG0001218	ORYLA05869, ORYLA01891, ORYLA14508, ORYLA07468	SCHMD03255
OG0001219	ORYLA01206, ORYLA04598, ORYLA01690, ORYLA05777	SCHMD09614, SCHMD00713
OG0001221	ORYLA07491	SCHMD16690
OG0001223	ORYLA06793, ORYLA07569, ORYLA06727, ORYLA15616, ORYLA13963	SCHMD08671
OG0001226	ORYLA03653, ORYLA03655, ORYLA03654, ORYLA03656, ORYLA01461, ORYLA01460, ORYLA11722, ORYLA02207	SCHMD21222
OG0001230	ORYLA05997	SCHMD04385, SCHMD04382, SCHMD28531
OG0001236	ORYLA05535	SCHMD08913, SCHMD03442
OG0001236	ORYLA05857	SCHMD14035
OG0001238	ORYLA01295, ORYLA07056	SCHMD09688
OG0001241	ORYLA15497	SCHMD04223
OG0001241	ORYLA01008	SCHMD16327
OG0001249	ORYLA00311, ORYLA06571, ORYLA12934, ORYLA13089	SCHMD01149
OG0001250	ORYLA17061, ORYLA00854, ORYLA07782, ORYLA16768	SCHMD08101, SCHMD04347
OG0001251	ORYLA12301, ORYLA08970	SCHMD18877, SCHMD19053, SCHMD14253, SCHMD20912, SCHMD12715
OG0001254	ORYLA12036, ORYLA14643	SCHMD14258, SCHMD09217
OG0001256	ORYLA10228	SCHMD23608, SCHMD16589, SCHMD16774, SCHMD00239, SCHMD25518
OG0001261	ORYLA07239, ORYLA00479, ORYLA09455	SCHMD13436
OG0001262	ORYLA02427	SCHMD20011
OG0001263	ORYLA17939, ORYLA08064, ORYLA07820, ORYLA17132	SCHMD17470
OG0001264	ORYLA13965, ORYLA12302, ORYLA02150	SCHMD27230, SCHMD17432
OG0001266	ORYLA09233, ORYLA07109, ORYLA14460	SCHMD10438
OG0001267	ORYLA17985, ORYLA00677	SCHMD05399
OG0001268	ORYLA00335	SCHMD01057
OG0001270	ORYLA18804	SCHMD27534, SCHMD20425, SCHMD23309, SCHMD13653
OG0001271	ORYLA09251, ORYLA07889, ORYLA14013	SCHMD05357
OG0001272	ORYLA07941, ORYLA03248, ORYLA04104, ORYLA01178	SCHMD22716, SCHMD09459
OG0001273	ORYLA12209, ORYLA13178, ORYLA06380, ORYLA02385, ORYLA17660	SCHMD13838, SCHMD25918, SCHMD21739
OG0001275	ORYLA11544	SCHMD21376
OG0001275	ORYLA11543	SCHMD12521
OG0001279	ORYLA04097, ORYLA03712, ORYLA10544, ORYLA04878, ORYLA00122	SCHMD06836
OG0001280	ORYLA19967, ORYLA06847, ORYLA12954, ORYLA19875, ORYLA00452	SCHMD09937, SCHMD20104, SCHMD05674, SCHMD11884
OG0001282	ORYLA04230, ORYLA10205, ORYLA08831	SCHMD08025
OG0001284	ORYLA09027	SCHMD09316
OG0001284	ORYLA01634, ORYLA14635	SCHMD00434
OG0001287	ORYLA03902, ORYLA01233, ORYLA09735, ORYLA00961	SCHMD07530
OG0001288	ORYLA02421	SCHMD24194, SCHMD28204
OG0001291	ORYLA17986, ORYLA07358, ORYLA01427, ORYLA04147	SCHMD20641, SCHMD11793
OG0001294	ORYLA10122	SCHMD26181, SCHMD17649, SCHMD26146, SCHMD20417, SCHMD20418
OG0001296	ORYLA07385, ORYLA00095, ORYLA19357, ORYLA19356	SCHMD20454, SCHMD11060
OG0001297	ORYLA10966, ORYLA14020, ORYLA15796, ORYLA12085	SCHMD10762
OG0001300	ORYLA01386, ORYLA10216, ORYLA09658, ORYLA04280	SCHMD00214, SCHMD19001, SCHMD09152, SCHMD17144, SCHMD02202
OG0001302	ORYLA12923	SCHMD13885
OG0001302	ORYLA05687	SCHMD08617, SCHMD27826
OG0001304	ORYLA06728, ORYLA06729, ORYLA12651, ORYLA06796, ORYLA13823, ORYLA13822	SCHMD13840
OG0001306	ORYLA06638, ORYLA13454	SCHMD04516
OG0001308	ORYLA12511, ORYLA01298, ORYLA19818, ORYLA19817	SCHMD08020
OG0001310	ORYLA10760	SCHMD19422
OG0001310	ORYLA12263	SCHMD09167
OG0001311	ORYLA02079, ORYLA06081	SCHMD05801
OG0001312	ORYLA09136, ORYLA09135, ORYLA09133, ORYLA09134	SCHMD02056, SCHMD02055
OG0001316	ORYLA12946	SCHMD09192, SCHMD18009, SCHMD02920, SCHMD11271, SCHMD09191, SCHMD02919, SCHMD29629
OG0001316	ORYLA12796, ORYLA09110, ORYLA01031	SCHMD15981
OG0001318	ORYLA08255	SCHMD07054
OG0001318	ORYLA09731	SCHMD16802
OG0001319	ORYLA04255, ORYLA01358, ORYLA10213, ORYLA09481	SCHMD14764
OG0001320	ORYLA11905	SCHMD05527
OG0001321	ORYLA19802	SCHMD23818
OG0001322	ORYLA12031, ORYLA03496	SCHMD09506
OG0001323	ORYLA07539, ORYLA04897, ORYLA10096, ORYLA03039	SCHMD14852, SCHMD22300
OG0001326	ORYLA00013, ORYLA05047, ORYLA02306, ORYLA02304, ORYLA00758	SCHMD29052, SCHMD26738, SCHMD21907, SCHMD17595, SCHMD08761, SCHMD19423
OG0001327	ORYLA11280, ORYLA14397	SCHMD08653, SCHMD04846
OG0001328	ORYLA00827, ORYLA10981	SCHMD23086
OG0001329	ORYLA10954, ORYLA14747	SCHMD15324
OG0001331	ORYLA00931, ORYLA03956	SCHMD14545
OG0001332	ORYLA07497	SCHMD04204
OG0001333	ORYLA17399, ORYLA07772	SCHMD15673, SCHMD23155
OG0001337	ORYLA02348, ORYLA17664, ORYLA06931	SCHMD11229, SCHMD01704, SCHMD14444
OG0001339	ORYLA11675	SCHMD08909
OG0001341	ORYLA19403	SCHMD02609, SCHMD12794
OG0001341	ORYLA14314	SCHMD01188, SCHMD02608
OG0001348	ORYLA19323, ORYLA09547, ORYLA09548, ORYLA08775, ORYLA01011, ORYLA01010	SCHMD24331, SCHMD29399
OG0001350	ORYLA06653	SCHMD16735, SCHMD15485, SCHMD23052, SCHMD17071, SCHMD29804, SCHMD10618
OG0001351	ORYLA09616, ORYLA08732	SCHMD24241
OG0001353	ORYLA06297, ORYLA20269	SCHMD10586
OG0001354	ORYLA13415, ORYLA00266, ORYLA06924, ORYLA17236	SCHMD12063
OG0001355	ORYLA06341, ORYLA03610, ORYLA09570, ORYLA12270, ORYLA19438, ORYLA00855, ORYLA17810, ORYLA02331	SCHMD23781
OG0001356	ORYLA14068, ORYLA15897, ORYLA14716, ORYLA11021	SCHMD21598, SCHMD19916
OG0001357	ORYLA07719, ORYLA10513, ORYLA03046	SCHMD16921
OG0001363	ORYLA06964, ORYLA02934	SCHMD05287, SCHMD16288, SCHMD05291
OG0001367	ORYLA14461, ORYLA07111, ORYLA09231, ORYLA11747, ORYLA12559	SCHMD04624
OG0001368	ORYLA04793, ORYLA11335, ORYLA10470	SCHMD02343
OG0001370	ORYLA12598, ORYLA14966	SCHMD12004
OG0001370	ORYLA18543	SCHMD18225, SCHMD11963
OG0001371	ORYLA00720	SCHMD02523
OG0001372	ORYLA13141	SCHMD12353, SCHMD23970
OG0001374	ORYLA12417	SCHMD12937
OG0001375	ORYLA11959, ORYLA01972, ORYLA01971	SCHMD18333
OG0001376	ORYLA03122, ORYLA05570, ORYLA09409, ORYLA08741	SCHMD14191, SCHMD01800
OG0001378	ORYLA04943	SCHMD12504, SCHMD07107
OG0001388	ORYLA04165, ORYLA01262	SCHMD08532, SCHMD23425, SCHMD17454, SCHMD02828, SCHMD15156, SCHMD02831, SCHMD24634, SCHMD12999
OG0001389	ORYLA12186, ORYLA07219, ORYLA20465	SCHMD02031, SCHMD17776
OG0001394	ORYLA01444, ORYLA19504	SCHMD19657, SCHMD24757
OG0001394	ORYLA01445	SCHMD23211, SCHMD24249
OG0001397	ORYLA01225, ORYLA05017	SCHMD08548, SCHMD08095
OG0001399	ORYLA04243, ORYLA12652, ORYLA18690	SCHMD20091, SCHMD16432
OG0001400	ORYLA08237, ORYLA17207, ORYLA09903, ORYLA01837, ORYLA05625	SCHMD26317
OG0001401	ORYLA09174	SCHMD15712
OG0001402	ORYLA17574, ORYLA03602	SCHMD06853
OG0001404	ORYLA20012	SCHMD14853
OG0001405	ORYLA07257	SCHMD16175
OG0001406	ORYLA13300, ORYLA07680, ORYLA01398	SCHMD13359, SCHMD19152
OG0001409	ORYLA01929	SCHMD04792
OG0001410	ORYLA16518	SCHMD09832
OG0001410	ORYLA09213	SCHMD09687
OG0001411	ORYLA12881	SCHMD13416, SCHMD19137
OG0001412	ORYLA17594	SCHMD13223
OG0001413	ORYLA17782	SCHMD02827
OG0001414	ORYLA18972	SCHMD19649
OG0001416	ORYLA16022, ORYLA14442	SCHMD01722
OG0001421	ORYLA04093, ORYLA11990, ORYLA11681	SCHMD14208
OG0001422	ORYLA08800, ORYLA05608, ORYLA05609, ORYLA09888	SCHMD18897, SCHMD04981, SCHMD04982
OG0001425	ORYLA11812, ORYLA14660, ORYLA02799, ORYLA17328	SCHMD16287, SCHMD09188, SCHMD09187
OG0001426	ORYLA13127, ORYLA13128, ORYLA16142, ORYLA14438, ORYLA07443	SCHMD02033
OG0001427	ORYLA20270, ORYLA07026, ORYLA11867	SCHMD03939, SCHMD00575
OG0001428	ORYLA15651, ORYLA13762, ORYLA18311, ORYLA05873, ORYLA01893	SCHMD06125
OG0001429	ORYLA09352, ORYLA05975, ORYLA11873	SCHMD14421
OG0001429	ORYLA11872	SCHMD14419
OG0001430	ORYLA11790, ORYLA01079, ORYLA10149, ORYLA03115, ORYLA03625	SCHMD00026
OG0001432	ORYLA19855, ORYLA16066, ORYLA06470	SCHMD08255
OG0001432	ORYLA11304	SCHMD22173
OG0001433	ORYLA10563, ORYLA19887, ORYLA02213, ORYLA05137	SCHMD13899, SCHMD22723, SCHMD08627, SCHMD01242
OG0001434	ORYLA11926	SCHMD11795
OG0001438	ORYLA13293, ORYLA09472, ORYLA14084, ORYLA17990, ORYLA05036, ORYLA04502	SCHMD03715, SCHMD17114
OG0001440	ORYLA06607, ORYLA09297	SCHMD08958, SCHMD08957
OG0001445	ORYLA18556, ORYLA03367, ORYLA03366	SCHMD04082
OG0001447	ORYLA10401, ORYLA03364, ORYLA11793	SCHMD14223
OG0001449	ORYLA11305	SCHMD11900
OG0001449	ORYLA09746	SCHMD21822
OG0001451	ORYLA17593, ORYLA14632	SCHMD11378, SCHMD13989, SCHMD09385, SCHMD09340
OG0001454	ORYLA03869, ORYLA10714, ORYLA03870	SCHMD21412, SCHMD12857, SCHMD10712, SCHMD05935, SCHMD27841, SCHMD03145
OG0001456	ORYLA10215	SCHMD22269, SCHMD26154
OG0001458	ORYLA20478, ORYLA20479, ORYLA04251, ORYLA01275, ORYLA09939, ORYLA08813	SCHMD07871
OG0001460	ORYLA02314	SCHMD10311, SCHMD23647
OG0001460	ORYLA08107, ORYLA05005	SCHMD10312, SCHMD23646
OG0001461	ORYLA19866	SCHMD13257
OG0001464	ORYLA09804, ORYLA08394, ORYLA05677, ORYLA16104, ORYLA14378	SCHMD20463
OG0001466	ORYLA01209	SCHMD12996, SCHMD13074
OG0001467	ORYLA18147	SCHMD12343
OG0001467	ORYLA03144	SCHMD19099
OG0001468	ORYLA08601, ORYLA08600, ORYLA09151, ORYLA06717, ORYLA09660, ORYLA16189, ORYLA16188	SCHMD00390
OG0001469	ORYLA17794	SCHMD09394
OG0001469	ORYLA05419	SCHMD24067, SCHMD10449
OG0001470	ORYLA03759	SCHMD02321
OG0001472	ORYLA05712	SCHMD12948
OG0001472	ORYLA15948	SCHMD13936, SCHMD13397, SCHMD27432
OG0001474	ORYLA07769	SCHMD11576, SCHMD26877
OG0001475	ORYLA13842, ORYLA15634	SCHMD01990, SCHMD01568, SCHMD01569, SCHMD13677, SCHMD05348
OG0001479	ORYLA13290, ORYLA16589, ORYLA18144, ORYLA02932	SCHMD12413, SCHMD08686
OG0001480	ORYLA00743, ORYLA01857, ORYLA05529, ORYLA05528	SCHMD13493
OG0001481	ORYLA08452	SCHMD19667
OG0001484	ORYLA18741, ORYLA15816, ORYLA13829, ORYLA13710	SCHMD14277
OG0001492	ORYLA17613	SCHMD23516, SCHMD26961, SCHMD25275, SCHMD13787, SCHMD04408, SCHMD08526, SCHMD03207, SCHMD22383, SCHMD21998, SCHMD05531, SCHMD02901, SCHMD18008, SCHMD25870, SCHMD01545, SCHMD02176, SCHMD21595, SCHMD22373, SCHMD22752, SCHMD09908, SCHMD16982, SCHMD26364, SCHMD01591
OG0001493	ORYLA07182, ORYLA04965	SCHMD11122
OG0001496	ORYLA01505	SCHMD04335
OG0001501	ORYLA10661, ORYLA10605	SCHMD02704
OG0001502	ORYLA18248, ORYLA18648	SCHMD06696
OG0001502	ORYLA17055	SCHMD06697
OG0001503	ORYLA13177	SCHMD25279, SCHMD19928
OG0001503	ORYLA17046, ORYLA17047	SCHMD25148
OG0001504	ORYLA15456	SCHMD05964
OG0001506	ORYLA07141, ORYLA16222	SCHMD04881
OG0001507	ORYLA10103, ORYLA04138	SCHMD00476, SCHMD00993
OG0001508	ORYLA12347, ORYLA14625, ORYLA16349, ORYLA16350	SCHMD22201, SCHMD18843, SCHMD16325, SCHMD15374
OG0001510	ORYLA16557	SCHMD18903
OG0001511	ORYLA03620, ORYLA06342, ORYLA07444	SCHMD14385
OG0001512	ORYLA02917, ORYLA02918, ORYLA17795, ORYLA13561, ORYLA13562	SCHMD25662, SCHMD20631, SCHMD17238, SCHMD26046, SCHMD14306, SCHMD08743, SCHMD08744, SCHMD14305, SCHMD08415, SCHMD00450
OG0001515	ORYLA04533, ORYLA17572	SCHMD18483
OG0001516	ORYLA18645, ORYLA18644	SCHMD07784
OG0001517	ORYLA17447, ORYLA08991	SCHMD13953, SCHMD02103, SCHMD04959, SCHMD27460
OG0001518	ORYLA10303	SCHMD00912, SCHMD00913, SCHMD08704, SCHMD08705
OG0001519	ORYLA13560, ORYLA07350, ORYLA00409	SCHMD01453, SCHMD11573
OG0001522	ORYLA11664, ORYLA10662	SCHMD06814
OG0001524	ORYLA00012, ORYLA05046	SCHMD08154
OG0001524	ORYLA12443	SCHMD06432
OG0001525	ORYLA17631	SCHMD22768, SCHMD18999, SCHMD19000, SCHMD08330
OG0001526	ORYLA17247, ORYLA02495	SCHMD16304
OG0001527	ORYLA02867	SCHMD05435
OG0001527	ORYLA20388, ORYLA20389	SCHMD08837
OG0001530	ORYLA18041	SCHMD11853
OG0001532	ORYLA16027, ORYLA07446, ORYLA06821, ORYLA18344	SCHMD11604
OG0001533	ORYLA09911, ORYLA08628, ORYLA09442	SCHMD16757, SCHMD04796
OG0001534	ORYLA16942, ORYLA16536, ORYLA07761, ORYLA07727, ORYLA07726	SCHMD13063
OG0001536	ORYLA02265	SCHMD04145
OG0001538	ORYLA05212	SCHMD03674
OG0001546	ORYLA05229	SCHMD23904
OG0001551	ORYLA10506, ORYLA10505	SCHMD21975
OG0001552	ORYLA13846	SCHMD26668
OG0001553	ORYLA17357, ORYLA02293, ORYLA08070, ORYLA04977, ORYLA03887	SCHMD15846, SCHMD15532, SCHMD10896, SCHMD19069, SCHMD06566
OG0001554	ORYLA04069, ORYLA07551	SCHMD11035
OG0001557	ORYLA14586	SCHMD13972
OG0001558	ORYLA02757, ORYLA18032, ORYLA19384	SCHMD18412, SCHMD28405
OG0001559	ORYLA10089, ORYLA11639, ORYLA04343	SCHMD02521
OG0001560	ORYLA07189, ORYLA18790, ORYLA13615, ORYLA18890	SCHMD19288, SCHMD02478
OG0001561	ORYLA15919, ORYLA15392, ORYLA13862, ORYLA10938	SCHMD21318
OG0001562	ORYLA10013	SCHMD12692
OG0001566	ORYLA11891, ORYLA13548	SCHMD02705
OG0001567	ORYLA13058, ORYLA06494	SCHMD03492, SCHMD11013, SCHMD12195
OG0001568	ORYLA17084	SCHMD04206
OG0001569	ORYLA12265, ORYLA09574, ORYLA00969	SCHMD19450
OG0001571	ORYLA03433	SCHMD26358
OG0001572	ORYLA04283	SCHMD04033
OG0001572	ORYLA15272	SCHMD14275, SCHMD14274
OG0001575	ORYLA17836	SCHMD13351
OG0001576	ORYLA02374, ORYLA12205	SCHMD23672
OG0001578	ORYLA17727, ORYLA00011	SCHMD10414
OG0001580	ORYLA15950	SCHMD08362
OG0001580	ORYLA14282, ORYLA15951, ORYLA12668	SCHMD08361, SCHMD16167, SCHMD15393
OG0001583	ORYLA20413, ORYLA00738, ORYLA05062	SCHMD16986, SCHMD12401, SCHMD16987, SCHMD12400, SCHMD11526
OG0001584	ORYLA09638	SCHMD00503
OG0001589	ORYLA16530	SCHMD27652, SCHMD23084
OG0001590	ORYLA12337	SCHMD09240
OG0001593	ORYLA19874, ORYLA00447, ORYLA12153, ORYLA12152, ORYLA19629, ORYLA01620	SCHMD12117, SCHMD02219, SCHMD12348, SCHMD22687
OG0001596	ORYLA10881, ORYLA15329, ORYLA13783, ORYLA15922	SCHMD09207
OG0001597	ORYLA20326	SCHMD15780, SCHMD26075
OG0001603	ORYLA02090	SCHMD10551
OG0001604	ORYLA03242	SCHMD02109
OG0001605	ORYLA07546, ORYLA06239, ORYLA15168, ORYLA19098	SCHMD09782
OG0001609	ORYLA09645	SCHMD16467
OG0001609	ORYLA14062	SCHMD16231, SCHMD10959, SCHMD10960
OG0001610	ORYLA10612, ORYLA15888, ORYLA05347, ORYLA01728	SCHMD03213
OG0001611	ORYLA11820, ORYLA10639, ORYLA00086, ORYLA05012, ORYLA03043	SCHMD04102, SCHMD12631
OG0001612	ORYLA09961	SCHMD18636, SCHMD18391
OG0001612	ORYLA05310	SCHMD14255, SCHMD22594
OG0001613	ORYLA04006, ORYLA00826	SCHMD05811
OG0001614	ORYLA06852	SCHMD04001
OG0001615	ORYLA15214, ORYLA11232	SCHMD14018
OG0001617	ORYLA14328, ORYLA14245, ORYLA15099, ORYLA19860	SCHMD05139
OG0001620	ORYLA05887, ORYLA18071, ORYLA06671, ORYLA13474	SCHMD22740, SCHMD18214
OG0001621	ORYLA16707, ORYLA16984, ORYLA07730	SCHMD01143, SCHMD22227, SCHMD15718, SCHMD23766, SCHMD07369, SCHMD17584, SCHMD26761, SCHMD18496
OG0001625	ORYLA12945, ORYLA00314, ORYLA07325	SCHMD28211, SCHMD26150
OG0001627	ORYLA03953, ORYLA10776	SCHMD06117
OG0001630	ORYLA15131, ORYLA19441	SCHMD26993
OG0001632	ORYLA13672, ORYLA19419, ORYLA19418	SCHMD12105, SCHMD26476
OG0001634	ORYLA02609	SCHMD24659
OG0001634	ORYLA12522, ORYLA03396	SCHMD04359, SCHMD08780, SCHMD05004
OG0001635	ORYLA01259	SCHMD28110
OG0001638	ORYLA04382, ORYLA04383, ORYLA04380, ORYLA04381	SCHMD00159, SCHMD00160
OG0001639	ORYLA14796, ORYLA14797, ORYLA12628, ORYLA12981	SCHMD07144
OG0001640	ORYLA11015, ORYLA14721, ORYLA16043, ORYLA14203	SCHMD02843
OG0001641	ORYLA16416, ORYLA07882, ORYLA08892, ORYLA06223	SCHMD03047
OG0001642	ORYLA07681, ORYLA02864, ORYLA07682, ORYLA02865	SCHMD20801, SCHMD12647
OG0001644	ORYLA05371, ORYLA10384	SCHMD20924
OG0001646	ORYLA07909, ORYLA16380, ORYLA17337, ORYLA14117, ORYLA17976	SCHMD00577
OG0001651	ORYLA01203, ORYLA07721, ORYLA05077, ORYLA02543	SCHMD15448
OG0001653	ORYLA17508, ORYLA02619	SCHMD13946
OG0001655	ORYLA07526, ORYLA08529, ORYLA07560	SCHMD06776
OG0001656	ORYLA03191, ORYLA16457	SCHMD22556
OG0001660	ORYLA01347, ORYLA07223, ORYLA00950, ORYLA07222	SCHMD01572, SCHMD29332
OG0001662	ORYLA03581	SCHMD19275
OG0001662	ORYLA03609, ORYLA17855	SCHMD25740, SCHMD13136
OG0001664	ORYLA17083	SCHMD13680, SCHMD17585
OG0001665	ORYLA17183, ORYLA00789	SCHMD19795
OG0001666	ORYLA08798	SCHMD03955, SCHMD03098, SCHMD26493, SCHMD18331
OG0001667	ORYLA20066, ORYLA06157, ORYLA15447	SCHMD18800, SCHMD13601, SCHMD20100
OG0001668	ORYLA18819	SCHMD04958
OG0001670	ORYLA07504, ORYLA00003, ORYLA06243	SCHMD00224
OG0001671	ORYLA14195, ORYLA15872	SCHMD21324
OG0001672	ORYLA09041, ORYLA09875, ORYLA08234, ORYLA01794	SCHMD11260, SCHMD13294, SCHMD11259
OG0001676	ORYLA18322	SCHMD07166, SCHMD13666
