Orthogroup	ORYLA	SCHMD
OG0000035	ORYLA11278, ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	SCHMD15627, SCHMD19701
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808
OG0000037	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058, ORYLA05151, ORYLA08136, ORYLA03090	SCHMD19933
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538
OG0000037	ORYLA04725	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000039	ORYLA13584, ORYLA13588, ORYLA13587, ORYLA07496, ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124, ORYLA05812, ORYLA00801, ORYLA00802	SCHMD12270
OG0000040	ORYLA18356	SCHMD25293, SCHMD21694, SCHMD27504, SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146
OG0000040	ORYLA04846, ORYLA04844	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856
OG0000041	ORYLA13695, ORYLA09068	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000043	ORYLA04209, ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854	SCHMD00424
OG0000043	ORYLA03388	SCHMD29206, SCHMD09758
OG0000044	ORYLA05174	SCHMD06706
OG0000048	ORYLA15052	SCHMD13771, SCHMD03961
OG0000048	ORYLA14965, ORYLA19631	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	SCHMD22370
OG0000058	ORYLA18104	SCHMD06371
OG0000058	ORYLA18102	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	SCHMD03062
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	SCHMD24930
OG0000061	ORYLA07060, ORYLA08273	SCHMD11039
OG0000062	ORYLA03553	SCHMD03372
OG0000062	ORYLA18121, ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500, ORYLA19830, ORYLA18157, ORYLA05590, ORYLA05591, ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546, ORYLA10585, ORYLA11804	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769
OG0000063	ORYLA07168	SCHMD13250
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	SCHMD04855
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	SCHMD09653
OG0000065	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953
OG0000066	ORYLA06398	SCHMD06030
OG0000069	ORYLA08015	SCHMD05798, SCHMD12262
OG0000069	ORYLA03826	SCHMD18974
OG0000070	ORYLA11329, ORYLA09412	SCHMD06745
OG0000072	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070	SCHMD10090
OG0000073	ORYLA06148, ORYLA06147	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123
OG0000075	ORYLA04438	SCHMD10965
OG0000075	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334	SCHMD03704
OG0000075	ORYLA11054, ORYLA15824	SCHMD21424
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	SCHMD17571
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	SCHMD23576
OG0000077	ORYLA10378, ORYLA11807, ORYLA10356, ORYLA09729, ORYLA17450	SCHMD21560, SCHMD20774, SCHMD21636, SCHMD20499
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	SCHMD04824, SCHMD04525
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	SCHMD05256, SCHMD13292, SCHMD04383, SCHMD07952, SCHMD12114
OG0000079	ORYLA02351, ORYLA01210, ORYLA04604	SCHMD16559, SCHMD24052, SCHMD18199
OG0000079	ORYLA13165	SCHMD06941, SCHMD04736
OG0000080	ORYLA09642, ORYLA12801	SCHMD10387, SCHMD06434
OG0000082	ORYLA02580	SCHMD03263, SCHMD10119
OG0000082	ORYLA09330	SCHMD29028
OG0000082	ORYLA03293, ORYLA05560	SCHMD29242, SCHMD28445, SCHMD27822, SCHMD27641, SCHMD02373, SCHMD16460
OG0000082	ORYLA19108	SCHMD08895, SCHMD09092, SCHMD13034, SCHMD06892
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	SCHMD19821, SCHMD23941, SCHMD23870
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	SCHMD12836
OG0000085	ORYLA06168	SCHMD12466
OG0000085	ORYLA17935	SCHMD18327
OG0000087	ORYLA07293	SCHMD09399, SCHMD09405, SCHMD09406
OG0000093	ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845	SCHMD01278, SCHMD01279, SCHMD01277, SCHMD05526, SCHMD06457, SCHMD10241, SCHMD12867, SCHMD09341, SCHMD22057, SCHMD07249, SCHMD07880, SCHMD11553, SCHMD07387, SCHMD04028
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	SCHMD18374, SCHMD19921, SCHMD19919, SCHMD25650, SCHMD09889, SCHMD04692, SCHMD17398, SCHMD14751, SCHMD25649, SCHMD27362, SCHMD18377, SCHMD18375, SCHMD07074, SCHMD27097
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	SCHMD07753
OG0000096	ORYLA12353, ORYLA17186, ORYLA10017	SCHMD10033
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	SCHMD29644, SCHMD22119
OG0000099	ORYLA05907, ORYLA01597, ORYLA03439, ORYLA11498, ORYLA05408, ORYLA05964, ORYLA03167, ORYLA04063	SCHMD19312, SCHMD23856, SCHMD07176, SCHMD05543
OG0000102	ORYLA12106	SCHMD09396, SCHMD12410, SCHMD08585, SCHMD18142, SCHMD10076, SCHMD00250, SCHMD26069, SCHMD21030, SCHMD29532
OG0000103	ORYLA06785, ORYLA13767, ORYLA13768, ORYLA18738, ORYLA18739, ORYLA16588, ORYLA16584, ORYLA16587, ORYLA18654, ORYLA16586, ORYLA15171, ORYLA18507, ORYLA11651, ORYLA06786, ORYLA06787, ORYLA08966	SCHMD29081, SCHMD19673
OG0000103	ORYLA05784, ORYLA17049, ORYLA00063, ORYLA17050, ORYLA16263, ORYLA00786, ORYLA17085, ORYLA00059	SCHMD08147
OG0000106	ORYLA15151, ORYLA15152, ORYLA06558, ORYLA09282, ORYLA06794, ORYLA03966, ORYLA04364, ORYLA07953, ORYLA05764, ORYLA14913, ORYLA14914	SCHMD25024, SCHMD08963, SCHMD27477, SCHMD08964, SCHMD02149, SCHMD03716, SCHMD25095, SCHMD27496
OG0000113	ORYLA17645, ORYLA13433, ORYLA10928, ORYLA14685, ORYLA14684, ORYLA10897, ORYLA10893, ORYLA10892, ORYLA10894, ORYLA10895, ORYLA10896	SCHMD06629, SCHMD02664
OG0000114	ORYLA00753, ORYLA04661, ORYLA14079, ORYLA02708, ORYLA14069, ORYLA20181, ORYLA17626, ORYLA17625, ORYLA15653	SCHMD12561, SCHMD12560, SCHMD14332, SCHMD15816, SCHMD12739
OG0000119	ORYLA06828, ORYLA09873, ORYLA13916, ORYLA00923, ORYLA07823, ORYLA09647, ORYLA14223, ORYLA16119, ORYLA05654, ORYLA09477, ORYLA05169	SCHMD02911
OG0000120	ORYLA14915	SCHMD07084
OG0000121	ORYLA06688	SCHMD07020
OG0000122	ORYLA01684, ORYLA06197, ORYLA08626, ORYLA09819, ORYLA20153	SCHMD16641, SCHMD09849
OG0000124	ORYLA04499, ORYLA01264, ORYLA16732, ORYLA16407, ORYLA16733, ORYLA07798	SCHMD10270, SCHMD10271
OG0000124	ORYLA05871, ORYLA01892, ORYLA14227, ORYLA16018, ORYLA14228, ORYLA16019	SCHMD08774
OG0000126	ORYLA10750, ORYLA01228, ORYLA13510	SCHMD00122, SCHMD06495, SCHMD00127
OG0000126	ORYLA02839	SCHMD06494
OG0000126	ORYLA09118	SCHMD01813, SCHMD04253
OG0000127	ORYLA18247, ORYLA09922	SCHMD03781
OG0000128	ORYLA17289, ORYLA03587	SCHMD25789, SCHMD19594
OG0000128	ORYLA06619, ORYLA09314	SCHMD29825
OG0000129	ORYLA19656, ORYLA05200, ORYLA05199, ORYLA05198, ORYLA07545, ORYLA18786, ORYLA11464, ORYLA10766	SCHMD20816, SCHMD05405
OG0000129	ORYLA04565, ORYLA03107, ORYLA04189, ORYLA04190, ORYLA07452	SCHMD03224
OG0000129	ORYLA03371	SCHMD17972
OG0000130	ORYLA18984, ORYLA14309, ORYLA14308, ORYLA20195, ORYLA20194, ORYLA20193, ORYLA20192, ORYLA15914, ORYLA15896, ORYLA04654, ORYLA19050, ORYLA09312, ORYLA09567, ORYLA01013, ORYLA17513, ORYLA02633, ORYLA02632, ORYLA06522, ORYLA08153, ORYLA04772	SCHMD17609
OG0000132	ORYLA03852, ORYLA04393, ORYLA00046, ORYLA00081, ORYLA00043	SCHMD23872, SCHMD23470, SCHMD16606, SCHMD24080, SCHMD22144, SCHMD14374
OG0000137	ORYLA20491	SCHMD04306
OG0000137	ORYLA11370, ORYLA08706	SCHMD09558
OG0000139	ORYLA03997	SCHMD18769, SCHMD20210, SCHMD18241, SCHMD26472, SCHMD14124
OG0000145	ORYLA08429	SCHMD03152
OG0000147	ORYLA06944, ORYLA12833, ORYLA15636	SCHMD11019
OG0000147	ORYLA05633, ORYLA11702, ORYLA12687, ORYLA12688	SCHMD11968
