Orthogroup	AMPFI_ok	BRAFL
OG0000007	AMPFI_16775	bflo_06255
OG0000007	AMPFI_15871	bflo_13742
OG0000007	AMPFI_26059	bflo_12369, bflo_21087
OG0000007	AMPFI_15806	bflo_23309
OG0000007	AMPFI_22204	bflo_23091
OG0000007	AMPFI_08786	bflo_23283
OG0000007	AMPFI_17089	bflo_09771
OG0000007	AMPFI_21281	bflo_24497
OG0000007	AMPFI_23280	bflo_11392
OG0000008	AMPFI_03619	bflo_25964, bflo_01367, bflo_00741, bflo_24920
OG0000008	AMPFI_10761	bflo_17089
OG0000008	AMPFI_13893	bflo_12140
OG0000009	AMPFI_19615	bflo_13612, bflo_25945
OG0000009	AMPFI_03747	bflo_13658
OG0000009	AMPFI_25789	bflo_05031, bflo_26511
OG0000009	AMPFI_04909, AMPFI_20474, AMPFI_23431	bflo_25982
OG0000009	AMPFI_02801	bflo_13010
OG0000010	AMPFI_14170	bflo_01925, bflo_02047, bflo_02046, bflo_01877, bflo_01910, bflo_21331, bflo_22061, bflo_21857
OG0000010	AMPFI_04353	bflo_00973
OG0000010	AMPFI_20654	bflo_07912, bflo_08373
OG0000010	AMPFI_04364	bflo_21956
OG0000011	AMPFI_19936, AMPFI_09932, AMPFI_21651, AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672, AMPFI_20419, AMPFI_21616, AMPFI_12025	bflo_20761, bflo_05867
OG0000011	AMPFI_03008, AMPFI_02519	bflo_04324, bflo_26561, bflo_24248, bflo_06820
OG0000011	AMPFI_00004	bflo_15139
OG0000012	AMPFI_05035, AMPFI_18913	bflo_21286, bflo_18299, bflo_13503, bflo_03860, bflo_20457, bflo_22922, bflo_23585, bflo_22923, bflo_21880, bflo_18018, bflo_03629, bflo_05980, bflo_05981, bflo_05336, bflo_21370
OG0000013	AMPFI_22877	bflo_12936
OG0000013	AMPFI_13640	bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	AMPFI_06643	bflo_17972
OG0000014	AMPFI_05504, AMPFI_16319	bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141
OG0000014	AMPFI_16339	bflo_04326, bflo_04339, bflo_04331
OG0000015	AMPFI_23995	bflo_24142, bflo_23928
OG0000016	AMPFI_20923	bflo_22486, bflo_01469, bflo_09907, bflo_10149, bflo_21276
OG0000016	AMPFI_06248	bflo_12769
OG0000016	AMPFI_08754	bflo_02107, bflo_22757, bflo_23260, bflo_02738, bflo_02096, bflo_02737, bflo_02551, bflo_26656
OG0000016	AMPFI_20588, AMPFI_10703, AMPFI_18517, AMPFI_05465, AMPFI_00471, AMPFI_25144	bflo_01790
OG0000017	AMPFI_06710, AMPFI_19081, AMPFI_03641, AMPFI_20305, AMPFI_03931, AMPFI_20464, AMPFI_07428, AMPFI_06877, AMPFI_25954, AMPFI_15097	bflo_00104, bflo_25509, bflo_12984, bflo_04739, bflo_02215
OG0000018	AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040	bflo_08031
OG0000019	AMPFI_10151	bflo_24292
OG0000019	AMPFI_01636	bflo_10160, bflo_26497, bflo_00628
