Orthogroup	AMPFI_ok	NEMVE
OG0000018	AMPFI_07408, AMPFI_19746, AMPFI_23087, AMPFI_06333, AMPFI_21544, AMPFI_08183, AMPFI_15245, AMPFI_21772, AMPFI_22259, AMPFI_05295, AMPFI_18911, AMPFI_12397, AMPFI_06555, AMPFI_21165, AMPFI_08602, AMPFI_16845, AMPFI_06904, AMPFI_02063, AMPFI_23744, AMPFI_04871, AMPFI_08497, AMPFI_12503, AMPFI_15215, AMPFI_16636, AMPFI_22035, AMPFI_11607, AMPFI_04983, AMPFI_11059, AMPFI_23717, AMPFI_12063, AMPFI_02180, AMPFI_24359, AMPFI_11606, AMPFI_17730, AMPFI_25691, AMPFI_15911, AMPFI_10325, AMPFI_01217, AMPFI_21247, AMPFI_04821, AMPFI_11605, AMPFI_01478, AMPFI_15420, AMPFI_15421, AMPFI_02040	NEMVE07261
OG0000018	AMPFI_01244, AMPFI_24791, AMPFI_19834, AMPFI_13955	NEMVE17996
OG0000018	AMPFI_08768, AMPFI_18527, AMPFI_16233, AMPFI_08463	NEMVE12742, NEMVE12416
OG0000019	AMPFI_10151	NEMVE06549
OG0000019	AMPFI_16723	NEMVE19477, NEMVE18845, NEMVE09968, NEMVE08427, NEMVE18382, NEMVE10945, NEMVE18794, NEMVE16950
OG0000019	AMPFI_01636	NEMVE10214
OG0000019	AMPFI_01264, AMPFI_06523, AMPFI_03780	NEMVE10489
OG0000019	AMPFI_24258	NEMVE04731, NEMVE23135, NEMVE19085, NEMVE07512, NEMVE17584, NEMVE17583, NEMVE17474, NEMVE18398, NEMVE17585, NEMVE18173, NEMVE15506, NEMVE15391, NEMVE15390, NEMVE00086, NEMVE20105, NEMVE02817, NEMVE03394, NEMVE11745, NEMVE11242, NEMVE19708
OG0000020	AMPFI_15880	NEMVE13603
OG0000020	AMPFI_19334	NEMVE05671
OG0000020	AMPFI_20737	NEMVE21971
OG0000020	AMPFI_23773	NEMVE18721
OG0000020	AMPFI_11019	NEMVE14242
