Orthogroup	AMPFI_ok	CAEEL
OG0000104	AMPFI_11040, AMPFI_02710, AMPFI_20370, AMPFI_08614	CAEEL18800
OG0000106	AMPFI_12383, AMPFI_11950, AMPFI_07347, AMPFI_24930, AMPFI_15540, AMPFI_00989	CAEEL19130, CAEEL20701
OG0000107	AMPFI_13094	CAEEL16896
OG0000110	AMPFI_18622, AMPFI_10052	CAEEL10319, CAEEL17689
OG0000113	AMPFI_03282	CAEEL06358, CAEEL06359, CAEEL06360
OG0000114	AMPFI_03529	CAEEL18136
OG0000114	AMPFI_01965, AMPFI_00254	CAEEL15245, CAEEL11468
OG0000115	AMPFI_19223, AMPFI_02007, AMPFI_06244	CAEEL05577
OG0000116	AMPFI_12986	CAEEL14875
OG0000117	AMPFI_07374, AMPFI_07375, AMPFI_10042, AMPFI_04796, AMPFI_21047, AMPFI_17321, AMPFI_18095, AMPFI_04466	CAEEL10762
OG0000117	AMPFI_02142	CAEEL06492
OG0000117	AMPFI_16639, AMPFI_21139, AMPFI_03902, AMPFI_06845	CAEEL07433
OG0000119	AMPFI_25431	CAEEL08480
OG0000119	AMPFI_07345, AMPFI_07307	CAEEL08396
OG0000120	AMPFI_15831	CAEEL14397, CAEEL15688, CAEEL15686, CAEEL09375, CAEEL15884, CAEEL09381, CAEEL15380, CAEEL16714, CAEEL14049, CAEEL13989, CAEEL13988, CAEEL13987, CAEEL14052, CAEEL13986, CAEEL15745, CAEEL18572, CAEEL15034, CAEEL14053
OG0000120	AMPFI_01268	CAEEL10840
OG0000121	AMPFI_04429	CAEEL06288, CAEEL12116
OG0000122	AMPFI_09948, AMPFI_21733	CAEEL01544
OG0000124	AMPFI_24111	CAEEL19897
OG0000124	AMPFI_02885	CAEEL04963
OG0000124	AMPFI_01689	CAEEL15384, CAEEL15382
OG0000125	AMPFI_22617, AMPFI_05262	CAEEL19671
OG0000126	AMPFI_06519	CAEEL09101
OG0000126	AMPFI_19042	CAEEL10194
OG0000127	AMPFI_23284	CAEEL19207
OG0000127	AMPFI_11705	CAEEL20452
OG0000127	AMPFI_13476	CAEEL00838
OG0000128	AMPFI_23687, AMPFI_01859, AMPFI_00795, AMPFI_13540, AMPFI_16784	CAEEL18038, CAEEL19894, CAEEL19895
OG0000129	AMPFI_05870	CAEEL12325
OG0000131	AMPFI_01527, AMPFI_14039, AMPFI_21381	CAEEL08663
OG0000131	AMPFI_19747	CAEEL07634
OG0000132	AMPFI_25895	CAEEL19325, CAEEL13180, CAEEL10482, CAEEL00965, CAEEL13910, CAEEL20417
OG0000137	AMPFI_12246	CAEEL10559
OG0000137	AMPFI_14905, AMPFI_17220, AMPFI_19842, AMPFI_12126	CAEEL15802, CAEEL15801
OG0000147	AMPFI_00036, AMPFI_00137	CAEEL18488
OG0000148	AMPFI_23558	CAEEL09804
OG0000148	AMPFI_00060	CAEEL04213
OG0000149	AMPFI_11805	CAEEL15543, CAEEL15991, CAEEL08694
OG0000153	AMPFI_24594, AMPFI_03572	CAEEL16188
OG0000157	AMPFI_07870	CAEEL00241
OG0000157	AMPFI_21902	CAEEL14384, CAEEL15927, CAEEL15568, CAEEL01598, CAEEL16076, CAEEL14820, CAEEL15084, CAEEL11463
OG0000159	AMPFI_14640	CAEEL19486
OG0000159	AMPFI_09235	CAEEL02031
OG0000159	AMPFI_11148	CAEEL05281
OG0000160	AMPFI_04603, AMPFI_23627, AMPFI_10740	CAEEL00042, CAEEL17979, CAEEL14963, CAEEL12528
OG0000163	AMPFI_03655, AMPFI_02815, AMPFI_05576	CAEEL08313
OG0000163	AMPFI_15100	CAEEL20194, CAEEL08850
OG0000164	AMPFI_18140	CAEEL17300, CAEEL20334, CAEEL08421, CAEEL05391, CAEEL18768, CAEEL06090, CAEEL13575, CAEEL06317, CAEEL13576, CAEEL13551, CAEEL06316, CAEEL13587, CAEEL13550, CAEEL06318, CAEEL20325, CAEEL20324, CAEEL06001, CAEEL06002, CAEEL09114, CAEEL05510, CAEEL06315
OG0000164	AMPFI_22090, AMPFI_18801, AMPFI_07306	CAEEL09304
OG0000164	AMPFI_18180	CAEEL05807
OG0000165	AMPFI_20099	CAEEL07846
OG0000167	AMPFI_07356	CAEEL02846
OG0000168	AMPFI_22221	CAEEL10744, CAEEL09425, CAEEL11389, CAEEL18543, CAEEL05482
OG0000168	AMPFI_03245, AMPFI_18586, AMPFI_18585, AMPFI_17991	CAEEL19018
OG0000169	AMPFI_20809, AMPFI_17546	CAEEL15798
OG0000171	AMPFI_16514	CAEEL11480
OG0000172	AMPFI_03980, AMPFI_17322	CAEEL04412
OG0000173	AMPFI_24760, AMPFI_14468	CAEEL04156
OG0000174	AMPFI_12146	CAEEL12711
OG0000174	AMPFI_25103	CAEEL09479
OG0000175	AMPFI_13786	CAEEL15650, CAEEL01525, CAEEL01870
OG0000179	AMPFI_12504	CAEEL13640
OG0000179	AMPFI_16964	CAEEL02965, CAEEL06713
OG0000179	AMPFI_00481	CAEEL16607, CAEEL16605, CAEEL09314, CAEEL16384, CAEEL19466, CAEEL07193
OG0000180	AMPFI_03804	CAEEL06539
OG0000181	AMPFI_16526	CAEEL10772
OG0000181	AMPFI_12882	CAEEL12632
OG0000183	AMPFI_14083	CAEEL16310, CAEEL16311, CAEEL16312
OG0000183	AMPFI_03468	CAEEL18435
OG0000184	AMPFI_03874, AMPFI_09399, AMPFI_14819	CAEEL11515, CAEEL12978, CAEEL08834, CAEEL11519, CAEEL16164
OG0000186	AMPFI_23623	CAEEL13010
OG0000188	AMPFI_08253	CAEEL20699
OG0000191	AMPFI_16167	CAEEL19421, CAEEL09443, CAEEL19122, CAEEL15476
OG0000192	AMPFI_23753	CAEEL00285
OG0000192	AMPFI_22080	CAEEL12807, CAEEL08571, CAEEL01050, CAEEL02365
OG0000193	AMPFI_04703, AMPFI_20306	CAEEL09482, CAEEL14826
OG0000194	AMPFI_14028	CAEEL11235, CAEEL19589, CAEEL17687, CAEEL19382
OG0000195	AMPFI_12345, AMPFI_10206, AMPFI_05107	CAEEL13568, CAEEL02653, CAEEL02314, CAEEL02312
OG0000197	AMPFI_18783, AMPFI_00480	CAEEL04387
OG0000197	AMPFI_14260	CAEEL01207, CAEEL01205, CAEEL16235, CAEEL16239, CAEEL13188
OG0000198	AMPFI_24261	CAEEL03057, CAEEL05629, CAEEL09718
OG0000202	AMPFI_02277	CAEEL20283
OG0000203	AMPFI_10377, AMPFI_15263, AMPFI_20814, AMPFI_06550	CAEEL09812
OG0000207	AMPFI_08635, AMPFI_15520	CAEEL05874, CAEEL00203
OG0000209	AMPFI_09916, AMPFI_13365, AMPFI_06393	CAEEL07432
OG0000210	AMPFI_21005	CAEEL19469
OG0000211	AMPFI_16753, AMPFI_21968	CAEEL02311
OG0000218	AMPFI_08238, AMPFI_04727, AMPFI_25516, AMPFI_06166, AMPFI_13579, AMPFI_21946, AMPFI_02956	CAEEL07824, CAEEL20213
OG0000218	AMPFI_17247, AMPFI_03024, AMPFI_13048	CAEEL19795
OG0000221	AMPFI_07550	CAEEL10747
OG0000221	AMPFI_19059	CAEEL06648
OG0000225	AMPFI_24201, AMPFI_00311	CAEEL00458, CAEEL19815, CAEEL15154, CAEEL15740, CAEEL15741, CAEEL19370, CAEEL18881
OG0000226	AMPFI_19055, AMPFI_20488, AMPFI_21777, AMPFI_11732, AMPFI_11731	CAEEL12318
OG0000226	AMPFI_25234, AMPFI_15353, AMPFI_19658, AMPFI_21355, AMPFI_11733, AMPFI_15354	CAEEL10068, CAEEL15041
OG0000227	AMPFI_16595, AMPFI_17484, AMPFI_00331, AMPFI_23018, AMPFI_12350, AMPFI_07507	CAEEL19645
