Orthogroup	STRPU_ok	HUMAN
OG0000023	STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	HUMAN04007, HUMAN05393, HUMAN05394, HUMAN05401, HUMAN05399, HUMAN05395, HUMAN05400, HUMAN05396, HUMAN05404, HUMAN11050, HUMAN19103, HUMAN05403
OG0000026	STRPU_24999	HUMAN16545
OG0000026	STRPU_13435, STRPU_25665, STRPU_06675, STRPU_06676, STRPU_21822, STRPU_10195	HUMAN26724, HUMAN26725
OG0000028	STRPU_27008	HUMAN09193, HUMAN09206
OG0000029	STRPU_25978	HUMAN15611
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	HUMAN07316, HUMAN05232, HUMAN14995, HUMAN11203, HUMAN18356, HUMAN17029
OG0000029	STRPU_14123	HUMAN24898, HUMAN21852
OG0000030	STRPU_23383	HUMAN01740, HUMAN28679
OG0000031	STRPU_24640	HUMAN17850
OG0000031	STRPU_24955	HUMAN06489, HUMAN17883, HUMAN26042
OG0000031	STRPU_24636	HUMAN26043
OG0000031	STRPU_08004, STRPU_23584	HUMAN26979, HUMAN14235
OG0000031	STRPU_05537, STRPU_05597	HUMAN07725
OG0000031	STRPU_18994	HUMAN14922, HUMAN14786
OG0000031	STRPU_05368	HUMAN07726, HUMAN22322
OG0000031	STRPU_24676	HUMAN18122, HUMAN18121, HUMAN02818, HUMAN02819
OG0000032	STRPU_21234, STRPU_24774, STRPU_24776, STRPU_02932, STRPU_12458	HUMAN06107, HUMAN06100, HUMAN06101, HUMAN06103, HUMAN06106, HUMAN06104, HUMAN06102, HUMAN06105, HUMAN21527, HUMAN05202, HUMAN10072
OG0000032	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816	HUMAN19258
OG0000034	STRPU_15245, STRPU_15189	HUMAN11672, HUMAN11673
OG0000034	STRPU_11798	HUMAN16090, HUMAN04116, HUMAN06217, HUMAN01449
OG0000034	STRPU_11930, STRPU_11885	HUMAN16339, HUMAN16340, HUMAN02345, HUMAN06854, HUMAN03933
OG0000034	STRPU_27315	HUMAN01831, HUMAN13891
OG0000034	STRPU_11793	HUMAN04678
OG0000034	STRPU_04070	HUMAN03081, HUMAN03094, HUMAN03080, HUMAN03093
OG0000034	STRPU_12141, STRPU_12106	HUMAN04988
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	HUMAN06576
OG0000035	STRPU_27002	HUMAN09866
OG0000035	STRPU_13051	HUMAN06191, HUMAN03898
OG0000035	STRPU_12705, STRPU_12704	HUMAN01402, HUMAN03900, HUMAN05812, HUMAN05810
OG0000035	STRPU_12998, STRPU_12553	HUMAN01460, HUMAN03952, HUMAN03954, HUMAN03955, HUMAN03951, HUMAN03953, HUMAN05843, HUMAN05844
OG0000035	STRPU_12700	HUMAN04383
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659	HUMAN11555, HUMAN08152, HUMAN08151, HUMAN15233
OG0000036	STRPU_09907	HUMAN11289
OG0000036	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	HUMAN27983, HUMAN15223
OG0000037	STRPU_20762	HUMAN02659, HUMAN02660, HUMAN04897, HUMAN15443
OG0000037	STRPU_24785	HUMAN19040, HUMAN28273, HUMAN16721
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	HUMAN03689
OG0000038	STRPU_18076, STRPU_01766	HUMAN02828
OG0000038	STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770, STRPU_18086	HUMAN17661, HUMAN07446, HUMAN17632
OG0000038	STRPU_17414, STRPU_17415	HUMAN18259, HUMAN18258
OG0000038	STRPU_18075, STRPU_01765	HUMAN18257
OG0000039	STRPU_13266	HUMAN02107, HUMAN02110, HUMAN02111
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	HUMAN29023
OG0000040	STRPU_00136	HUMAN26646, HUMAN26642
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	HUMAN26645, HUMAN26647, HUMAN26644, HUMAN26643, HUMAN26640
OG0000041	STRPU_13000	HUMAN15981, HUMAN01398, HUMAN05838, HUMAN01400, HUMAN01399, HUMAN05837, HUMAN01401, HUMAN05836, HUMAN04298
OG0000044	STRPU_09802	HUMAN22107, HUMAN27712, HUMAN24292, HUMAN22106, HUMAN27711, HUMAN03716, HUMAN03718, HUMAN03717
OG0000044	STRPU_13229, STRPU_13213	HUMAN07517
OG0000044	STRPU_00051	HUMAN03043
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	HUMAN23116
OG0000048	STRPU_05493	HUMAN29550
OG0000048	STRPU_20602	HUMAN16328
OG0000048	STRPU_20482	HUMAN16644
OG0000048	STRPU_26191	HUMAN11449
OG0000049	STRPU_17072	HUMAN25699, HUMAN05316
OG0000049	STRPU_23537	HUMAN20965, HUMAN26499
OG0000049	STRPU_17073	HUMAN05318
OG0000049	STRPU_23536	HUMAN26500
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	HUMAN25202, HUMAN25200, HUMAN25199, HUMAN25198, HUMAN25201
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	HUMAN23119
OG0000056	STRPU_19327	HUMAN22445, HUMAN01195, HUMAN14849, HUMAN14869, HUMAN14864, HUMAN14480, HUMAN01194
OG0000056	STRPU_12248, STRPU_11783	HUMAN07396, HUMAN07395
OG0000056	STRPU_06434	HUMAN14865
OG0000057	STRPU_09574, STRPU_09581, STRPU_15511, STRPU_15515, STRPU_15513, STRPU_15522, STRPU_15517, STRPU_15521, STRPU_15512, STRPU_15518, STRPU_15524, STRPU_15520, STRPU_15523, STRPU_15510, STRPU_15514, STRPU_06456, STRPU_18393, STRPU_10377, STRPU_10376, STRPU_03172, STRPU_10378, STRPU_10379, STRPU_11849, STRPU_11850, STRPU_11851, STRPU_10380, STRPU_16444, STRPU_10382	HUMAN23569, HUMAN10014
OG0000057	STRPU_09580	HUMAN29650
OG0000058	STRPU_10155, STRPU_10092	HUMAN17378, HUMAN03592
OG0000058	STRPU_08934	HUMAN23378
OG0000058	STRPU_09783	HUMAN02623, HUMAN09237, HUMAN17157, HUMAN03406
OG0000059	STRPU_05220	HUMAN21611
OG0000059	STRPU_24694, STRPU_24697, STRPU_24828, STRPU_24005	HUMAN05382, HUMAN22839, HUMAN23845
OG0000060	STRPU_24855	HUMAN25284
OG0000060	STRPU_12994	HUMAN16007, HUMAN16006, HUMAN04276, HUMAN06988
OG0000061	STRPU_13962	HUMAN17964, HUMAN26554
OG0000061	STRPU_02428, STRPU_13635	HUMAN18142, HUMAN20809, HUMAN13555, HUMAN15809, HUMAN25004, HUMAN12027, HUMAN17562, HUMAN17563, HUMAN20727, HUMAN26146, HUMAN26147, HUMAN26149, HUMAN27338, HUMAN27337
OG0000061	STRPU_13960, STRPU_13959, STRPU_13958	HUMAN26138, HUMAN26137, HUMAN12821
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408	HUMAN05950, HUMAN05959, HUMAN05958, HUMAN06195
OG0000062	STRPU_08191	HUMAN25285
OG0000063	STRPU_18989	HUMAN14398, HUMAN28499, HUMAN00858
OG0000063	STRPU_23711	HUMAN21099
OG0000063	STRPU_18990, STRPU_18981, STRPU_07188	HUMAN00859, HUMAN28501
OG0000063	STRPU_18657	HUMAN18628, HUMAN03783, HUMAN03782
OG0000066	STRPU_19100	HUMAN29798
OG0000067	STRPU_24522, STRPU_10727, STRPU_10726, STRPU_04075, STRPU_11266, STRPU_11228, STRPU_16178, STRPU_16224, STRPU_16227, STRPU_16177, STRPU_02655, STRPU_16176, STRPU_16181, STRPU_16229, STRPU_11824, STRPU_10905, STRPU_00137, STRPU_11385	HUMAN24070, HUMAN22809
OG0000068	STRPU_23284	HUMAN26983
OG0000068	STRPU_07505, STRPU_07509, STRPU_07512, STRPU_07511, STRPU_21952, STRPU_21938, STRPU_07506, STRPU_21941, STRPU_21953, STRPU_07515, STRPU_07507, STRPU_07503, STRPU_21942, STRPU_21954, STRPU_21943, STRPU_21939	HUMAN20381
OG0000069	STRPU_26328, STRPU_04107, STRPU_05473, STRPU_05020, STRPU_25384, STRPU_24249, STRPU_09003, STRPU_01056, STRPU_05927, STRPU_06003, STRPU_05936, STRPU_05932, STRPU_06000	HUMAN01509, HUMAN24625, HUMAN24602, HUMAN24629, HUMAN24631, HUMAN24608, HUMAN24669, HUMAN24667, HUMAN02614, HUMAN24605, HUMAN24620, HUMAN24658
OG0000070	STRPU_17447, STRPU_05505	HUMAN25671, HUMAN29634, HUMAN30393
OG0000070	STRPU_26776, STRPU_26437, STRPU_26424, STRPU_13775, STRPU_13137, STRPU_13158, STRPU_13139, STRPU_13160, STRPU_26426, STRPU_26931, STRPU_26775, STRPU_26438, STRPU_26932	HUMAN14161
OG0000072	STRPU_05231	HUMAN24108, HUMAN23125, HUMAN05334
OG0000072	STRPU_05349	HUMAN22965, HUMAN22964, HUMAN04101
OG0000072	STRPU_05343	HUMAN22852
OG0000072	STRPU_04704, STRPU_04707	HUMAN03255, HUMAN03252
OG0000073	STRPU_10042, STRPU_10116, STRPU_06184, STRPU_06189, STRPU_06216, STRPU_06191, STRPU_06178, STRPU_06177, STRPU_16126, STRPU_04632, STRPU_04654, STRPU_21421, STRPU_21420	HUMAN25174, HUMAN25175
OG0000073	STRPU_14789	HUMAN19028, HUMAN27930, HUMAN11516, HUMAN27929, HUMAN06831, HUMAN06836
OG0000074	STRPU_24425, STRPU_15226, STRPU_25840, STRPU_24424, STRPU_09406, STRPU_01552, STRPU_16196, STRPU_16237, STRPU_01870, STRPU_25185, STRPU_01871, STRPU_25186	HUMAN07045, HUMAN07044, HUMAN21437
OG0000074	STRPU_05573, STRPU_05632	HUMAN09283
OG0000074	STRPU_26349, STRPU_17860, STRPU_17858, STRPU_22932, STRPU_22800, STRPU_22801, STRPU_13956, STRPU_22802, STRPU_01961	HUMAN15238, HUMAN13822
OG0000075	STRPU_25005	HUMAN12839, HUMAN02593
OG0000075	STRPU_25123	HUMAN18233
OG0000075	STRPU_25122	HUMAN06329
OG0000075	STRPU_10595	HUMAN00444
OG0000075	STRPU_25157	HUMAN18234, HUMAN06328
OG0000075	STRPU_01897, STRPU_22743	HUMAN05783, HUMAN21047
OG0000075	STRPU_23530	HUMAN20335, HUMAN20336, HUMAN20532
OG0000075	STRPU_23991	HUMAN26884
OG0000077	STRPU_09555	HUMAN18656, HUMAN24161, HUMAN27605, HUMAN27606
OG0000077	STRPU_10408	HUMAN17351, HUMAN03646, HUMAN22147, HUMAN22146
OG0000077	STRPU_07855	HUMAN25299, HUMAN00457, HUMAN21175, HUMAN25341, HUMAN23402
OG0000078	STRPU_07324, STRPU_07628, STRPU_07626, STRPU_07630, STRPU_07061, STRPU_03530, STRPU_03595, STRPU_07100, STRPU_07101	HUMAN15000, HUMAN04284, HUMAN06996
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773	HUMAN06525, HUMAN07699, HUMAN06526, HUMAN17910, HUMAN26091, HUMAN23848
OG0000079	STRPU_04091	HUMAN22600, HUMAN22601, HUMAN24340
OG0000079	STRPU_02493, STRPU_15115	HUMAN13038, HUMAN13039, HUMAN13036, HUMAN07260
OG0000079	STRPU_15116, STRPU_02495	HUMAN13037
OG0000079	STRPU_26495, STRPU_19060	HUMAN14208, HUMAN14194, HUMAN14192
OG0000081	STRPU_10387, STRPU_19245, STRPU_19246	HUMAN03680, HUMAN03679, HUMAN03681, HUMAN03678
OG0000082	STRPU_19842	HUMAN29167
OG0000082	STRPU_09694, STRPU_09737	HUMAN23869
OG0000082	STRPU_18951	HUMAN23871
OG0000083	STRPU_05477, STRPU_05480, STRPU_05479	HUMAN07535, HUMAN22993
OG0000084	STRPU_10120, STRPU_10047	HUMAN03696, HUMAN22975
OG0000084	STRPU_09358	HUMAN05352
OG0000085	STRPU_24977	HUMAN12866, HUMAN20608, HUMAN17788
OG0000085	STRPU_15094	HUMAN13119, HUMAN07215
OG0000085	STRPU_25637	HUMAN26172
OG0000085	STRPU_14802	HUMAN19734, HUMAN19733, HUMAN05027
OG0000085	STRPU_17832	HUMAN25832
OG0000087	STRPU_06300, STRPU_06346	HUMAN11956
OG0000087	STRPU_20681	HUMAN02557
OG0000087	STRPU_22865	HUMAN17213
OG0000087	STRPU_08915, STRPU_00613	HUMAN21001
OG0000087	STRPU_25132	HUMAN18010
OG0000087	STRPU_23330	HUMAN21063
OG0000087	STRPU_08212	HUMAN10659
