Orthogroup	STRPU_ok	SACKO_ok
OG0000016	STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917
OG0000017	STRPU_24604, STRPU_14085, STRPU_02089, STRPU_14020, STRPU_04049, STRPU_14783, STRPU_03128, STRPU_05415, STRPU_00068, STRPU_06377, STRPU_22862, STRPU_06733, STRPU_03412, STRPU_00906, STRPU_16710, STRPU_08383, STRPU_26123, STRPU_08138, STRPU_14019, STRPU_04048, STRPU_14782, STRPU_07242, STRPU_06186	SACKO_32297
OG0000017	STRPU_17566	SACKO_17667
OG0000017	STRPU_08979, STRPU_00926	SACKO_00987, SACKO_29799
OG0000017	STRPU_00092, STRPU_08117	SACKO_32786, SACKO_07720
OG0000019	STRPU_27112, STRPU_27113	SACKO_29254
OG0000019	STRPU_18936	SACKO_34115
OG0000019	STRPU_07346, STRPU_07741, STRPU_13585, STRPU_01603, STRPU_05485, STRPU_05487, STRPU_05486, STRPU_05488, STRPU_05444, STRPU_12138, STRPU_12181, STRPU_01261, STRPU_18209, STRPU_01263, STRPU_18207, STRPU_18206	SACKO_10721
OG0000020	STRPU_13949	SACKO_22951
OG0000020	STRPU_20580	SACKO_32378
OG0000020	STRPU_01068, STRPU_24239	SACKO_15147
OG0000020	STRPU_19028, STRPU_00464	SACKO_20642
OG0000020	STRPU_22748, STRPU_01903	SACKO_08732
OG0000020	STRPU_06549	SACKO_26124
OG0000020	STRPU_25741	SACKO_26857
OG0000020	STRPU_22929	SACKO_10515
OG0000020	STRPU_07115	SACKO_21519
OG0000020	STRPU_26678	SACKO_08704
OG0000020	STRPU_22232	SACKO_23553
OG0000020	STRPU_19861, STRPU_19888	SACKO_16107, SACKO_20105
OG0000020	STRPU_05007	SACKO_15854
OG0000020	STRPU_11453	SACKO_20295
OG0000020	STRPU_04309, STRPU_04336	SACKO_29670
OG0000020	STRPU_13832	SACKO_04148
OG0000020	STRPU_05521	SACKO_24638
OG0000020	STRPU_21977	SACKO_04828
OG0000020	STRPU_05676	SACKO_14423
OG0000021	STRPU_22366, STRPU_22365	SACKO_17226, SACKO_17242, SACKO_17184
OG0000021	STRPU_23367	SACKO_24549
OG0000021	STRPU_21162, STRPU_21171, STRPU_21172, STRPU_13957, STRPU_27306, STRPU_06572	SACKO_04567
OG0000021	STRPU_25829	SACKO_32115
OG0000021	STRPU_02205, STRPU_15603	SACKO_15594
OG0000021	STRPU_02204, STRPU_15604	SACKO_33152
OG0000021	STRPU_02212, STRPU_15595	SACKO_29742
OG0000021	STRPU_05427	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631
OG0000021	STRPU_19513, STRPU_20206, STRPU_16862, STRPU_18709, STRPU_19164, STRPU_19932, STRPU_02595, STRPU_19514, STRPU_20213	SACKO_25838
OG0000021	STRPU_05019	SACKO_24637, SACKO_24630, SACKO_24646
OG0000021	STRPU_05298, STRPU_05227	SACKO_24640
OG0000023	STRPU_09714, STRPU_09758	SACKO_10529
OG0000023	STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358	SACKO_06926
OG0000023	STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990	SACKO_14770
OG0000023	STRPU_15044	SACKO_29082, SACKO_29077
OG0000023	STRPU_02240, STRPU_15564, STRPU_02241, STRPU_15563	SACKO_02636, SACKO_32832, SACKO_04746, SACKO_21615, SACKO_02641, SACKO_06924
OG0000025	STRPU_09349	SACKO_19443
OG0000025	STRPU_08707	SACKO_20772, SACKO_33394, SACKO_06338
OG0000026	STRPU_13435, STRPU_25665, STRPU_06675, STRPU_06676	SACKO_15830
OG0000026	STRPU_21822	SACKO_19336, SACKO_18847
OG0000026	STRPU_10195	SACKO_24091
OG0000026	STRPU_05748	SACKO_17379
OG0000027	STRPU_21099, STRPU_13367, STRPU_13387, STRPU_13389, STRPU_13369, STRPU_13372, STRPU_13393, STRPU_13370, STRPU_13390, STRPU_13392, STRPU_13371, STRPU_21105, STRPU_21100, STRPU_21104, STRPU_05793, STRPU_05791, STRPU_05792, STRPU_13609, STRPU_02454, STRPU_13784, STRPU_13738, STRPU_13737	SACKO_16243, SACKO_16215, SACKO_20907, SACKO_20901, SACKO_20909, SACKO_20913, SACKO_20906, SACKO_20908, SACKO_20904, SACKO_01887, SACKO_01902, SACKO_24465, SACKO_19838, SACKO_12782, SACKO_13981
OG0000027	STRPU_02455	SACKO_20528
OG0000028	STRPU_27006	SACKO_00031, SACKO_00042, SACKO_00048, SACKO_00060
OG0000028	STRPU_14468, STRPU_14467	SACKO_21235
OG0000028	STRPU_15103, STRPU_02480	SACKO_11105, SACKO_11126
OG0000028	STRPU_14326	SACKO_32628
OG0000028	STRPU_27008	SACKO_00054, SACKO_29910
OG0000028	STRPU_10620	SACKO_21077, SACKO_21076, SACKO_18955, SACKO_29407
OG0000028	STRPU_26663	SACKO_04520
OG0000029	STRPU_25978	SACKO_10012, SACKO_10033
OG0000029	STRPU_09836, STRPU_17433, STRPU_17432	SACKO_12540, SACKO_04574
OG0000029	STRPU_01827, STRPU_19313	SACKO_07374
OG0000029	STRPU_22529, STRPU_02628	SACKO_14992, SACKO_14998, SACKO_15002
OG0000029	STRPU_14123	SACKO_15001
OG0000029	STRPU_06877, STRPU_04841, STRPU_04839, STRPU_03689, STRPU_13344, STRPU_03096, STRPU_03095, STRPU_03099, STRPU_03098, STRPU_03097, STRPU_15299, STRPU_05507, STRPU_15311, STRPU_09913, STRPU_25618, STRPU_13518, STRPU_27237, STRPU_27236, STRPU_27234, STRPU_27235, STRPU_11822, STRPU_11823, STRPU_18505, STRPU_20934, STRPU_20927, STRPU_10511, STRPU_10512, STRPU_00236	SACKO_26681, SACKO_26700, SACKO_26680, SACKO_26670, SACKO_26667, SACKO_25014, SACKO_14195
OG0000030	STRPU_00450	SACKO_34042
OG0000030	STRPU_22548, STRPU_22870, STRPU_22868, STRPU_19590, STRPU_23769, STRPU_00032	SACKO_06188, SACKO_06167, SACKO_15139, SACKO_15143
OG0000030	STRPU_23383	SACKO_15145, SACKO_06184, SACKO_15141, SACKO_15135, SACKO_06169, SACKO_06668, SACKO_06170
OG0000030	STRPU_18729, STRPU_18720	SACKO_23559
OG0000030	STRPU_08641, STRPU_01462, STRPU_08711	SACKO_16655, SACKO_09928, SACKO_09940
OG0000030	STRPU_19039	SACKO_34092, SACKO_34095
OG0000030	STRPU_09527	SACKO_33974
OG0000031	STRPU_24640	SACKO_18621
OG0000031	STRPU_24955	SACKO_18614
OG0000031	STRPU_27330	SACKO_16512
OG0000031	STRPU_08004	SACKO_21501
OG0000031	STRPU_05537, STRPU_05597	SACKO_14417
OG0000031	STRPU_18994	SACKO_32680
OG0000031	STRPU_05368	SACKO_14578
OG0000031	STRPU_24676	SACKO_03088
OG0000032	STRPU_07046, STRPU_00037	SACKO_20615
OG0000032	STRPU_12458	SACKO_20618, SACKO_18250, SACKO_18255, SACKO_27193, SACKO_27208, SACKO_28754
OG0000032	STRPU_24275, STRPU_24481, STRPU_24338, STRPU_24339, STRPU_24455, STRPU_24337, STRPU_24336, STRPU_24340, STRPU_24341, STRPU_09346, STRPU_24445, STRPU_24444, STRPU_24276, STRPU_24277, STRPU_24816	SACKO_02664
OG0000034	STRPU_15245, STRPU_15189	SACKO_08906
OG0000034	STRPU_11798	SACKO_15619
OG0000034	STRPU_11930, STRPU_11885	SACKO_19192
OG0000034	STRPU_27315	SACKO_16505
OG0000034	STRPU_11793	SACKO_05860
OG0000034	STRPU_04070	SACKO_29852
OG0000034	STRPU_19458	SACKO_18648
OG0000034	STRPU_12141, STRPU_12106	SACKO_20915
OG0000034	STRPU_12101, STRPU_12104	SACKO_21906
OG0000035	STRPU_02368, STRPU_12778	SACKO_31939
OG0000035	STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194	SACKO_02558
OG0000035	STRPU_17279, STRPU_17277, STRPU_17278, STRPU_17275, STRPU_17274, STRPU_13032	SACKO_31936
OG0000035	STRPU_27002	SACKO_19408
OG0000035	STRPU_13051	SACKO_12639
OG0000035	STRPU_12705, STRPU_12704	SACKO_13246
OG0000035	STRPU_12998	SACKO_16912
OG0000035	STRPU_12553	SACKO_19307, SACKO_22660
OG0000035	STRPU_12554	SACKO_07333, SACKO_04598
OG0000035	STRPU_12700	SACKO_08422
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659	SACKO_28321
OG0000036	STRPU_09907	SACKO_14647
OG0000036	STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724	SACKO_28315
OG0000037	STRPU_20762	SACKO_05171
OG0000037	STRPU_24785	SACKO_15149
OG0000037	STRPU_10295, STRPU_10296, STRPU_10297	SACKO_17953, SACKO_17956
OG0000037	STRPU_10122, STRPU_10049, STRPU_21007, STRPU_10050, STRPU_10123	SACKO_33312, SACKO_33301, SACKO_07664, SACKO_07652, SACKO_16025
OG0000038	STRPU_23732, STRPU_23731	SACKO_30496
OG0000038	STRPU_04485	SACKO_08703
OG0000038	STRPU_17413	SACKO_08731
OG0000038	STRPU_17414, STRPU_17415	SACKO_00016
OG0000038	STRPU_17101, STRPU_17116	SACKO_03843, SACKO_27059, SACKO_05705, SACKO_05293
OG0000038	STRPU_18075, STRPU_01765	SACKO_05258, SACKO_05271
OG0000039	STRPU_13266	SACKO_24480
OG0000039	STRPU_05101, STRPU_05100, STRPU_05180	SACKO_16701
OG0000039	STRPU_21027	SACKO_15245
OG0000039	STRPU_16658, STRPU_15546, STRPU_15547, STRPU_20012, STRPU_20010	SACKO_26168, SACKO_17372
OG0000040	STRPU_21773, STRPU_17271, STRPU_21617, STRPU_22119, STRPU_03662, STRPU_03674, STRPU_03673, STRPU_03661, STRPU_01945, STRPU_22786, STRPU_01944, STRPU_25141, STRPU_21378, STRPU_03732, STRPU_03735, STRPU_03733, STRPU_03734, STRPU_08305, STRPU_03737, STRPU_08238	SACKO_18377, SACKO_18375, SACKO_18381, SACKO_18372, SACKO_21524, SACKO_18370, SACKO_21492, SACKO_21526, SACKO_12837, SACKO_20866, SACKO_06279, SACKO_20851
OG0000041	STRPU_13000	SACKO_08282
OG0000042	STRPU_25773, STRPU_25790, STRPU_20448, STRPU_25770, STRPU_25789, STRPU_25771, STRPU_25788, STRPU_20447	SACKO_09704, SACKO_06360, SACKO_13545, SACKO_01479, SACKO_01780, SACKO_01784, SACKO_06831, SACKO_06769, SACKO_11034, SACKO_11057, SACKO_23094, SACKO_05345, SACKO_01657, SACKO_14496
OG0000043	STRPU_03522, STRPU_03585	SACKO_11078
OG0000043	STRPU_10844, STRPU_10864	SACKO_09694
OG0000044	STRPU_09802	SACKO_25267, SACKO_00121
OG0000044	STRPU_04938	SACKO_11589
OG0000044	STRPU_10710	SACKO_12560, SACKO_18675
OG0000045	STRPU_16212, STRPU_16247, STRPU_16854, STRPU_16858	SACKO_32932
OG0000045	STRPU_22837	SACKO_19853
OG0000045	STRPU_00473	SACKO_32920
OG0000045	STRPU_26605	SACKO_11824
OG0000045	STRPU_26903	SACKO_03986, SACKO_29244
OG0000045	STRPU_16861, STRPU_16872	SACKO_13295, SACKO_19354
OG0000046	STRPU_24167, STRPU_08327, STRPU_08328	SACKO_18448
OG0000046	STRPU_13398, STRPU_13377, STRPU_13401, STRPU_13400, STRPU_13399	SACKO_30288
OG0000048	STRPU_20212	SACKO_10818
OG0000048	STRPU_15458	SACKO_04413
OG0000048	STRPU_09674	SACKO_24161
OG0000048	STRPU_20602	SACKO_03133
OG0000048	STRPU_20482	SACKO_17673
OG0000048	STRPU_16799, STRPU_16795, STRPU_07185, STRPU_07193, STRPU_16454, STRPU_16791, STRPU_16794, STRPU_16792, STRPU_16789, STRPU_16451, STRPU_16475, STRPU_16452, STRPU_16790	SACKO_04525, SACKO_04530, SACKO_31187
OG0000048	STRPU_26191	SACKO_29639
OG0000049	STRPU_17072	SACKO_08936
OG0000049	STRPU_23537	SACKO_25469
OG0000049	STRPU_23534	SACKO_25472
OG0000049	STRPU_10893	SACKO_03908
OG0000049	STRPU_01801, STRPU_17036	SACKO_04800
OG0000049	STRPU_06696	SACKO_29659
OG0000049	STRPU_04345	SACKO_17863
OG0000050	STRPU_06209, STRPU_11559, STRPU_20985, STRPU_20001, STRPU_23015, STRPU_00753	SACKO_33502, SACKO_27829, SACKO_28831, SACKO_23972
OG0000050	STRPU_10411	SACKO_16669, SACKO_28066, SACKO_21118
OG0000050	STRPU_16312	SACKO_30449, SACKO_28664
OG0000050	STRPU_07810, STRPU_07823, STRPU_11057, STRPU_09032, STRPU_09040, STRPU_20428, STRPU_00461	SACKO_21879, SACKO_14082, SACKO_12826, SACKO_19173, SACKO_06375, SACKO_10464, SACKO_01876, SACKO_20008
OG0000051	STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664	SACKO_01323, SACKO_05894, SACKO_05920, SACKO_05919, SACKO_05947, SACKO_05961, SACKO_05937, SACKO_05924, SACKO_05914, SACKO_05927, SACKO_21265, SACKO_05598, SACKO_21276, SACKO_00826, SACKO_19765, SACKO_21267, SACKO_21272, SACKO_21225, SACKO_21248, SACKO_21467
OG0000051	STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	SACKO_26547, SACKO_15743, SACKO_15729, SACKO_15742, SACKO_15726
OG0000053	STRPU_08946, STRPU_08947, STRPU_08944, STRPU_08945, STRPU_08948, STRPU_08943	SACKO_15467, SACKO_21226, SACKO_03699, SACKO_03709, SACKO_16849, SACKO_03708, SACKO_00170, SACKO_03706, SACKO_21212, SACKO_21731, SACKO_21734, SACKO_21245, SACKO_21203, SACKO_21243, SACKO_21250, SACKO_21249, SACKO_21277, SACKO_21223, SACKO_21269
OG0000053	STRPU_05629, STRPU_05628, STRPU_05570, STRPU_05571, STRPU_05630	SACKO_23808
OG0000054	STRPU_24985, STRPU_17119, STRPU_17104, STRPU_17103, STRPU_17118	SACKO_11814, SACKO_18179
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	SACKO_17476
OG0000055	STRPU_22907, STRPU_22892, STRPU_07759	SACKO_04838, SACKO_05123, SACKO_33317
OG0000056	STRPU_19327	SACKO_33679, SACKO_33678, SACKO_33948, SACKO_33672
OG0000056	STRPU_18531, STRPU_18489	SACKO_32711
OG0000056	STRPU_07224, STRPU_07218	SACKO_24077, SACKO_19128, SACKO_03331, SACKO_23806, SACKO_06355, SACKO_01699
OG0000056	STRPU_15160, STRPU_15211	SACKO_04324, SACKO_33186
OG0000056	STRPU_12348	SACKO_24135
OG0000056	STRPU_09650, STRPU_14115, STRPU_15286, STRPU_15300	SACKO_14382, SACKO_02173, SACKO_16829, SACKO_08042, SACKO_11469
OG0000056	STRPU_12766, STRPU_02354	SACKO_13827
