Orthogroup	STRPU_ok	YEAST
OG0000036	STRPU_26319, STRPU_09906, STRPU_26130, STRPU_25659, STRPU_09907, STRPU_23684, STRPU_25644, STRPU_25648, STRPU_25645, STRPU_08302, STRPU_08304, STRPU_08301, STRPU_26233, STRPU_26087, STRPU_25627, STRPU_25622, STRPU_25626, STRPU_25620, STRPU_01762, STRPU_18074, STRPU_18073, STRPU_01763, STRPU_18071, STRPU_01764, STRPU_25619, STRPU_26269, STRPU_26295, STRPU_26296, STRPU_26270, STRPU_26325, STRPU_26324, STRPU_26321, STRPU_16183, STRPU_16230, STRPU_25724, STRPU_26320	YEAST02545, YEAST02806
OG0000037	STRPU_21189, STRPU_21188, STRPU_20688, STRPU_21621, STRPU_21620, STRPU_20762, STRPU_24785, STRPU_10295, STRPU_10296, STRPU_10297, STRPU_10122, STRPU_10049, STRPU_21007, STRPU_10050, STRPU_10123	YEAST03227
OG0000038	STRPU_17412, STRPU_17401, STRPU_17751, STRPU_18076, STRPU_01766, STRPU_17416, STRPU_23732, STRPU_23731, STRPU_04485, STRPU_18085, STRPU_01774, STRPU_18078, STRPU_18077, STRPU_18081, STRPU_01769, STRPU_18084, STRPU_01773, STRPU_01768, STRPU_18080, STRPU_06238, STRPU_18079, STRPU_01767, STRPU_18082, STRPU_01770, STRPU_18086, STRPU_17413, STRPU_17414, STRPU_17415, STRPU_18083, STRPU_01772, STRPU_18683, STRPU_01771, STRPU_17101, STRPU_17116, STRPU_18075, STRPU_01765, STRPU_17312	YEAST04422, YEAST04379
OG0000043	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002, STRPU_20956, STRPU_23749, STRPU_07332, STRPU_01391, STRPU_12193, STRPU_08767, STRPU_03522, STRPU_03585, STRPU_10844, STRPU_10864	YEAST00224, YEAST01200
OG0000048	STRPU_05493, STRPU_20212, STRPU_15458, STRPU_09674, STRPU_06729, STRPU_06730, STRPU_06385, STRPU_20602, STRPU_20482, STRPU_17966, STRPU_17965, STRPU_16799, STRPU_16795, STRPU_07185, STRPU_07193, STRPU_16454, STRPU_16791, STRPU_16794, STRPU_16792, STRPU_16789, STRPU_16451, STRPU_16475, STRPU_16452, STRPU_16790, STRPU_26191	YEAST05707
OG0000054	STRPU_24985, STRPU_17119, STRPU_17104, STRPU_17103, STRPU_17118, STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653, STRPU_24986	YEAST01385
OG0000055	STRPU_20957, STRPU_01318, STRPU_11632, STRPU_00007, STRPU_00011, STRPU_00003, STRPU_00009, STRPU_22907, STRPU_22892, STRPU_07759, STRPU_04185, STRPU_03690, STRPU_21374, STRPU_07333, STRPU_23750, STRPU_01392, STRPU_08766, STRPU_11839, STRPU_12194, STRPU_09005, STRPU_02948, STRPU_05937, STRPU_06001, STRPU_06035, STRPU_05928, STRPU_05933	YEAST01199, YEAST00225
OG0000058	STRPU_00582, STRPU_07549, STRPU_10155, STRPU_10092	YEAST02989
OG0000058	STRPU_08934, STRPU_09783, STRPU_22659, STRPU_20114, STRPU_20092, STRPU_20113, STRPU_20091, STRPU_20112, STRPU_20090, STRPU_01463, STRPU_08710, STRPU_08708, STRPU_01464, STRPU_08638, STRPU_07320, STRPU_07322, STRPU_07323, STRPU_07321	YEAST02120
OG0000069	STRPU_24462	YEAST03661
OG0000069	STRPU_08964, STRPU_21393	YEAST05172
OG0000079	STRPU_23093, STRPU_23381, STRPU_23773, STRPU_04091, STRPU_02493, STRPU_15115, STRPU_15116, STRPU_02495, STRPU_26495, STRPU_19060	YEAST05330
OG0000082	STRPU_19842	YEAST03287
OG0000082	STRPU_09694, STRPU_09737	YEAST04267, YEAST01834, YEAST03359
OG0000082	STRPU_22564, STRPU_22563, STRPU_20087, STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000082	STRPU_18951	YEAST04992, YEAST00735
OG0000095	STRPU_20727, STRPU_00724, STRPU_20728, STRPU_00725, STRPU_00723, STRPU_16377, STRPU_14969, STRPU_20725, STRPU_00722, STRPU_15591, STRPU_02215, STRPU_15590, STRPU_02216, STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814, STRPU_15048, STRPU_02486, STRPU_24542	YEAST02993
OG0000096	STRPU_06019, STRPU_23963, STRPU_23937	YEAST02643
OG0000096	STRPU_22229	YEAST00638
