Orthogroup	STRPU_ok	AENJA_ok
OG0000006	STRPU_21071	AENJA_09210
OG0000006	STRPU_14340	AENJA_15474
OG0000007	STRPU_25459	AENJA_18325
OG0000007	STRPU_26581	AENJA_18163
OG0000007	STRPU_21427	AENJA_00810
OG0000007	STRPU_18763	AENJA_25020
OG0000007	STRPU_09815	AENJA_23908
OG0000007	STRPU_10770	AENJA_19234
OG0000007	STRPU_25460	AENJA_18326
OG0000007	STRPU_25458	AENJA_18328
OG0000007	STRPU_08156, STRPU_08157	AENJA_11851
OG0000007	STRPU_16477	AENJA_09687
OG0000007	STRPU_21790	AENJA_07358
OG0000007	STRPU_08442	AENJA_11277
OG0000007	STRPU_08417	AENJA_22886
OG0000007	STRPU_12872	AENJA_20902
OG0000007	STRPU_10590	AENJA_16981
OG0000007	STRPU_21559	AENJA_26507
OG0000008	STRPU_08296	AENJA_24738, AENJA_04336, AENJA_08081, AENJA_21611, AENJA_18286, AENJA_19574, AENJA_03105
OG0000008	STRPU_13280	AENJA_21542
OG0000008	STRPU_13930, STRPU_13915	AENJA_21421, AENJA_04271
OG0000008	STRPU_23377, STRPU_23376	AENJA_00959
OG0000009	STRPU_17808	AENJA_03345
OG0000009	STRPU_15444, STRPU_03718, STRPU_18053, STRPU_20484	AENJA_00113, AENJA_11818
OG0000009	STRPU_17807	AENJA_00671
OG0000009	STRPU_03684	AENJA_15566
OG0000009	STRPU_15654, STRPU_26439, STRPU_09847, STRPU_13357, STRPU_23871, STRPU_21906, STRPU_16904, STRPU_04743, STRPU_04269, STRPU_14755	AENJA_12983
OG0000009	STRPU_09185	AENJA_26356, AENJA_04329
OG0000009	STRPU_21731, STRPU_03775	AENJA_24005, AENJA_00782
OG0000009	STRPU_11405, STRPU_18563, STRPU_19504, STRPU_03685	AENJA_09863, AENJA_04684, AENJA_26490, AENJA_11530
OG0000009	STRPU_16860, STRPU_03566, STRPU_20030, STRPU_20895, STRPU_03124, STRPU_12941, STRPU_10676, STRPU_24579, STRPU_16616, STRPU_17520, STRPU_20150, STRPU_01519	AENJA_22062
OG0000009	STRPU_19547, STRPU_26479, STRPU_00431, STRPU_17677, STRPU_03968	AENJA_12021, AENJA_05571
OG0000009	STRPU_21356, STRPU_17025, STRPU_26652, STRPU_25389, STRPU_22050, STRPU_19627, STRPU_22581, STRPU_08423, STRPU_16702, STRPU_26575, STRPU_03959, STRPU_08817, STRPU_01475, STRPU_14722, STRPU_17642, STRPU_11125	AENJA_12773
OG0000010	STRPU_04522	AENJA_14735
OG0000010	STRPU_11420, STRPU_01204, STRPU_19975	AENJA_06639
OG0000010	STRPU_08974, STRPU_08975	AENJA_15586, AENJA_16004, AENJA_09141
OG0000011	STRPU_20881	AENJA_08607, AENJA_10319
OG0000011	STRPU_03188, STRPU_03644, STRPU_13118, STRPU_15611, STRPU_01277, STRPU_02577	AENJA_02877, AENJA_17352
OG0000011	STRPU_20280, STRPU_12367	AENJA_17241, AENJA_22685, AENJA_26020
OG0000011	STRPU_03079	AENJA_21547
OG0000011	STRPU_16724	AENJA_23691
OG0000011	STRPU_10303	AENJA_24664
OG0000011	STRPU_09042	AENJA_26050
OG0000012	STRPU_06380	AENJA_21729, AENJA_07862, AENJA_07861
OG0000012	STRPU_06825	AENJA_02014
