Orthogroup	STRPU_ok	CAPO3
OG0000016	STRPU_09277	CAPO304360
OG0000016	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484, STRPU_06664, STRPU_06873, STRPU_06665	CAPO306803
OG0000016	STRPU_15361, STRPU_21110	CAPO303259
OG0000016	STRPU_22999, STRPU_00875, STRPU_22993, STRPU_22992, STRPU_22997, STRPU_22995, STRPU_22684, STRPU_23485, STRPU_23482, STRPU_23488, STRPU_23483, STRPU_23481, STRPU_23477, STRPU_23478, STRPU_22637, STRPU_00667, STRPU_23082	CAPO300936
OG0000023	STRPU_09714, STRPU_09758, STRPU_09970, STRPU_05490, STRPU_14357, STRPU_15269, STRPU_14358, STRPU_14359, STRPU_14360, STRPU_08363, STRPU_04156, STRPU_04890, STRPU_04760, STRPU_04888, STRPU_04889, STRPU_04887, STRPU_09969, STRPU_09989, STRPU_09988, STRPU_09968, STRPU_09990, STRPU_15044, STRPU_02240, STRPU_15564, STRPU_02241, STRPU_15563, STRPU_20382, STRPU_04831, STRPU_00750, STRPU_00747, STRPU_00749, STRPU_00748	CAPO307690
OG0000029	STRPU_25978, STRPU_09836, STRPU_17433, STRPU_17432, STRPU_23559, STRPU_01827, STRPU_19313, STRPU_22529, STRPU_02628, STRPU_14123, STRPU_06877, STRPU_04841, STRPU_04839, STRPU_03689, STRPU_13344, STRPU_03096, STRPU_03095, STRPU_03099, STRPU_03098, STRPU_03097, STRPU_15299, STRPU_05507, STRPU_15311, STRPU_09913, STRPU_25618, STRPU_13518, STRPU_27237, STRPU_27236, STRPU_27234, STRPU_27235, STRPU_11822, STRPU_11823, STRPU_18505, STRPU_20934, STRPU_20927, STRPU_10511, STRPU_10512, STRPU_00236	CAPO307131
OG0000030	STRPU_22548, STRPU_22870, STRPU_22868, STRPU_19590, STRPU_23769, STRPU_00032, STRPU_23383, STRPU_18729, STRPU_18720, STRPU_08641, STRPU_01462, STRPU_08711, STRPU_19039, STRPU_10522, STRPU_06146, STRPU_06148, STRPU_09527	CAPO305356, CAPO301638, CAPO307563
OG0000031	STRPU_08004	CAPO303729
OG0000031	STRPU_23584	CAPO307573
OG0000035	STRPU_02368, STRPU_12778, STRPU_25195, STRPU_01880, STRPU_04279, STRPU_01879, STRPU_25194, STRPU_17279, STRPU_17277, STRPU_17278, STRPU_17275, STRPU_17274, STRPU_13032, STRPU_27002, STRPU_13051, STRPU_12705, STRPU_12704, STRPU_12998, STRPU_12553, STRPU_12554, STRPU_12700	CAPO307346, CAPO308354
OG0000038	STRPU_17312	CAPO307725
OG0000039	STRPU_13266	CAPO306958, CAPO306959
OG0000041	STRPU_12827, STRPU_12828, STRPU_13000	CAPO308025, CAPO306861
OG0000043	STRPU_06030, STRPU_05999, STRPU_05926, STRPU_05935, STRPU_05931, STRPU_05994, STRPU_06002, STRPU_25650, STRPU_06033, STRPU_06024, STRPU_21373, STRPU_04184, STRPU_00010, STRPU_00008, STRPU_00006, STRPU_00002, STRPU_20956, STRPU_23749, STRPU_07332, STRPU_01391, STRPU_12193, STRPU_08767, STRPU_03522, STRPU_03585	CAPO308256
OG0000048	STRPU_05493	CAPO305301
OG0000048	STRPU_16799, STRPU_16795, STRPU_07185, STRPU_07193, STRPU_16454, STRPU_16791, STRPU_16794, STRPU_16792, STRPU_16789, STRPU_16451, STRPU_16475, STRPU_16452, STRPU_16790	CAPO306877
OG0000048	STRPU_26191	CAPO304823
OG0000049	STRPU_17072, STRPU_23537, STRPU_23534, STRPU_10893, STRPU_01801, STRPU_17036, STRPU_17685, STRPU_17686, STRPU_22320, STRPU_06696, STRPU_17073, STRPU_04345, STRPU_23536	CAPO304018
OG0000051	STRPU_27246, STRPU_04087, STRPU_04086, STRPU_04085, STRPU_04081, STRPU_04082, STRPU_04844, STRPU_04845, STRPU_04838, STRPU_04842, STRPU_04843, STRPU_04683, STRPU_04684, STRPU_08146, STRPU_04384, STRPU_04388, STRPU_04386, STRPU_04385, STRPU_11426, STRPU_04634, STRPU_04664, STRPU_17901, STRPU_17577, STRPU_17576, STRPU_17547, STRPU_17574, STRPU_17579, STRPU_17578, STRPU_17575, STRPU_02970, STRPU_16946	CAPO307809, CAPO301249
OG0000053	STRPU_09915	CAPO302193
OG0000054	STRPU_24985, STRPU_17119, STRPU_17104, STRPU_17103, STRPU_17118	CAPO303213, CAPO305653
OG0000054	STRPU_04629, STRPU_04651, STRPU_21552, STRPU_04633, STRPU_04661, STRPU_04884, STRPU_04631, STRPU_04653	CAPO302015
OG0000054	STRPU_24986	CAPO303797
OG0000056	STRPU_07187, STRPU_07195, STRPU_26180, STRPU_19327, STRPU_18531, STRPU_18489, STRPU_12248, STRPU_11783, STRPU_07224, STRPU_07218, STRPU_15160, STRPU_15211, STRPU_12348, STRPU_09650, STRPU_14115, STRPU_15286, STRPU_15300, STRPU_06395, STRPU_12766, STRPU_02354, STRPU_05523, STRPU_19358, STRPU_06434	CAPO305974, CAPO306012, CAPO306941
OG0000058	STRPU_00582, STRPU_07549, STRPU_10155, STRPU_10092	CAPO305595
OG0000058	STRPU_08934	CAPO307225
OG0000060	STRPU_24855, STRPU_18179, STRPU_17613, STRPU_25136, STRPU_17605, STRPU_17612, STRPU_17606, STRPU_17085, STRPU_24483, STRPU_24484, STRPU_21861, STRPU_10974, STRPU_10973, STRPU_22645, STRPU_20391, STRPU_24081, STRPU_24740, STRPU_24199, STRPU_24413, STRPU_12994	CAPO305373
OG0000062	STRPU_12717, STRPU_26540, STRPU_26538, STRPU_26536, STRPU_26537, STRPU_12721, STRPU_24303, STRPU_12720, STRPU_12719, STRPU_26408, STRPU_08191, STRPU_26407, STRPU_19993, STRPU_19459, STRPU_19398	CAPO300910
OG0000063	STRPU_18989, STRPU_23711, STRPU_19258, STRPU_01260, STRPU_18990, STRPU_18981, STRPU_07188, STRPU_19022, STRPU_00471, STRPU_18997, STRPU_18657	CAPO300270
OG0000066	STRPU_23239, STRPU_23705, STRPU_07404, STRPU_19100, STRPU_13499, STRPU_13506, STRPU_13495, STRPU_10561, STRPU_10560, STRPU_10760, STRPU_11704	CAPO308057
OG0000069	STRPU_24462	CAPO302182
OG0000069	STRPU_08964, STRPU_21393	CAPO301523, CAPO305173
OG0000079	STRPU_26495, STRPU_19060	CAPO302518
OG0000082	STRPU_19842	CAPO304738
OG0000082	STRPU_09694, STRPU_09737	CAPO306626
OG0000082	STRPU_22564, STRPU_22563, STRPU_20087	CAPO300843
OG0000082	STRPU_20082, STRPU_20108, STRPU_20107, STRPU_20088, STRPU_20110, STRPU_20083, STRPU_20081, STRPU_20109, STRPU_20084, STRPU_20079, STRPU_20106, STRPU_20105, STRPU_20078, STRPU_20085, STRPU_03415, STRPU_03390, STRPU_03400, STRPU_03405, STRPU_02825	CAPO306232
OG0000085	STRPU_09804, STRPU_24977	CAPO303061
OG0000085	STRPU_15094, STRPU_25637, STRPU_14802, STRPU_14879, STRPU_17832	CAPO303047
OG0000089	STRPU_13683, STRPU_02392, STRPU_13677, STRPU_02394, STRPU_01670, STRPU_12007, STRPU_01669, STRPU_02395, STRPU_13676, STRPU_12008, STRPU_13675, STRPU_23879, STRPU_11785, STRPU_18163, STRPU_11787, STRPU_03747, STRPU_11784, STRPU_12992, STRPU_23883, STRPU_23884, STRPU_24895, STRPU_24715, STRPU_10589, STRPU_17838, STRPU_22395, STRPU_25350, STRPU_25352, STRPU_23912, STRPU_23606, STRPU_07030, STRPU_01356, STRPU_11582, STRPU_11585, STRPU_11591, STRPU_11587, STRPU_01354, STRPU_11579, STRPU_01359, STRPU_11586, STRPU_01355, STRPU_11198, STRPU_11197, STRPU_18544, STRPU_15473, STRPU_15469, STRPU_18577, STRPU_18571, STRPU_15474, STRPU_18543, STRPU_15470, STRPU_07004, STRPU_08016, STRPU_25351	CAPO300386, CAPO300810, CAPO302098
OG0000091	STRPU_08886, STRPU_00935, STRPU_08884, STRPU_00936, STRPU_17364, STRPU_17341, STRPU_17128, STRPU_24571, STRPU_26100, STRPU_26114, STRPU_17342, STRPU_24653, STRPU_09916, STRPU_24656, STRPU_24652, STRPU_24318, STRPU_24319, STRPU_24441, STRPU_24440, STRPU_24439, STRPU_09275	CAPO301134
OG0000095	STRPU_20727, STRPU_00724, STRPU_20728, STRPU_00725, STRPU_00723, STRPU_16377, STRPU_14969, STRPU_20725, STRPU_00722, STRPU_15591, STRPU_02215, STRPU_15590, STRPU_02216, STRPU_02484, STRPU_15260, STRPU_15203, STRPU_15261, STRPU_15204, STRPU_15106, STRPU_02483, STRPU_15107, STRPU_02485, STRPU_14814, STRPU_15048, STRPU_02486, STRPU_24542	CAPO301288, CAPO306046
OG0000096	STRPU_23963, STRPU_23937	CAPO301431
OG0000096	STRPU_22229	CAPO307955
OG0000096	STRPU_27319	CAPO307522
OG0000096	STRPU_15853, STRPU_15805	CAPO300294
OG0000096	STRPU_11677, STRPU_13124, STRPU_02569	CAPO307017
OG0000101	STRPU_12617, STRPU_17410, STRPU_17399, STRPU_17409, STRPU_00056, STRPU_00044, STRPU_13993, STRPU_09278, STRPU_14078, STRPU_00843, STRPU_14047	CAPO306858
OG0000103	STRPU_08665, STRPU_08161	CAPO302453
OG0000106	STRPU_25282, STRPU_25442, STRPU_24881, STRPU_24880, STRPU_01718, STRPU_24866, STRPU_24879, STRPU_24865, STRPU_18866, STRPU_18929, STRPU_18927, STRPU_18867, STRPU_14313, STRPU_24306, STRPU_24307	CAPO300017
OG0000107	STRPU_24418	CAPO301524
OG0000110	STRPU_00144, STRPU_15809, STRPU_15855, STRPU_16662, STRPU_16520, STRPU_15856, STRPU_15811, STRPU_15857, STRPU_15812, STRPU_07303, STRPU_16033, STRPU_16044, STRPU_04106, STRPU_02369, STRPU_12779, STRPU_16663, STRPU_16689, STRPU_16690, STRPU_16661, STRPU_16688, STRPU_25624, STRPU_25621, STRPU_25625, STRPU_02320, STRPU_12739, STRPU_20491, STRPU_21462, STRPU_21461, STRPU_24363	CAPO300387
OG0000116	STRPU_21801, STRPU_21802	CAPO305622
OG0000119	STRPU_13902, STRPU_13282, STRPU_14005, STRPU_13283, STRPU_13285, STRPU_04923, STRPU_13455, STRPU_13951, STRPU_13805, STRPU_13905	CAPO304642
OG0000122	STRPU_24152, STRPU_24150, STRPU_24593, STRPU_24582, STRPU_24583, STRPU_24594	CAPO307824
OG0000124	STRPU_09291	CAPO304324
OG0000126	STRPU_06870	CAPO302484
OG0000126	STRPU_04964, STRPU_26672	CAPO300572
OG0000128	STRPU_10852, STRPU_10834, STRPU_17766, STRPU_17387, STRPU_17765, STRPU_17386, STRPU_24545, STRPU_20813, STRPU_00080, STRPU_21124, STRPU_21123, STRPU_21127, STRPU_21125	CAPO306991, CAPO304956
OG0000129	STRPU_15503, STRPU_21106, STRPU_21101, STRPU_06625	CAPO303361
OG0000137	STRPU_07118, STRPU_07594, STRPU_07697, STRPU_07683, STRPU_07593, STRPU_07965, STRPU_07957, STRPU_17715, STRPU_18673, STRPU_18678	CAPO305369
OG0000142	STRPU_10891, STRPU_10873, STRPU_05787, STRPU_10883, STRPU_10879, STRPU_00821, STRPU_26698, STRPU_00820, STRPU_00819, STRPU_25555, STRPU_25554, STRPU_10876, STRPU_10887, STRPU_10875, STRPU_10888, STRPU_25556, STRPU_10885, STRPU_10877, STRPU_10878, STRPU_10884, STRPU_10889, STRPU_10890, STRPU_10874, STRPU_10945, STRPU_10943	CAPO302031, CAPO302030
