Orthogroup	HELIO_ok	SCHMD
OG0000021	HELIO_01018	SCHMD10526, SCHMD19498
OG0000021	HELIO_09286	SCHMD09793, SCHMD07893
OG0000022	HELIO_07323	SCHMD24329, SCHMD24328
OG0000023	HELIO_07600, HELIO_09870	SCHMD05376
OG0000026	HELIO_09541	SCHMD22460
OG0000028	HELIO_10800	SCHMD01093
OG0000028	HELIO_06962	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450
OG0000028	HELIO_00147	SCHMD22912, SCHMD03422
OG0000028	HELIO_06306	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075
OG0000029	HELIO_10546, HELIO_00115	SCHMD21600, SCHMD23194, SCHMD18727
OG0000030	HELIO_04525, HELIO_09505	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250
OG0000030	HELIO_06719	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579
OG0000031	HELIO_00475, HELIO_11237	SCHMD16950
OG0000031	HELIO_10166	SCHMD11094
OG0000031	HELIO_11573, HELIO_11428	SCHMD00185
OG0000031	HELIO_00638, HELIO_00007, HELIO_08452	SCHMD17865
OG0000032	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	SCHMD05709, SCHMD01866
OG0000034	HELIO_11044	SCHMD26718, SCHMD02114, SCHMD11716, SCHMD29000
OG0000034	HELIO_03041, HELIO_03040	SCHMD13190, SCHMD26745
OG0000034	HELIO_10910	SCHMD11160, SCHMD18247
OG0000034	HELIO_05981	SCHMD04875
OG0000035	HELIO_06273	SCHMD06303
OG0000035	HELIO_04621	SCHMD10019, SCHMD14794, SCHMD08606
OG0000035	HELIO_00732, HELIO_11539	SCHMD15627, SCHMD19701
OG0000037	HELIO_04596, HELIO_02436, HELIO_07508, HELIO_06312, HELIO_10715, HELIO_01421	SCHMD19933
OG0000037	HELIO_01377	SCHMD00542, SCHMD17538
OG0000037	HELIO_04770	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781
OG0000037	HELIO_09574, HELIO_11062, HELIO_01380	SCHMD26619
OG0000039	HELIO_01180, HELIO_07214, HELIO_00133, HELIO_10409	SCHMD12270
OG0000043	HELIO_04067, HELIO_00563	SCHMD11455
OG0000043	HELIO_03541	SCHMD29206, SCHMD09758
OG0000044	HELIO_07264	SCHMD21748
