Orthogroup	HELIO_ok	AENJA_ok
OG0000016	HELIO_07322, HELIO_06996, HELIO_05885, HELIO_04527	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864
OG0000017	HELIO_09340	AENJA_05535, AENJA_05683, AENJA_04765, AENJA_17536, AENJA_11492
OG0000017	HELIO_04056	AENJA_12426, AENJA_00338
OG0000017	HELIO_08729	AENJA_00793
OG0000017	HELIO_04627	AENJA_05284, AENJA_20820, AENJA_23397
OG0000017	HELIO_04574	AENJA_16724, AENJA_21433, AENJA_25229, AENJA_26186
OG0000017	HELIO_08140, HELIO_07705	AENJA_00442
OG0000017	HELIO_06230	AENJA_14928, AENJA_06318
OG0000017	HELIO_06928	AENJA_08674, AENJA_21573
OG0000017	HELIO_05297	AENJA_04888, AENJA_03290
OG0000017	HELIO_04933	AENJA_12775, AENJA_13083, AENJA_06685, AENJA_01563
OG0000017	HELIO_03953	AENJA_10043
OG0000018	HELIO_03926, HELIO_06035	AENJA_24490, AENJA_10833
OG0000018	HELIO_04613	AENJA_10761, AENJA_12683
OG0000018	HELIO_07465	AENJA_25137
OG0000018	HELIO_07028	AENJA_19981
OG0000018	HELIO_04549, HELIO_03495, HELIO_05613	AENJA_14150
OG0000018	HELIO_05389	AENJA_12247
OG0000019	HELIO_07628	AENJA_02273
OG0000019	HELIO_11234	AENJA_24818
OG0000020	HELIO_01087	AENJA_15791
OG0000020	HELIO_03892	AENJA_12903
OG0000020	HELIO_08119	AENJA_09502
OG0000020	HELIO_03039	AENJA_14074
OG0000020	HELIO_08325	AENJA_08287
OG0000020	HELIO_10764	AENJA_18052
OG0000020	HELIO_10811	AENJA_23718
OG0000020	HELIO_12285	AENJA_16929
OG0000020	HELIO_05828	AENJA_04727
OG0000020	HELIO_10575	AENJA_10912
OG0000020	HELIO_05888	AENJA_11444
OG0000020	HELIO_07729	AENJA_07947
OG0000020	HELIO_08365	AENJA_14659
OG0000020	HELIO_01918	AENJA_12495
OG0000020	HELIO_11794	AENJA_25422
OG0000021	HELIO_00817, HELIO_05146	AENJA_21621, AENJA_21623
OG0000021	HELIO_05564	AENJA_26606, AENJA_10786
OG0000021	HELIO_09128	AENJA_19175
OG0000021	HELIO_01018	AENJA_25124
OG0000021	HELIO_10440	AENJA_15672, AENJA_17125
OG0000021	HELIO_09286	AENJA_10523
OG0000021	HELIO_08020, HELIO_10557	AENJA_01732, AENJA_19095, AENJA_24409, AENJA_17711
OG0000023	HELIO_07781	AENJA_06341
OG0000023	HELIO_08618	AENJA_22520, AENJA_19106
OG0000023	HELIO_11316	AENJA_11920
OG0000023	HELIO_07887, HELIO_10788, HELIO_06647	AENJA_26230
OG0000023	HELIO_00907	AENJA_19908
OG0000023	HELIO_07600, HELIO_09870	AENJA_03895
OG0000024	HELIO_07449	AENJA_19836, AENJA_22674, AENJA_01541, AENJA_03429
OG0000024	HELIO_07047	AENJA_26384
OG0000024	HELIO_00822	AENJA_23336, AENJA_21942, AENJA_20896, AENJA_05575, AENJA_18891
OG0000024	HELIO_07972	AENJA_25408
OG0000024	HELIO_05347	AENJA_13035, AENJA_24703
OG0000024	HELIO_10427	AENJA_04068
OG0000024	HELIO_10803	AENJA_18080
OG0000024	HELIO_07601	AENJA_18095, AENJA_12767
OG0000024	HELIO_04022	AENJA_02712
OG0000025	HELIO_01996, HELIO_02947, HELIO_11183	AENJA_16194, AENJA_12427, AENJA_26584
OG0000025	HELIO_05004	AENJA_03985
OG0000025	HELIO_01616	AENJA_21079
OG0000025	HELIO_06548, HELIO_05151	AENJA_14413
OG0000025	HELIO_05243, HELIO_04943, HELIO_07532, HELIO_06878, HELIO_07309, HELIO_06949, HELIO_05701, HELIO_05635, HELIO_06741	AENJA_09551
OG0000026	HELIO_04505	AENJA_07099, AENJA_18950
OG0000026	HELIO_09541	AENJA_10129
OG0000027	HELIO_06026, HELIO_07228, HELIO_05233, HELIO_07068, HELIO_05709	AENJA_05706, AENJA_05707
OG0000028	HELIO_06874, HELIO_00161	AENJA_03335, AENJA_05182, AENJA_05184, AENJA_05181
OG0000028	HELIO_10800	AENJA_01184
OG0000028	HELIO_08437	AENJA_25112
OG0000028	HELIO_06962	AENJA_02274
OG0000028	HELIO_00147	AENJA_15999
OG0000028	HELIO_00961	AENJA_25121
OG0000028	HELIO_06269	AENJA_19954
OG0000029	HELIO_05447	AENJA_26395
OG0000029	HELIO_05915, HELIO_11308	AENJA_05610
OG0000029	HELIO_00268, HELIO_06866, HELIO_02296, HELIO_09944, HELIO_05648, HELIO_01633, HELIO_06816	AENJA_05280
OG0000030	HELIO_04525, HELIO_09505	AENJA_17283
OG0000030	HELIO_06719	AENJA_24351, AENJA_12274
OG0000031	HELIO_00475	AENJA_09856
OG0000031	HELIO_11237	AENJA_09858
OG0000031	HELIO_10166	AENJA_20966
OG0000031	HELIO_00951	AENJA_08759
OG0000031	HELIO_11573	AENJA_10722
OG0000031	HELIO_00638	AENJA_05740
OG0000031	HELIO_00007	AENJA_14258, AENJA_15917, AENJA_14260
OG0000031	HELIO_02162	AENJA_15028
OG0000032	HELIO_03061	AENJA_15445, AENJA_10949
OG0000032	HELIO_11764	AENJA_16462, AENJA_19113, AENJA_19112
OG0000032	HELIO_06747	AENJA_01667, AENJA_01332
OG0000032	HELIO_05612	AENJA_12718
OG0000032	HELIO_06271, HELIO_05549, HELIO_06177	AENJA_12280, AENJA_12491
OG0000032	HELIO_02546, HELIO_10763, HELIO_07665, HELIO_07198	AENJA_06513
OG0000033	HELIO_06082	AENJA_18564, AENJA_02327
OG0000033	HELIO_04116	AENJA_25587, AENJA_13273, AENJA_09980, AENJA_09621, AENJA_14944
OG0000033	HELIO_03854	AENJA_12766, AENJA_23197
OG0000033	HELIO_04366	AENJA_04465, AENJA_02683, AENJA_23779, AENJA_21243
OG0000033	HELIO_05274	AENJA_02993
OG0000033	HELIO_06447	AENJA_05893, AENJA_17748, AENJA_13995, AENJA_12723, AENJA_12540, AENJA_07108, AENJA_25355, AENJA_13459
OG0000034	HELIO_11044	AENJA_02790
OG0000034	HELIO_03040	AENJA_21749
OG0000034	HELIO_11045	AENJA_26717
OG0000034	HELIO_10910	AENJA_02791
OG0000034	HELIO_05981	AENJA_23686
OG0000034	HELIO_12487	AENJA_13785
OG0000034	HELIO_11629	AENJA_15701
OG0000035	HELIO_04621	AENJA_01174
OG0000035	HELIO_03945, HELIO_04376	AENJA_26793
OG0000035	HELIO_12501	AENJA_22033
OG0000035	HELIO_03534	AENJA_08825
OG0000035	HELIO_07811, HELIO_06366	AENJA_12732
OG0000035	HELIO_00732	AENJA_12364
OG0000035	HELIO_11539	AENJA_26037
OG0000035	HELIO_10164	AENJA_21682
OG0000035	HELIO_04984	AENJA_21683
OG0000036	HELIO_01209, HELIO_01210	AENJA_22120
OG0000036	HELIO_09115	AENJA_22191
OG0000036	HELIO_04594	AENJA_22190
OG0000036	HELIO_07711	AENJA_15638, AENJA_15641, AENJA_15644
OG0000036	HELIO_02352, HELIO_11421, HELIO_04744	AENJA_21301
OG0000037	HELIO_04596, HELIO_02436	AENJA_19141
OG0000037	HELIO_07508	AENJA_06908, AENJA_02989
OG0000037	HELIO_06312	AENJA_17768
OG0000037	HELIO_10715	AENJA_10696
OG0000037	HELIO_01421	AENJA_05483, AENJA_06274
OG0000037	HELIO_01377	AENJA_13632
OG0000037	HELIO_04770	AENJA_22610
OG0000038	HELIO_07209	AENJA_16130
OG0000039	HELIO_01180	AENJA_10484, AENJA_20870, AENJA_17497
OG0000039	HELIO_07214	AENJA_26786
OG0000039	HELIO_00133	AENJA_20163
OG0000039	HELIO_10409	AENJA_02471
OG0000040	HELIO_00109, HELIO_04015, HELIO_04001, HELIO_06439, HELIO_00160, HELIO_06945	AENJA_11361
OG0000042	HELIO_00030	AENJA_12267, AENJA_02614, AENJA_01891
OG0000042	HELIO_00050, HELIO_07171, HELIO_11180, HELIO_06419	AENJA_24534, AENJA_24240, AENJA_05524, AENJA_01976, AENJA_07525, AENJA_11740
OG0000044	HELIO_05461	AENJA_12079
OG0000044	HELIO_02529	AENJA_26664
OG0000044	HELIO_07264	AENJA_25117
OG0000045	HELIO_07351, HELIO_00342	AENJA_04220, AENJA_24299
OG0000045	HELIO_00381, HELIO_10516, HELIO_06348, HELIO_06793	AENJA_18923, AENJA_18166, AENJA_08775
OG0000045	HELIO_03034	AENJA_09131
OG0000046	HELIO_08475	AENJA_09090, AENJA_10596, AENJA_20156, AENJA_21759
OG0000047	HELIO_06213	AENJA_10394
OG0000047	HELIO_05123, HELIO_00552, HELIO_05869	AENJA_14985
OG0000047	HELIO_06746, HELIO_05006	AENJA_04006, AENJA_04734
OG0000048	HELIO_03643	AENJA_11619
OG0000048	HELIO_05568	AENJA_23226
OG0000048	HELIO_05826, HELIO_06221	AENJA_21713
OG0000048	HELIO_11655	AENJA_09360
OG0000048	HELIO_08708	AENJA_16735
OG0000048	HELIO_05605	AENJA_25506
OG0000049	HELIO_02366	AENJA_10359
OG0000049	HELIO_10175	AENJA_02953, AENJA_07586
OG0000049	HELIO_12356	AENJA_17680
OG0000050	HELIO_04635, HELIO_04600	AENJA_04055, AENJA_09800, AENJA_19193
OG0000050	HELIO_04507, HELIO_05305	AENJA_03200, AENJA_25472, AENJA_19123, AENJA_10961, AENJA_09597, AENJA_17561, AENJA_19763, AENJA_24932, AENJA_01528, AENJA_02355, AENJA_00087
OG0000050	HELIO_00791, HELIO_04892, HELIO_11650	AENJA_20003, AENJA_05632
OG0000051	HELIO_06960, HELIO_04086, HELIO_00091, HELIO_07483, HELIO_04213, HELIO_04232, HELIO_11844	AENJA_18491, AENJA_12662
OG0000051	HELIO_11965, HELIO_05090, HELIO_05789	AENJA_24250
OG0000052	HELIO_05693	AENJA_07437
OG0000052	HELIO_04521	AENJA_09495, AENJA_02638, AENJA_11489, AENJA_25939, AENJA_25043, AENJA_26054, AENJA_00223, AENJA_03349, AENJA_13979
OG0000053	HELIO_06044	AENJA_14744
OG0000053	HELIO_03906, HELIO_04886	AENJA_26082
OG0000053	HELIO_12219, HELIO_10545, HELIO_00058	AENJA_25816, AENJA_09489
OG0000054	HELIO_11556, HELIO_11049, HELIO_07252, HELIO_05216	AENJA_06676, AENJA_23371
OG0000055	HELIO_03751	AENJA_19390, AENJA_19388, AENJA_19387
OG0000056	HELIO_02100	AENJA_20111
OG0000056	HELIO_05303	AENJA_20268
