Orthogroup	HELIO_ok	YEAST
OG0001508	HELIO_05840	YEAST04143
OG0001515	HELIO_11317	YEAST03320
OG0001520	HELIO_10408	YEAST03872
OG0001524	HELIO_05163, HELIO_01459	YEAST03912
OG0001525	HELIO_07734	YEAST00757
OG0001527	HELIO_04544, HELIO_10434	YEAST01395
OG0001529	HELIO_08747	YEAST01143
OG0001530	HELIO_09208	YEAST00643
OG0001546	HELIO_10092	YEAST03111
OG0001550	HELIO_04550, HELIO_08048	YEAST02405, YEAST05953
OG0001551	HELIO_02886	YEAST04817
OG0001553	HELIO_04975	YEAST05147, YEAST01586
OG0001557	HELIO_05083	YEAST04671
OG0001557	HELIO_06596	YEAST04551
OG0001558	HELIO_02760	YEAST04449
OG0001559	HELIO_06123	YEAST00445, YEAST02434
OG0001561	HELIO_08393	YEAST06176
OG0001564	HELIO_01962	YEAST05390
OG0001570	HELIO_02540, HELIO_05222	YEAST04678
OG0001573	HELIO_02265	YEAST03285
OG0001578	HELIO_08790, HELIO_08789	YEAST01872
OG0001580	HELIO_11365	YEAST06270
OG0001590	HELIO_11606, HELIO_02516	YEAST03476, YEAST00717, YEAST03955
OG0001594	HELIO_11160	YEAST03418
OG0001597	HELIO_04679, HELIO_01769	YEAST01702
OG0001603	HELIO_09786, HELIO_02249	YEAST02584
OG0001604	HELIO_12168	YEAST01428
OG0001605	HELIO_09701, HELIO_00110	YEAST04101
OG0001609	HELIO_04479, HELIO_00769	YEAST02739
OG0001610	HELIO_06066	YEAST00596
OG0001612	HELIO_03470, HELIO_09022	YEAST01109
OG0001628	HELIO_11311, HELIO_03654	YEAST04790
OG0001653	HELIO_02536	YEAST01151
OG0001655	HELIO_08331	YEAST03354
OG0001657	HELIO_09713	YEAST00101, YEAST00944
OG0001663	HELIO_06205, HELIO_04184	YEAST05642
OG0001676	HELIO_09572	YEAST02848
OG0001676	HELIO_09106	YEAST06155
OG0001679	HELIO_08774, HELIO_10789, HELIO_00740	YEAST05302, YEAST02334, YEAST02449, YEAST01523
OG0001680	HELIO_00317	YEAST01119, YEAST04022
OG0001685	HELIO_02127	YEAST01147
OG0001687	HELIO_06212	YEAST05279
OG0001691	HELIO_03141	YEAST01315
OG0001704	HELIO_11078	YEAST01293
OG0001706	HELIO_03225	YEAST03424
OG0001707	HELIO_04517	YEAST06049, YEAST00407, YEAST04739
OG0001708	HELIO_01586	YEAST05744, YEAST05745
OG0001709	HELIO_12693	YEAST04440
OG0001713	HELIO_10733	YEAST04039
OG0001718	HELIO_08374	YEAST01537
OG0001721	HELIO_04710	YEAST04881, YEAST05253, YEAST00698
OG0001723	HELIO_03904	YEAST01435
OG0001727	HELIO_00379	YEAST04543
OG0001728	HELIO_06859, HELIO_02961	YEAST03347
OG0001730	HELIO_09660	YEAST00177
OG0001739	HELIO_08138	YEAST03760
OG0001750	HELIO_09724	YEAST03628
OG0001754	HELIO_12416	YEAST03682
OG0001755	HELIO_03611	YEAST05131
OG0001756	HELIO_00970, HELIO_03773	YEAST00620
OG0001769	HELIO_00478, HELIO_05705	YEAST04726
OG0001770	HELIO_10082	YEAST02590
OG0001774	HELIO_11501, HELIO_04350	YEAST05166
OG0001775	HELIO_07189	YEAST05594
OG0001780	HELIO_10081	YEAST03768
OG0001781	HELIO_09978, HELIO_01738	YEAST01882
OG0001782	HELIO_11232, HELIO_12571	YEAST02421
OG0001785	HELIO_10072, HELIO_04363	YEAST02713
OG0001787	HELIO_11607	YEAST03546
OG0001792	HELIO_03262	YEAST04595
OG0001793	HELIO_05244, HELIO_10291	YEAST02466
OG0001805	HELIO_06016	YEAST05496, YEAST01242
OG0001807	HELIO_02837	YEAST05464
OG0001808	HELIO_02461	YEAST01298
OG0001818	HELIO_10184	YEAST05902, YEAST04712
OG0001822	HELIO_05027	YEAST04378, YEAST01659
OG0001826	HELIO_08793	YEAST04777, YEAST01697, YEAST05781
OG0001828	HELIO_08349	YEAST04676
OG0001829	HELIO_08800	YEAST01613, YEAST00136, YEAST02008
OG0001831	HELIO_06925	YEAST00024
OG0001832	HELIO_12779, HELIO_12753	YEAST05376
OG0001846	HELIO_07000	YEAST05067
OG0001850	HELIO_06095	YEAST01913
OG0001852	HELIO_00847	YEAST03121
OG0001853	HELIO_01954, HELIO_07750	YEAST05176
OG0001857	HELIO_11313	YEAST04741
OG0001860	HELIO_02411	YEAST00188
OG0001861	HELIO_11038	YEAST05779, YEAST04773
OG0001863	HELIO_05463, HELIO_10538	YEAST03017
OG0001866	HELIO_08400	YEAST05095, YEAST05570
OG0001867	HELIO_02515	YEAST01669
OG0001873	HELIO_07677, HELIO_06086	YEAST00981, YEAST00267
OG0001875	HELIO_10950	YEAST04137
OG0001877	HELIO_09122	YEAST04134
OG0001886	HELIO_07679	YEAST03260
OG0001888	HELIO_08194	YEAST05749, YEAST01573
OG0001893	HELIO_11263	YEAST01023
OG0001894	HELIO_04194	YEAST00433
OG0001899	HELIO_05952	YEAST01210, YEAST04466
OG0001903	HELIO_08222	YEAST06020
OG0001913	HELIO_10845	YEAST05520
OG0001915	HELIO_02308	YEAST04791
OG0001917	HELIO_00213	YEAST01859
OG0001923	HELIO_01788	YEAST05881
OG0001926	HELIO_02998	YEAST02948
OG0001932	HELIO_03169, HELIO_03170	YEAST03770, YEAST03179
OG0001934	HELIO_02521	YEAST00877
OG0001935	HELIO_09449, HELIO_05458, HELIO_02583	YEAST00431
OG0001938	HELIO_02477, HELIO_06716, HELIO_04080, HELIO_02478, HELIO_04081, HELIO_02479	YEAST03931
OG0001940	HELIO_03882	YEAST04188, YEAST05646
OG0001943	HELIO_10645	YEAST02393, YEAST05966
OG0001945	HELIO_03288	YEAST01671
OG0001947	HELIO_03774	YEAST02570
OG0001951	HELIO_04565	YEAST00941, YEAST05396
OG0001952	HELIO_06639, HELIO_02821	YEAST04673, YEAST01990, YEAST00155
OG0001965	HELIO_01378	YEAST04582
OG0001968	HELIO_11042, HELIO_10670	YEAST04910
OG0001972	HELIO_04798	YEAST01822, YEAST03363
OG0001985	HELIO_03642	YEAST04959
OG0001992	HELIO_10036	YEAST02679
OG0001998	HELIO_01282	YEAST00890
OG0002001	HELIO_11853, HELIO_12151	YEAST00502, YEAST03944
OG0002003	HELIO_03803	YEAST02826, YEAST03671
OG0002008	HELIO_10242, HELIO_04821	YEAST00768
OG0002010	HELIO_12490	YEAST00609
OG0002013	HELIO_06898	YEAST03040
OG0002014	HELIO_10467	YEAST02422
OG0002015	HELIO_05227	YEAST05525
OG0002025	HELIO_01634, HELIO_05658	YEAST03650
OG0002026	HELIO_08421, HELIO_11050	YEAST01247
OG0002029	HELIO_05876	YEAST02646
OG0002031	HELIO_09129, HELIO_07245	YEAST02752
OG0002032	HELIO_01093	YEAST01221
OG0002042	HELIO_06664	YEAST02880
OG0002043	HELIO_03396	YEAST04003
OG0002059	HELIO_03914	YEAST05893, YEAST04718
OG0002062	HELIO_06049	YEAST05454
OG0002063	HELIO_07475, HELIO_05674	YEAST00838
OG0002067	HELIO_05446	YEAST03444
OG0002069	HELIO_09988	YEAST05962
OG0002073	HELIO_09897	YEAST04552
OG0002076	HELIO_08411	YEAST02206
OG0002078	HELIO_07802	YEAST06232
OG0002079	HELIO_03430, HELIO_08843	YEAST05765, YEAST00483
OG0002080	HELIO_05901	YEAST05220, YEAST04736
OG0002084	HELIO_09343	YEAST04529
OG0002087	HELIO_10536, HELIO_09035	YEAST05702
OG0002090	HELIO_05584, HELIO_03544	YEAST02246
OG0002097	HELIO_00551	YEAST02697
OG0002101	HELIO_03548	YEAST03902
OG0002103	HELIO_08047	YEAST05974
OG0002106	HELIO_06196	YEAST03654
OG0002108	HELIO_01842	YEAST03715
OG0002123	HELIO_11783	YEAST02444
OG0002125	HELIO_03401	YEAST05183
OG0002131	HELIO_00247, HELIO_08098	YEAST04275
OG0002137	HELIO_05362, HELIO_10047, HELIO_11805	YEAST04320
OG0002138	HELIO_10372, HELIO_10373	YEAST02406
OG0002144	HELIO_01280	YEAST02673
OG0002146	HELIO_02638	YEAST04333, YEAST00109, YEAST03088, YEAST04454
OG0002147	HELIO_06765	YEAST04532, YEAST01219
OG0002148	HELIO_04883, HELIO_06974	YEAST02060
OG0002152	HELIO_07905	YEAST05624
OG0002156	HELIO_12738, HELIO_03634	YEAST03007
OG0002160	HELIO_00185	YEAST03960
OG0002165	HELIO_11027	YEAST04504
OG0002168	HELIO_07698, HELIO_12373	YEAST00516
OG0002169	HELIO_05746, HELIO_06281	YEAST02258
OG0002175	HELIO_07325	YEAST04956
OG0002184	HELIO_03187, HELIO_03186	YEAST00242
OG0002185	HELIO_02280	YEAST05212
OG0002188	HELIO_11286	YEAST04638, YEAST03913
OG0002189	HELIO_09345	YEAST02882, YEAST04447
OG0002213	HELIO_09582	YEAST01241, YEAST05495
OG0002216	HELIO_08118	YEAST06040
OG0002217	HELIO_07595	YEAST06033
OG0002222	HELIO_01086	YEAST03240
OG0002224	HELIO_08402	YEAST01574
OG0002225	HELIO_05714	YEAST04939
OG0002226	HELIO_03074	YEAST00948
OG0002228	HELIO_10818	YEAST04154, YEAST05632
OG0002233	HELIO_07535, HELIO_05365, HELIO_05245	YEAST00277
OG0002239	HELIO_12051	YEAST03509
OG0002241	HELIO_09347	YEAST02005
OG0002243	HELIO_12098	YEAST04599, YEAST03601, YEAST04600
OG0002244	HELIO_01234, HELIO_09967	YEAST02768
OG0002252	HELIO_01235	YEAST00826
OG0002261	HELIO_06100	YEAST00472
OG0002264	HELIO_02936	YEAST01705
OG0002279	HELIO_08733	YEAST05800
OG0002282	HELIO_05112	YEAST00881
OG0002288	HELIO_07429	YEAST01591, YEAST05154
OG0002312	HELIO_12558	YEAST06295
OG0002316	HELIO_12382	YEAST01805
OG0002318	HELIO_12246, HELIO_12682	YEAST02923
OG0002319	HELIO_07888	YEAST00329
OG0002321	HELIO_05182	YEAST02461
OG0002324	HELIO_10551, HELIO_09504	YEAST02615, YEAST06287
OG0002326	HELIO_03775	YEAST00310, YEAST02699
OG0002327	HELIO_05706	YEAST00346, YEAST06217
OG0002331	HELIO_09275	YEAST01653
OG0002332	HELIO_10520	YEAST01606, YEAST05184, YEAST00285
OG0002341	HELIO_10080, HELIO_10079	YEAST03640, YEAST04562
OG0002344	HELIO_01896	YEAST02312, YEAST02019
OG0002346	HELIO_09863	YEAST02012
OG0002348	HELIO_04598	YEAST01845
OG0002355	HELIO_07256	YEAST00016
OG0002356	HELIO_09006	YEAST00259
OG0002361	HELIO_05139	YEAST01027
OG0002367	HELIO_09405, HELIO_12396	YEAST01179
OG0002369	HELIO_10202	YEAST03766
OG0002374	HELIO_00949	YEAST02010, YEAST00133
OG0002377	HELIO_10194	YEAST05000
OG0002406	HELIO_01959	YEAST05509
OG0002407	HELIO_11688	YEAST00012
OG0002409	HELIO_00645	YEAST05834
OG0002409	HELIO_02015	YEAST02027
OG0002411	HELIO_01331	YEAST05950, YEAST02407
OG0002412	HELIO_10126	YEAST06171
OG0002413	HELIO_01474, HELIO_06354	YEAST01196
OG0002415	HELIO_12736, HELIO_07942	YEAST01271
OG0002421	HELIO_06854, HELIO_01261	YEAST02982
OG0002422	HELIO_01387	YEAST05026
OG0002426	HELIO_03335	YEAST00184
OG0002441	HELIO_05799	YEAST00068, YEAST02278, YEAST05821
OG0002442	HELIO_07816	YEAST05932
OG0002443	HELIO_09645	YEAST04906
OG0002446	HELIO_06057	YEAST04254
OG0002448	HELIO_12221	YEAST00626
OG0002448	HELIO_04227	YEAST03419
OG0002450	HELIO_02893	YEAST04575
OG0002453	HELIO_12679	YEAST00512
OG0002476	HELIO_03664, HELIO_09312	YEAST05799
OG0002486	HELIO_03836	YEAST01433
OG0002492	HELIO_10487	YEAST01624
OG0002494	HELIO_01599, HELIO_01251	YEAST02402
OG0002497	HELIO_02505	YEAST02747
OG0002500	HELIO_06617	YEAST05648
OG0002505	HELIO_10389, HELIO_10390	YEAST02959
OG0002510	HELIO_10856	YEAST04753
OG0002516	HELIO_09840	YEAST00066
OG0002518	HELIO_01975	YEAST02890
OG0002520	HELIO_02172	YEAST05256
OG0002523	HELIO_02687	YEAST06234
OG0002527	HELIO_00703	YEAST01639
OG0002528	HELIO_06964	YEAST00372
OG0002530	HELIO_02743	YEAST05530, YEAST03790
OG0002532	HELIO_08702	YEAST03235
OG0002533	HELIO_10038	YEAST04525
OG0002543	HELIO_01303	YEAST00527
OG0002557	HELIO_05219	YEAST06243
OG0002561	HELIO_11216	YEAST04438, YEAST02106
OG0002562	HELIO_08903	YEAST03992
OG0002564	HELIO_03476	YEAST02186
OG0002565	HELIO_04197	YEAST04224, YEAST02499
OG0002574	HELIO_05197	YEAST05657
OG0002594	HELIO_03260	YEAST06174
OG0002598	HELIO_09306	YEAST04621, YEAST03577
OG0002605	HELIO_03379, HELIO_03378	YEAST06332
OG0002608	HELIO_01546, HELIO_10204	YEAST03716, YEAST02846
OG0002609	HELIO_09507	YEAST01355
OG0002610	HELIO_08229	YEAST01078, YEAST03973
OG0002612	HELIO_06371	YEAST03508
OG0002617	HELIO_10276	YEAST00866
OG0002618	HELIO_07943	YEAST06247
OG0002621	HELIO_07034, HELIO_01916	YEAST05551
OG0002629	HELIO_10222, HELIO_11339	YEAST05919
OG0002632	HELIO_06737	YEAST02755
OG0002633	HELIO_02658	YEAST04206
OG0002636	HELIO_03936	YEAST01664, YEAST06215
OG0002638	HELIO_10591	YEAST00919, YEAST04703
OG0002643	HELIO_01593, HELIO_01594	YEAST01938
OG0002644	HELIO_10604	YEAST00724
OG0002645	HELIO_01123	YEAST01436
OG0002646	HELIO_02697	YEAST01946
OG0002651	HELIO_07721	YEAST02868
OG0002652	HELIO_10370, HELIO_10369	YEAST04937
OG0002656	HELIO_06530	YEAST05701
OG0002659	HELIO_09615	YEAST06290
OG0002666	HELIO_11096	YEAST02507
OG0002668	HELIO_10383	YEAST02324
OG0002677	HELIO_01468	YEAST05210
OG0002683	HELIO_02646	YEAST03676
OG0002705	HELIO_08111	YEAST00553
OG0002713	HELIO_06459	YEAST00413, YEAST06057
OG0002715	HELIO_02942	YEAST01174, YEAST04131
OG0002717	HELIO_07984	YEAST02430
OG0002718	HELIO_09888, HELIO_05744	YEAST03380, YEAST03502
OG0002720	HELIO_07567	YEAST01914
OG0002722	HELIO_03522	YEAST04059
OG0002726	HELIO_03574	YEAST02958
OG0002729	HELIO_02082, HELIO_12148	YEAST01155
OG0002739	HELIO_02376, HELIO_11343	YEAST01877
OG0002742	HELIO_08532	YEAST03713
OG0002743	HELIO_06294, HELIO_10710, HELIO_12091	YEAST01824, YEAST03362
OG0002745	HELIO_03178	YEAST04244
OG0002746	HELIO_04608	YEAST04902, YEAST05332
OG0002747	HELIO_03630	YEAST05617
OG0002749	HELIO_01827	YEAST02810
OG0002750	HELIO_10272	YEAST04952
OG0002752	HELIO_06786	YEAST03686
OG0002753	HELIO_11375	YEAST03742
OG0002754	HELIO_06967	YEAST03620
OG0002756	HELIO_12369, HELIO_08256	YEAST04058
OG0002758	HELIO_09772, HELIO_09771	YEAST04409
OG0002760	HELIO_01910, HELIO_05414	YEAST01927
OG0002761	HELIO_01533	YEAST03261
OG0002763	HELIO_07170	YEAST00260
OG0002764	HELIO_10952	YEAST00423
OG0002765	HELIO_11601	YEAST01667, YEAST05523
OG0002766	HELIO_03644	YEAST05357
OG0002767	HELIO_09009, HELIO_09010	YEAST04591
OG0002771	HELIO_10086	YEAST02043
OG0002772	HELIO_06808	YEAST03384
OG0002773	HELIO_10713	YEAST03677
OG0002774	HELIO_01198	YEAST03575
OG0002781	HELIO_08220	YEAST05450
OG0002782	HELIO_06824	YEAST02121
OG0002785	HELIO_00607	YEAST06106, YEAST01228
OG0002788	HELIO_09264	YEAST02578, YEAST01232
OG0002789	HELIO_06840	YEAST05269
OG0002793	HELIO_09119	YEAST01371
OG0002799	HELIO_09828	YEAST01461
OG0002817	HELIO_12282	YEAST01189, YEAST04922
OG0002824	HELIO_02922	YEAST02137
OG0002827	HELIO_03783, HELIO_03782	YEAST05976
OG0002831	HELIO_05128, HELIO_03570	YEAST03282
OG0002835	HELIO_03801	YEAST02656
OG0002837	HELIO_03273	YEAST01987, YEAST00157
OG0002839	HELIO_09494	YEAST03148
OG0002843	HELIO_06210	YEAST04737
OG0002844	HELIO_07105	YEAST05563
OG0002847	HELIO_10413	YEAST02294
OG0002851	HELIO_03346	YEAST04951
OG0002855	HELIO_10282	YEAST00137
OG0002860	HELIO_08136	YEAST02712
OG0002866	HELIO_03845	YEAST01136
OG0002876	HELIO_11883	YEAST02348
OG0002883	HELIO_09189	YEAST03027
OG0002891	HELIO_09925	YEAST03205
OG0002894	HELIO_09144	YEAST00906
OG0002895	HELIO_08387	YEAST01471, YEAST05353, YEAST05456
OG0002897	HELIO_04251	YEAST06308
OG0002899	HELIO_09658	YEAST00283
OG0002900	HELIO_00632, HELIO_10716	YEAST05306
OG0002907	HELIO_08086	YEAST02061
OG0002910	HELIO_10397, HELIO_10398, HELIO_05618	YEAST00223
OG0002915	HELIO_03014	YEAST02264
OG0002917	HELIO_07208, HELIO_11831, HELIO_12269	YEAST03703
OG0002921	HELIO_00633	YEAST06254
OG0002922	HELIO_01371	YEAST01261
OG0002947	HELIO_05476, HELIO_00496	YEAST00232
OG0002948	HELIO_11632, HELIO_00853	YEAST03584
OG0002949	HELIO_00481	YEAST00419, YEAST06063
OG0002953	HELIO_00856	YEAST03034
OG0002957	HELIO_01334	YEAST03253
OG0002960	HELIO_12408	YEAST05502
OG0002965	HELIO_08079, HELIO_08080	YEAST03804
OG0002966	HELIO_01639	YEAST06059
OG0002969	HELIO_06121	YEAST00655
OG0002982	HELIO_12635	YEAST02471
OG0002984	HELIO_11946	YEAST00961, YEAST01144
OG0002985	HELIO_08571	YEAST02147
OG0002987	HELIO_07528	YEAST02970, YEAST00081, YEAST02488
OG0002991	HELIO_03254	YEAST03345, YEAST01842
OG0002997	HELIO_11017, HELIO_08478	YEAST02374
OG0003001	HELIO_11460	YEAST01497
OG0003004	HELIO_11259	YEAST02183
OG0003006	HELIO_11696	YEAST00899
OG0003010	HELIO_03406	YEAST03035
OG0003012	HELIO_05186	YEAST04512
OG0003016	HELIO_02017	YEAST04810
OG0003017	HELIO_02953	YEAST02213
OG0003018	HELIO_09293	YEAST01635, YEAST01949
OG0003020	HELIO_00457, HELIO_06305	YEAST04851
OG0003027	HELIO_02071	YEAST05498
OG0003028	HELIO_06724	YEAST05822
OG0003029	HELIO_10606	YEAST04523
OG0003033	HELIO_00240	YEAST02457, YEAST02640
OG0003039	HELIO_05426	YEAST00055
OG0003043	HELIO_08514	YEAST02551
OG0003046	HELIO_07002, HELIO_12633	YEAST01632
OG0003054	HELIO_04850	YEAST04909, YEAST05341
OG0003056	HELIO_08287	YEAST02257
OG0003059	HELIO_08106	YEAST02832, YEAST03675
OG0003063	HELIO_05044	YEAST00204
OG0003066	HELIO_02851	YEAST00969
OG0003067	HELIO_06760	YEAST03159
OG0003072	HELIO_06085	YEAST05076
OG0003073	HELIO_04819, HELIO_06482	YEAST00167
OG0003079	HELIO_12034	YEAST01019
OG0003101	HELIO_07909	YEAST01357
OG0003104	HELIO_10296	YEAST00861
OG0003105	HELIO_09603	YEAST04282
OG0003106	HELIO_01110	YEAST03619
OG0003107	HELIO_07326	YEAST00029
OG0003108	HELIO_02749	YEAST00796
OG0003110	HELIO_02879	YEAST02197
OG0003114	HELIO_11712	YEAST00453, YEAST02426
OG0003119	HELIO_00761	YEAST00778
OG0003121	HELIO_08859	YEAST03190
OG0003131	HELIO_00277	YEAST04435, YEAST04350
OG0003135	HELIO_09441	YEAST02069
OG0003138	HELIO_07469	YEAST01790, YEAST00784
OG0003145	HELIO_05596	YEAST06012
OG0003147	HELIO_02388	YEAST03729
OG0003151	HELIO_00768	YEAST03910
OG0003153	HELIO_01955	YEAST05438
OG0003154	HELIO_10327	YEAST00694
OG0003157	HELIO_06700	YEAST01203
OG0003164	HELIO_09851	YEAST05549, YEAST04492
OG0003169	HELIO_08500	YEAST04410
OG0003172	HELIO_04597	YEAST06030
OG0003174	HELIO_00264	YEAST06178
OG0003178	HELIO_01460	YEAST05823
OG0003179	HELIO_10655	YEAST00905
OG0003189	HELIO_12511	YEAST00820
OG0003190	HELIO_04199, HELIO_06545	YEAST02550
OG0003191	HELIO_09939	YEAST01068
OG0003193	HELIO_03842	YEAST02494
OG0003197	HELIO_12323	YEAST06274
OG0003199	HELIO_10732	YEAST04961
OG0003207	HELIO_04788	YEAST04056
OG0003212	HELIO_01310	YEAST05531
OG0003214	HELIO_05250	YEAST03701
OG0003215	HELIO_01923	YEAST04373
OG0003218	HELIO_02702	YEAST04068
OG0003219	HELIO_02834	YEAST01656
OG0003220	HELIO_12154	YEAST03417, YEAST00186
OG0003221	HELIO_05558	YEAST05064
OG0003223	HELIO_00004	YEAST04472
OG0003228	HELIO_02794	YEAST06187
OG0003230	HELIO_01822	YEAST05487
OG0003234	HELIO_00230	YEAST00760
OG0003235	HELIO_02635	YEAST06282
OG0003251	HELIO_02853	YEAST05338, YEAST04904
OG0003254	HELIO_02013	YEAST03911
OG0003263	HELIO_06528	YEAST05333
OG0003264	HELIO_05957	YEAST03398
OG0003266	HELIO_11954	YEAST05585
OG0003267	HELIO_05451	YEAST02516
OG0003270	HELIO_04333	YEAST01372, YEAST05351, YEAST01476
OG0003283	HELIO_04347	YEAST02779
OG0003284	HELIO_03635	YEAST02184
OG0003287	HELIO_02350	YEAST00166
OG0003288	HELIO_08221	YEAST05062
OG0003290	HELIO_11498	YEAST06325
OG0003293	HELIO_08360	YEAST04930
OG0003295	HELIO_04382	YEAST06127
OG0003300	HELIO_08594, HELIO_10525	YEAST03316
OG0003302	HELIO_00429	YEAST04633
OG0003303	HELIO_02870	YEAST05878
OG0003304	HELIO_10378	YEAST01018
OG0003316	HELIO_04955	YEAST04887
OG0003317	HELIO_04704, HELIO_06602	YEAST03051
OG0003318	HELIO_09114	YEAST02158
OG0003332	HELIO_03785	YEAST02945, YEAST00447
OG0003335	HELIO_09042	YEAST01260
OG0003340	HELIO_01544, HELIO_01545	YEAST04972
OG0003341	HELIO_12055	YEAST00990
OG0003343	HELIO_10253	YEAST04356, YEAST06258
OG0003344	HELIO_01718	YEAST04764
OG0003345	HELIO_04658	YEAST02133
OG0003348	HELIO_06884	YEAST02844
OG0003349	HELIO_12164	YEAST00235, YEAST04798
OG0003356	HELIO_03350	YEAST02937
OG0003357	HELIO_00345	YEAST04240, YEAST02522
OG0003364	HELIO_10249	YEAST00730
OG0003366	HELIO_04839	YEAST05276, YEAST03075
OG0003373	HELIO_02331, HELIO_02692, HELIO_01108, HELIO_01107	YEAST03755
OG0003374	HELIO_02124	YEAST03627
OG0003375	HELIO_02027	YEAST03722
OG0003377	HELIO_08558	YEAST03340
OG0003380	HELIO_08129	YEAST00529
OG0003381	HELIO_01980	YEAST03447, YEAST01380
OG0003382	HELIO_00905, HELIO_00906	YEAST01627
OG0003386	HELIO_02832	YEAST02725
OG0003425	HELIO_11455	YEAST05084
OG0003426	HELIO_05969	YEAST05251
OG0003429	HELIO_03900	YEAST05921
OG0003430	HELIO_07216	YEAST04732
OG0003434	HELIO_08552	YEAST02689
OG0003435	HELIO_06428	YEAST05483
OG0003441	HELIO_00883	YEAST05981
OG0003443	HELIO_11420	YEAST06032
OG0003454	HELIO_07210	YEAST04088
OG0003458	HELIO_01103	YEAST00169
OG0003461	HELIO_00074	YEAST05752, YEAST04759
OG0003463	HELIO_02234	YEAST02371
OG0003464	HELIO_08682, HELIO_08683	YEAST05120
OG0003465	HELIO_11762	YEAST02874
OG0003467	HELIO_09150, HELIO_09149	YEAST01278
OG0003477	HELIO_08724	YEAST03665
OG0003483	HELIO_09297	YEAST06074
OG0003487	HELIO_01481	YEAST03066
OG0003491	HELIO_12169	YEAST03514
OG0003493	HELIO_09058	YEAST01076
OG0003497	HELIO_01513	YEAST00758
OG0003498	HELIO_09734	YEAST05680
OG0003500	HELIO_10237	YEAST03303, YEAST02683
OG0003501	HELIO_00872	YEAST01421
OG0003502	HELIO_11773	YEAST02519
OG0003503	HELIO_07145	YEAST00400
OG0003505	HELIO_03524	YEAST00697
OG0003509	HELIO_11968	YEAST02850
OG0003515	HELIO_01150	YEAST00923
OG0003518	HELIO_01357	YEAST04809
OG0003523	HELIO_02927	YEAST05393
OG0003531	HELIO_05168	YEAST00465
OG0003532	HELIO_02994	YEAST05810
OG0003539	HELIO_06853	YEAST03774
OG0003541	HELIO_02897	YEAST01314
OG0003543	HELIO_01891	YEAST01290
OG0003544	HELIO_03400	YEAST00251
OG0003550	HELIO_10135	YEAST06166
OG0003551	HELIO_11131	YEAST01826
OG0003552	HELIO_01828	YEAST04163
OG0003556	HELIO_04836, HELIO_07224	YEAST05216
OG0003560	HELIO_11394	YEAST00307
OG0003560	HELIO_02403	YEAST02357, YEAST05925
OG0003561	HELIO_03510	YEAST06100
OG0003562	HELIO_07501	YEAST00960
OG0003565	HELIO_07480	YEAST03392
OG0003567	HELIO_02904	YEAST04838
OG0003568	HELIO_09743, HELIO_09744	YEAST04328
OG0003570	HELIO_06559	YEAST03562, YEAST04635
OG0003571	HELIO_02351	YEAST05553
OG0003573	HELIO_09111	YEAST00597
OG0003578	HELIO_08279, HELIO_08278	YEAST05031
OG0003579	HELIO_05944	YEAST05446
OG0003582	HELIO_04947	YEAST03174
OG0003598	HELIO_10451	YEAST00803
OG0003599	HELIO_08540	YEAST04133
OG0003603	HELIO_04475	YEAST03529
OG0003610	HELIO_12163	YEAST02573
OG0003611	HELIO_01894	YEAST01054
OG0003612	HELIO_04409	YEAST00808
OG0003613	HELIO_01893	YEAST02366
OG0003615	HELIO_01584	YEAST01638
OG0003617	HELIO_03494	YEAST01843
OG0003619	HELIO_07057	YEAST04756
OG0003624	HELIO_09617	YEAST00147
OG0003630	HELIO_01750	YEAST04845
OG0003638	HELIO_00190	YEAST00956
OG0003641	HELIO_07553	YEAST04061, YEAST01158
OG0003644	HELIO_02002	YEAST01545
OG0003645	HELIO_02632	YEAST05809, YEAST05493
OG0003646	HELIO_10542	YEAST02349
OG0003647	HELIO_08435	YEAST04352, YEAST04433
OG0003649	HELIO_09186	YEAST00203
OG0003650	HELIO_02717, HELIO_11983, HELIO_06323	YEAST00737, YEAST04997
OG0003659	HELIO_01564	YEAST00140
OG0003661	HELIO_00776	YEAST02758
OG0003664	HELIO_10185	YEAST03791
OG0003668	HELIO_12712	YEAST06168
OG0003669	HELIO_09100	YEAST02813
OG0003672	HELIO_03464	YEAST03137
OG0003676	HELIO_07728	YEAST03110
OG0003678	HELIO_06802	YEAST02330
OG0003679	HELIO_01849	YEAST03223
OG0003682	HELIO_01433	YEAST00571
OG0003687	HELIO_06361	YEAST02527, YEAST04246
OG0003688	HELIO_05020	YEAST01333, YEAST05362, YEAST00376
OG0003689	HELIO_02422	YEAST04232
OG0003690	HELIO_12684	YEAST01162
OG0003692	HELIO_09987	YEAST00692
OG0003693	HELIO_12474	YEAST05304
OG0003694	HELIO_05422	YEAST01453
OG0003696	HELIO_11257	YEAST05704
OG0003697	HELIO_12072, HELIO_12071	YEAST04962
OG0003698	HELIO_09605	YEAST03764, YEAST03185
OG0003703	HELIO_02888	YEAST00683
OG0003710	HELIO_06500	YEAST02077
OG0003712	HELIO_03886, HELIO_08547	YEAST02114
OG0003713	HELIO_10395	YEAST01549, YEAST03807
OG0003716	HELIO_05664, HELIO_06645	YEAST02390
OG0003719	HELIO_06363	YEAST06338
OG0003721	HELIO_10032, HELIO_03702	YEAST04960
OG0003724	HELIO_10508	YEAST02365, YEAST06120
OG0003729	HELIO_11354	YEAST01543
OG0003731	HELIO_04511, HELIO_05539	YEAST04486
