Orthogroup	HELIO_ok	YEAST
OG0000181	HELIO_04096, HELIO_03744, HELIO_11084, HELIO_06953, HELIO_10771, HELIO_03461, HELIO_03460	YEAST00824, YEAST00771
OG0000186	HELIO_05733, HELIO_02314, HELIO_09501, HELIO_02377, HELIO_05946	YEAST00336
OG0000194	HELIO_04375, HELIO_03596, HELIO_05547, HELIO_11820, HELIO_06680, HELIO_07417, HELIO_04980	YEAST01410
OG0000195	HELIO_05982, HELIO_02698, HELIO_03662, HELIO_03270, HELIO_05691, HELIO_11757, HELIO_06118	YEAST03414
OG0000211	HELIO_11401, HELIO_09853, HELIO_00554, HELIO_04759, HELIO_11035	YEAST04964
OG0000221	HELIO_06860, HELIO_10767, HELIO_06340	YEAST05872
OG0000222	HELIO_00099, HELIO_10967, HELIO_04924, HELIO_00113	YEAST01460
OG0000225	HELIO_03666, HELIO_05507, HELIO_12455, HELIO_12454	YEAST06146
OG0000227	HELIO_02891, HELIO_06498, HELIO_04590	YEAST05815
OG0000228	HELIO_05990, HELIO_05988, HELIO_00779, HELIO_04342, HELIO_01854, HELIO_01855, HELIO_01856	YEAST04750
OG0000233	HELIO_05580, HELIO_03649, HELIO_09993	YEAST03726, YEAST03241, YEAST03242
OG0000238	HELIO_10889, HELIO_06126, HELIO_04152	YEAST06340, YEAST03834
OG0000240	HELIO_07617, HELIO_07345, HELIO_10762	YEAST03827
OG0000242	HELIO_08165, HELIO_09942, HELIO_01488, HELIO_07151	YEAST00734
OG0000246	HELIO_06641, HELIO_12542, HELIO_06797, HELIO_02441	YEAST01746, YEAST01747
OG0000250	HELIO_03230, HELIO_09216, HELIO_02167, HELIO_12457	YEAST04716
OG0000255	HELIO_09865, HELIO_11786, HELIO_04587, HELIO_06197, HELIO_12461, HELIO_12238, HELIO_00118, HELIO_05381, HELIO_00573	YEAST02822
OG0000256	HELIO_11169, HELIO_06584, HELIO_07024, HELIO_07406, HELIO_07937	YEAST00266
OG0000258	HELIO_01832, HELIO_07834, HELIO_11938	YEAST00118
OG0000260	HELIO_02123, HELIO_12046	YEAST04323
OG0000265	HELIO_02949	YEAST03885, YEAST03714
OG0000272	HELIO_03137, HELIO_06926	YEAST02076, YEAST01066
OG0000274	HELIO_06815, HELIO_04008	YEAST02118, YEAST04573, YEAST01485
OG0000284	HELIO_09271, HELIO_08507, HELIO_03356, HELIO_04011	YEAST05621
OG0000289	HELIO_07121, HELIO_04864, HELIO_08142	YEAST00645
OG0000305	HELIO_11091, HELIO_04494, HELIO_11371	YEAST04899
OG0000308	HELIO_09361, HELIO_07835, HELIO_01621, HELIO_08987, HELIO_05751	YEAST02548
OG0000310	HELIO_00168, HELIO_06381, HELIO_04123, HELIO_12468, HELIO_07977, HELIO_10589	YEAST02635
OG0000312	HELIO_01538, HELIO_09957, HELIO_10360	YEAST06260, YEAST02598, YEAST06261, YEAST02599, YEAST00807, YEAST04102
OG0000313	HELIO_06905, HELIO_11614	YEAST05106
OG0000315	HELIO_06387	YEAST04684
OG0000316	HELIO_00705, HELIO_01356, HELIO_01799, HELIO_11514, HELIO_05676	YEAST01673
OG0000317	HELIO_05129, HELIO_04312, HELIO_07279, HELIO_09420	YEAST01356
OG0000321	HELIO_08196, HELIO_12621, HELIO_08301	YEAST03264
OG0000323	HELIO_02185, HELIO_02184, HELIO_07979, HELIO_09877	YEAST02249
OG0000326	HELIO_08613	YEAST06056
OG0000338	HELIO_11240, HELIO_09261	YEAST02967
OG0000338	HELIO_11115	YEAST04211
OG0000343	HELIO_11255, HELIO_11254, HELIO_11253, HELIO_04075	YEAST03024, YEAST02736
OG0000345	HELIO_07592, HELIO_01838, HELIO_03828, HELIO_12171, HELIO_06324, HELIO_12314	YEAST01884
OG0000352	HELIO_07849, HELIO_02109, HELIO_10654	YEAST04069
OG0000357	HELIO_02302, HELIO_12008, HELIO_04303	YEAST01925
OG0000359	HELIO_08095, HELIO_01337, HELIO_08324	YEAST02489
OG0000363	HELIO_08685, HELIO_04531, HELIO_03753	YEAST04081, YEAST05870
OG0000365	HELIO_11146, HELIO_04785, HELIO_04794	YEAST05831
OG0000367	HELIO_11366, HELIO_00864	YEAST02141, YEAST03746, YEAST03210
OG0000372	HELIO_08010, HELIO_09904, HELIO_12662, HELIO_08215	YEAST05988
OG0000373	HELIO_07356	YEAST02023
OG0000380	HELIO_05393, HELIO_03707	YEAST01047
OG0000385	HELIO_06965, HELIO_07014, HELIO_02136, HELIO_00841, HELIO_02137	YEAST03496
OG0000393	HELIO_12162, HELIO_00926, HELIO_04233, HELIO_12760	YEAST04072, YEAST04071
OG0000393	HELIO_07006	YEAST01302
OG0000397	HELIO_10979	YEAST05080
