Orthogroup	HELIO_ok	APOSC_ok
OG0000014	HELIO_03075	APOSC_12674
OG0000014	HELIO_06653	APOSC_23467, APOSC_12182, APOSC_12181, APOSC_04687, APOSC_28041, APOSC_18468, APOSC_13472
OG0000014	HELIO_12068	APOSC_00187
OG0000015	HELIO_10603	APOSC_14290, APOSC_28281, APOSC_03142
OG0000015	HELIO_09049	APOSC_28752
OG0000016	HELIO_05159, HELIO_08806	APOSC_05404
OG0000016	HELIO_03950	APOSC_06852
OG0000016	HELIO_10054	APOSC_19259
OG0000016	HELIO_05456	APOSC_09216
OG0000016	HELIO_09779	APOSC_00060, APOSC_00061, APOSC_17734
OG0000016	HELIO_03738	APOSC_26372, APOSC_26868, APOSC_26028
OG0000016	HELIO_04647	APOSC_14883
OG0000016	HELIO_07791	APOSC_27534
OG0000016	HELIO_11041	APOSC_05485
OG0000016	HELIO_04564	APOSC_19884
OG0000017	HELIO_09340	APOSC_13768, APOSC_04701
OG0000017	HELIO_08729	APOSC_04363
OG0000017	HELIO_04627	APOSC_17962
OG0000017	HELIO_04574	APOSC_27563
OG0000017	HELIO_08140	APOSC_24575, APOSC_11424
OG0000017	HELIO_07705	APOSC_16019
OG0000017	HELIO_06230	APOSC_17481
OG0000017	HELIO_06928	APOSC_14095
OG0000017	HELIO_04933	APOSC_28296
OG0000017	HELIO_03953	APOSC_15991, APOSC_14206, APOSC_06737
OG0000017	HELIO_10213	APOSC_22360
OG0000018	HELIO_03926	APOSC_05051, APOSC_27730, APOSC_15473
OG0000018	HELIO_06035	APOSC_09190, APOSC_02455
OG0000018	HELIO_08639	APOSC_11347, APOSC_01227, APOSC_12246, APOSC_19597, APOSC_27070
OG0000018	HELIO_06652	APOSC_00300
OG0000018	HELIO_06972	APOSC_01781
OG0000018	HELIO_04613	APOSC_25698
OG0000018	HELIO_04249	APOSC_09930
OG0000018	HELIO_06631	APOSC_10136
OG0000018	HELIO_07465	APOSC_15394
OG0000019	HELIO_04729	APOSC_15479
OG0000019	HELIO_05273	APOSC_21840
OG0000019	HELIO_07628	APOSC_11237
OG0000019	HELIO_05932	APOSC_15494
