Orthogroup	OWEFU	XENTR
OG0000032	OFUSG18519.1.p1, OFUSG17008.1.p1, OFUSG09556.1.p1, OFUSG07282.1.p1, OFUSG25694.1.p1, OFUSG01271.1.p1, OFUSG01272.1.p1, OFUSG09756.1.p1, OFUSG20192.1.p1	XENTR18392, XENTR18393, XENTR06098, XENTR03124
OG0000032	OFUSG26521.2.p1, OFUSG26521.1.p1	XENTR17016
OG0000032	OFUSG17627.1.p1, OFUSG17627.2.p1, OFUSG17268.1.p1	XENTR03433
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	XENTR04943
OG0000034	OFUSG01833.2.p1, OFUSG01833.1.p1	XENTR01252, XENTR11199, XENTR07072, XENTR12065
OG0000034	OFUSG08780.1.p1	XENTR15456
OG0000034	OFUSG00313.1.p1	XENTR10156
OG0000034	OFUSG10792.1.p1, OFUSG10792.2.p1	XENTR16254
OG0000034	OFUSG09735.1.p1	XENTR08340
OG0000035	OFUSG16461.1.p1	XENTR05239
OG0000035	OFUSG09470.1.p1	XENTR05079, XENTR05317, XENTR05866, XENTR05867
OG0000035	OFUSG07007.1.p1, OFUSG07007.2.p1	XENTR07648
OG0000035	OFUSG07851.1.p1	XENTR17453, XENTR14129, XENTR07651, XENTR11799
OG0000035	OFUSG25460.1.p1, OFUSG07717.1.p1	XENTR11499, XENTR11381, XENTR11382, XENTR12076, XENTR01605
OG0000035	OFUSG23601.1.p1	XENTR09858
OG0000035	OFUSG07099.1.p1, OFUSG07288.1.p1, OFUSG07098.1.p1	XENTR13293, XENTR09857
OG0000036	OFUSG05112.1.p1	XENTR16945, XENTR13571, XENTR05152
OG0000036	OFUSG06787.1.p1, OFUSG20561.1.p1, OFUSG20712.1.p1, OFUSG08497.1.p1, OFUSG08495.1.p1	XENTR07761, XENTR12415, XENTR07272
OG0000036	OFUSG16630.1.p1, OFUSG16630.2.p1, OFUSG14389.1.p1, OFUSG16691.1.p1	XENTR01038, XENTR15969
OG0000036	OFUSG05272.1.p1	XENTR16237, XENTR16236, XENTR05174, XENTR07278
