Orthogroup	OWEFU	APOSJ_ok
OG0000002	OFUSG18506.1.p1, OFUSG12538.1.p1, OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1	APOSJ_21931
OG0000003	OFUSG26305.1.p1, OFUSG17555.1.p1	APOSJ_43552, APOSJ_43551
OG0000003	OFUSG19225.1.p1	APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630
OG0000003	OFUSG16264.1.p1	APOSJ_27925, APOSJ_44929
OG0000003	OFUSG08772.1.p1, OFUSG14536.1.p1	APOSJ_45754
OG0000003	OFUSG21334.1.p1	APOSJ_33662
OG0000003	OFUSG05190.1.p1, OFUSG05194.1.p1	APOSJ_41535, APOSJ_46680, APOSJ_41536
OG0000003	OFUSG12884.1.p1	APOSJ_07491, APOSJ_53718
OG0000003	OFUSG26297.1.p1	APOSJ_28104, APOSJ_21473, APOSJ_28537
OG0000003	OFUSG01752.1.p1	APOSJ_36444
OG0000003	OFUSG18436.1.p1, OFUSG18438.1.p1	APOSJ_22527
OG0000003	OFUSG05924.1.p1	APOSJ_41438
OG0000003	OFUSG18791.1.p1, OFUSG23315.1.p1	APOSJ_11759
OG0000003	OFUSG03893.1.p1	APOSJ_38353
OG0000003	OFUSG02265.1.p1	APOSJ_10992, APOSJ_60978
OG0000004	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1	APOSJ_09445
OG0000005	OFUSG15197.1.p1, OFUSG15195.1.p1	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667
