Orthogroup	OWEFU	HELIO_ok
OG0000101	OFUSG16240.1.p1, OFUSG16959.1.p1, OFUSG24300.2.p1, OFUSG24300.1.p1	HELIO_06274, HELIO_11624, HELIO_06876
OG0000102	OFUSG16711.1.p1, OFUSG12639.1.p1, OFUSG12363.1.p1	HELIO_08564
OG0000103	OFUSG11159.3.p1, OFUSG11159.1.p1, OFUSG11159.4.p1, OFUSG11159.2.p1, OFUSG11159.5.p1	HELIO_03996
OG0000103	OFUSG10643.2.p1, OFUSG10643.1.p1	HELIO_12543
OG0000104	OFUSG23222.1.p1, OFUSG23223.1.p1	HELIO_04946
OG0000104	OFUSG17041.2.p1, OFUSG17041.1.p1	HELIO_03807
OG0000104	OFUSG09600.1.p1, OFUSG17170.1.p1	HELIO_05172
OG0000104	OFUSG09069.1.p1	HELIO_02282
OG0000104	OFUSG06025.1.p1	HELIO_00006
OG0000105	OFUSG05787.1.p1	HELIO_01100, HELIO_00114, HELIO_07550, HELIO_11647, HELIO_00723, HELIO_10734, HELIO_00015, HELIO_04422, HELIO_00218, HELIO_01340, HELIO_05453, HELIO_04143, HELIO_02007, HELIO_06456, HELIO_11991, HELIO_08647, HELIO_10468
OG0000106	OFUSG20665.1.p1	HELIO_02364
OG0000106	OFUSG20761.2.p1, OFUSG20761.1.p1	HELIO_07474
OG0000106	OFUSG20218.1.p1, OFUSG20218.2.p1	HELIO_05614
OG0000109	OFUSG22657.1.p1	HELIO_00715
OG0000110	OFUSG25344.1.p1, OFUSG25344.2.p1, OFUSG11146.1.p1	HELIO_04706, HELIO_12166, HELIO_08016, HELIO_01452
OG0000113	OFUSG06848.1.p1, OFUSG19695.1.p1, OFUSG19696.1.p1	HELIO_06754
